,index,timestamp,open,high,low,close,volume
0,0,1694476800000,0.4077,0.4084,0.4077,0.4078,99944
1,1,1694476860000,0.4077,0.4086,0.4075,0.4085,65548
2,2,1694476920000,0.4085,0.4087,0.4084,0.4085,37264
3,3,1694476980000,0.4084,0.4084,0.4077,0.408,20825
4,4,1694477040000,0.408,0.4089,0.408,0.4086,23819
5,5,1694477100000,0.4085,0.4087,0.4083,0.4084,35433
6,6,1694477160000,0.4084,0.4085,0.408,0.4082,25773
7,7,1694477220000,0.4081,0.4084,0.408,0.4083,8643
8,8,1694477280000,0.4084,0.409,0.4084,0.4088,41213
9,9,1694477340000,0.4088,0.4088,0.4082,0.4082,14807
10,10,1694477400000,0.4082,0.4087,0.4082,0.4086,32005
11,11,1694477460000,0.4088,0.4091,0.4086,0.4087,51405
12,12,1694477520000,0.4087,0.4087,0.4082,0.4086,14422
13,13,1694477580000,0.4086,0.4086,0.4084,0.4085,7531
14,14,1694477640000,0.4084,0.4085,0.4081,0.4085,7345
15,15,1694477700000,0.4085,0.4087,0.4078,0.4079,22380
16,16,1694477760000,0.4079,0.4082,0.4077,0.4077,26439
17,17,1694477820000,0.4077,0.4082,0.4076,0.4082,20497
18,18,1694477880000,0.4082,0.4082,0.4081,0.4082,13573
19,19,1694477940000,0.4082,0.4087,0.4082,0.4086,30906
20,20,1694478000000,0.4085,0.4086,0.4085,0.4086,6105
21,21,1694478060000,0.4086,0.4086,0.4085,0.4085,4583
22,22,1694478120000,0.4085,0.4087,0.4084,0.4086,15676
23,23,1694478180000,0.4085,0.4087,0.4085,0.4086,12028
24,24,1694478240000,0.4087,0.409,0.4087,0.4088,22029
25,25,1694478300000,0.4087,0.4089,0.4086,0.4089,13830
26,26,1694478360000,0.4089,0.4091,0.4084,0.4085,55783
27,27,1694478420000,0.4085,0.4086,0.4083,0.4083,3573
28,28,1694478480000,0.4082,0.4088,0.4082,0.4087,17245
29,29,1694478540000,0.4087,0.409,0.4087,0.4088,11791
30,30,1694478600000,0.4089,0.4092,0.4089,0.4092,22302
31,31,1694478660000,0.4092,0.4092,0.4087,0.4089,48811
32,32,1694478720000,0.4088,0.4088,0.408,0.4082,20825
33,33,1694478780000,0.4081,0.4081,0.4074,0.4076,20849
34,34,1694478840000,0.4075,0.4075,0.4073,0.4073,3557
35,35,1694478900000,0.4073,0.4074,0.4073,0.4074,4023
36,36,1694478960000,0.4073,0.4078,0.4072,0.4078,17891
37,37,1694479020000,0.4079,0.4079,0.4078,0.4079,3139
38,38,1694479080000,0.4079,0.4083,0.4079,0.4082,8090
39,39,1694479140000,0.4082,0.4082,0.4079,0.4081,9929
40,40,1694479200000,0.4082,0.4087,0.4081,0.4087,19271
41,41,1694479260000,0.4087,0.4087,0.4084,0.4087,5666
42,42,1694479320000,0.4086,0.4087,0.4084,0.4086,5146
43,43,1694479380000,0.4087,0.4088,0.4087,0.4088,5657
44,44,1694479440000,0.4089,0.4092,0.4089,0.4089,16319
45,45,1694479500000,0.4089,0.409,0.4088,0.409,3954
46,46,1694479560000,0.4089,0.4099,0.4089,0.4098,48171
47,47,1694479620000,0.4098,0.4108,0.4098,0.4102,76636
48,48,1694479680000,0.4103,0.4107,0.4102,0.4105,20584
49,49,1694479740000,0.4105,0.411,0.4104,0.4106,17950
50,50,1694479800000,0.4108,0.412,0.4108,0.4119,66400
51,51,1694479860000,0.4119,0.4128,0.4109,0.4112,98884
52,52,1694479920000,0.4113,0.4115,0.411,0.4113,18892
53,53,1694479980000,0.4114,0.4124,0.4114,0.4124,33832
54,54,1694480040000,0.4124,0.4135,0.4123,0.4134,54612
55,55,1694480100000,0.4133,0.4133,0.4123,0.4124,38027
