,index,timestamp,open,high,low,close,volume
0,0,1693958400000,24.99,25.02,24.97,24.97,1138.6
1,1,1693958460000,24.97,24.98,24.97,24.98,261.9
2,2,1693958520000,24.99,25.0,24.99,25.0,314.7
3,3,1693958580000,24.99,25.01,24.99,25.0,117.5
4,4,1693958640000,25.0,25.01,25.0,25.01,94.4
5,5,1693958700000,25.02,25.02,25.02,25.02,239.2
6,6,1693958760000,25.03,25.04,25.03,25.04,237.0
7,7,1693958820000,25.04,25.05,25.04,25.04,12.1
8,8,1693958880000,25.05,25.05,25.05,25.05,169.1
9,9,1693958940000,25.06,25.07,25.05,25.07,184.5
10,10,1693959000000,25.08,25.08,25.06,25.06,62.1
11,11,1693959060000,25.07,25.07,25.06,25.06,88.4
12,12,1693959120000,25.06,25.07,25.06,25.06,12.5
13,13,1693959180000,25.06,25.07,25.05,25.05,436.7
14,14,1693959240000,25.05,25.05,25.04,25.05,138.3
15,15,1693959300000,25.04,25.05,25.04,25.04,89.5
16,16,1693959360000,25.05,25.05,25.04,25.04,3.0
17,17,1693959420000,25.05,25.05,25.04,25.05,33.8
18,18,1693959480000,25.05,25.05,25.03,25.03,607.6
19,19,1693959540000,25.03,25.04,25.02,25.02,297.4
20,20,1693959600000,25.02,25.02,25.01,25.02,203.5
21,21,1693959660000,25.03,25.03,25.02,25.02,440.7
22,22,1693959720000,25.02,25.03,25.02,25.03,180.5
23,23,1693959780000,25.03,25.03,25.02,25.02,308.1
24,24,1693959840000,25.02,25.02,25.01,25.02,540.7
25,25,1693959900000,25.02,25.02,24.99,24.99,978.3
26,26,1693959960000,24.98,24.98,24.97,24.98,141.8
27,27,1693960020000,24.98,24.99,24.98,24.99,233.1
28,28,1693960080000,24.98,24.99,24.97,24.97,173.0
29,29,1693960140000,24.97,24.98,24.96,24.97,620.6
30,30,1693960200000,24.98,24.98,24.97,24.97,232.3
31,31,1693960260000,24.96,24.97,24.91,24.91,1530.9
32,32,1693960320000,24.92,24.92,24.85,24.86,2193.9
33,33,1693960380000,24.86,24.89,24.86,24.89,751.4
34,34,1693960440000,24.89,24.92,24.89,24.91,541.7
35,35,1693960500000,24.91,24.93,24.91,24.93,767.7
36,36,1693960560000,24.93,24.96,24.93,24.95,228.2
37,37,1693960620000,24.96,24.96,24.94,24.95,714.2
38,38,1693960680000,24.95,24.95,24.91,24.91,635.2
39,39,1693960740000,24.91,24.94,24.91,24.94,361.7
40,40,1693960800000,24.93,24.93,24.9,24.9,450.8
41,41,1693960860000,24.91,24.94,24.91,24.94,621.3
42,42,1693960920000,24.94,24.95,24.94,24.95,227.1
43,43,1693960980000,24.95,24.95,24.94,24.95,10.2
44,44,1693961040000,24.95,24.95,24.93,24.93,380.8
45,45,1693961100000,24.92,24.93,24.92,24.93,467.0
46,46,1693961160000,24.93,24.93,24.92,24.92,280.0
47,47,1693961220000,24.92,24.93,24.91,24.91,389.4
48,48,1693961280000,24.92,24.92,24.91,24.91,287.4
49,49,1693961340000,24.91,24.92,24.91,24.92,1.1
50,50,1693961400000,24.91,24.92,24.89,24.92,1152.7
51,51,1693961460000,24.91,24.91,24.88,24.89,733.2
52,52,1693961520000,24.89,24.9,24.86,24.86,707.0
53,53,1693961580000,24.87,24.87,24.87,24.87,444.7
54,54,1693961640000,24.87,24.88,24.86,24.87,201.9
55,55,1693961700000,24.88,24.89,24.87,24.87,422.4
56,56,1693961760000,24.87,24.87,24.85,24.85,327.0
57,57,1693961820000,24.86,24.89,24.86,24.89,649.1
58,58,1693961880000,24.88,24.88,24.88,24.88,24.1
59,59,1693961940000,24.89,24.9,24.89,24.9,154.9
60,60,1693962000000,24.9,24.9,24.86,24.87,1920.8
61,61,1693962060000,24.86,24.86,24.85,24.86,743.3
62,62,1693962120000,24.86,24.87,24.86,24.87,145.1
63,63,1693962180000,24.87,24.87,24.86,24.86,20.2
64,64,1693962240000,24.86,24.86,24.85,24.85,150.4
65,65,1693962300000,24.86,24.87,24.85,24.86,454.2
66,66,1693962360000,24.87,24.87,24.86,24.87,325.6
67,67,1693962420000,24.87,24.89,24.87,24.89,394.1
68,68,1693962480000,24.89,24.9,24.88,24.9,332.6
69,69,1693962540000,24.89,24.9,24.89,24.9,83.9
70,70,1693962600000,24.89,24.93,24.89,24.92,1774.0
71,71,1693962660000,24.92,24.95,24.92,24.94,508.3
72,72,1693962720000,24.94,24.95,24.92,24.92,1335.6
73,73,1693962780000,24.92,24.92,24.92,24.92,29.6
74,74,1693962840000,24.93,24.93,24.92,24.92,78.5
75,75,1693962900000,24.92,24.92,24.9,24.9,809.6
76,76,1693962960000,24.9,24.9,24.88,24.88,562.5
77,77,1693963020000,24.88,24.88,24.88,24.88,185.7
78,78,1693963080000,24.88,24.89,24.87,24.87,385.7
79,79,1693963140000,24.87,24.87,24.87,24.87,30.6
80,80,1693963200000,24.87,24.91,24.87,24.87,2641.6
81,81,1693963260000,24.87,24.87,24.86,24.86,276.0
82,82,1693963320000,24.86,24.87,24.86,24.87,487.9
83,83,1693963380000,24.88,24.89,24.88,24.88,271.0
84,84,1693963440000,24.88,24.9,24.85,24.88,1201.1
85,85,1693963500000,24.88,24.88,24.86,24.86,243.3
86,86,1693963560000,24.86,24.86,24.82,24.82,1241.7
87,87,1693963620000,24.82,24.84,24.8,24.84,1470.8
88,88,1693963680000,24.83,24.84,24.83,24.83,454.7
89,89,1693963740000,24.84,24.84,24.83,24.83,32.3
90,90,1693963800000,24.83,24.84,24.83,24.84,34.4
91,91,1693963860000,24.83,24.84,24.83,24.83,40.8
92,92,1693963920000,24.84,24.84,24.81,24.81,637.2
93,93,1693963980000,24.81,24.82,24.8,24.8,736.6
94,94,1693964040000,24.81,24.84,24.81,24.83,400.1
95,95,1693964100000,24.83,24.83,24.82,24.83,75.0
96,96,1693964160000,24.83,24.83,24.82,24.82,70.0
97,97,1693964220000,24.83,24.84,24.82,24.83,205.2
98,98,1693964280000,24.83,24.83,24.81,24.81,720.1
99,99,1693964340000,24.82,24.82,24.81,24.82,55.8
100,100,1693964400000,24.82,24.84,24.81,24.84,529.5
101,101,1693964460000,24.83,24.83,24.81,24.81,386.3
102,102,1693964520000,24.81,24.82,24.8,24.8,521.5
103,103,1693964580000,24.81,24.81,24.8,24.8,33.3
104,104,1693964640000,24.8,24.8,24.8,24.8,103.5
105,105,1693964700000,24.8,24.8,24.74,24.76,2670.7
106,106,1693964760000,24.76,24.78,24.76,24.78,951.9
107,107,1693964820000,24.79,24.79,24.78,24.78,230.8
108,108,1693964880000,24.78,24.8,24.78,24.79,271.5
109,109,1693964940000,24.8,24.8,24.78,24.79,209.9
110,110,1693965000000,24.78,24.79,24.76,24.79,887.7
111,111,1693965060000,24.78,24.79,24.78,24.79,174.6
112,112,1693965120000,24.78,24.79,24.77,24.79,746.2
113,113,1693965180000,24.78,24.79,24.78,24.79,289.9
114,114,1693965240000,24.8,24.81,24.8,24.8,229.7
115,115,1693965300000,24.81,24.81,24.8,24.8,124.5
116,116,1693965360000,24.81,24.82,24.8,24.8,549.7
117,117,1693965420000,24.8,24.81,24.79,24.8,557.7
118,118,1693965480000,24.8,24.8,24.79,24.8,345.5
119,119,1693965540000,24.81,24.81,24.8,24.8,354.9
120,120,1693965600000,24.8,24.81,24.77,24.78,568.6
121,121,1693965660000,24.77,24.8,24.77,24.8,781.4
122,122,1693965720000,24.8,24.8,24.78,24.78,512.2
123,123,1693965780000,24.78,24.79,24.75,24.75,500.6
124,124,1693965840000,24.76,24.76,24.75,24.76,407.6
125,125,1693965900000,24.77,24.77,24.76,24.76,205.1
