,index,timestamp,open,high,low,close,volume
0,0,1694908800000,0.2328,0.2329,0.2324,0.2325,262516
1,1,1694908860000,0.2326,0.2326,0.2321,0.2322,115716
2,2,1694908920000,0.2322,0.2325,0.2322,0.2324,44035
3,3,1694908980000,0.2323,0.2325,0.2323,0.2324,46464
4,4,1694909040000,0.2324,0.2324,0.2321,0.2322,56203
5,5,1694909100000,0.2321,0.2322,0.2317,0.2319,110004
6,6,1694909160000,0.232,0.2321,0.2319,0.2319,87429
7,7,1694909220000,0.2319,0.2319,0.2315,0.2315,88624
8,8,1694909280000,0.2314,0.2316,0.2313,0.2316,89801
9,9,1694909340000,0.2315,0.2316,0.2312,0.2312,106313
10,10,1694909400000,0.2312,0.2312,0.2303,0.2312,386924
11,11,1694909460000,0.2311,0.2312,0.231,0.2311,89930
12,12,1694909520000,0.2311,0.2311,0.2308,0.2309,81973
13,13,1694909580000,0.2309,0.2309,0.2304,0.2304,60801
14,14,1694909640000,0.2304,0.2307,0.2303,0.2306,135890
15,15,1694909700000,0.2305,0.2306,0.2298,0.2298,232349
16,16,1694909760000,0.2297,0.2307,0.2294,0.2306,509562
17,17,1694909820000,0.2306,0.2308,0.2303,0.2305,153066
18,18,1694909880000,0.2305,0.2306,0.2302,0.2306,134042
19,19,1694909940000,0.2306,0.2306,0.2304,0.2304,9216
20,20,1694910000000,0.2304,0.2309,0.2304,0.2306,109465
21,21,1694910060000,0.2307,0.2308,0.2306,0.2308,5630
22,22,1694910120000,0.2308,0.2308,0.2307,0.2308,5045
23,23,1694910180000,0.2308,0.2308,0.2307,0.2308,7023
24,24,1694910240000,0.2308,0.2309,0.2306,0.2306,35853
25,25,1694910300000,0.2307,0.2307,0.2304,0.2305,98705
26,26,1694910360000,0.2306,0.2307,0.2305,0.2305,42578
27,27,1694910420000,0.2305,0.2305,0.2296,0.2296,229931
28,28,1694910480000,0.2296,0.2299,0.2296,0.2296,82308
29,29,1694910540000,0.2297,0.2297,0.2293,0.2295,149436
30,30,1694910600000,0.2296,0.2298,0.2294,0.2298,120566
31,31,1694910660000,0.2299,0.2299,0.2293,0.2294,118858
32,32,1694910720000,0.2294,0.2296,0.2294,0.2295,61862
33,33,1694910780000,0.2295,0.2296,0.2292,0.2295,101416
34,34,1694910840000,0.2296,0.2296,0.2294,0.2294,10062
35,35,1694910900000,0.2294,0.2297,0.2294,0.2295,102353
36,36,1694910960000,0.2295,0.2297,0.2293,0.2297,91926
37,37,1694911020000,0.2297,0.2299,0.2297,0.2297,146394
38,38,1694911080000,0.2297,0.2297,0.2294,0.2294,177672
39,39,1694911140000,0.2293,0.2295,0.2291,0.2291,168521
40,40,1694911200000,0.2292,0.2294,0.2291,0.2292,146181
41,41,1694911260000,0.2292,0.2293,0.2291,0.2292,114552
42,42,1694911320000,0.2292,0.2292,0.2285,0.2287,272930
43,43,1694911380000,0.2288,0.2288,0.2286,0.2287,126392
44,44,1694911440000,0.2288,0.2289,0.2287,0.2289,100605
45,45,1694911500000,0.2288,0.2289,0.2288,0.2289,63751
46,46,1694911560000,0.2288,0.2288,0.2284,0.2286,176135
47,47,1694911620000,0.2285,0.2286,0.2277,0.2282,394480
48,48,1694911680000,0.2282,0.2283,0.2279,0.2283,192299
49,49,1694911740000,0.2282,0.2283,0.2281,0.2283,140580
50,50,1694911800000,0.2283,0.2283,0.2283,0.2283,19898
51,51,1694911860000,0.2284,0.2286,0.2284,0.2286,99062
52,52,1694911920000,0.2286,0.2287,0.228,0.228,158964
53,53,1694911980000,0.228,0.228,0.2268,0.2276,841540
54,54,1694912040000,0.2277,0.228,0.2276,0.2278,265898
55,55,1694912100000,0.2278,0.2281,0.2275,0.2281,200503
