,index,timestamp,open,high,low,close,volume
0,0,1693958400000,0.591,0.591,0.59,0.591,56852.2
1,1,1693958460000,0.591,0.591,0.59,0.591,57845.8
2,2,1693958520000,0.591,0.591,0.59,0.591,67480.6
3,3,1693958580000,0.591,0.591,0.59,0.591,33483.6
4,4,1693958640000,0.591,0.591,0.59,0.59,43520.4
5,5,1693958700000,0.59,0.591,0.59,0.59,123593.6
6,6,1693958760000,0.59,0.591,0.59,0.59,2907.6
7,7,1693958820000,0.591,0.591,0.59,0.591,5559.1
8,8,1693958880000,0.591,0.592,0.591,0.592,65759.2
9,9,1693958940000,0.591,0.592,0.591,0.592,5498.6
10,10,1693959000000,0.592,0.592,0.591,0.591,6224.1
11,11,1693959060000,0.592,0.592,0.591,0.591,8767.1
12,12,1693959120000,0.591,0.592,0.591,0.591,20613.6
13,13,1693959180000,0.591,0.592,0.59,0.591,348749.5
14,14,1693959240000,0.59,0.591,0.59,0.591,21245.9
15,15,1693959300000,0.591,0.591,0.59,0.591,20253.3
16,16,1693959360000,0.591,0.592,0.59,0.591,48189.9
17,17,1693959420000,0.591,0.592,0.591,0.592,8109.9
18,18,1693959480000,0.591,0.592,0.591,0.591,7354.0
19,19,1693959540000,0.591,0.592,0.591,0.591,19894.3
20,20,1693959600000,0.591,0.592,0.591,0.591,13752.6
21,21,1693959660000,0.591,0.592,0.591,0.592,7709.0
22,22,1693959720000,0.591,0.592,0.591,0.592,8319.0
23,23,1693959780000,0.591,0.592,0.591,0.592,5884.2
24,24,1693959840000,0.591,0.592,0.591,0.592,26594.7
25,25,1693959900000,0.591,0.592,0.59,0.59,156993.8
26,26,1693959960000,0.59,0.591,0.59,0.591,10565.8
27,27,1693960020000,0.59,0.591,0.59,0.591,4310.9
28,28,1693960080000,0.59,0.591,0.59,0.591,4680.2
29,29,1693960140000,0.59,0.591,0.59,0.59,8175.0
30,30,1693960200000,0.59,0.591,0.59,0.591,16035.2
31,31,1693960260000,0.59,0.591,0.589,0.589,268202.4
32,32,1693960320000,0.589,0.59,0.588,0.589,257649.7
33,33,1693960380000,0.588,0.589,0.588,0.589,10515.4
34,34,1693960440000,0.588,0.589,0.588,0.589,39272.7
35,35,1693960500000,0.588,0.589,0.588,0.589,6955.7
36,36,1693960560000,0.589,0.59,0.588,0.59,371574.0
37,37,1693960620000,0.589,0.59,0.589,0.59,8474.9
38,38,1693960680000,0.589,0.59,0.589,0.59,17991.1
39,39,1693960740000,0.589,0.59,0.589,0.59,4970.8
40,40,1693960800000,0.589,0.59,0.589,0.59,4812.9
41,41,1693960860000,0.589,0.59,0.589,0.59,4227.2
42,42,1693960920000,0.589,0.59,0.589,0.59,5530.7
43,43,1693960980000,0.589,0.59,0.589,0.59,22101.5
44,44,1693961040000,0.589,0.59,0.589,0.59,11895.0
45,45,1693961100000,0.589,0.59,0.589,0.59,7088.4
46,46,1693961160000,0.589,0.59,0.589,0.59,5290.0
47,47,1693961220000,0.589,0.59,0.589,0.59,5639.8
48,48,1693961280000,0.589,0.59,0.589,0.59,5267.1
49,49,1693961340000,0.589,0.59,0.589,0.59,5568.2
50,50,1693961400000,0.589,0.59,0.589,0.59,14605.1
51,51,1693961460000,0.589,0.59,0.589,0.589,5262.6
52,52,1693961520000,0.589,0.59,0.588,0.588,98822.3
53,53,1693961580000,0.589,0.589,0.588,0.589,10018.3
54,54,1693961640000,0.589,0.589,0.588,0.588,10849.4
55,55,1693961700000,0.589,0.589,0.588,0.588,15882.0
56,56,1693961760000,0.588,0.589,0.588,0.588,7705.5
57,57,1693961820000,0.589,0.589,0.588,0.589,11039.5
58,58,1693961880000,0.589,0.589,0.588,0.589,7065.3
59,59,1693961940000,0.588,0.59,0.588,0.589,245347.4
60,60,1693962000000,0.59,0.59,0.589,0.589,7546.8
61,61,1693962060000,0.59,0.59,0.589,0.589,9524.1
62,62,1693962120000,0.59,0.59,0.589,0.59,3926.8
63,63,1693962180000,0.59,0.59,0.589,0.59,5276.7
64,64,1693962240000,0.59,0.59,0.589,0.589,11745.3
65,65,1693962300000,0.59,0.59,0.589,0.589,5731.9
66,66,1693962360000,0.589,0.59,0.589,0.59,11058.6
67,67,1693962420000,0.59,0.591,0.59,0.591,281354.0
68,68,1693962480000,0.591,0.591,0.59,0.59,16308.8
69,69,1693962540000,0.591,0.591,0.59,0.59,16896.6
70,70,1693962600000,0.59,0.592,0.59,0.591,86281.6
71,71,1693962660000,0.591,0.593,0.591,0.592,473946.0
72,72,1693962720000,0.593,0.593,0.592,0.592,102109.0
73,73,1693962780000,0.593,0.593,0.592,0.593,25494.8
74,74,1693962840000,0.592,0.593,0.592,0.592,17683.7
75,75,1693962900000,0.593,0.593,0.591,0.592,534906.7
76,76,1693962960000,0.592,0.593,0.592,0.593,131274.5
77,77,1693963020000,0.592,0.593,0.592,0.592,35022.4
78,78,1693963080000,0.592,0.593,0.592,0.592,93789.9
79,79,1693963140000,0.593,0.593,0.592,0.593,8588.0
80,80,1693963200000,0.592,0.593,0.592,0.593,20444.4
81,81,1693963260000,0.592,0.593,0.592,0.592,2948.1
82,82,1693963320000,0.592,0.593,0.592,0.592,22487.8
83,83,1693963380000,0.592,0.593,0.592,0.593,22776.3
84,84,1693963440000,0.592,0.593,0.592,0.593,6610.1
85,85,1693963500000,0.592,0.593,0.592,0.593,745.2
86,86,1693963560000,0.592,0.593,0.592,0.593,1029.9
87,87,1693963620000,0.593,0.593,0.592,0.593,7737.1
88,88,1693963680000,0.592,0.593,0.592,0.592,2338.3
89,89,1693963740000,0.592,0.593,0.592,0.592,1945.1
90,90,1693963800000,0.592,0.593,0.592,0.592,2317.4
91,91,1693963860000,0.593,0.593,0.592,0.592,8665.2
92,92,1693963920000,0.592,0.593,0.591,0.591,132147.2
93,93,1693963980000,0.591,0.592,0.591,0.592,9688.2
94,94,1693964040000,0.592,0.592,0.591,0.592,6659.6
95,95,1693964100000,0.592,0.592,0.591,0.591,1649.4
96,96,1693964160000,0.591,0.592,0.591,0.591,1138.9
97,97,1693964220000,0.592,0.592,0.591,0.591,10150.8
98,98,1693964280000,0.592,0.592,0.591,0.591,570.4
99,99,1693964340000,0.591,0.592,0.591,0.592,3566.3
100,100,1693964400000,0.592,0.592,0.591,0.592,6675.2
101,101,1693964460000,0.591,0.592,0.591,0.592,8249.9
102,102,1693964520000,0.592,0.592,0.591,0.592,6023.5
103,103,1693964580000,0.592,0.592,0.591,0.591,16973.9
104,104,1693964640000,0.591,0.592,0.591,0.591,5319.3
105,105,1693964700000,0.591,0.592,0.59,0.59,119993.8
106,106,1693964760000,0.591,0.591,0.59,0.59,12877.4
107,107,1693964820000,0.59,0.591,0.59,0.591,10608.9
108,108,1693964880000,0.591,0.591,0.59,0.59,4793.8
109,109,1693964940000,0.591,0.591,0.59,0.591,2770.8
110,110,1693965000000,0.591,0.591,0.589,0.589,157804.6
111,111,1693965060000,0.589,0.59,0.589,0.589,14742.0
112,112,1693965120000,0.589,0.59,0.589,0.59,6943.0
113,113,1693965180000,0.59,0.59,0.589,0.59,13973.6
114,114,1693965240000,0.589,0.59,0.589,0.59,3998.7
115,115,1693965300000,0.59,0.59,0.589,0.59,3205.9
116,116,1693965360000,0.59,0.591,0.59,0.59,251793.6
117,117,1693965420000,0.59,0.59,0.589,0.589,79243.1
118,118,1693965480000,0.589,0.59,0.589,0.59,2608.0
119,119,1693965540000,0.59,0.59,0.589,0.59,3515.3
120,120,1693965600000,0.59,0.59,0.589,0.59,32419.2
121,121,1693965660000,0.589,0.59,0.589,0.589,662.1
122,122,1693965720000,0.589,0.59,0.589,0.589,45538.2
123,123,1693965780000,0.589,0.59,0.588,0.589,205207.9
124,124,1693965840000,0.588,0.589,0.588,0.588,7701.5
125,125,1693965900000,0.589,0.589,0.588,0.588,29491.1
126,126,1693965960000,0.589,0.589,0.588,0.588,237878.5
127,127,1693966020000,0.589,0.59,0.589,0.59,190431.8
128,128,1693966080000,0.59,0.59,0.588,0.589,146688.6
129,129,1693966140000,0.588,0.59,0.588,0.589,269681.0
130,130,1693966200000,0.589,0.59,0.589,0.59,9646.8
131,131,1693966260000,0.589,0.59,0.589,0.589,1183.8
132,132,1693966320000,0.589,0.59,0.589,0.59,9312.3
133,133,1693966380000,0.59,0.59,0.59,0.59,809.6
134,134,1693966440000,0.59,0.59,0.589,0.589,19002.3
135,135,1693966500000,0.589,0.591,0.589,0.59,280063.8
136,136,1693966560000,0.59,0.59,0.59,0.59,1412.9
137,137,1693966620000,0.59,0.591,0.59,0.591,180171.4
138,138,1693966680000,0.59,0.591,0.59,0.591,1868.4
139,139,1693966740000,0.591,0.591,0.59,0.591,63611.3
140,140,1693966800000,0.59,0.591,0.59,0.59,3325.0
141,141,1693966860000,0.59,0.591,0.59,0.591,931.0
142,142,1693966920000,0.59,0.591,0.59,0.591,1189.2
143,143,1693966980000,0.591,0.591,0.59,0.591,158182.5
144,144,1693967040000,0.592,0.592,0.591,0.592,7396.9
145,145,1693967100000,0.592,0.592,0.591,0.592,88613.8
146,146,1693967160000,0.592,0.592,0.591,0.592,2756.9
147,147,1693967220000,0.592,0.592,0.591,0.592,4459.4
148,148,1693967280000,0.592,0.592,0.591,0.592,97549.7
149,149,1693967340000,0.591,0.592,0.591,0.591,8891.5
150,150,1693967400000,0.591,0.592,0.591,0.592,1907.7
151,151,1693967460000,0.591,0.592,0.591,0.591,194693.6
152,152,1693967520000,0.59,0.591,0.59,0.591,74813.5
153,153,1693967580000,0.592,0.592,0.591,0.591,637.2
154,154,1693967640000,0.592,0.592,0.591,0.591,991.3
155,155,1693967700000,0.592,0.592,0.591,0.592,741.4
156,156,1693967760000,0.592,0.592,0.591,0.592,1838.5
157,157,1693967820000,0.592,0.592,0.591,0.592,15655.8
158,158,1693967880000,0.591,0.592,0.591,0.591,160114.4
159,159,1693967940000,0.59,0.591,0.59,0.591,20191.4
160,160,1693968000000,0.591,0.591,0.59,0.591,739.7
161,161,1693968060000,0.59,0.591,0.59,0.591,552.4
162,162,1693968120000,0.59,0.591,0.59,0.591,2146.0
163,163,1693968180000,0.59,0.591,0.59,0.591,1629.6
164,164,1693968240000,0.59,0.591,0.59,0.591,4202.2
165,165,1693968300000,0.59,0.591,0.59,0.591,51238.3
166,166,1693968360000,0.591,0.591,0.591,0.591,707.3
167,167,1693968420000,0.59,0.591,0.59,0.591,845.3
168,168,1693968480000,0.591,0.592,0.591,0.592,138356.2
169,169,1693968540000,0.591,0.592,0.591,0.592,7537.4
170,170,1693968600000,0.592,0.592,0.591,0.592,418.4
171,171,1693968660000,0.592,0.592,0.591,0.592,950.0
172,172,1693968720000,0.592,0.592,0.59,0.591,112406.9
173,173,1693968780000,0.59,0.592,0.59,0.592,141285.5
