,index,timestamp,open,high,low,close,volume
0,0,1694131200000,15.576,15.587,15.572,15.572,11134.19
1,1,1694131260000,15.572,15.576,15.569,15.575,5775.79
2,2,1694131320000,15.575,15.577,15.557,15.557,2079.95
3,3,1694131380000,15.558,15.56,15.542,15.548,8656.02
4,4,1694131440000,15.548,15.555,15.546,15.547,2054.95
5,5,1694131500000,15.547,15.549,15.54,15.546,2395.26
6,6,1694131560000,15.546,15.549,15.541,15.541,1512.07
7,7,1694131620000,15.541,15.542,15.537,15.537,1192.63
8,8,1694131680000,15.536,15.537,15.531,15.533,4151.5
9,9,1694131740000,15.533,15.538,15.528,15.537,1427.11
10,10,1694131800000,15.538,15.545,15.537,15.542,4844.3
11,11,1694131860000,15.541,15.542,15.534,15.534,791.92
12,12,1694131920000,15.535,15.539,15.534,15.538,344.88
13,13,1694131980000,15.539,15.543,15.535,15.535,789.01
14,14,1694132040000,15.534,15.543,15.531,15.543,573.62
15,15,1694132100000,15.544,15.546,15.54,15.541,945.59
16,16,1694132160000,15.541,15.546,15.54,15.546,596.89
17,17,1694132220000,15.546,15.55,15.541,15.546,1760.34
18,18,1694132280000,15.547,15.552,15.544,15.545,1007.17
19,19,1694132340000,15.544,15.547,15.54,15.547,1000.76
20,20,1694132400000,15.547,15.56,15.546,15.558,3556.49
21,21,1694132460000,15.558,15.562,15.558,15.559,3373.04
22,22,1694132520000,15.558,15.559,15.552,15.553,1377.28
23,23,1694132580000,15.553,15.561,15.552,15.56,688.43
24,24,1694132640000,15.56,15.564,15.56,15.561,1036.33
25,25,1694132700000,15.561,15.563,15.555,15.558,1801.87
26,26,1694132760000,15.558,15.564,15.558,15.563,588.59
27,27,1694132820000,15.564,15.564,15.56,15.562,641.98
28,28,1694132880000,15.562,15.562,15.552,15.554,890.41
29,29,1694132940000,15.555,15.557,15.554,15.554,274.6
30,30,1694133000000,15.555,15.56,15.551,15.556,3042.49
31,31,1694133060000,15.557,15.562,15.554,15.559,2237.2
32,32,1694133120000,15.56,15.567,15.56,15.567,3886.37
33,33,1694133180000,15.567,15.575,15.567,15.575,382.84
34,34,1694133240000,15.576,15.584,15.576,15.579,1452.67
35,35,1694133300000,15.58,15.583,15.579,15.581,1795.81
36,36,1694133360000,15.581,15.591,15.58,15.587,1187.33
37,37,1694133420000,15.588,15.598,15.587,15.591,2840.4
38,38,1694133480000,15.591,15.593,15.59,15.592,466.76
39,39,1694133540000,15.593,15.596,15.589,15.593,1127.93
40,40,1694133600000,15.593,15.612,15.593,15.612,2827.22
41,41,1694133660000,15.612,15.623,15.612,15.623,3656.9
42,42,1694133720000,15.624,15.626,15.619,15.624,1497.0
43,43,1694133780000,15.626,15.636,15.626,15.627,2102.64
44,44,1694133840000,15.628,15.637,15.623,15.624,3327.45
45,45,1694133900000,15.623,15.634,15.623,15.631,851.44
46,46,1694133960000,15.631,15.632,15.625,15.625,1171.79
47,47,1694134020000,15.625,15.626,15.619,15.622,1617.51
48,48,1694134080000,15.624,15.624,15.6,15.604,2547.14
49,49,1694134140000,15.605,15.606,15.588,15.59,3192.04
50,50,1694134200000,15.59,15.601,15.59,15.601,1492.37
51,51,1694134260000,15.602,15.609,15.602,15.608,2913.91
52,52,1694134320000,15.61,15.619,15.61,15.619,329.21
53,53,1694134380000,15.619,15.63,15.619,15.627,2026.8
54,54,1694134440000,15.626,15.629,15.624,15.629,919.37
55,55,1694134500000,15.628,15.633,15.622,15.622,3334.54
56,56,1694134560000,15.623,15.632,15.622,15.631,503.05
57,57,1694134620000,15.631,15.643,15.627,15.643,6604.8
58,58,1694134680000,15.643,15.668,15.629,15.636,8655.14
59,59,1694134740000,15.637,15.639,15.62,15.633,5838.96
60,60,1694134800000,15.635,15.653,15.634,15.652,7716.22
61,61,1694134860000,15.651,15.657,15.632,15.645,3696.63
62,62,1694134920000,15.644,15.644,15.616,15.618,5619.51
63,63,1694134980000,15.618,15.632,15.617,15.625,2274.86
64,64,1694135040000,15.627,15.629,15.621,15.627,1362.36
65,65,1694135100000,15.626,15.627,15.588,15.597,4122.54
66,66,1694135160000,15.598,15.607,15.59,15.594,11864.35
67,67,1694135220000,15.594,15.596,15.591,15.594,581.14
68,68,1694135280000,15.593,15.593,15.58,15.591,4823.18
69,69,1694135340000,15.591,15.599,15.591,15.593,1825.89
70,70,1694135400000,15.592,15.602,15.587,15.597,3233.7
71,71,1694135460000,15.597,15.602,15.594,15.602,4180.22
72,72,1694135520000,15.601,15.601,15.592,15.592,1251.39
73,73,1694135580000,15.59,15.592,15.582,15.59,2603.11
74,74,1694135640000,15.59,15.6,15.59,15.6,1535.55
75,75,1694135700000,15.597,15.607,15.597,15.603,1332.03
76,76,1694135760000,15.603,15.611,15.603,15.605,1112.25
77,77,1694135820000,15.606,15.615,15.605,15.608,1068.62
78,78,1694135880000,15.608,15.626,15.608,15.625,2009.56
79,79,1694135940000,15.622,15.626,15.612,15.612,1836.02
80,80,1694136000000,15.612,15.615,15.608,15.611,1950.46
81,81,1694136060000,15.611,15.617,15.609,15.616,2333.44
82,82,1694136120000,15.617,15.624,15.612,15.612,1658.61
83,83,1694136180000,15.612,15.618,15.611,15.612,1135.24
84,84,1694136240000,15.613,15.622,15.613,15.622,888.4
85,85,1694136300000,15.623,15.628,15.615,15.618,5086.61
86,86,1694136360000,15.619,15.625,15.615,15.615,526.18
87,87,1694136420000,15.616,15.624,15.609,15.612,1720.68
88,88,1694136480000,15.612,15.612,15.608,15.611,371.07
89,89,1694136540000,15.611,15.612,15.608,15.61,362.85
90,90,1694136600000,15.609,15.618,15.609,15.618,1033.33
91,91,1694136660000,15.618,15.622,15.618,15.621,883.91
92,92,1694136720000,15.622,15.626,15.614,15.614,2783.64
93,93,1694136780000,15.615,15.617,15.609,15.614,896.05
94,94,1694136840000,15.613,15.624,15.613,15.623,1748.23
95,95,1694136900000,15.622,15.633,15.622,15.622,3254.34
96,96,1694136960000,15.623,15.626,15.619,15.626,1500.57
97,97,1694137020000,15.626,15.627,15.621,15.627,2813.79
98,98,1694137080000,15.628,15.63,15.62,15.62,1095.35
99,99,1694137140000,15.621,15.621,15.612,15.613,1041.5
100,100,1694137200000,15.612,15.614,15.608,15.608,2275.96
101,101,1694137260000,15.61,15.611,15.608,15.608,254.81
102,102,1694137320000,15.608,15.608,15.6,15.6,3136.47
103,103,1694137380000,15.6,15.608,15.6,15.606,2952.75
104,104,1694137440000,15.607,15.608,15.606,15.607,892.03
105,105,1694137500000,15.607,15.607,15.588,15.588,2411.86
106,106,1694137560000,15.589,15.592,15.582,15.582,1698.66
107,107,1694137620000,15.582,15.582,15.567,15.578,2909.81
108,108,1694137680000,15.58,15.582,15.575,15.575,1375.51
109,109,1694137740000,15.575,15.575,15.561,15.565,774.98
110,110,1694137800000,15.565,15.565,15.558,15.558,1647.42
111,111,1694137860000,15.559,15.569,15.559,15.563,2904.69
112,112,1694137920000,15.564,15.574,15.561,15.561,7812.6
113,113,1694137980000,15.561,15.564,15.561,15.563,910.07
114,114,1694138040000,15.564,15.569,15.564,15.568,162.47
115,115,1694138100000,15.569,15.571,15.557,15.558,2455.29
116,116,1694138160000,15.558,15.562,15.549,15.554,4950.8
117,117,1694138220000,15.553,15.559,15.543,15.544,1809.09
118,118,1694138280000,15.546,15.552,15.54,15.55,5375.24
119,119,1694138340000,15.55,15.55,15.542,15.545,656.54
