,index,timestamp,open,high,low,close,volume
0,0,1694649600000,1606.69,1607.02,1606.11,1606.12,1512.12
1,1,1694649660000,1606.11,1606.6,1606.11,1606.49,621.659
2,2,1694649720000,1606.48,1606.6,1606.12,1606.56,580.899
3,3,1694649780000,1606.59,1606.59,1606.08,1606.08,342.254
4,4,1694649840000,1606.09,1606.26,1606.06,1606.2,622.826
5,5,1694649900000,1606.2,1606.89,1606.02,1606.36,793.069
6,6,1694649960000,1606.35,1607.18,1606.35,1606.85,1599.282
7,7,1694650020000,1606.85,1607.06,1606.15,1606.18,478.241
8,8,1694650080000,1606.19,1606.21,1606.09,1606.2,245.289
9,9,1694650140000,1606.2,1606.56,1606.04,1606.07,277.784
10,10,1694650200000,1606.07,1607.35,1606.07,1607.12,897.757
11,11,1694650260000,1607.12,1607.42,1606.79,1607.37,475.841
12,12,1694650320000,1607.37,1607.37,1606.98,1606.99,180.727
13,13,1694650380000,1606.98,1607.19,1606.9,1607.19,455.99
14,14,1694650440000,1607.2,1608.37,1607.19,1608.36,1884.793
15,15,1694650500000,1608.36,1608.73,1608.2,1608.23,1726.304
16,16,1694650560000,1608.23,1608.44,1608.18,1608.39,447.668
17,17,1694650620000,1608.39,1609.04,1608.39,1608.9,1038.364
18,18,1694650680000,1608.91,1608.94,1608.11,1608.34,886.55
19,19,1694650740000,1608.35,1608.35,1608.07,1608.15,477.083
20,20,1694650800000,1608.16,1608.16,1607.52,1607.52,1127.5
21,21,1694650860000,1607.52,1607.98,1607.49,1607.67,741.492
22,22,1694650920000,1607.68,1608.38,1607.67,1607.78,420.031
23,23,1694650980000,1607.78,1608.01,1607.53,1607.77,489.892
24,24,1694651040000,1607.78,1608.17,1607.56,1608.02,617.393
25,25,1694651100000,1608.03,1608.03,1607.57,1607.88,380.301
26,26,1694651160000,1607.89,1608.17,1607.89,1608.17,339.41
27,27,1694651220000,1608.16,1608.34,1608.08,1608.33,419.897
28,28,1694651280000,1608.33,1608.48,1608.19,1608.41,388.635
29,29,1694651340000,1608.4,1608.41,1608.05,1608.05,185.815
30,30,1694651400000,1608.06,1608.06,1607.82,1607.93,713.733
31,31,1694651460000,1607.92,1607.92,1607.79,1607.79,207.152
32,32,1694651520000,1607.79,1608.65,1607.79,1608.64,376.811
33,33,1694651580000,1608.65,1608.65,1608.44,1608.46,312.183
34,34,1694651640000,1608.46,1615.43,1608.45,1613.68,15311.974
35,35,1694651700000,1613.62,1613.62,1612.05,1612.27,7400.743
36,36,1694651760000,1612.27,1614.88,1612.27,1614.46,3900.757
37,37,1694651820000,1614.45,1618.0,1613.32,1616.13,15272.847
38,38,1694651880000,1616.14,1616.14,1614.18,1615.44,3443.121
39,39,1694651940000,1615.43,1616.52,1614.62,1616.52,1909.506
40,40,1694652000000,1616.52,1617.89,1616.13,1616.48,4363.809
41,41,1694652060000,1616.49,1616.71,1615.1,1615.77,3124.972
42,42,1694652120000,1615.75,1615.75,1613.58,1613.81,2248.355
43,43,1694652180000,1613.8,1614.48,1613.8,1614.39,1780.498
44,44,1694652240000,1614.39,1614.5,1613.51,1614.5,1409.165
45,45,1694652300000,1614.5,1617.14,1614.32,1616.71,3169.031
46,46,1694652360000,1616.71,1623.0,1616.42,1623.0,14877.073
47,47,1694652420000,1622.83,1625.0,1618.61,1621.0,27064.858
48,48,1694652480000,1621.0,1628.9,1620.99,1623.25,27751.888
49,49,1694652540000,1623.26,1623.35,1621.42,1622.2,4610.306
50,50,1694652600000,1622.19,1625.51,1621.81,1625.23,5728.896
51,51,1694652660000,1625.24,1629.44,1624.15,1628.15,11735.15
52,52,1694652720000,1628.15,1631.29,1625.42,1629.31,18109.115
53,53,1694652780000,1629.31,1629.89,1626.69,1626.93,6192.303
54,54,1694652840000,1626.92,1636.0,1626.65,1632.95,30226.934
55,55,1694652900000,1632.95,1633.86,1629.88,1631.61,18997.199
56,56,1694652960000,1631.61,1633.42,1630.99,1633.33,5620.967
57,57,1694653020000,1633.32,1634.68,1630.82,1633.69,14180.973
58,58,1694653080000,1633.7,1634.84,1632.3,1632.54,6743.47
59,59,1694653140000,1632.54,1636.0,1631.7,1635.2,13260.057
60,60,1694653200000,1635.2,1636.0,1633.18,1633.19,8327.134
61,61,1694653260000,1633.19,1639.0,1631.74,1637.21,16037.113
62,62,1694653320000,1637.2,1637.94,1634.2,1634.21,6873.405
63,63,1694653380000,1634.2,1636.81,1632.2,1634.35,8954.281
64,64,1694653440000,1634.35,1635.82,1632.7,1635.81,7265.029
65,65,1694653500000,1635.81,1637.03,1632.8,1634.36,17054.537
66,66,1694653560000,1634.35,1634.66,1632.06,1634.0,10329.294
67,67,1694653620000,1634.0,1634.01,1631.41,1631.48,8084.738
68,68,1694653680000,1631.49,1633.32,1630.38,1631.01,11749.128
69,69,1694653740000,1631.01,1632.43,1629.93,1629.93,3281.79
70,70,1694653800000,1629.94,1631.56,1626.37,1626.91,10773.108
71,71,1694653860000,1626.9,1629.66,1626.0,1629.66,5264.694
72,72,1694653920000,1629.67,1629.98,1628.56,1629.46,3529.496
73,73,1694653980000,1629.45,1630.46,1629.45,1630.4,2757.851
74,74,1694654040000,1630.41,1630.41,1628.01,1629.08,3456.451
75,75,1694654100000,1629.07,1629.2,1626.48,1626.51,2977.676
