,index,timestamp,open,high,low,close,volume
0,0,1694476800000,1552.25,1552.29,1551.85,1552.12,12.642
1,1,1694476860000,1552.13,1552.52,1552.13,1552.48,8.036
2,2,1694476920000,1552.55,1553.32,1552.55,1553.27,4.493
3,3,1694476980000,1553.09,1553.09,1551.11,1551.36,2.882
4,4,1694477040000,1551.44,1551.44,1551.44,1551.44,0.074
5,5,1694477100000,1551.25,1551.25,1550.37,1550.48,2.242
6,6,1694477160000,1550.43,1550.43,1550.43,1550.43,0.017
7,7,1694477220000,1550.39,1551.77,1550.39,1551.77,3.141
8,8,1694477280000,1552.12,1552.71,1552.12,1552.47,2.393
9,9,1694477340000,1553.05,1553.05,1552.47,1552.47,20.382
10,10,1694477400000,1551.61,1553.07,1551.61,1553.07,4.393
11,11,1694477460000,1552.92,1552.92,1552.55,1552.64,3.71
12,12,1694477520000,1552.61,1552.74,1552.31,1552.31,0.582
13,13,1694477580000,1552.31,1552.31,1552.31,1552.31,0.0
14,14,1694477640000,1552.22,1552.81,1552.21,1552.81,2.168
15,15,1694477700000,1553.0,1553.03,1551.91,1551.91,2.059
16,16,1694477760000,1551.59,1551.98,1551.59,1551.62,0.541
17,17,1694477820000,1550.75,1551.54,1550.75,1551.54,15.534
18,18,1694477880000,1551.51,1551.57,1551.07,1551.3,0.785
19,19,1694477940000,1551.35,1551.8,1551.32,1551.59,3.308
20,20,1694478000000,1551.3,1551.3,1551.2,1551.2,0.118
21,21,1694478060000,1551.2,1551.2,1550.33,1550.46,0.397
22,22,1694478120000,1550.32,1551.19,1550.32,1550.97,12.38
23,23,1694478180000,1550.54,1550.54,1550.33,1550.33,0.382
24,24,1694478240000,1550.04,1550.16,1549.87,1550.16,5.107
25,25,1694478300000,1549.84,1551.01,1549.84,1550.98,0.553
26,26,1694478360000,1551.0,1551.0,1550.6,1550.6,0.251
27,27,1694478420000,1550.6,1550.64,1550.54,1550.54,0.263
28,28,1694478480000,1550.17,1551.07,1550.06,1551.07,0.37
29,29,1694478540000,1551.59,1551.59,1551.43,1551.45,11.778
30,30,1694478600000,1551.05,1551.42,1551.05,1551.27,0.181
31,31,1694478660000,1551.01,1551.59,1551.01,1551.59,2.707
32,32,1694478720000,1551.68,1551.68,1550.97,1551.11,0.71
33,33,1694478780000,1550.65,1550.65,1550.19,1550.22,2.494
34,34,1694478840000,1550.75,1550.75,1550.24,1550.39,0.394
35,35,1694478900000,1550.14,1550.14,1549.72,1550.07,0.447
36,36,1694478960000,1550.07,1551.59,1550.07,1551.46,7.04
37,37,1694479020000,1551.55,1552.12,1551.55,1552.12,0.827
38,38,1694479080000,1552.4,1552.95,1552.4,1552.55,0.851
39,39,1694479140000,1552.63,1552.91,1552.63,1552.91,2.845
40,40,1694479200000,1553.01,1553.97,1552.92,1553.89,23.193
41,41,1694479260000,1553.94,1554.16,1553.26,1553.4,2.253
42,42,1694479320000,1553.27,1553.74,1553.27,1553.74,0.485
43,43,1694479380000,1553.69,1554.3,1553.69,1554.3,1.906
44,44,1694479440000,1554.45,1554.9,1553.93,1553.93,12.765
45,45,1694479500000,1553.92,1554.45,1553.7,1554.36,11.424
46,46,1694479560000,1554.74,1557.03,1554.74,1556.53,37.366
47,47,1694479620000,1556.57,1557.91,1556.31,1556.58,7.296
48,48,1694479680000,1557.32,1557.9,1557.32,1557.73,3.509
49,49,1694479740000,1557.86,1558.5,1557.78,1557.78,7.608
50,50,1694479800000,1557.49,1559.0,1557.43,1559.0,10.81
51,51,1694479860000,1559.31,1559.32,1557.44,1557.44,10.973
52,52,1694479920000,1557.2,1557.62,1556.94,1556.95,0.95
53,53,1694479980000,1556.92,1558.39,1556.92,1557.98,2.293
54,54,1694480040000,1558.03,1560.03,1558.02,1559.63,21.934
55,55,1694480100000,1559.23,1559.26,1558.36,1558.36,2.849
56,56,1694480160000,1558.25,1558.25,1557.1,1557.1,0.586
57,57,1694480220000,1557.04,1557.61,1557.04,1557.33,2.565
58,58,1694480280000,1557.61,1557.98,1557.18,1557.18,13.103
59,59,1694480340000,1556.99,1557.6,1556.99,1557.6,1.533
60,60,1694480400000,1557.84,1558.65,1557.84,1558.65,3.687
61,61,1694480460000,1558.44,1558.62,1557.98,1557.98,2.469
62,62,1694480520000,1557.69,1557.69,1557.01,1557.25,0.842
