,index,timestamp,open,high,low,close,volume
0,0,1693785600000,0.2589,0.2597,0.2588,0.2594,632166
1,1,1693785660000,0.2595,0.26,0.2595,0.2599,274081
2,2,1693785720000,0.26,0.26,0.2593,0.2593,483818
3,3,1693785780000,0.2594,0.26,0.2591,0.26,222909
4,4,1693785840000,0.26,0.26,0.2597,0.2598,162154
5,5,1693785900000,0.2599,0.2605,0.2599,0.2605,437277
6,6,1693785960000,0.2605,0.2609,0.2604,0.2606,494552
7,7,1693786020000,0.2606,0.2617,0.2604,0.2612,1176665
8,8,1693786080000,0.2612,0.2613,0.2606,0.2608,448941
9,9,1693786140000,0.2608,0.2614,0.2606,0.2609,603291
10,10,1693786200000,0.2609,0.2612,0.2605,0.2606,400915
11,11,1693786260000,0.2607,0.2609,0.2605,0.2609,298540
12,12,1693786320000,0.2609,0.2617,0.2609,0.2609,690792
13,13,1693786380000,0.261,0.2614,0.2609,0.2612,166146
14,14,1693786440000,0.2612,0.2616,0.2612,0.2615,135519
15,15,1693786500000,0.2615,0.262,0.2614,0.2618,409003
16,16,1693786560000,0.2618,0.2625,0.2616,0.2624,554618
17,17,1693786620000,0.2624,0.2627,0.262,0.2627,516648
18,18,1693786680000,0.2627,0.263,0.262,0.2621,774079
19,19,1693786740000,0.2622,0.2627,0.2621,0.2625,155603
20,20,1693786800000,0.2625,0.2626,0.2614,0.2623,509475
21,21,1693786860000,0.2623,0.263,0.2623,0.2628,377295
22,22,1693786920000,0.2629,0.2638,0.2628,0.2632,1033654
23,23,1693786980000,0.2633,0.2633,0.2628,0.2631,355133
24,24,1693787040000,0.2631,0.2633,0.2628,0.2633,184020
25,25,1693787100000,0.2633,0.2638,0.2633,0.2635,411735
26,26,1693787160000,0.2636,0.2636,0.2624,0.2625,528076
27,27,1693787220000,0.2626,0.2626,0.2622,0.2622,388078
28,28,1693787280000,0.2623,0.2623,0.2616,0.2616,147466
29,29,1693787340000,0.2617,0.2626,0.2616,0.2624,490915
30,30,1693787400000,0.2624,0.2628,0.2622,0.2625,130894
31,31,1693787460000,0.2624,0.2625,0.2622,0.2623,206061
32,32,1693787520000,0.2623,0.2625,0.2621,0.2621,96421
33,33,1693787580000,0.2621,0.2623,0.2617,0.2618,199374
34,34,1693787640000,0.2617,0.2622,0.2615,0.2621,195017
35,35,1693787700000,0.2621,0.2624,0.2618,0.2618,130611
36,36,1693787760000,0.2618,0.2621,0.2617,0.2621,243278
37,37,1693787820000,0.262,0.262,0.2618,0.2619,86910
38,38,1693787880000,0.262,0.262,0.2615,0.2617,335419
39,39,1693787940000,0.2618,0.262,0.2618,0.2619,77136
40,40,1693788000000,0.262,0.262,0.2619,0.262,23068
41,41,1693788060000,0.262,0.2621,0.2615,0.2615,294390
42,42,1693788120000,0.2616,0.2619,0.2616,0.2618,65745
43,43,1693788180000,0.2618,0.2623,0.2617,0.2623,114190
44,44,1693788240000,0.2623,0.2639,0.2622,0.2639,460247
45,45,1693788300000,0.2638,0.2639,0.2634,0.2634,412216
46,46,1693788360000,0.2633,0.2634,0.2631,0.2632,261631
47,47,1693788420000,0.2633,0.2638,0.2632,0.2637,204062
48,48,1693788480000,0.2637,0.2643,0.2636,0.2643,391387
49,49,1693788540000,0.2642,0.2644,0.2641,0.2642,210071
50,50,1693788600000,0.2641,0.2642,0.2636,0.2636,252142
51,51,1693788660000,0.2635,0.2635,0.2631,0.2633,415293
52,52,1693788720000,0.2633,0.2633,0.2625,0.2625,177416
53,53,1693788780000,0.2625,0.2626,0.2622,0.2624,227586
54,54,1693788840000,0.2625,0.2625,0.2623,0.2624,73886
55,55,1693788900000,0.2624,0.2624,0.2618,0.2621,677072
56,56,1693788960000,0.262,0.2621,0.2617,0.2617,151032
57,57,1693789020000,0.2618,0.262,0.2618,0.2618,95008
58,58,1693789080000,0.2618,0.2619,0.2616,0.2619,133161
59,59,1693789140000,0.2619,0.2626,0.2618,0.2624,153448
60,60,1693789200000,0.2625,0.2632,0.2623,0.2632,180416
61,61,1693789260000,0.2632,0.2632,0.2621,0.2621,397985
62,62,1693789320000,0.2621,0.2621,0.2614,0.2619,406816
63,63,1693789380000,0.262,0.262,0.2618,0.2619,93435
64,64,1693789440000,0.262,0.2622,0.2618,0.2619,140160
65,65,1693789500000,0.2619,0.2619,0.2617,0.2618,42579
66,66,1693789560000,0.2618,0.2618,0.2613,0.2616,133877
67,67,1693789620000,0.2616,0.2619,0.2615,0.2618,164391
68,68,1693789680000,0.2619,0.2619,0.2615,0.2616,80042
69,69,1693789740000,0.2616,0.262,0.2615,0.262,73529
70,70,1693789800000,0.262,0.2622,0.2619,0.2621,40419
71,71,1693789860000,0.2621,0.2621,0.2614,0.2614,268030
72,72,1693789920000,0.2613,0.262,0.2612,0.2617,401552
73,73,1693789980000,0.2618,0.2621,0.2617,0.262,173538
74,74,1693790040000,0.262,0.262,0.2615,0.2619,177336
75,75,1693790100000,0.2619,0.2624,0.2619,0.2624,91566
76,76,1693790160000,0.2624,0.2624,0.2616,0.2618,185615
77,77,1693790220000,0.2619,0.2624,0.2616,0.2617,162248
78,78,1693790280000,0.2616,0.2616,0.2613,0.2615,87780
79,79,1693790340000,0.2615,0.2618,0.2614,0.2616,147734
80,80,1693790400000,0.2616,0.2617,0.2607,0.2609,387422
81,81,1693790460000,0.2609,0.2624,0.2608,0.2623,541737
82,82,1693790520000,0.2624,0.2628,0.2622,0.2623,306985
83,83,1693790580000,0.2624,0.2624,0.262,0.2624,117460
84,84,1693790640000,0.2623,0.2624,0.2617,0.2618,258378
85,85,1693790700000,0.2618,0.2625,0.2617,0.2624,111306
86,86,1693790760000,0.2625,0.2625,0.2615,0.2616,430302
87,87,1693790820000,0.2615,0.2616,0.2614,0.2614,78080
88,88,1693790880000,0.2614,0.2614,0.2608,0.261,245397
89,89,1693790940000,0.261,0.261,0.2599,0.2601,1048396
90,90,1693791000000,0.2602,0.2603,0.26,0.26,379969
91,91,1693791060000,0.2599,0.26,0.2596,0.26,355251
92,92,1693791120000,0.26,0.2601,0.2582,0.2584,1723815
93,93,1693791180000,0.2584,0.2586,0.258,0.2583,862030
