,index,timestamp,open,high,low,close,volume
0,0,1694390400000,3.112,3.114,3.11,3.113,28069.7
1,1,1694390460000,3.113,3.113,3.11,3.112,13827.9
2,2,1694390520000,3.112,3.113,3.111,3.112,22953.6
3,3,1694390580000,3.111,3.112,3.111,3.111,4371.3
4,4,1694390640000,3.111,3.111,3.108,3.108,44705.0
5,5,1694390700000,3.108,3.11,3.108,3.11,18283.8
6,6,1694390760000,3.11,3.11,3.108,3.109,12478.3
7,7,1694390820000,3.109,3.109,3.107,3.108,12347.4
8,8,1694390880000,3.108,3.11,3.108,3.11,4981.8
9,9,1694390940000,3.111,3.113,3.111,3.112,2521.8
10,10,1694391000000,3.113,3.114,3.112,3.114,5995.3
11,11,1694391060000,3.115,3.116,3.114,3.115,2754.0
12,12,1694391120000,3.115,3.116,3.115,3.115,2585.6
13,13,1694391180000,3.116,3.123,3.116,3.12,38851.1
14,14,1694391240000,3.12,3.121,3.12,3.121,12781.3
15,15,1694391300000,3.12,3.122,3.119,3.12,8044.1
16,16,1694391360000,3.12,3.121,3.118,3.119,9677.0
17,17,1694391420000,3.119,3.119,3.117,3.119,5456.6
18,18,1694391480000,3.118,3.121,3.118,3.121,5431.4
19,19,1694391540000,3.12,3.121,3.118,3.119,18813.5
20,20,1694391600000,3.119,3.124,3.119,3.124,17954.1
21,21,1694391660000,3.124,3.125,3.122,3.122,18279.3
22,22,1694391720000,3.123,3.123,3.12,3.12,28471.5
23,23,1694391780000,3.12,3.12,3.117,3.117,11359.5
24,24,1694391840000,3.117,3.119,3.113,3.115,24493.4
25,25,1694391900000,3.115,3.117,3.115,3.116,3191.5
26,26,1694391960000,3.116,3.117,3.115,3.115,2662.2
27,27,1694392020000,3.115,3.115,3.113,3.115,3798.9
28,28,1694392080000,3.114,3.114,3.109,3.111,16421.7
29,29,1694392140000,3.111,3.113,3.111,3.113,3078.7
30,30,1694392200000,3.112,3.114,3.111,3.114,8540.6
31,31,1694392260000,3.113,3.117,3.113,3.117,4327.9
32,32,1694392320000,3.117,3.119,3.116,3.117,11001.1
33,33,1694392380000,3.117,3.122,3.117,3.121,7603.3
34,34,1694392440000,3.12,3.12,3.112,3.114,83947.0
35,35,1694392500000,3.114,3.116,3.112,3.115,18535.7
36,36,1694392560000,3.115,3.115,3.108,3.108,22429.9
37,37,1694392620000,3.108,3.111,3.104,3.105,33819.7
38,38,1694392680000,3.105,3.106,3.092,3.096,130993.7
39,39,1694392740000,3.095,3.097,3.089,3.094,76036.4
40,40,1694392800000,3.095,3.102,3.091,3.101,54300.3
41,41,1694392860000,3.101,3.101,3.096,3.101,36794.9
42,42,1694392920000,3.101,3.101,3.097,3.098,18874.2
43,43,1694392980000,3.098,3.099,3.089,3.096,43443.2
44,44,1694393040000,3.096,3.098,3.093,3.096,17264.6
45,45,1694393100000,3.096,3.097,3.091,3.094,26184.2
46,46,1694393160000,3.094,3.094,3.074,3.084,124401.6
47,47,1694393220000,3.084,3.091,3.084,3.09,43696.6
48,48,1694393280000,3.089,3.092,3.088,3.091,31443.1
49,49,1694393340000,3.092,3.099,3.091,3.098,40229.7
50,50,1694393400000,3.096,3.102,3.096,3.102,24024.9
51,51,1694393460000,3.102,3.105,3.101,3.102,30484.4
52,52,1694393520000,3.101,3.108,3.101,3.107,12079.9
53,53,1694393580000,3.106,3.11,3.106,3.108,13880.6
54,54,1694393640000,3.108,3.109,3.107,3.108,5229.8
55,55,1694393700000,3.108,3.11,3.106,3.107,17390.9
56,56,1694393760000,3.107,3.107,3.104,3.104,6736.1
57,57,1694393820000,3.103,3.104,3.102,3.102,2293.2
58,58,1694393880000,3.103,3.103,3.094,3.094,27084.0
59,59,1694393940000,3.093,3.099,3.092,3.097,9018.9
60,60,1694394000000,3.097,3.1,3.096,3.099,23998.0
61,61,1694394060000,3.099,3.102,3.098,3.101,8036.6
