,index,timestamp,open,high,low,close,volume
0,0,1693872000000,0.437,0.438,0.436,0.436,56983.5
1,1,1693872060000,0.436,0.437,0.436,0.436,14222.0
2,2,1693872120000,0.436,0.437,0.436,0.436,22531.1
3,3,1693872180000,0.437,0.438,0.436,0.436,111906.0
4,4,1693872240000,0.437,0.437,0.436,0.437,84267.1
5,5,1693872300000,0.437,0.438,0.436,0.436,77845.2
6,6,1693872360000,0.437,0.438,0.436,0.437,63675.9
7,7,1693872420000,0.438,0.438,0.437,0.438,23807.8
8,8,1693872480000,0.438,0.438,0.436,0.436,36403.6
9,9,1693872540000,0.436,0.436,0.436,0.436,9240.9
10,10,1693872600000,0.436,0.437,0.436,0.436,8778.9
11,11,1693872660000,0.437,0.438,0.437,0.437,42911.7
12,12,1693872720000,0.437,0.438,0.436,0.436,60826.9
13,13,1693872780000,0.436,0.437,0.436,0.437,16421.7
14,14,1693872840000,0.436,0.437,0.436,0.436,8948.3
15,15,1693872900000,0.436,0.437,0.436,0.436,8998.6
16,16,1693872960000,0.437,0.437,0.436,0.436,11953.4
17,17,1693873020000,0.436,0.437,0.436,0.436,10737.3
18,18,1693873080000,0.437,0.437,0.436,0.436,25156.6
19,19,1693873140000,0.436,0.437,0.436,0.436,9892.3
20,20,1693873200000,0.436,0.436,0.435,0.436,56438.6
21,21,1693873260000,0.436,0.437,0.435,0.436,51897.4
22,22,1693873320000,0.436,0.437,0.436,0.436,10423.5
23,23,1693873380000,0.437,0.437,0.435,0.435,46936.4
24,24,1693873440000,0.435,0.435,0.434,0.434,28119.1
25,25,1693873500000,0.435,0.435,0.434,0.434,16308.3
26,26,1693873560000,0.434,0.435,0.434,0.434,6790.6
27,27,1693873620000,0.435,0.435,0.434,0.434,6937.1
28,28,1693873680000,0.435,0.435,0.434,0.434,40911.1
29,29,1693873740000,0.434,0.435,0.433,0.435,62288.4
30,30,1693873800000,0.435,0.435,0.433,0.433,55898.4
31,31,1693873860000,0.433,0.434,0.433,0.434,10344.1
32,32,1693873920000,0.434,0.435,0.434,0.434,68053.8
33,33,1693873980000,0.435,0.435,0.434,0.434,55182.4
34,34,1693874040000,0.435,0.435,0.434,0.434,8974.3
35,35,1693874100000,0.434,0.435,0.434,0.435,8900.2
36,36,1693874160000,0.435,0.435,0.434,0.434,6705.9
37,37,1693874220000,0.434,0.435,0.434,0.434,1873.0
38,38,1693874280000,0.434,0.435,0.434,0.434,35490.8
39,39,1693874340000,0.434,0.435,0.434,0.435,2917.9
40,40,1693874400000,0.434,0.435,0.434,0.434,3614.4
41,41,1693874460000,0.434,0.435,0.434,0.435,569.1
42,42,1693874520000,0.434,0.435,0.434,0.435,1209.2
43,43,1693874580000,0.434,0.435,0.434,0.434,3434.8
44,44,1693874640000,0.434,0.435,0.434,0.434,3649.2
45,45,1693874700000,0.434,0.434,0.433,0.433,55205.5
46,46,1693874760000,0.434,0.434,0.433,0.433,4148.2
47,47,1693874820000,0.433,0.434,0.433,0.433,62091.5
48,48,1693874880000,0.433,0.433,0.432,0.432,4769.7
49,49,1693874940000,0.432,0.433,0.432,0.433,40536.0
50,50,1693875000000,0.433,0.434,0.433,0.433,6115.9
51,51,1693875060000,0.433,0.434,0.433,0.434,1283.5
52,52,1693875120000,0.433,0.434,0.433,0.434,686.9
53,53,1693875180000,0.433,0.434,0.433,0.434,1199.9
54,54,1693875240000,0.433,0.434,0.433,0.433,11565.8
55,55,1693875300000,0.433,0.434,0.433,0.433,3070.1
56,56,1693875360000,0.433,0.434,0.433,0.433,1172.0
57,57,1693875420000,0.433,0.434,0.433,0.433,1615.4
58,58,1693875480000,0.434,0.434,0.433,0.433,3089.9
59,59,1693875540000,0.434,0.434,0.433,0.434,93285.2
60,60,1693875600000,0.435,0.435,0.434,0.435,7633.3
61,61,1693875660000,0.435,0.435,0.434,0.434,871.8
