,index,timestamp,open,high,low,close,volume
0,0,1694131200000,381.48,381.57,381.35,381.45,11.06
1,1,1694131260000,381.45,381.45,381.24,381.25,3.0
2,2,1694131320000,381.36,381.37,381.01,381.1,1.67
3,3,1694131380000,381.1,381.16,381.03,381.13,1.91
4,4,1694131440000,381.14,381.22,381.07,381.17,2.33
5,5,1694131500000,381.17,381.25,381.08,381.08,0.49
6,6,1694131560000,381.11,381.11,381.11,381.11,0.04
7,7,1694131620000,381.11,381.11,380.96,380.98,1.19
8,8,1694131680000,380.91,380.91,380.61,380.61,10.69
9,9,1694131740000,380.68,380.68,380.68,380.68,0.14
10,10,1694131800000,380.68,380.82,380.68,380.75,0.26
11,11,1694131860000,380.75,380.75,380.75,380.75,0.0
12,12,1694131920000,380.83,380.83,380.77,380.79,0.22
13,13,1694131980000,380.74,380.74,380.72,380.72,0.53
14,14,1694132040000,380.66,380.73,380.61,380.73,0.61
15,15,1694132100000,380.67,380.68,380.67,380.68,0.14
16,16,1694132160000,380.76,380.76,380.7,380.7,0.2
17,17,1694132220000,380.7,380.7,380.54,380.59,1.44
18,18,1694132280000,380.62,380.68,380.6,380.68,0.59
19,19,1694132340000,380.68,380.68,380.68,380.68,0.19
20,20,1694132400000,380.66,380.97,380.66,380.85,2.07
21,21,1694132460000,380.86,380.97,380.86,380.92,1.59
22,22,1694132520000,380.97,381.07,380.91,380.94,1.3
23,23,1694132580000,381.0,381.01,381.0,381.01,0.09
24,24,1694132640000,381.03,381.12,380.97,381.11,0.3
25,25,1694132700000,381.05,381.05,380.87,380.87,0.39
26,26,1694132760000,381.03,381.22,381.03,381.21,0.32
27,27,1694132820000,381.2,381.22,381.05,381.07,1.74
28,28,1694132880000,381.06,381.07,380.9,380.9,0.59
29,29,1694132940000,380.94,381.03,380.94,381.03,0.04
30,30,1694133000000,380.98,380.98,380.83,380.92,0.23
31,31,1694133060000,380.85,381.22,380.85,381.22,0.6
32,32,1694133120000,381.29,381.4,381.25,381.4,0.19
33,33,1694133180000,381.4,381.4,381.4,381.4,0.0
34,34,1694133240000,381.5,381.64,381.48,381.55,1.06
35,35,1694133300000,381.55,381.57,381.38,381.38,1.07
36,36,1694133360000,381.47,381.59,381.47,381.59,0.25
37,37,1694133420000,381.65,381.93,381.65,381.93,19.6
38,38,1694133480000,381.83,381.85,381.83,381.85,0.05
39,39,1694133540000,381.92,382.02,381.85,381.87,0.62
40,40,1694133600000,381.99,382.18,381.99,382.18,14.62
41,41,1694133660000,382.28,382.36,382.27,382.35,11.27
42,42,1694133720000,382.36,382.44,382.36,382.44,6.89
43,43,1694133780000,382.48,382.49,382.42,382.49,0.32
44,44,1694133840000,382.5,382.5,382.41,382.48,0.49
45,45,1694133900000,382.44,382.51,382.32,382.41,0.52
46,46,1694133960000,382.46,382.49,382.36,382.36,0.21
47,47,1694134020000,382.32,382.32,382.24,382.24,0.18
48,48,1694134080000,382.24,382.24,381.75,381.75,1.8
49,49,1694134140000,381.69,381.81,381.69,381.81,0.22
50,50,1694134200000,381.82,381.88,381.68,381.88,10.65
51,51,1694134260000,382.01,382.01,382.01,382.01,0.14
52,52,1694134320000,382.11,382.41,382.11,382.38,0.38
53,53,1694134380000,382.39,382.58,382.39,382.49,5.39
54,54,1694134440000,382.45,382.45,382.28,382.4,3.57
55,55,1694134500000,382.45,382.63,382.45,382.62,0.66
56,56,1694134560000,382.62,382.75,382.62,382.75,0.78
57,57,1694134620000,382.77,383.16,382.77,383.16,25.47
58,58,1694134680000,383.17,383.62,382.91,383.07,24.46
59,59,1694134740000,383.08,383.08,382.68,382.74,0.9
60,60,1694134800000,382.75,383.09,382.75,383.04,3.99
61,61,1694134860000,383.2,383.2,382.66,382.74,1.33
62,62,1694134920000,382.62,382.73,382.49,382.51,3.6
63,63,1694134980000,382.61,382.72,382.58,382.58,0.59
64,64,1694135040000,382.56,382.69,382.5,382.54,24.27
65,65,1694135100000,382.71,382.71,382.61,382.61,0.12
66,66,1694135160000,382.43,382.43,382.13,382.14,11.32
67,67,1694135220000,382.1,382.1,382.1,382.1,0.02
68,68,1694135280000,382.05,382.05,381.82,381.83,13.2
69,69,1694135340000,381.94,381.94,381.94,381.94,0.04
70,70,1694135400000,381.93,381.93,381.81,381.87,8.46
71,71,1694135460000,381.87,381.96,381.87,381.96,0.58
72,72,1694135520000,381.94,382.06,381.91,381.91,0.69
73,73,1694135580000,381.96,381.96,381.79,381.79,0.41
74,74,1694135640000,381.89,381.89,381.89,381.89,0.12
75,75,1694135700000,381.91,381.91,381.74,381.85,0.4
76,76,1694135760000,381.8,381.8,381.8,381.8,0.08
77,77,1694135820000,381.9,381.9,381.68,381.82,3.56
78,78,1694135880000,381.84,381.99,381.84,381.99,0.1
79,79,1694135940000,381.99,381.99,381.99,381.99,0.0
80,80,1694136000000,381.98,381.98,381.86,381.86,0.42
81,81,1694136060000,381.87,381.92,381.86,381.92,0.25
82,82,1694136120000,381.97,381.97,381.91,381.91,0.48
83,83,1694136180000,381.82,381.83,381.82,381.83,0.38
84,84,1694136240000,381.92,381.93,381.83,381.83,3.23
85,85,1694136300000,381.83,381.83,381.83,381.83,0.0
86,86,1694136360000,381.84,381.84,381.82,381.82,0.27
87,87,1694136420000,381.83,381.83,381.54,381.54,9.92
88,88,1694136480000,381.58,381.58,381.41,381.47,22.72
89,89,1694136540000,381.5,381.5,381.5,381.5,0.03
90,90,1694136600000,381.49,381.49,381.49,381.49,0.02
91,91,1694136660000,381.51,381.56,381.51,381.56,0.47
92,92,1694136720000,381.63,381.63,381.56,381.63,0.42
93,93,1694136780000,381.52,381.52,381.52,381.52,0.02
94,94,1694136840000,381.52,381.64,381.52,381.62,0.42
95,95,1694136900000,381.66,381.77,381.66,381.77,0.23
96,96,1694136960000,381.77,381.77,381.77,381.77,0.0
97,97,1694137020000,381.66,381.67,381.66,381.67,0.13
98,98,1694137080000,381.67,381.72,381.54,381.54,0.89
99,99,1694137140000,381.51,381.51,381.49,381.49,0.38
100,100,1694137200000,381.36,381.5,381.36,381.48,0.56
