,index,timestamp,open,high,low,close,volume
0,0,1693958400000,0.2019,0.2021,0.2017,0.2018,575865
1,1,1693958460000,0.2017,0.2018,0.2016,0.2017,217421
2,2,1693958520000,0.2017,0.2018,0.2016,0.2017,250292
3,3,1693958580000,0.2017,0.2018,0.2016,0.2017,145236
4,4,1693958640000,0.2017,0.2019,0.2016,0.2018,349764
5,5,1693958700000,0.2019,0.2021,0.2019,0.202,180649
6,6,1693958760000,0.202,0.2021,0.2019,0.202,51483
7,7,1693958820000,0.2021,0.2023,0.2021,0.2023,184443
8,8,1693958880000,0.2024,0.2025,0.2024,0.2024,72055
9,9,1693958940000,0.2025,0.2026,0.2025,0.2025,178422
10,10,1693959000000,0.2025,0.2026,0.2024,0.2025,108882
11,11,1693959060000,0.2025,0.2026,0.2025,0.2026,47484
12,12,1693959120000,0.2025,0.2028,0.2025,0.2026,145463
13,13,1693959180000,0.2027,0.2027,0.2025,0.2025,98066
14,14,1693959240000,0.2026,0.2026,0.2025,0.2026,4060
15,15,1693959300000,0.2026,0.2026,0.2023,0.2024,201465
16,16,1693959360000,0.2025,0.2026,0.2024,0.2025,52786
17,17,1693959420000,0.2026,0.2026,0.2024,0.2024,259006
18,18,1693959480000,0.2024,0.2025,0.2023,0.2024,47947
19,19,1693959540000,0.2024,0.2025,0.2021,0.2021,87383
20,20,1693959600000,0.2021,0.2024,0.2021,0.2024,79950
21,21,1693959660000,0.2024,0.2024,0.2022,0.2022,64818
22,22,1693959720000,0.2022,0.2023,0.2022,0.2022,3546
23,23,1693959780000,0.2022,0.2024,0.2022,0.2023,267851
24,24,1693959840000,0.2022,0.2023,0.2021,0.2022,21097
25,25,1693959900000,0.2022,0.2023,0.2018,0.2018,176067
26,26,1693959960000,0.2018,0.2018,0.2017,0.2017,22148
27,27,1693960020000,0.2017,0.2019,0.2017,0.2018,126803
28,28,1693960080000,0.2018,0.2018,0.2018,0.2018,14292
29,29,1693960140000,0.2017,0.2017,0.2016,0.2017,85535
30,30,1693960200000,0.2017,0.2018,0.2016,0.2017,195886
31,31,1693960260000,0.2017,0.2017,0.2012,0.2012,521627
32,32,1693960320000,0.2013,0.2014,0.2009,0.2011,369281
33,33,1693960380000,0.2011,0.2012,0.201,0.2012,135516
34,34,1693960440000,0.2011,0.2015,0.2011,0.2015,174388
35,35,1693960500000,0.2014,0.2015,0.2013,0.2014,252227
36,36,1693960560000,0.2014,0.2018,0.2014,0.2018,47056
37,37,1693960620000,0.2018,0.2018,0.2016,0.2017,98731
38,38,1693960680000,0.2017,0.2017,0.2015,0.2016,106085
39,39,1693960740000,0.2017,0.2018,0.2016,0.2018,73651
40,40,1693960800000,0.2017,0.2017,0.2016,0.2016,83326
41,41,1693960860000,0.2016,0.2017,0.2015,0.2017,132280
42,42,1693960920000,0.2018,0.2019,0.2017,0.2019,65412
43,43,1693960980000,0.2018,0.2018,0.2017,0.2018,41383
44,44,1693961040000,0.2017,0.2018,0.2017,0.2017,93774
45,45,1693961100000,0.2016,0.2018,0.2016,0.2018,55949
46,46,1693961160000,0.2018,0.2019,0.2016,0.2016,93050
47,47,1693961220000,0.2016,0.2016,0.2016,0.2016,43643
48,48,1693961280000,0.2017,0.2017,0.2016,0.2017,122605
49,49,1693961340000,0.2018,0.2018,0.2017,0.2018,37305
50,50,1693961400000,0.2017,0.202,0.2016,0.2018,469896
51,51,1693961460000,0.2017,0.2018,0.2016,0.2017,213804
52,52,1693961520000,0.2017,0.2017,0.2015,0.2015,47833
53,53,1693961580000,0.2015,0.2016,0.2014,0.2015,62898
54,54,1693961640000,0.2015,0.2017,0.2015,0.2016,76515
55,55,1693961700000,0.2016,0.2018,0.2016,0.2017,58989
56,56,1693961760000,0.2016,0.2016,0.2015,0.2015,48757
