,index,timestamp,open,high,low,close,volume
0,0,1694995200000,5.221,5.224,5.219,5.223,2470.5
1,1,1694995260000,5.223,5.225,5.221,5.222,383.1
2,2,1694995320000,5.222,5.222,5.22,5.22,318.5
3,3,1694995380000,5.221,5.225,5.217,5.225,505.0
4,4,1694995440000,5.222,5.222,5.221,5.222,425.2
5,5,1694995500000,5.222,5.222,5.219,5.221,113.0
6,6,1694995560000,5.222,5.223,5.222,5.223,203.2
7,7,1694995620000,5.223,5.232,5.223,5.23,2209.1
8,8,1694995680000,5.229,5.237,5.229,5.234,3489.1
9,9,1694995740000,5.235,5.236,5.235,5.235,33.4
10,10,1694995800000,5.235,5.235,5.23,5.231,1197.4
11,11,1694995860000,5.231,5.232,5.231,5.232,81.1
12,12,1694995920000,5.232,5.232,5.218,5.221,3666.6
13,13,1694995980000,5.22,5.22,5.22,5.22,51.2
14,14,1694996040000,5.219,5.223,5.219,5.223,523.9
15,15,1694996100000,5.223,5.232,5.221,5.23,773.3
16,16,1694996160000,5.23,5.23,5.227,5.229,538.5
17,17,1694996220000,5.229,5.23,5.229,5.23,269.6
18,18,1694996280000,5.229,5.229,5.228,5.229,191.1
19,19,1694996340000,5.229,5.229,5.227,5.227,424.6
20,20,1694996400000,5.225,5.225,5.224,5.224,521.3
21,21,1694996460000,5.223,5.223,5.215,5.216,278.9
22,22,1694996520000,5.215,5.217,5.214,5.214,719.0
23,23,1694996580000,5.213,5.213,5.206,5.209,4609.4
24,24,1694996640000,5.211,5.212,5.207,5.208,840.7
25,25,1694996700000,5.208,5.208,5.206,5.206,249.8
26,26,1694996760000,5.206,5.208,5.205,5.205,258.8
27,27,1694996820000,5.203,5.207,5.203,5.207,638.8
28,28,1694996880000,5.206,5.207,5.205,5.207,401.6
29,29,1694996940000,5.208,5.209,5.203,5.204,1665.1
30,30,1694997000000,5.202,5.202,5.188,5.195,3948.0
31,31,1694997060000,5.195,5.203,5.182,5.203,5489.7
32,32,1694997120000,5.204,5.206,5.2,5.201,2772.0
33,33,1694997180000,5.2,5.2,5.193,5.196,1058.8
34,34,1694997240000,5.194,5.195,5.19,5.194,2086.4
35,35,1694997300000,5.192,5.202,5.19,5.2,1723.1
36,36,1694997360000,5.198,5.198,5.189,5.189,739.1
37,37,1694997420000,5.188,5.191,5.187,5.189,873.1
38,38,1694997480000,5.19,5.19,5.185,5.19,385.3
39,39,1694997540000,5.19,5.19,5.189,5.189,267.2
40,40,1694997600000,5.188,5.19,5.185,5.185,735.7
41,41,1694997660000,5.186,5.197,5.186,5.195,1075.5
42,42,1694997720000,5.194,5.201,5.192,5.201,1262.2
43,43,1694997780000,5.201,5.217,5.201,5.215,5502.0
44,44,1694997840000,5.214,5.214,5.208,5.208,1607.8
45,45,1694997900000,5.207,5.208,5.201,5.202,234.9
46,46,1694997960000,5.2,5.204,5.199,5.2,526.2
47,47,1694998020000,5.201,5.201,5.199,5.199,282.5
48,48,1694998080000,5.199,5.208,5.199,5.208,1081.5
49,49,1694998140000,5.207,5.209,5.204,5.204,802.5
50,50,1694998200000,5.203,5.21,5.201,5.21,331.1
51,51,1694998260000,5.21,5.211,5.209,5.209,575.6
52,52,1694998320000,5.208,5.21,5.206,5.207,212.0
53,53,1694998380000,5.207,5.207,5.206,5.206,78.0
54,54,1694998440000,5.203,5.203,5.2,5.201,22.9
55,55,1694998500000,5.201,5.201,5.201,5.201,160.0
56,56,1694998560000,5.2,5.2,5.196,5.196,116.7
57,57,1694998620000,5.193,5.193,5.19,5.19,843.9
58,58,1694998680000,5.19,5.192,5.188,5.191,344.6
59,59,1694998740000,5.19,5.191,5.189,5.189,250.9
60,60,1694998800000,5.189,5.194,5.188,5.194,860.7
61,61,1694998860000,5.194,5.198,5.191,5.196,720.9
62,62,1694998920000,5.195,5.196,5.194,5.195,228.4
63,63,1694998980000,5.196,5.196,5.187,5.187,959.2
64,64,1694999040000,5.186,5.19,5.186,5.188,337.2
65,65,1694999100000,5.189,5.19,5.188,5.188,411.0
66,66,1694999160000,5.187,5.187,5.184,5.184,77.1
67,67,1694999220000,5.184,5.187,5.18,5.185,1085.3
68,68,1694999280000,5.185,5.189,5.183,5.189,234.9
69,69,1694999340000,5.188,5.193,5.188,5.193,336.4
70,70,1694999400000,5.192,5.195,5.192,5.194,212.9
71,71,1694999460000,5.194,5.202,5.194,5.202,903.6
72,72,1694999520000,5.202,5.202,5.202,5.202,0.0
73,73,1694999580000,5.203,5.206,5.203,5.206,204.0
74,74,1694999640000,5.207,5.208,5.207,5.208,290.1
75,75,1694999700000,5.209,5.212,5.206,5.21,1292.0
76,76,1694999760000,5.209,5.213,5.207,5.212,948.7
77,77,1694999820000,5.212,5.216,5.205,5.208,1403.2
78,78,1694999880000,5.207,5.209,5.206,5.206,74.4
79,79,1694999940000,5.207,5.208,5.205,5.206,390.7
80,80,1695000000000,5.204,5.204,5.202,5.202,22.9
81,81,1695000060000,5.202,5.202,5.191,5.191,344.1
82,82,1695000120000,5.192,5.192,5.188,5.189,426.1
83,83,1695000180000,5.191,5.196,5.191,5.196,530.1
84,84,1695000240000,5.195,5.196,5.195,5.196,17.8
85,85,1695000300000,5.197,5.202,5.196,5.2,524.0
86,86,1695000360000,5.201,5.208,5.201,5.203,2948.2
87,87,1695000420000,5.201,5.201,5.199,5.201,596.2
88,88,1695000480000,5.2,5.2,5.198,5.198,626.0
89,89,1695000540000,5.197,5.197,5.194,5.194,308.3
90,90,1695000600000,5.195,5.198,5.195,5.197,926.5
91,91,1695000660000,5.197,5.198,5.188,5.192,1952.3
92,92,1695000720000,5.19,5.19,5.189,5.189,124.5
93,93,1695000780000,5.189,5.191,5.187,5.187,880.7
94,94,1695000840000,5.188,5.188,5.184,5.187,618.3
95,95,1695000900000,5.187,5.188,5.187,5.188,9.1
96,96,1695000960000,5.189,5.19,5.189,5.19,225.7
97,97,1695001020000,5.19,5.192,5.19,5.192,453.3
98,98,1695001080000,5.192,5.201,5.192,5.2,1183.5
99,99,1695001140000,5.198,5.198,5.191,5.192,405.5
100,100,1695001200000,5.192,5.193,5.192,5.193,51.1
101,101,1695001260000,5.194,5.194,5.191,5.193,792.5
102,102,1695001320000,5.193,5.193,5.191,5.191,37.6
103,103,1695001380000,5.191,5.191,5.186,5.19,2346.4
104,104,1695001440000,5.191,5.193,5.191,5.191,80.1
105,105,1695001500000,5.191,5.206,5.189,5.205,3182.1
106,106,1695001560000,5.206,5.207,5.202,5.203,603.2
107,107,1695001620000,5.205,5.206,5.202,5.202,259.6
108,108,1695001680000,5.201,5.207,5.201,5.206,855.4
109,109,1695001740000,5.207,5.208,5.207,5.208,211.6
110,110,1695001800000,5.208,5.208,5.205,5.205,324.1
111,111,1695001860000,5.205,5.207,5.204,5.204,630.5
112,112,1695001920000,5.203,5.203,5.202,5.203,38.5
113,113,1695001980000,5.203,5.203,5.2,5.201,56.8
114,114,1695002040000,5.201,5.201,5.2,5.201,152.3
115,115,1695002100000,5.201,5.202,5.199,5.201,170.2
116,116,1695002160000,5.2,5.2,5.2,5.2,26.5
117,117,1695002220000,5.201,5.201,5.2,5.201,23.2
118,118,1695002280000,5.2,5.203,5.199,5.203,106.5
119,119,1695002340000,5.201,5.202,5.201,5.201,115.4
120,120,1695002400000,5.2,5.202,5.196,5.197,649.6
121,121,1695002460000,5.196,5.205,5.196,5.205,1073.8
122,122,1695002520000,5.204,5.205,5.203,5.204,110.1
123,123,1695002580000,5.205,5.207,5.204,5.204,513.5
124,124,1695002640000,5.203,5.205,5.199,5.199,1919.7
125,125,1695002700000,5.199,5.2,5.195,5.195,932.9
126,126,1695002760000,5.195,5.199,5.195,5.199,252.7
127,127,1695002820000,5.199,5.199,5.196,5.198,94.6
128,128,1695002880000,5.202,5.209,5.202,5.207,1327.5
129,129,1695002940000,5.208,5.211,5.207,5.208,1073.5
130,130,1695003000000,5.208,5.208,5.207,5.207,114.0
131,131,1695003060000,5.207,5.207,5.206,5.206,191.3
132,132,1695003120000,5.206,5.206,5.206,5.206,7.4
133,133,1695003180000,5.206,5.206,5.205,5.205,54.3
134,134,1695003240000,5.205,5.208,5.205,5.208,51.7
135,135,1695003300000,5.208,5.209,5.208,5.208,93.9
136,136,1695003360000,5.207,5.213,5.207,5.213,893.7
137,137,1695003420000,5.212,5.212,5.21,5.21,98.1
138,138,1695003480000,5.211,5.213,5.211,5.212,389.7
139,139,1695003540000,5.213,5.213,5.212,5.212,27.2
140,140,1695003600000,5.213,5.214,5.213,5.214,19.8
141,141,1695003660000,5.219,5.231,5.219,5.227,5373.8
142,142,1695003720000,5.226,5.232,5.226,5.232,217.2
143,143,1695003780000,5.234,5.256,5.233,5.247,5615.5
144,144,1695003840000,5.246,5.26,5.246,5.256,3839.5
145,145,1695003900000,5.256,5.262,5.254,5.258,596.3
146,146,1695003960000,5.258,5.262,5.257,5.261,866.5
147,147,1695004020000,5.26,5.272,5.26,5.269,1930.7
148,148,1695004080000,5.269,5.285,5.269,5.278,4421.9
149,149,1695004140000,5.28,5.285,5.275,5.28,2175.7
150,150,1695004200000,5.283,5.304,5.283,5.285,11038.0
151,151,1695004260000,5.288,5.297,5.288,5.297,2488.2
152,152,1695004320000,5.297,5.297,5.286,5.289,1370.4
153,153,1695004380000,5.288,5.288,5.279,5.284,1226.3
154,154,1695004440000,5.281,5.282,5.279,5.282,1472.4
155,155,1695004500000,5.283,5.29,5.27,5.27,1374.8
156,156,1695004560000,5.271,5.277,5.268,5.275,1039.2
