,index,timestamp,open,high,low,close,volume
0,0,1693526400000,1.1577,1.1587,1.1567,1.1567,11530
1,1,1693526460000,1.1564,1.1579,1.1563,1.157,9751
2,2,1693526520000,1.1573,1.1597,1.1573,1.1597,4645
3,3,1693526580000,1.1597,1.1606,1.1587,1.1592,5954
4,4,1693526640000,1.1592,1.1595,1.159,1.1594,2470
5,5,1693526700000,1.1593,1.1599,1.1587,1.159,9932
6,6,1693526760000,1.1591,1.1593,1.1582,1.1582,6688
7,7,1693526820000,1.1583,1.1585,1.1582,1.1583,1765
8,8,1693526880000,1.1585,1.1587,1.1581,1.1585,2663
9,9,1693526940000,1.1586,1.1595,1.1585,1.1595,4252
10,10,1693527000000,1.1595,1.1598,1.1593,1.1598,6695
11,11,1693527060000,1.1597,1.1608,1.1597,1.1601,16914
12,12,1693527120000,1.16,1.1601,1.1597,1.1597,2053
13,13,1693527180000,1.1598,1.1602,1.1598,1.1599,1891
14,14,1693527240000,1.16,1.1608,1.1597,1.1608,2018
15,15,1693527300000,1.1608,1.1608,1.1599,1.1606,3799
16,16,1693527360000,1.1605,1.1621,1.1603,1.162,6010
17,17,1693527420000,1.162,1.1633,1.162,1.1633,4097
18,18,1693527480000,1.1633,1.165,1.163,1.1631,5473
19,19,1693527540000,1.1631,1.1649,1.1631,1.1637,8886
20,20,1693527600000,1.1637,1.1646,1.1635,1.1636,7737
21,21,1693527660000,1.1636,1.1638,1.1634,1.1635,2993
22,22,1693527720000,1.1634,1.1634,1.1622,1.1625,3554
23,23,1693527780000,1.1627,1.1627,1.1623,1.1623,918
24,24,1693527840000,1.1622,1.1629,1.162,1.1627,1424
25,25,1693527900000,1.1624,1.1625,1.1606,1.1612,11050
26,26,1693527960000,1.1613,1.162,1.1613,1.1619,4101
27,27,1693528020000,1.1619,1.1631,1.1618,1.1629,3197
28,28,1693528080000,1.1624,1.1624,1.1621,1.1624,1199
29,29,1693528140000,1.1623,1.1623,1.1617,1.1618,1293
30,30,1693528200000,1.1616,1.1616,1.1587,1.1592,38604
