,index,timestamp,open,high,low,close,volume
0,0,1694822400000,0.1547,0.1553,0.1547,0.1551,1450116
1,1,1694822460000,0.1552,0.1552,0.1549,0.1549,428047
2,2,1694822520000,0.155,0.1551,0.1549,0.1549,170628
3,3,1694822580000,0.1549,0.155,0.1547,0.1548,349674
4,4,1694822640000,0.1547,0.1548,0.1547,0.1547,45166
5,5,1694822700000,0.1547,0.1547,0.1543,0.1546,510892
6,6,1694822760000,0.1547,0.1548,0.1546,0.1547,193732
7,7,1694822820000,0.1547,0.1547,0.1546,0.1547,66394
8,8,1694822880000,0.1547,0.155,0.1547,0.155,102678
9,9,1694822940000,0.1549,0.155,0.1548,0.155,224002
10,10,1694823000000,0.155,0.1551,0.1549,0.155,199307
11,11,1694823060000,0.155,0.1551,0.1549,0.1549,122903
12,12,1694823120000,0.1549,0.1549,0.1547,0.1548,256722
13,13,1694823180000,0.1549,0.1549,0.1547,0.1548,201167
14,14,1694823240000,0.1548,0.1548,0.1545,0.1547,250146
15,15,1694823300000,0.1547,0.1547,0.1544,0.1545,120911
16,16,1694823360000,0.1545,0.1546,0.1544,0.1546,121013
17,17,1694823420000,0.1546,0.1547,0.1545,0.1546,120445
18,18,1694823480000,0.1546,0.1547,0.1546,0.1547,69135
19,19,1694823540000,0.1548,0.1548,0.1547,0.1547,74731
20,20,1694823600000,0.1548,0.155,0.1548,0.1549,122017
21,21,1694823660000,0.1549,0.155,0.1548,0.1549,58852
22,22,1694823720000,0.155,0.155,0.1549,0.1549,66379
23,23,1694823780000,0.155,0.155,0.1548,0.1549,126584
24,24,1694823840000,0.155,0.155,0.1549,0.1549,72896
25,25,1694823900000,0.155,0.1551,0.1549,0.155,56927
26,26,1694823960000,0.1551,0.1551,0.1549,0.155,52445
27,27,1694824020000,0.155,0.1552,0.155,0.155,257878
28,28,1694824080000,0.1551,0.1551,0.155,0.155,18446
29,29,1694824140000,0.155,0.1551,0.1549,0.155,55896
30,30,1694824200000,0.1551,0.1553,0.1551,0.1553,116727
31,31,1694824260000,0.1554,0.1557,0.1554,0.1555,626559
32,32,1694824320000,0.1556,0.1565,0.1556,0.1562,3446171
33,33,1694824380000,0.1563,0.1563,0.1559,0.156,586310
34,34,1694824440000,0.1561,0.1561,0.1558,0.1558,171906
35,35,1694824500000,0.1559,0.1559,0.1559,0.1559,46423
36,36,1694824560000,0.1558,0.1559,0.1558,0.1558,24351
37,37,1694824620000,0.1558,0.1559,0.1557,0.1557,178418
38,38,1694824680000,0.1557,0.1559,0.1557,0.1558,345224
39,39,1694824740000,0.1558,0.156,0.1557,0.1559,210637
40,40,1694824800000,0.1559,0.156,0.1556,0.1557,423645
41,41,1694824860000,0.1557,0.1558,0.1557,0.1557,82569
42,42,1694824920000,0.1558,0.1558,0.1554,0.1554,523685
43,43,1694824980000,0.1555,0.1556,0.1555,0.1555,268463
44,44,1694825040000,0.1555,0.1557,0.1554,0.1557,260883
45,45,1694825100000,0.1557,0.1557,0.1556,0.1557,25987
46,46,1694825160000,0.1557,0.1559,0.1557,0.1558,249543
47,47,1694825220000,0.1558,0.1562,0.1556,0.1562,970087
48,48,1694825280000,0.1561,0.1562,0.156,0.156,251529
49,49,1694825340000,0.156,0.1566,0.1559,0.1565,644717
50,50,1694825400000,0.1566,0.1566,0.1564,0.1564,355764
51,51,1694825460000,0.1563,0.1564,0.1562,0.1563,208789
52,52,1694825520000,0.1563,0.1563,0.1562,0.1563,24078
53,53,1694825580000,0.1563,0.1563,0.156,0.1561,424871
54,54,1694825640000,0.1562,0.1562,0.1554,0.1554,1169850
55,55,1694825700000,0.1555,0.1556,0.1554,0.1556,138729
56,56,1694825760000,0.1556,0.1557,0.1555,0.1556,222329
