,index,timestamp,open,high,low,close,volume
0,0,1688169600000,55.74,55.85,55.71,55.81,432.54
1,1,1688169660000,55.81,55.81,55.73,55.73,215.76
2,2,1688169720000,55.74,55.85,55.74,55.84,160.9
3,3,1688169780000,55.83,55.86,55.79,55.8,162.8
4,4,1688169840000,55.8,55.86,55.8,55.84,88.99
5,5,1688169900000,55.84,55.84,55.73,55.73,151.37
6,6,1688169960000,55.75,55.87,55.75,55.87,183.03
7,7,1688170020000,55.86,55.89,55.84,55.89,82.29
8,8,1688170080000,55.89,55.91,55.83,55.86,238.61
9,9,1688170140000,55.87,55.92,55.87,55.9,116.84
10,10,1688170200000,55.91,55.93,55.87,55.92,52.33
11,11,1688170260000,55.92,55.96,55.91,55.93,93.74
12,12,1688170320000,55.92,55.94,55.86,55.86,155.92
13,13,1688170380000,55.86,55.86,55.68,55.68,91.79
14,14,1688170440000,55.68,55.72,55.67,55.72,193.05
15,15,1688170500000,55.74,55.81,55.68,55.8,151.27
16,16,1688170560000,55.81,55.81,55.74,55.74,152.51
17,17,1688170620000,55.73,55.73,55.64,55.68,182.31
18,18,1688170680000,55.68,55.68,55.66,55.67,29.34
19,19,1688170740000,55.68,55.78,55.68,55.76,74.08
20,20,1688170800000,55.77,55.79,55.71,55.71,72.86
21,21,1688170860000,55.72,55.82,55.67,55.79,191.93
22,22,1688170920000,55.79,55.84,55.75,55.82,92.61
23,23,1688170980000,55.82,55.83,55.8,55.83,220.8
24,24,1688171040000,55.83,55.89,55.83,55.87,139.73
25,25,1688171100000,55.87,55.88,55.8,55.82,80.74
26,26,1688171160000,55.79,55.88,55.76,55.87,76.87
27,27,1688171220000,55.88,55.92,55.86,55.9,136.2
28,28,1688171280000,55.89,55.98,55.89,55.96,73.73
29,29,1688171340000,55.98,56.03,55.94,55.97,314.69
30,30,1688171400000,55.97,56.01,55.94,56.0,110.06
31,31,1688171460000,56.01,56.03,55.98,56.02,137.1
32,32,1688171520000,56.03,56.03,55.95,56.03,354.71
33,33,1688171580000,56.04,56.05,56.0,56.03,74.79
34,34,1688171640000,56.02,56.12,56.01,56.01,641.71
35,35,1688171700000,56.01,56.02,55.94,56.02,176.75
36,36,1688171760000,56.01,56.01,55.99,55.99,17.41
37,37,1688171820000,55.97,55.98,55.97,55.98,32.85
38,38,1688171880000,55.98,56.09,55.98,56.08,93.84
39,39,1688171940000,56.07,56.21,56.04,56.14,1293.9
40,40,1688172000000,56.15,56.15,56.09,56.11,171.05
41,41,1688172060000,56.1,56.12,56.08,56.12,37.28
42,42,1688172120000,56.13,56.25,56.13,56.2,683.12
43,43,1688172180000,56.19,56.24,56.18,56.18,106.49
44,44,1688172240000,56.17,56.25,56.17,56.21,397.76
45,45,1688172300000,56.21,56.21,56.06,56.06,154.8
46,46,1688172360000,56.04,56.07,55.99,56.04,180.13
47,47,1688172420000,56.03,56.04,56.0,56.0,56.73
48,48,1688172480000,56.02,56.06,55.99,56.05,67.83
49,49,1688172540000,56.04,56.15,56.04,56.1,157.4
50,50,1688172600000,56.08,56.11,56.03,56.09,79.87
51,51,1688172660000,56.07,56.08,56.03,56.04,79.39
52,52,1688172720000,56.02,56.07,56.02,56.05,185.89
53,53,1688172780000,56.04,56.04,55.82,55.91,824.52
54,54,1688172840000,55.9,55.9,55.84,55.84,61.6
55,55,1688172900000,55.82,55.83,55.76,55.81,177.15
56,56,1688172960000,55.81,55.81,55.72,55.74,82.06
57,57,1688173020000,55.71,55.73,55.62,55.67,637.68
58,58,1688173080000,55.66,55.7,55.56,55.69,556.48
59,59,1688173140000,55.68,55.72,55.66,55.66,73.2
60,60,1688173200000,55.66,55.73,55.64,55.72,266.76
61,61,1688173260000,55.73,55.77,55.67,55.76,159.33
62,62,1688173320000,55.75,55.76,55.72,55.72,140.13
63,63,1688173380000,55.73,55.8,55.69,55.77,296.31
64,64,1688173440000,55.76,55.76,55.69,55.69,84.09
65,65,1688173500000,55.7,55.71,55.61,55.67,147.53
66,66,1688173560000,55.68,55.69,55.63,55.63,81.67
67,67,1688173620000,55.63,55.64,55.45,55.48,941.6
68,68,1688173680000,55.47,55.56,55.47,55.56,123.44
69,69,1688173740000,55.55,55.58,55.52,55.55,74.5
70,70,1688173800000,55.55,55.63,55.55,55.63,93.34
71,71,1688173860000,55.62,55.77,55.61,55.75,106.08
72,72,1688173920000,55.75,55.89,55.75,55.86,260.15
73,73,1688173980000,55.84,55.9,55.84,55.89,99.75
74,74,1688174040000,55.89,55.89,55.77,55.77,230.71
75,75,1688174100000,55.77,55.77,55.7,55.7,315.88
76,76,1688174160000,55.67,55.75,55.61,55.74,180.36
77,77,1688174220000,55.76,55.82,55.54,55.59,371.8
78,78,1688174280000,55.6,55.74,55.59,55.74,176.4
79,79,1688174340000,55.73,55.73,55.52,55.54,208.76
80,80,1688174400000,55.55,55.64,55.46,55.49,184.31
81,81,1688174460000,55.47,55.59,55.47,55.55,133.36
82,82,1688174520000,55.55,55.55,55.35,55.43,414.37
83,83,1688174580000,55.41,55.43,55.26,55.32,402.65
84,84,1688174640000,55.3,55.3,55.23,55.27,280.11
85,85,1688174700000,55.27,55.4,55.27,55.37,148.59
86,86,1688174760000,55.38,55.38,55.29,55.31,244.08
87,87,1688174820000,55.32,55.42,55.32,55.37,202.07
88,88,1688174880000,55.36,55.42,55.36,55.38,123.47
89,89,1688174940000,55.36,55.43,55.33,55.39,138.28
90,90,1688175000000,55.39,55.52,55.37,55.5,139.61
91,91,1688175060000,55.5,55.52,55.46,55.52,139.78
92,92,1688175120000,55.52,55.52,55.48,55.48,81.27
93,93,1688175180000,55.49,55.64,55.49,55.64,184.53
94,94,1688175240000,55.63,55.69,55.6,55.66,161.54
95,95,1688175300000,55.65,55.73,55.65,55.73,197.21
96,96,1688175360000,55.73,55.74,55.66,55.74,82.37
97,97,1688175420000,55.75,55.78,55.7,55.74,69.83
98,98,1688175480000,55.71,55.72,55.67,55.68,74.9
99,99,1688175540000,55.68,55.68,55.63,55.68,85.7
100,100,1688175600000,55.66,55.72,55.55,55.67,178.77
101,101,1688175660000,55.67,55.73,55.67,55.72,44.0
102,102,1688175720000,55.72,55.72,55.69,55.72,25.52
103,103,1688175780000,55.71,55.74,55.69,55.74,56.77
104,104,1688175840000,55.74,55.75,55.69,55.72,126.25
105,105,1688175900000,55.72,55.78,55.68,55.74,205.37
106,106,1688175960000,55.75,55.78,55.74,55.77,74.85
107,107,1688176020000,55.76,55.78,55.73,55.77,66.14
108,108,1688176080000,55.78,55.82,55.76,55.82,276.55
109,109,1688176140000,55.82,55.83,55.76,55.81,171.77
110,110,1688176200000,55.82,55.83,55.76,55.77,164.05
111,111,1688176260000,55.77,55.78,55.73,55.74,33.05
112,112,1688176320000,55.75,55.8,55.75,55.8,60.72
113,113,1688176380000,55.79,55.81,55.72,55.73,88.92
114,114,1688176440000,55.74,55.78,55.74,55.78,32.89
115,115,1688176500000,55.78,55.78,55.63,55.66,393.39
116,116,1688176560000,55.66,55.66,55.59,55.64,297.85
117,117,1688176620000,55.65,55.68,55.64,55.66,50.45
118,118,1688176680000,55.66,55.66,55.6,55.62,84.33
119,119,1688176740000,55.62,55.64,55.58,55.58,168.39
120,120,1688176800000,55.58,55.58,55.49,55.49,832.45
121,121,1688176860000,55.49,55.54,55.43,55.46,522.89
122,122,1688176920000,55.46,55.49,55.45,55.49,48.33
123,123,1688176980000,55.49,55.49,55.39,55.4,140.08
124,124,1688177040000,55.4,55.41,55.37,55.37,58.21
125,125,1688177100000,55.37,55.37,55.3,55.3,237.23
126,126,1688177160000,55.3,55.3,55.16,55.19,241.4
127,127,1688177220000,55.19,55.25,55.16,55.25,229.89
128,128,1688177280000,55.25,55.35,55.25,55.34,72.27
129,129,1688177340000,55.34,55.4,55.33,55.36,106.35
130,130,1688177400000,55.37,55.37,55.29,55.34,83.0
131,131,1688177460000,55.35,55.35,55.29,55.32,45.11
132,132,1688177520000,55.31,55.33,55.31,55.32,41.48
133,133,1688177580000,55.31,55.35,55.28,55.32,433.63
134,134,1688177640000,55.33,55.33,55.32,55.33,9.48
135,135,1688177700000,55.32,55.33,55.29,55.3,102.9
136,136,1688177760000,55.3,55.37,55.28,55.36,49.41
137,137,1688177820000,55.36,55.36,55.32,55.32,55.13
138,138,1688177880000,55.31,55.35,55.3,55.33,86.85
139,139,1688177940000,55.32,55.34,55.31,55.32,24.97
140,140,1688178000000,55.32,55.35,55.32,55.33,34.44
141,141,1688178060000,55.34,55.35,55.29,55.34,72.88
142,142,1688178120000,55.36,55.37,55.34,55.34,118.65
143,143,1688178180000,55.31,55.31,55.31,55.31,9.55
144,144,1688178240000,55.32,55.34,55.32,55.34,25.06
145,145,1688178300000,55.34,55.35,55.33,55.34,25.9
146,146,1688178360000,55.35,55.36,55.35,55.36,21.02
147,147,1688178420000,55.35,55.35,55.25,55.3,317.34
148,148,1688178480000,55.31,55.37,55.31,55.36,110.15
149,149,1688178540000,55.32,55.33,55.31,55.31,31.95
150,150,1688178600000,55.29,55.3,55.27,55.3,82.48
151,151,1688178660000,55.3,55.38,55.3,55.38,135.25
152,152,1688178720000,55.37,55.37,55.33,55.33,42.99
153,153,1688178780000,55.34,55.34,55.32,55.32,61.51
154,154,1688178840000,55.31,55.31,55.25,55.27,76.82
155,155,1688178900000,55.26,55.26,55.19,55.22,87.96
156,156,1688178960000,55.22,55.23,55.21,55.21,75.67
157,157,1688179020000,55.21,55.22,55.18,55.21,105.4
158,158,1688179080000,55.22,55.22,55.21,55.22,22.02
159,159,1688179140000,55.21,55.25,55.21,55.25,60.76
160,160,1688179200000,55.25,55.25,55.13,55.22,139.67
161,161,1688179260000,55.25,55.25,55.2,55.22,16.41
162,162,1688179320000,55.22,55.23,55.21,55.21,14.83
163,163,1688179380000,55.22,55.26,55.22,55.24,35.31
164,164,1688179440000,55.26,55.26,55.22,55.22,33.1
165,165,1688179500000,55.22,55.24,55.19,55.19,65.26
166,166,1688179560000,55.19,55.19,55.05,55.06,205.86
167,167,1688179620000,55.06,55.09,54.98,55.07,363.09
168,168,1688179680000,55.07,55.08,55.05,55.05,96.19
169,169,1688179740000,55.05,55.07,55.02,55.05,48.73
