,index,timestamp,open,high,low,close,volume
0,0,1694736000000,31.54,31.58,31.53,31.57,219.97
1,1,1694736060000,31.56,31.58,31.54,31.57,347.9
2,2,1694736120000,31.56,31.57,31.55,31.57,173.37
3,3,1694736180000,31.56,31.57,31.55,31.55,59.92
4,4,1694736240000,31.56,31.58,31.56,31.57,183.32
5,5,1694736300000,31.57,31.58,31.55,31.56,95.02
6,6,1694736360000,31.55,31.57,31.55,31.56,49.14
7,7,1694736420000,31.55,31.56,31.55,31.55,45.33
8,8,1694736480000,31.56,31.56,31.54,31.54,57.11
9,9,1694736540000,31.54,31.54,31.5,31.5,478.54
10,10,1694736600000,31.5,31.5,31.45,31.47,855.25
11,11,1694736660000,31.47,31.48,31.47,31.48,147.62
12,12,1694736720000,31.47,31.48,31.46,31.46,41.03
13,13,1694736780000,31.45,31.46,31.44,31.45,226.94
14,14,1694736840000,31.46,31.46,31.44,31.44,22.45
15,15,1694736900000,31.44,31.48,31.44,31.47,513.94
16,16,1694736960000,31.47,31.47,31.45,31.47,123.08
17,17,1694737020000,31.47,31.47,31.47,31.47,35.31
18,18,1694737080000,31.48,31.48,31.45,31.46,266.91
19,19,1694737140000,31.45,31.46,31.44,31.45,74.14
20,20,1694737200000,31.45,31.48,31.45,31.46,430.23
21,21,1694737260000,31.46,31.46,31.43,31.44,136.06
22,22,1694737320000,31.44,31.45,31.44,31.45,116.31
23,23,1694737380000,31.46,31.46,31.45,31.45,6.32
24,24,1694737440000,31.46,31.46,31.46,31.46,2.44
25,25,1694737500000,31.47,31.48,31.46,31.46,72.38
26,26,1694737560000,31.45,31.45,31.45,31.45,13.88
27,27,1694737620000,31.46,31.47,31.46,31.46,33.11
28,28,1694737680000,31.46,31.47,31.45,31.47,54.61
29,29,1694737740000,31.47,31.47,31.47,31.47,1.11
30,30,1694737800000,31.48,31.52,31.48,31.51,572.84
31,31,1694737860000,31.51,31.52,31.5,31.51,174.77
32,32,1694737920000,31.51,31.53,31.5,31.52,322.15
33,33,1694737980000,31.52,31.55,31.51,31.52,305.64
34,34,1694738040000,31.52,31.54,31.52,31.52,173.01
35,35,1694738100000,31.53,31.54,31.52,31.54,163.4
36,36,1694738160000,31.54,31.55,31.54,31.54,93.2
37,37,1694738220000,31.53,31.54,31.51,31.51,191.64
38,38,1694738280000,31.51,31.52,31.51,31.52,5.71
39,39,1694738340000,31.5,31.5,31.49,31.49,111.42
40,40,1694738400000,31.47,31.48,31.47,31.48,1.86
41,41,1694738460000,31.48,31.5,31.48,31.5,33.14
42,42,1694738520000,31.5,31.5,31.5,31.5,1.56
43,43,1694738580000,31.5,31.5,31.5,31.5,4.01
44,44,1694738640000,31.5,31.5,31.5,31.5,0.0
45,45,1694738700000,31.5,31.52,31.5,31.51,59.43
46,46,1694738760000,31.5,31.5,31.49,31.49,227.98
47,47,1694738820000,31.48,31.48,31.48,31.48,0.24
48,48,1694738880000,31.49,31.51,31.49,31.51,97.57
49,49,1694738940000,31.52,31.52,31.5,31.5,21.66
50,50,1694739000000,31.49,31.5,31.49,31.5,6.79
51,51,1694739060000,31.5,31.51,31.49,31.49,46.36
52,52,1694739120000,31.49,31.5,31.49,31.5,50.52
53,53,1694739180000,31.49,31.5,31.49,31.5,29.43
54,54,1694739240000,31.48,31.48,31.48,31.48,27.71
55,55,1694739300000,31.47,31.48,31.47,31.48,11.77
56,56,1694739360000,31.48,31.49,31.47,31.48,114.02
57,57,1694739420000,31.47,31.48,31.44,31.45,290.57
58,58,1694739480000,31.45,31.45,31.4,31.4,116.64
59,59,1694739540000,31.41,31.44,31.41,31.43,56.97
60,60,1694739600000,31.44,31.47,31.43,31.46,73.02
61,61,1694739660000,31.47,31.49,31.46,31.49,151.04
62,62,1694739720000,31.48,31.51,31.48,31.51,66.99
63,63,1694739780000,31.5,31.51,31.47,31.48,102.74
64,64,1694739840000,31.48,31.48,31.45,31.45,116.8
65,65,1694739900000,31.44,31.44,31.42,31.42,227.86
66,66,1694739960000,31.41,31.41,31.36,31.37,696.33
67,67,1694740020000,31.37,31.37,31.34,31.35,483.92
68,68,1694740080000,31.36,31.37,31.36,31.36,97.23
69,69,1694740140000,31.37,31.39,31.37,31.39,76.68
70,70,1694740200000,31.39,31.4,31.38,31.39,80.98
71,71,1694740260000,31.39,31.39,31.38,31.39,14.92
