,index,timestamp,open,high,low,close,volume
0,0,1694390400000,0.08335,0.08355,0.08331,0.0835,546067
1,1,1694390460000,0.08349,0.08349,0.08334,0.08335,319644
2,2,1694390520000,0.08334,0.08343,0.08334,0.0834,76455
3,3,1694390580000,0.08341,0.08345,0.08341,0.08343,47925
4,4,1694390640000,0.08341,0.08341,0.08339,0.08339,51464
5,5,1694390700000,0.08339,0.08344,0.08339,0.08343,108911
6,6,1694390760000,0.08343,0.08347,0.0834,0.08342,58358
7,7,1694390820000,0.08341,0.08341,0.08335,0.08337,38655
8,8,1694390880000,0.08337,0.08343,0.08336,0.08342,63621
9,9,1694390940000,0.08343,0.08347,0.08343,0.08343,23291
10,10,1694391000000,0.08344,0.08352,0.08344,0.08351,77036
11,11,1694391060000,0.08351,0.08353,0.0835,0.08351,42267
12,12,1694391120000,0.08352,0.08355,0.08352,0.08355,34856
13,13,1694391180000,0.08354,0.08383,0.08354,0.08369,351696
14,14,1694391240000,0.08369,0.08372,0.08368,0.08371,100323
15,15,1694391300000,0.08371,0.08373,0.08365,0.08369,129800
16,16,1694391360000,0.0837,0.08374,0.08369,0.0837,62455
17,17,1694391420000,0.08369,0.08372,0.08369,0.08371,21302
18,18,1694391480000,0.0837,0.08379,0.0837,0.08377,76320
19,19,1694391540000,0.08374,0.08379,0.08369,0.08369,128445
20,20,1694391600000,0.0837,0.08384,0.08369,0.08382,108020
21,21,1694391660000,0.08382,0.08387,0.08368,0.08368,180254
22,22,1694391720000,0.08366,0.08371,0.08361,0.08367,218008
23,23,1694391780000,0.08366,0.08366,0.08355,0.08363,185251
24,24,1694391840000,0.08364,0.08364,0.08353,0.08356,38751
25,25,1694391900000,0.08356,0.08364,0.08352,0.08357,157043
26,26,1694391960000,0.08356,0.08356,0.08352,0.08352,41663
27,27,1694392020000,0.08351,0.08351,0.0834,0.08347,123467
28,28,1694392080000,0.08347,0.08347,0.0833,0.08333,138555
29,29,1694392140000,0.08336,0.08346,0.08334,0.08344,138660
30,30,1694392200000,0.08343,0.0835,0.08341,0.08347,60660
31,31,1694392260000,0.08346,0.08357,0.08343,0.08346,258688
32,32,1694392320000,0.08347,0.08349,0.08341,0.08344,141946
33,33,1694392380000,0.08346,0.08353,0.08342,0.08347,198750
34,34,1694392440000,0.08347,0.08347,0.08331,0.08331,332204
35,35,1694392500000,0.08332,0.08337,0.0832,0.08333,253336
36,36,1694392560000,0.08333,0.08334,0.08313,0.08314,288257
37,37,1694392620000,0.08313,0.08322,0.08305,0.08305,323334
38,38,1694392680000,0.08304,0.08306,0.08271,0.08278,1123520
39,39,1694392740000,0.08279,0.08286,0.08268,0.08283,694578
40,40,1694392800000,0.08285,0.08294,0.08271,0.08291,419554
41,41,1694392860000,0.08292,0.08302,0.0828,0.0829,397871
42,42,1694392920000,0.08291,0.08291,0.08277,0.08284,336114
43,43,1694392980000,0.08282,0.08285,0.08257,0.08279,593471
44,44,1694393040000,0.08279,0.08281,0.08269,0.08277,149236
45,45,1694393100000,0.08279,0.08282,0.08261,0.08274,292205
46,46,1694393160000,0.08274,0.08274,0.08228,0.0825,1006644
47,47,1694393220000,0.08253,0.08281,0.08249,0.08278,650459
48,48,1694393280000,0.08277,0.08281,0.08272,0.08273,162931
49,49,1694393340000,0.08273,0.08288,0.08273,0.08283,114268
50,50,1694393400000,0.08285,0.083,0.08284,0.083,198082
51,51,1694393460000,0.08301,0.08312,0.08294,0.08295,202548
52,52,1694393520000,0.08293,0.0831,0.08291,0.08308,113171
53,53,1694393580000,0.08307,0.08314,0.08303,0.08313,164710
54,54,1694393640000,0.08312,0.08321,0.0831,0.08319,64857
55,55,1694393700000,0.08317,0.08326,0.08312,0.08322,82500
56,56,1694393760000,0.08321,0.08321,0.08306,0.08307,81043
57,57,1694393820000,0.08307,0.08309,0.08303,0.08307,82630
58,58,1694393880000,0.08307,0.08307,0.08283,0.08283,165672
59,59,1694393940000,0.08283,0.08295,0.0828,0.08291,151524
60,60,1694394000000,0.0829,0.08299,0.0828,0.08295,305075
61,61,1694394060000,0.08296,0.083,0.08286,0.08297,316430
62,62,1694394120000,0.08299,0.08299,0.08287,0.08295,173564
63,63,1694394180000,0.08296,0.08309,0.08293,0.08307,124591
64,64,1694394240000,0.08307,0.08316,0.08305,0.08315,115365
65,65,1694394300000,0.08315,0.08315,0.08297,0.08297,150863
66,66,1694394360000,0.08297,0.08299,0.08288,0.08288,162020
67,67,1694394420000,0.08287,0.0829,0.08284,0.08285,113032
68,68,1694394480000,0.08284,0.08284,0.08273,0.08282,163898
69,69,1694394540000,0.08281,0.08281,0.08269,0.08269,136736
70,70,1694394600000,0.08268,0.08286,0.08266,0.08285,210441
71,71,1694394660000,0.08288,0.08293,0.08286,0.08286,106552
