,index,timestamp,open,high,low,close,volume
0,0,1694908800000,0.926,0.927,0.925,0.925,14687.6
1,1,1694908860000,0.925,0.926,0.923,0.924,18325.3
2,2,1694908920000,0.923,0.924,0.923,0.923,1702.9
3,3,1694908980000,0.923,0.924,0.923,0.923,2372.6
4,4,1694909040000,0.923,0.923,0.921,0.922,5579.6
5,5,1694909100000,0.922,0.922,0.921,0.922,6871.3
6,6,1694909160000,0.922,0.922,0.922,0.922,6319.6
7,7,1694909220000,0.921,0.921,0.921,0.921,2628.5
8,8,1694909280000,0.92,0.921,0.919,0.92,13506.3
9,9,1694909340000,0.92,0.92,0.919,0.919,5890.4
10,10,1694909400000,0.918,0.919,0.915,0.917,88623.5
11,11,1694909460000,0.917,0.918,0.916,0.916,16919.8
12,12,1694909520000,0.917,0.917,0.915,0.916,11020.4
13,13,1694909580000,0.917,0.917,0.914,0.915,15422.4
14,14,1694909640000,0.914,0.915,0.914,0.915,14914.3
15,15,1694909700000,0.914,0.915,0.911,0.911,31434.8
16,16,1694909760000,0.911,0.915,0.91,0.914,81148.9
17,17,1694909820000,0.914,0.915,0.914,0.914,7674.8
18,18,1694909880000,0.915,0.915,0.914,0.914,13195.1
19,19,1694909940000,0.914,0.915,0.914,0.914,4636.9
20,20,1694910000000,0.915,0.915,0.913,0.914,21462.6
21,21,1694910060000,0.914,0.916,0.914,0.916,12989.8
22,22,1694910120000,0.915,0.916,0.914,0.914,10871.2
23,23,1694910180000,0.914,0.915,0.914,0.915,7885.5
24,24,1694910240000,0.915,0.915,0.914,0.914,274.4
25,25,1694910300000,0.915,0.916,0.915,0.915,5070.3
26,26,1694910360000,0.915,0.916,0.914,0.914,8794.5
27,27,1694910420000,0.914,0.914,0.911,0.911,35871.0
28,28,1694910480000,0.911,0.913,0.91,0.91,10519.0
29,29,1694910540000,0.91,0.912,0.91,0.912,29515.1
30,30,1694910600000,0.912,0.912,0.911,0.912,18473.1
31,31,1694910660000,0.911,0.912,0.91,0.911,27017.7
32,32,1694910720000,0.911,0.912,0.911,0.911,87.4
33,33,1694910780000,0.911,0.913,0.91,0.912,21024.1
34,34,1694910840000,0.911,0.912,0.911,0.911,3715.8
35,35,1694910900000,0.912,0.913,0.911,0.913,23414.7
36,36,1694910960000,0.913,0.913,0.913,0.913,21153.1
37,37,1694911020000,0.913,0.913,0.912,0.912,6108.8
38,38,1694911080000,0.913,0.913,0.911,0.911,21921.9
39,39,1694911140000,0.911,0.911,0.91,0.91,1727.7
