,index,timestamp,open,high,low,close,volume
0,0,1694131200000,0.04997,0.05,0.04993,0.04998,1621344
1,1,1694131260000,0.04999,0.05004,0.04999,0.05001,1052932
2,2,1694131320000,0.05002,0.05002,0.04989,0.04991,1173900
3,3,1694131380000,0.04991,0.04994,0.04987,0.04989,802151
4,4,1694131440000,0.0499,0.04991,0.04983,0.04983,464836
5,5,1694131500000,0.04984,0.0499,0.04983,0.04988,878492
6,6,1694131560000,0.04988,0.04988,0.04985,0.04987,425321
7,7,1694131620000,0.04987,0.0499,0.04985,0.04985,643142
8,8,1694131680000,0.04984,0.04985,0.04981,0.04984,376607
9,9,1694131740000,0.04983,0.04984,0.04981,0.04983,173368
10,10,1694131800000,0.04984,0.04993,0.04984,0.04993,542944
11,11,1694131860000,0.04994,0.04995,0.04991,0.04991,174658
12,12,1694131920000,0.04991,0.04992,0.04991,0.04992,155859
13,13,1694131980000,0.04992,0.05,0.04992,0.04998,1258348
14,14,1694132040000,0.04998,0.05001,0.04993,0.05001,1066703
15,15,1694132100000,0.05001,0.05001,0.04998,0.05,211585
16,16,1694132160000,0.05,0.05,0.04996,0.04998,319592
17,17,1694132220000,0.04998,0.05002,0.04996,0.04999,550042
18,18,1694132280000,0.05,0.05008,0.05,0.05006,440203
19,19,1694132340000,0.05007,0.0501,0.05006,0.0501,549383
20,20,1694132400000,0.0501,0.05016,0.05009,0.05015,1589440
21,21,1694132460000,0.05015,0.05018,0.05015,0.05016,294358
22,22,1694132520000,0.05016,0.05018,0.05007,0.05007,1025042
23,23,1694132580000,0.05008,0.05009,0.05,0.05001,956649
24,24,1694132640000,0.05002,0.05003,0.05002,0.05003,320690
25,25,1694132700000,0.05003,0.05003,0.04999,0.05,520572
26,26,1694132760000,0.05001,0.05009,0.05001,0.05009,1042755
27,27,1694132820000,0.0501,0.0501,0.05002,0.05005,901232
28,28,1694132880000,0.05006,0.05006,0.05003,0.05005,233506
29,29,1694132940000,0.05006,0.05012,0.05006,0.05012,647438
30,30,1694133000000,0.05013,0.05014,0.05012,0.05012,457069
31,31,1694133060000,0.05013,0.05014,0.0501,0.05013,633237
32,32,1694133120000,0.05014,0.05015,0.05008,0.05009,524881
33,33,1694133180000,0.0501,0.0501,0.05009,0.0501,148277
34,34,1694133240000,0.0501,0.05012,0.0501,0.05011,771217
35,35,1694133300000,0.05012,0.05016,0.05011,0.05015,340058
36,36,1694133360000,0.05015,0.05018,0.05013,0.05014,729597
37,37,1694133420000,0.05015,0.05024,0.05015,0.05022,1702853
38,38,1694133480000,0.05022,0.05025,0.05021,0.05022,236763
39,39,1694133540000,0.05022,0.05025,0.05018,0.05019,649904
40,40,1694133600000,0.0502,0.05024,0.05019,0.05023,164473
41,41,1694133660000,0.05024,0.05033,0.05024,0.05032,1487683
42,42,1694133720000,0.05033,0.05036,0.05031,0.05035,448238
43,43,1694133780000,0.05035,0.05036,0.0503,0.05035,807431
44,44,1694133840000,0.05035,0.0504,0.05033,0.05033,573117
45,45,1694133900000,0.05033,0.05036,0.05033,0.05035,261677
46,46,1694133960000,0.05035,0.05039,0.05029,0.0503,1743013
47,47,1694134020000,0.05031,0.05031,0.05029,0.05031,129785
48,48,1694134080000,0.05031,0.05034,0.05029,0.05031,312432
49,49,1694134140000,0.05032,0.05032,0.05022,0.05023,591178
50,50,1694134200000,0.05024,0.0503,0.05023,0.05029,955830
51,51,1694134260000,0.0503,0.0503,0.05028,0.0503,174656
52,52,1694134320000,0.05031,0.05038,0.05028,0.05029,712057
53,53,1694134380000,0.05029,0.05033,0.05028,0.05032,818153
54,54,1694134440000,0.05032,0.05036,0.05032,0.05034,419456
55,55,1694134500000,0.05034,0.05034,0.05022,0.0503,3068860
56,56,1694134560000,0.0503,0.05039,0.0503,0.05038,674292
57,57,1694134620000,0.05039,0.05047,0.05039,0.05046,806559
58,58,1694134680000,0.05046,0.05048,0.05034,0.05038,1680998
59,59,1694134740000,0.05038,0.05039,0.0503,0.05034,1080554
60,60,1694134800000,0.05034,0.05039,0.05033,0.05038,915200
61,61,1694134860000,0.05038,0.05041,0.05032,0.05036,827304
62,62,1694134920000,0.05036,0.05036,0.05032,0.05032,265505
63,63,1694134980000,0.05031,0.05036,0.05031,0.05035,589597
64,64,1694135040000,0.05036,0.05037,0.05035,0.05036,637265
65,65,1694135100000,0.05035,0.05035,0.05013,0.05016,1511705
66,66,1694135160000,0.05015,0.0502,0.05013,0.05015,1670214
67,67,1694135220000,0.05015,0.0502,0.05015,0.05015,1473922
68,68,1694135280000,0.05015,0.05016,0.0501,0.05016,654797
69,69,1694135340000,0.05016,0.05021,0.05015,0.05021,563502
70,70,1694135400000,0.0502,0.05022,0.05018,0.05018,591643
71,71,1694135460000,0.05017,0.05021,0.05017,0.05019,573584
