,index,timestamp,open,high,low,close,volume
0,0,1694044800000,0.346,0.3461,0.3458,0.3458,10804
1,1,1694044860000,0.3457,0.3457,0.3447,0.3454,85176
2,2,1694044920000,0.3455,0.3458,0.3454,0.3457,5377
3,3,1694044980000,0.3457,0.3457,0.3452,0.3452,3215
4,4,1694045040000,0.3452,0.3452,0.345,0.345,1587
5,5,1694045100000,0.345,0.3451,0.3448,0.3448,20592
6,6,1694045160000,0.3448,0.3449,0.3448,0.3448,299
7,7,1694045220000,0.3449,0.3449,0.3448,0.3448,75
8,8,1694045280000,0.3448,0.3452,0.3448,0.3452,10132
9,9,1694045340000,0.3452,0.3454,0.3449,0.3454,5917
10,10,1694045400000,0.3454,0.3454,0.3451,0.3451,3155
11,11,1694045460000,0.3451,0.3455,0.3451,0.3454,2026
12,12,1694045520000,0.3455,0.3456,0.3455,0.3456,586
13,13,1694045580000,0.3457,0.3457,0.3452,0.3452,3999
14,14,1694045640000,0.3452,0.3453,0.3443,0.3444,60948
15,15,1694045700000,0.3444,0.345,0.3443,0.3449,20172
16,16,1694045760000,0.3448,0.3448,0.3448,0.3448,130
17,17,1694045820000,0.3447,0.3447,0.3444,0.3444,2974
18,18,1694045880000,0.3445,0.3445,0.3445,0.3445,74
19,19,1694045940000,0.3445,0.3445,0.3442,0.3443,1112
20,20,1694046000000,0.3444,0.3445,0.3436,0.3436,13255
21,21,1694046060000,0.3435,0.3437,0.3434,0.3437,15203
22,22,1694046120000,0.3437,0.3438,0.3437,0.3437,129
23,23,1694046180000,0.3438,0.3442,0.3438,0.344,25343
24,24,1694046240000,0.344,0.344,0.3437,0.3438,11645
25,25,1694046300000,0.3438,0.3443,0.3437,0.3438,10340
26,26,1694046360000,0.3438,0.3443,0.3437,0.3441,7483
27,27,1694046420000,0.344,0.344,0.3437,0.3437,2499
28,28,1694046480000,0.3437,0.3438,0.3437,0.3437,340
29,29,1694046540000,0.3437,0.3441,0.3437,0.3441,735
30,30,1694046600000,0.344,0.3443,0.344,0.3443,4618
31,31,1694046660000,0.3444,0.3444,0.3439,0.3439,33000
32,32,1694046720000,0.3439,0.344,0.3438,0.344,4194
33,33,1694046780000,0.3439,0.344,0.3436,0.3437,22420
34,34,1694046840000,0.3438,0.344,0.3438,0.3439,3064
35,35,1694046900000,0.344,0.3443,0.344,0.3443,3353
36,36,1694046960000,0.3443,0.3443,0.344,0.344,3745
37,37,1694047020000,0.3441,0.3442,0.344,0.344,1430
38,38,1694047080000,0.3439,0.3441,0.3439,0.3441,3071
39,39,1694047140000,0.3442,0.3443,0.3439,0.3439,5591
40,40,1694047200000,0.3439,0.3442,0.3439,0.3439,1566
41,41,1694047260000,0.3439,0.3439,0.3438,0.3438,1741
42,42,1694047320000,0.3438,0.3438,0.3437,0.3437,3419
43,43,1694047380000,0.3437,0.3437,0.3437,0.3437,9598
44,44,1694047440000,0.3438,0.3439,0.3437,0.3437,4496
45,45,1694047500000,0.3437,0.3437,0.3436,0.3436,6368
46,46,1694047560000,0.3437,0.3439,0.3437,0.3439,12121
47,47,1694047620000,0.344,0.344,0.3439,0.3439,860
48,48,1694047680000,0.344,0.344,0.344,0.344,1051
49,49,1694047740000,0.344,0.3442,0.344,0.3442,12242
50,50,1694047800000,0.3441,0.3441,0.3439,0.3439,5292
51,51,1694047860000,0.3438,0.3438,0.3433,0.3435,24443
52,52,1694047920000,0.3435,0.3435,0.343,0.3432,31644
53,53,1694047980000,0.3431,0.3431,0.3429,0.343,13995
54,54,1694048040000,0.343,0.3434,0.343,0.3433,12216
55,55,1694048100000,0.3434,0.3434,0.3432,0.3432,1058
56,56,1694048160000,0.3432,0.3432,0.3429,0.343,11560
57,57,1694048220000,0.3429,0.3433,0.3429,0.3432,8536
58,58,1694048280000,0.3433,0.3434,0.3433,0.3433,10654
59,59,1694048340000,0.3434,0.3435,0.3433,0.3434,11412
60,60,1694048400000,0.3434,0.3439,0.3434,0.3437,4004
61,61,1694048460000,0.3437,0.3437,0.3436,0.3437,805
62,62,1694048520000,0.3436,0.3437,0.3434,0.3434,2934
63,63,1694048580000,0.3433,0.3433,0.3432,0.3432,5836
64,64,1694048640000,0.3432,0.3432,0.343,0.343,10064
65,65,1694048700000,0.3431,0.3432,0.3431,0.3431,13685
66,66,1694048760000,0.3431,0.3431,0.343,0.343,10626
67,67,1694048820000,0.343,0.3432,0.343,0.3432,9367
68,68,1694048880000,0.3432,0.3433,0.3432,0.3433,4547
69,69,1694048940000,0.3434,0.3434,0.3434,0.3434,336
70,70,1694049000000,0.3435,0.3436,0.3434,0.3436,2891
71,71,1694049060000,0.3436,0.3436,0.3432,0.3432,18744
72,72,1694049120000,0.3431,0.3431,0.3428,0.3428,9603
73,73,1694049180000,0.3427,0.3433,0.3427,0.3433,23320
74,74,1694049240000,0.3431,0.3433,0.343,0.3432,14108
75,75,1694049300000,0.3432,0.3435,0.3432,0.3433,32724
76,76,1694049360000,0.3433,0.3434,0.3428,0.3431,22243
77,77,1694049420000,0.3431,0.3432,0.3429,0.3432,2035
78,78,1694049480000,0.3431,0.3435,0.3431,0.3433,2092
79,79,1694049540000,0.3433,0.3433,0.3433,0.3433,3277
80,80,1694049600000,0.3433,0.3433,0.3432,0.3432,1018
81,81,1694049660000,0.3431,0.3431,0.3427,0.3427,8952
82,82,1694049720000,0.3427,0.3427,0.3425,0.3425,12623
83,83,1694049780000,0.3426,0.3429,0.3426,0.3429,14743
84,84,1694049840000,0.3428,0.3429,0.3428,0.3428,2490
85,85,1694049900000,0.3429,0.3431,0.3425,0.3425,12262
86,86,1694049960000,0.3426,0.3431,0.3426,0.3428,12031
87,87,1694050020000,0.3429,0.3429,0.3427,0.3427,2891
88,88,1694050080000,0.3428,0.3428,0.3425,0.3425,1459
89,89,1694050140000,0.3425,0.3425,0.3422,0.3423,7165
90,90,1694050200000,0.3423,0.3425,0.3422,0.3422,13489
91,91,1694050260000,0.3422,0.3427,0.3422,0.3426,11691
92,92,1694050320000,0.3424,0.3424,0.3419,0.3419,58522
93,93,1694050380000,0.3419,0.342,0.3418,0.3419,11415
