,index,timestamp,open,high,low,close,volume
0,0,1694649600000,1.279,1.282,1.279,1.28,16107.8
1,1,1694649660000,1.28,1.282,1.28,1.282,11682.3
2,2,1694649720000,1.281,1.284,1.281,1.284,15740.2
3,3,1694649780000,1.283,1.283,1.281,1.282,3396.6
4,4,1694649840000,1.281,1.282,1.281,1.282,5322.0
5,5,1694649900000,1.283,1.287,1.283,1.287,34314.9
6,6,1694649960000,1.287,1.289,1.286,1.289,33009.7
7,7,1694650020000,1.288,1.289,1.284,1.286,33389.5
8,8,1694650080000,1.287,1.287,1.284,1.287,17530.0
9,9,1694650140000,1.287,1.29,1.286,1.289,21602.1
10,10,1694650200000,1.29,1.292,1.29,1.29,31700.6
11,11,1694650260000,1.29,1.291,1.29,1.291,9892.9
12,12,1694650320000,1.291,1.291,1.29,1.29,17663.3
13,13,1694650380000,1.29,1.291,1.289,1.291,12135.2
14,14,1694650440000,1.291,1.298,1.291,1.297,49112.2
15,15,1694650500000,1.296,1.296,1.294,1.295,42143.1
16,16,1694650560000,1.295,1.296,1.293,1.295,10768.9
17,17,1694650620000,1.295,1.296,1.294,1.295,4458.6
18,18,1694650680000,1.295,1.295,1.291,1.291,17240.9
19,19,1694650740000,1.292,1.293,1.29,1.292,26035.3
20,20,1694650800000,1.292,1.293,1.287,1.289,14795.9
21,21,1694650860000,1.288,1.29,1.288,1.29,5791.9
22,22,1694650920000,1.29,1.293,1.29,1.291,22697.1
23,23,1694650980000,1.29,1.292,1.289,1.29,12368.4
24,24,1694651040000,1.291,1.292,1.289,1.291,7188.0
25,25,1694651100000,1.291,1.291,1.287,1.287,18482.9
26,26,1694651160000,1.288,1.288,1.287,1.288,4695.7
27,27,1694651220000,1.287,1.288,1.286,1.287,9362.5
28,28,1694651280000,1.287,1.289,1.287,1.289,14515.7
29,29,1694651340000,1.289,1.29,1.288,1.289,5305.7
30,30,1694651400000,1.289,1.292,1.289,1.29,9959.2
31,31,1694651460000,1.29,1.29,1.288,1.289,6737.8
32,32,1694651520000,1.29,1.292,1.29,1.292,3120.4
33,33,1694651580000,1.292,1.293,1.291,1.293,2204.0
34,34,1694651640000,1.292,1.297,1.291,1.296,34485.3
35,35,1694651700000,1.295,1.296,1.294,1.295,12889.2
36,36,1694651760000,1.295,1.299,1.295,1.299,8876.7
37,37,1694651820000,1.298,1.299,1.298,1.298,16331.0
38,38,1694651880000,1.297,1.298,1.297,1.298,3761.4
39,39,1694651940000,1.298,1.298,1.296,1.297,7553.7
40,40,1694652000000,1.298,1.299,1.297,1.298,13746.9
41,41,1694652060000,1.298,1.298,1.297,1.297,18558.0
42,42,1694652120000,1.296,1.297,1.294,1.295,15146.9
43,43,1694652180000,1.296,1.296,1.293,1.293,11920.1
44,44,1694652240000,1.294,1.294,1.293,1.294,3756.9
45,45,1694652300000,1.293,1.294,1.292,1.293,6749.8
46,46,1694652360000,1.293,1.296,1.293,1.296,9048.7
47,47,1694652420000,1.296,1.298,1.295,1.296,37654.7
48,48,1694652480000,1.296,1.299,1.296,1.296,33131.7
49,49,1694652540000,1.296,1.296,1.294,1.294,8898.1
50,50,1694652600000,1.295,1.296,1.295,1.296,6130.3
51,51,1694652660000,1.297,1.297,1.292,1.295,29276.8
52,52,1694652720000,1.295,1.298,1.293,1.297,36743.2
53,53,1694652780000,1.297,1.298,1.296,1.298,18816.3
54,54,1694652840000,1.298,1.303,1.296,1.302,87606.7
55,55,1694652900000,1.301,1.301,1.298,1.3,18232.8
56,56,1694652960000,1.299,1.3,1.299,1.3,18572.2
57,57,1694653020000,1.299,1.3,1.298,1.299,10767.9
58,58,1694653080000,1.299,1.3,1.298,1.298,9188.5
59,59,1694653140000,1.298,1.3,1.297,1.3,21176.3
60,60,1694653200000,1.299,1.3,1.297,1.297,27951.6
61,61,1694653260000,1.297,1.299,1.296,1.299,27868.7
62,62,1694653320000,1.299,1.299,1.296,1.296,10363.6
63,63,1694653380000,1.297,1.298,1.296,1.297,9560.8
64,64,1694653440000,1.297,1.299,1.296,1.298,10883.4
65,65,1694653500000,1.299,1.299,1.296,1.297,22668.2
66,66,1694653560000,1.297,1.298,1.296,1.297,17644.3
67,67,1694653620000,1.297,1.297,1.293,1.295,32891.6
68,68,1694653680000,1.295,1.296,1.295,1.295,14868.0
69,69,1694653740000,1.295,1.296,1.295,1.295,11328.7
70,70,1694653800000,1.295,1.296,1.291,1.291,22726.6
71,71,1694653860000,1.291,1.294,1.291,1.294,22882.7
72,72,1694653920000,1.294,1.295,1.293,1.294,11426.9
73,73,1694653980000,1.295,1.295,1.295,1.295,2475.5
74,74,1694654040000,1.295,1.295,1.293,1.295,21797.2
75,75,1694654100000,1.295,1.295,1.292,1.292,9971.5
76,76,1694654160000,1.291,1.294,1.291,1.292,8462.5
77,77,1694654220000,1.292,1.295,1.292,1.295,15291.7
78,78,1694654280000,1.294,1.294,1.289,1.29,32966.1
79,79,1694654340000,1.29,1.291,1.289,1.291,9221.9
80,80,1694654400000,1.29,1.29,1.286,1.287,19423.8
81,81,1694654460000,1.287,1.291,1.287,1.288,35513.6
82,82,1694654520000,1.289,1.29,1.289,1.29,17613.1
83,83,1694654580000,1.289,1.289,1.282,1.284,135149.6
84,84,1694654640000,1.284,1.285,1.282,1.283,15018.1
85,85,1694654700000,1.283,1.284,1.282,1.284,39236.2
86,86,1694654760000,1.284,1.285,1.283,1.284,11141.9
87,87,1694654820000,1.285,1.287,1.285,1.287,8934.2
88,88,1694654880000,1.287,1.288,1.287,1.288,4318.0
89,89,1694654940000,1.288,1.29,1.287,1.288,20821.3
90,90,1694655000000,1.288,1.288,1.287,1.287,10740.4
91,91,1694655060000,1.288,1.29,1.288,1.29,5618.5
92,92,1694655120000,1.29,1.293,1.289,1.293,20243.4
93,93,1694655180000,1.292,1.292,1.291,1.291,9597.9
94,94,1694655240000,1.291,1.291,1.289,1.291,18675.5
95,95,1694655300000,1.291,1.291,1.291,1.291,6085.1
96,96,1694655360000,1.291,1.291,1.29,1.291,1011.5
97,97,1694655420000,1.291,1.291,1.291,1.291,2217.9
98,98,1694655480000,1.291,1.291,1.289,1.289,4434.7
99,99,1694655540000,1.288,1.29,1.288,1.289,6948.3
100,100,1694655600000,1.289,1.289,1.288,1.289,4465.3
101,101,1694655660000,1.288,1.288,1.287,1.287,14022.5
102,102,1694655720000,1.288,1.289,1.288,1.288,2962.2
103,103,1694655780000,1.288,1.289,1.287,1.288,18426.3
104,104,1694655840000,1.288,1.289,1.288,1.289,82.7
105,105,1694655900000,1.288,1.288,1.288,1.288,5779.6
106,106,1694655960000,1.288,1.288,1.285,1.285,10256.7
107,107,1694656020000,1.285,1.286,1.285,1.286,7200.6
108,108,1694656080000,1.286,1.287,1.285,1.285,5125.9
109,109,1694656140000,1.286,1.286,1.284,1.284,2646.4
110,110,1694656200000,1.285,1.285,1.284,1.285,4964.4
111,111,1694656260000,1.284,1.286,1.284,1.286,2915.5
112,112,1694656320000,1.286,1.287,1.286,1.287,12088.0
113,113,1694656380000,1.288,1.288,1.287,1.287,697.5
114,114,1694656440000,1.288,1.289,1.288,1.289,1748.2
115,115,1694656500000,1.289,1.289,1.287,1.288,7079.3
116,116,1694656560000,1.288,1.288,1.285,1.286,8780.8
117,117,1694656620000,1.286,1.287,1.286,1.287,6581.4
118,118,1694656680000,1.286,1.286,1.285,1.285,2402.0
119,119,1694656740000,1.286,1.287,1.286,1.286,1943.9
120,120,1694656800000,1.286,1.289,1.286,1.288,11385.1
121,121,1694656860000,1.288,1.289,1.286,1.288,10286.0
122,122,1694656920000,1.289,1.289,1.288,1.288,675.2
123,123,1694656980000,1.288,1.288,1.286,1.286,4278.2
124,124,1694657040000,1.286,1.288,1.286,1.288,5973.9
125,125,1694657100000,1.288,1.289,1.288,1.289,255.7
126,126,1694657160000,1.289,1.29,1.288,1.289,14746.3
127,127,1694657220000,1.289,1.293,1.289,1.293,15972.8
128,128,1694657280000,1.293,1.293,1.292,1.293,3370.1
129,129,1694657340000,1.293,1.294,1.293,1.294,4297.0
130,130,1694657400000,1.294,1.295,1.294,1.295,5278.6
131,131,1694657460000,1.295,1.295,1.294,1.295,11652.3
132,132,1694657520000,1.294,1.295,1.294,1.295,864.6
133,133,1694657580000,1.294,1.294,1.291,1.291,23833.4
134,134,1694657640000,1.291,1.291,1.29,1.291,21312.8
135,135,1694657700000,1.29,1.29,1.288,1.29,36297.6
136,136,1694657760000,1.289,1.29,1.289,1.29,388.4
137,137,1694657820000,1.29,1.29,1.288,1.289,3104.3
138,138,1694657880000,1.289,1.289,1.288,1.289,2298.7
139,139,1694657940000,1.288,1.289,1.287,1.288,3594.4
140,140,1694658000000,1.288,1.289,1.287,1.288,3688.7
141,141,1694658060000,1.287,1.288,1.286,1.287,4232.1
142,142,1694658120000,1.286,1.287,1.285,1.287,5413.1
143,143,1694658180000,1.286,1.286,1.285,1.286,2673.3
144,144,1694658240000,1.286,1.286,1.285,1.285,3850.2
