,index,timestamp,open,high,low,close,volume
0,0,1693526400000,0.7448,0.7448,0.7428,0.7432,50657.7
1,1,1693526460000,0.7433,0.744,0.7429,0.7434,26443.5
2,2,1693526520000,0.7436,0.745,0.7436,0.7448,13770.2
3,3,1693526580000,0.7448,0.745,0.744,0.7443,16382.0
4,4,1693526640000,0.7445,0.745,0.7443,0.7447,10108.9
5,5,1693526700000,0.7447,0.7453,0.7447,0.7452,9212.1
6,6,1693526760000,0.7451,0.7452,0.7442,0.7442,13305.9
7,7,1693526820000,0.7442,0.7449,0.7441,0.7448,28033.7
8,8,1693526880000,0.7447,0.7447,0.7442,0.7445,3212.7
9,9,1693526940000,0.7446,0.7452,0.7446,0.7452,3554.7
10,10,1693527000000,0.7451,0.7453,0.7446,0.7451,11876.3
11,11,1693527060000,0.745,0.745,0.7446,0.7446,4456.2
12,12,1693527120000,0.7445,0.7448,0.7444,0.7448,3819.2
13,13,1693527180000,0.7448,0.7453,0.7448,0.7453,4816.7
14,14,1693527240000,0.7452,0.7457,0.7451,0.7457,9462.4
15,15,1693527300000,0.7458,0.7459,0.7453,0.7455,3976.5
16,16,1693527360000,0.7455,0.7463,0.7451,0.7463,9514.3
17,17,1693527420000,0.7464,0.747,0.7461,0.7467,12870.4
18,18,1693527480000,0.7468,0.7477,0.7465,0.7467,14907.4
19,19,1693527540000,0.7467,0.7469,0.7467,0.7469,10595.1
20,20,1693527600000,0.747,0.7479,0.747,0.7474,11307.7
21,21,1693527660000,0.7475,0.7479,0.7473,0.7474,6633.7
22,22,1693527720000,0.7476,0.7476,0.7467,0.7469,6398.3
23,23,1693527780000,0.747,0.7475,0.747,0.747,13150.4
24,24,1693527840000,0.7469,0.7475,0.7469,0.7474,11042.1
25,25,1693527900000,0.7474,0.7475,0.7464,0.7464,8226.9
26,26,1693527960000,0.7463,0.7466,0.7462,0.7466,14035.8
27,27,1693528020000,0.7466,0.7468,0.7465,0.7468,2607.2
28,28,1693528080000,0.7469,0.747,0.7464,0.7466,6200.6
29,29,1693528140000,0.7466,0.7466,0.7466,0.7466,470.8
30,30,1693528200000,0.7465,0.7466,0.7463,0.7464,12160.9
31,31,1693528260000,0.7465,0.747,0.7465,0.7468,2707.0
32,32,1693528320000,0.7468,0.7473,0.7467,0.7473,12451.8
33,33,1693528380000,0.7472,0.7472,0.7467,0.7472,3399.4
34,34,1693528440000,0.7472,0.7472,0.7463,0.7464,7022.7
35,35,1693528500000,0.7464,0.7464,0.7456,0.7456,10332.4
36,36,1693528560000,0.7456,0.7457,0.7452,0.7454,8315.9
37,37,1693528620000,0.7454,0.7461,0.7454,0.7461,11575.8
38,38,1693528680000,0.7461,0.7463,0.7461,0.7463,1020.5
39,39,1693528740000,0.7463,0.7467,0.7462,0.7466,8163.6
40,40,1693528800000,0.7465,0.7475,0.7465,0.7468,18490.1
41,41,1693528860000,0.7467,0.7488,0.7466,0.7482,21536.4
42,42,1693528920000,0.7482,0.7484,0.748,0.748,6522.8
43,43,1693528980000,0.7478,0.7482,0.7473,0.7477,11779.2
44,44,1693529040000,0.7477,0.748,0.7476,0.7477,15368.8
45,45,1693529100000,0.7477,0.7479,0.7475,0.7479,8076.7
