,index,timestamp,open,high,low,close,volume
0,0,1694995200000,2.926,2.928,2.921,2.923,8477
1,1,1694995260000,2.923,2.926,2.922,2.925,3823
2,2,1694995320000,2.924,2.924,2.922,2.922,1283
3,3,1694995380000,2.923,2.924,2.922,2.924,2371
4,4,1694995440000,2.925,2.926,2.923,2.925,7291
5,5,1694995500000,2.924,2.924,2.921,2.921,4219
6,6,1694995560000,2.921,2.922,2.92,2.922,5593
7,7,1694995620000,2.922,2.924,2.92,2.923,3879
8,8,1694995680000,2.923,2.93,2.921,2.928,7493
9,9,1694995740000,2.929,2.93,2.929,2.929,294
10,10,1694995800000,2.929,2.93,2.927,2.929,5554
11,11,1694995860000,2.93,2.931,2.926,2.926,1746
12,12,1694995920000,2.926,2.926,2.924,2.924,1220
13,13,1694995980000,2.925,2.926,2.925,2.926,1153
14,14,1694996040000,2.926,2.927,2.926,2.927,1424
15,15,1694996100000,2.927,2.931,2.926,2.929,4024
16,16,1694996160000,2.928,2.93,2.926,2.93,2103
17,17,1694996220000,2.93,2.932,2.929,2.93,7641
18,18,1694996280000,2.93,2.932,2.929,2.931,3287
19,19,1694996340000,2.931,2.934,2.931,2.931,6413
20,20,1694996400000,2.931,2.931,2.93,2.93,765
21,21,1694996460000,2.93,2.93,2.924,2.924,5478
22,22,1694996520000,2.925,2.927,2.925,2.925,3110
23,23,1694996580000,2.925,2.925,2.923,2.924,3688
24,24,1694996640000,2.924,2.924,2.92,2.921,6998
25,25,1694996700000,2.922,2.922,2.918,2.918,3024
26,26,1694996760000,2.919,2.919,2.917,2.918,959
27,27,1694996820000,2.918,2.918,2.916,2.918,1566
28,28,1694996880000,2.918,2.919,2.916,2.918,1253
29,29,1694996940000,2.917,2.917,2.914,2.914,2087
30,30,1694997000000,2.913,2.913,2.901,2.904,18890
31,31,1694997060000,2.905,2.915,2.893,2.915,30234
32,32,1694997120000,2.914,2.914,2.906,2.907,11310
33,33,1694997180000,2.906,2.906,2.9,2.904,12146
34,34,1694997240000,2.904,2.904,2.899,2.901,8191
35,35,1694997300000,2.9,2.904,2.898,2.904,4078
36,36,1694997360000,2.904,2.904,2.898,2.899,3624
37,37,1694997420000,2.899,2.902,2.896,2.901,7568
38,38,1694997480000,2.9,2.902,2.898,2.902,2759
39,39,1694997540000,2.902,2.902,2.9,2.901,1007
40,40,1694997600000,2.901,2.901,2.899,2.9,2459
41,41,1694997660000,2.9,2.907,2.899,2.906,2800
42,42,1694997720000,2.907,2.911,2.906,2.91,3256
43,43,1694997780000,2.909,2.918,2.909,2.918,3985
44,44,1694997840000,2.917,2.917,2.913,2.913,1439
45,45,1694997900000,2.913,2.913,2.909,2.909,4550
46,46,1694997960000,2.908,2.908,2.904,2.906,4019
47,47,1694998020000,2.906,2.911,2.906,2.911,5004
48,48,1694998080000,2.911,2.917,2.911,2.916,1771
49,49,1694998140000,2.916,2.916,2.913,2.914,1809
50,50,1694998200000,2.914,2.919,2.914,2.918,1475
51,51,1694998260000,2.918,2.919,2.916,2.916,1936
52,52,1694998320000,2.917,2.918,2.913,2.913,1655
53,53,1694998380000,2.914,2.915,2.912,2.912,3936
54,54,1694998440000,2.912,2.914,2.912,2.914,308
55,55,1694998500000,2.913,2.914,2.913,2.913,711
56,56,1694998560000,2.913,2.913,2.909,2.91,2364
57,57,1694998620000,2.911,2.911,2.909,2.909,1631
58,58,1694998680000,2.909,2.911,2.908,2.909,695
59,59,1694998740000,2.909,2.91,2.907,2.91,1866
60,60,1694998800000,2.909,2.91,2.906,2.91,1738
61,61,1694998860000,2.91,2.914,2.907,2.913,2586
62,62,1694998920000,2.913,2.917,2.913,2.916,5182
63,63,1694998980000,2.917,2.918,2.914,2.914,2480
64,64,1694999040000,2.915,2.915,2.914,2.915,863
65,65,1694999100000,2.914,2.915,2.912,2.913,1089
66,66,1694999160000,2.912,2.912,2.911,2.912,974
67,67,1694999220000,2.911,2.911,2.908,2.911,2886
68,68,1694999280000,2.911,2.915,2.911,2.915,3464
69,69,1694999340000,2.916,2.917,2.914,2.915,1791
70,70,1694999400000,2.916,2.921,2.916,2.919,9911
71,71,1694999460000,2.919,2.922,2.919,2.922,1071
