,index,timestamp,open,high,low,close,volume
0,0,1690848000000,0.2202,0.2202,0.2196,0.2196,130708
1,1,1690848060000,0.2197,0.2197,0.2194,0.2196,41076
2,2,1690848120000,0.2195,0.2197,0.2195,0.2197,29453
3,3,1690848180000,0.2197,0.2198,0.2196,0.2196,38901
4,4,1690848240000,0.2196,0.2197,0.2193,0.2195,69611
5,5,1690848300000,0.2195,0.2195,0.2188,0.2189,159945
6,6,1690848360000,0.219,0.2191,0.2189,0.219,33507
7,7,1690848420000,0.219,0.219,0.2188,0.2188,27611
8,8,1690848480000,0.2189,0.2189,0.2187,0.2189,40918
9,9,1690848540000,0.2189,0.2189,0.2187,0.2189,23884
10,10,1690848600000,0.2188,0.2193,0.2188,0.2191,88943
11,11,1690848660000,0.219,0.2191,0.2187,0.2188,96091
12,12,1690848720000,0.2187,0.2189,0.2187,0.2188,3643
13,13,1690848780000,0.2189,0.219,0.2187,0.2188,46375
14,14,1690848840000,0.2188,0.2189,0.2188,0.2188,22255
15,15,1690848900000,0.2188,0.2192,0.2188,0.2192,27039
16,16,1690848960000,0.2193,0.2193,0.2192,0.2192,13365
17,17,1690849020000,0.2193,0.2194,0.2192,0.2192,24341
18,18,1690849080000,0.2193,0.2194,0.2192,0.2193,37304
19,19,1690849140000,0.2192,0.2193,0.219,0.2192,13318
20,20,1690849200000,0.2192,0.2196,0.2192,0.2196,23163
21,21,1690849260000,0.2197,0.2199,0.2196,0.2198,85575
22,22,1690849320000,0.2198,0.2198,0.2197,0.2197,6781
23,23,1690849380000,0.2197,0.2199,0.2197,0.2197,18015
24,24,1690849440000,0.2197,0.2197,0.2195,0.2196,9494
25,25,1690849500000,0.2196,0.2198,0.2196,0.2198,12110
26,26,1690849560000,0.2198,0.2198,0.2197,0.2197,5929
27,27,1690849620000,0.2197,0.2197,0.2196,0.2197,8435
28,28,1690849680000,0.2197,0.2197,0.2194,0.2196,20158
29,29,1690849740000,0.2196,0.2198,0.2196,0.2197,24668
30,30,1690849800000,0.2196,0.2198,0.2195,0.2198,103613
31,31,1690849860000,0.2198,0.2198,0.2197,0.2197,20944
32,32,1690849920000,0.2197,0.2198,0.2197,0.2198,32556
33,33,1690849980000,0.2198,0.2198,0.2197,0.2197,16578
34,34,1690850040000,0.2197,0.2197,0.2197,0.2197,2375
35,35,1690850100000,0.2198,0.2198,0.2197,0.2197,17202
36,36,1690850160000,0.2198,0.2199,0.2198,0.2198,23390
37,37,1690850220000,0.2198,0.2198,0.2197,0.2198,357
38,38,1690850280000,0.2197,0.2197,0.2196,0.2197,24709
39,39,1690850340000,0.2197,0.2199,0.2197,0.2199,14577
40,40,1690850400000,0.22,0.22,0.2199,0.22,18286
41,41,1690850460000,0.2199,0.2201,0.2199,0.2201,18444
42,42,1690850520000,0.2201,0.2201,0.2199,0.22,33475
