,index,timestamp,open,high,low,close,volume
0,0,1693612800000,0.1585,0.1585,0.1584,0.1585,59331
1,1,1693612860000,0.1584,0.1585,0.1583,0.1585,53266
2,2,1693612920000,0.1584,0.1585,0.1584,0.1585,6475
3,3,1693612980000,0.1586,0.1586,0.1585,0.1586,6479
4,4,1693613040000,0.1585,0.1586,0.1585,0.1586,4205
5,5,1693613100000,0.1585,0.1585,0.1584,0.1584,14464
6,6,1693613160000,0.1583,0.1586,0.1583,0.1586,18072
7,7,1693613220000,0.1585,0.1585,0.1585,0.1585,41
8,8,1693613280000,0.1585,0.1585,0.1585,0.1585,765
9,9,1693613340000,0.1586,0.1587,0.1586,0.1587,33031
10,10,1693613400000,0.1586,0.1587,0.1586,0.1586,8726
11,11,1693613460000,0.1587,0.1587,0.1586,0.1586,542
12,12,1693613520000,0.1587,0.1587,0.1587,0.1587,538
13,13,1693613580000,0.1587,0.1587,0.1587,0.1587,3084
14,14,1693613640000,0.1587,0.1588,0.1587,0.1588,558
15,15,1693613700000,0.1587,0.1587,0.1586,0.1586,19412
16,16,1693613760000,0.1587,0.1589,0.1587,0.1587,45629
17,17,1693613820000,0.1587,0.1587,0.1586,0.1586,10943
18,18,1693613880000,0.1587,0.1587,0.1587,0.1587,2733
19,19,1693613940000,0.1588,0.1589,0.1588,0.1589,11311
20,20,1693614000000,0.1589,0.1589,0.1588,0.1588,3597
21,21,1693614060000,0.1588,0.1588,0.1588,0.1588,357
22,22,1693614120000,0.1588,0.159,0.1588,0.1589,6608
23,23,1693614180000,0.159,0.159,0.159,0.159,13818
24,24,1693614240000,0.1591,0.1592,0.159,0.1591,36963
25,25,1693614300000,0.159,0.159,0.1587,0.1587,30805
26,26,1693614360000,0.1588,0.1589,0.1588,0.1588,8482
27,27,1693614420000,0.1589,0.1589,0.1588,0.1588,2394
28,28,1693614480000,0.1589,0.1589,0.1588,0.1588,995
29,29,1693614540000,0.1588,0.1589,0.1588,0.1589,5809
30,30,1693614600000,0.1589,0.159,0.1589,0.1589,9143
31,31,1693614660000,0.1589,0.1589,0.1588,0.1588,7164
32,32,1693614720000,0.1588,0.1588,0.1588,0.1588,304
33,33,1693614780000,0.1588,0.1588,0.1587,0.1587,7377
34,34,1693614840000,0.1588,0.1588,0.1587,0.1587,42739
35,35,1693614900000,0.1588,0.1588,0.1587,0.1587,26476
36,36,1693614960000,0.1587,0.1588,0.1586,0.1588,8236
37,37,1693615020000,0.1588,0.1588,0.1587,0.1587,4869
38,38,1693615080000,0.1587,0.1589,0.1587,0.1589,10305
39,39,1693615140000,0.1589,0.159,0.1589,0.159,6764
40,40,1693615200000,0.1589,0.1589,0.1588,0.1588,28253
41,41,1693615260000,0.1588,0.1588,0.1586,0.1586,44123
42,42,1693615320000,0.1585,0.1587,0.1585,0.1587,15229
43,43,1693615380000,0.1586,0.1586,0.1585,0.1586,10957
44,44,1693615440000,0.1586,0.1586,0.1585,0.1585,1158
45,45,1693615500000,0.1585,0.1585,0.1583,0.1583,12075
46,46,1693615560000,0.1584,0.1584,0.1583,0.1583,1098
47,47,1693615620000,0.1583,0.1584,0.1582,0.1582,29153
48,48,1693615680000,0.1583,0.1583,0.1581,0.1581,11772
49,49,1693615740000,0.1581,0.1582,0.1579,0.158,25098
50,50,1693615800000,0.158,0.158,0.1579,0.1579,16162
51,51,1693615860000,0.1578,0.158,0.1578,0.1579,18308
52,52,1693615920000,0.158,0.158,0.1579,0.1579,3436
53,53,1693615980000,0.1579,0.1579,0.1578,0.1579,12432
54,54,1693616040000,0.1579,0.1579,0.1579,0.1579,180
55,55,1693616100000,0.158,0.158,0.1579,0.1579,5847
56,56,1693616160000,0.1579,0.1579,0.1579,0.1579,192
57,57,1693616220000,0.1579,0.158,0.1579,0.1579,4678
58,58,1693616280000,0.1579,0.158,0.1579,0.1579,1801
