,index,timestamp,open,high,low,close,volume
0,0,1694217600000,0.04682,0.04682,0.04677,0.04678,181362
1,1,1694217660000,0.04679,0.04682,0.04677,0.04681,233127
2,2,1694217720000,0.04682,0.04689,0.04681,0.04688,151823
3,3,1694217780000,0.04689,0.04693,0.04687,0.04693,110868
4,4,1694217840000,0.04693,0.04696,0.04693,0.04696,91513
5,5,1694217900000,0.04696,0.04697,0.04695,0.04697,23842
6,6,1694217960000,0.04696,0.04701,0.04696,0.04701,122761
7,7,1694218020000,0.047,0.047,0.04696,0.04698,226301
8,8,1694218080000,0.04697,0.04698,0.04686,0.0469,326527
9,9,1694218140000,0.0469,0.04692,0.0469,0.0469,35283
10,10,1694218200000,0.0469,0.04694,0.0469,0.04692,51022
11,11,1694218260000,0.04693,0.04693,0.04692,0.04693,18326
12,12,1694218320000,0.04693,0.04693,0.04688,0.04688,54721
13,13,1694218380000,0.04688,0.04691,0.04687,0.04691,33414
14,14,1694218440000,0.04691,0.04692,0.04691,0.04691,6779
15,15,1694218500000,0.04691,0.04692,0.0469,0.04692,9765
16,16,1694218560000,0.04692,0.04692,0.04691,0.04691,9245
17,17,1694218620000,0.04691,0.04696,0.04691,0.04693,73993
18,18,1694218680000,0.04693,0.04696,0.04693,0.04696,20844
19,19,1694218740000,0.04696,0.04699,0.04695,0.04699,15285
20,20,1694218800000,0.04698,0.047,0.04698,0.04698,74349
21,21,1694218860000,0.047,0.04702,0.047,0.04702,51956
22,22,1694218920000,0.04702,0.04704,0.04702,0.04703,35642
23,23,1694218980000,0.04703,0.04707,0.04703,0.04707,68622
24,24,1694219040000,0.04706,0.04708,0.04705,0.04705,72317
25,25,1694219100000,0.04705,0.04708,0.04705,0.04706,85262
26,26,1694219160000,0.04707,0.04707,0.04706,0.04706,637
27,27,1694219220000,0.04707,0.04707,0.04704,0.04706,58428
28,28,1694219280000,0.04706,0.04707,0.04706,0.04706,14177
29,29,1694219340000,0.04706,0.04706,0.04703,0.04703,90145
30,30,1694219400000,0.04703,0.04706,0.04702,0.04705,38451
31,31,1694219460000,0.04705,0.04709,0.04705,0.04709,175127
32,32,1694219520000,0.04709,0.0471,0.04708,0.0471,26600
33,33,1694219580000,0.0471,0.04714,0.04709,0.04714,64641
34,34,1694219640000,0.04713,0.04715,0.04712,0.04714,189376
35,35,1694219700000,0.04714,0.04715,0.04714,0.04714,23747
36,36,1694219760000,0.04714,0.04716,0.04712,0.04716,79872
37,37,1694219820000,0.04713,0.04714,0.04711,0.04714,73886
38,38,1694219880000,0.04714,0.04717,0.04713,0.04714,85940
39,39,1694219940000,0.04716,0.04719,0.04716,0.04717,161534
40,40,1694220000000,0.04717,0.04718,0.04703,0.04703,98212
41,41,1694220060000,0.04704,0.04704,0.04693,0.04695,259971
42,42,1694220120000,0.04696,0.04705,0.04696,0.04703,153450
43,43,1694220180000,0.04701,0.04706,0.04701,0.04704,29015
44,44,1694220240000,0.04704,0.04704,0.04693,0.04693,147054
45,45,1694220300000,0.04694,0.04705,0.04693,0.04705,111374
46,46,1694220360000,0.04704,0.04707,0.04704,0.04706,26836
47,47,1694220420000,0.04707,0.04711,0.04706,0.04708,19831
48,48,1694220480000,0.0471,0.04714,0.0471,0.04713,44536
49,49,1694220540000,0.04712,0.04712,0.0471,0.04711,27412
50,50,1694220600000,0.04712,0.04712,0.04706,0.04711,55205
51,51,1694220660000,0.04708,0.04712,0.04707,0.0471,45721
52,52,1694220720000,0.0471,0.04718,0.0471,0.04714,38710
53,53,1694220780000,0.04714,0.04715,0.04711,0.04714,56063
54,54,1694220840000,0.04712,0.04714,0.04708,0.04713,156521
55,55,1694220900000,0.04713,0.04713,0.04698,0.04698,136288
56,56,1694220960000,0.04698,0.04703,0.04697,0.04702,112723
57,57,1694221020000,0.04703,0.04703,0.04692,0.04692,206525
58,58,1694221080000,0.04694,0.04696,0.04686,0.04689,186968
59,59,1694221140000,0.04689,0.0469,0.04687,0.0469,16679
60,60,1694221200000,0.0469,0.04691,0.04683,0.04684,138255
61,61,1694221260000,0.04684,0.04691,0.04684,0.04687,81065
62,62,1694221320000,0.04688,0.04688,0.04683,0.04684,109360
63,63,1694221380000,0.04684,0.04687,0.04684,0.04687,41310
64,64,1694221440000,0.04686,0.04687,0.04684,0.04686,66545
65,65,1694221500000,0.04687,0.0469,0.04687,0.04689,49178
66,66,1694221560000,0.04688,0.04688,0.04685,0.04688,104294
67,67,1694221620000,0.04688,0.04693,0.04688,0.04693,50401
68,68,1694221680000,0.04692,0.04692,0.04689,0.04691,12689
69,69,1694221740000,0.04691,0.04693,0.04689,0.04693,23071
70,70,1694221800000,0.04691,0.04695,0.0469,0.04693,20062
71,71,1694221860000,0.04693,0.04696,0.04693,0.04694,36369
72,72,1694221920000,0.04694,0.04694,0.04693,0.04694,23668
73,73,1694221980000,0.04694,0.04694,0.04691,0.04692,30178
74,74,1694222040000,0.04692,0.04692,0.04691,0.04691,4884
75,75,1694222100000,0.04692,0.04693,0.04687,0.04688,225208
76,76,1694222160000,0.04688,0.04691,0.04688,0.0469,40155
77,77,1694222220000,0.0469,0.0469,0.0469,0.0469,913
78,78,1694222280000,0.04691,0.04693,0.04691,0.04692,47296
79,79,1694222340000,0.04692,0.04692,0.0469,0.04691,7386
80,80,1694222400000,0.04691,0.04691,0.04687,0.04687,54603
81,81,1694222460000,0.04688,0.04689,0.04686,0.04686,13766
82,82,1694222520000,0.04687,0.04687,0.0468,0.0468,156801
83,83,1694222580000,0.0468,0.04682,0.04677,0.04682,102794
84,84,1694222640000,0.04682,0.04682,0.04681,0.04681,1635
85,85,1694222700000,0.04682,0.04682,0.04678,0.04679,11126
86,86,1694222760000,0.04679,0.04684,0.04678,0.04684,69618
87,87,1694222820000,0.04684,0.04684,0.0468,0.0468,30603
88,88,1694222880000,0.0468,0.0468,0.04677,0.04678,82885
89,89,1694222940000,0.04678,0.04678,0.04677,0.04677,22784
90,90,1694223000000,0.04678,0.04681,0.04677,0.04678,73299
91,91,1694223060000,0.04679,0.04679,0.04675,0.04675,56066
92,92,1694223120000,0.04675,0.04676,0.04674,0.04674,69208
93,93,1694223180000,0.04674,0.04674,0.0467,0.0467,134041
94,94,1694223240000,0.04671,0.04678,0.04671,0.04673,209534
95,95,1694223300000,0.04672,0.04672,0.0467,0.0467,149910
