,index,timestamp,open,high,low,close,volume
0,0,1694390400000,0.216,0.2164,0.2157,0.2163,253974
1,1,1694390460000,0.2163,0.2164,0.2161,0.2163,100142
2,2,1694390520000,0.2162,0.2164,0.2161,0.2164,146359
3,3,1694390580000,0.2163,0.2165,0.2163,0.2165,42244
4,4,1694390640000,0.2164,0.2165,0.2163,0.2165,127567
5,5,1694390700000,0.2166,0.2166,0.2159,0.2159,136767
6,6,1694390760000,0.2159,0.2161,0.2158,0.216,128053
7,7,1694390820000,0.2159,0.2159,0.2155,0.2157,65413
8,8,1694390880000,0.2157,0.2161,0.2156,0.216,89797
9,9,1694390940000,0.216,0.2161,0.216,0.216,14801
10,10,1694391000000,0.2161,0.2165,0.2161,0.2165,68447
11,11,1694391060000,0.2165,0.2172,0.2165,0.2171,133333
12,12,1694391120000,0.2171,0.2175,0.2171,0.2174,163370
13,13,1694391180000,0.2174,0.2179,0.2172,0.2176,244971
14,14,1694391240000,0.2176,0.2178,0.2176,0.2176,117810
15,15,1694391300000,0.2176,0.2176,0.2174,0.2175,42139
16,16,1694391360000,0.2175,0.2175,0.2173,0.2174,175091
17,17,1694391420000,0.2175,0.2175,0.2173,0.2173,50470
18,18,1694391480000,0.2174,0.2175,0.2173,0.2173,60031
19,19,1694391540000,0.2173,0.2174,0.2172,0.2173,30165
20,20,1694391600000,0.2173,0.218,0.2172,0.2179,182309
21,21,1694391660000,0.2179,0.2182,0.217,0.217,435033
22,22,1694391720000,0.217,0.2178,0.2168,0.2174,443316
23,23,1694391780000,0.2175,0.218,0.2173,0.2179,288794
24,24,1694391840000,0.218,0.218,0.2175,0.2176,185439
25,25,1694391900000,0.2176,0.2177,0.2175,0.2176,92479
26,26,1694391960000,0.2176,0.2176,0.2172,0.2172,202666
27,27,1694392020000,0.2172,0.2172,0.2169,0.2171,88830
28,28,1694392080000,0.2171,0.2171,0.2162,0.2167,420494
29,29,1694392140000,0.2167,0.2169,0.2166,0.2168,121077
30,30,1694392200000,0.2168,0.217,0.2166,0.2167,64479
31,31,1694392260000,0.2168,0.2178,0.2168,0.2177,199527
32,32,1694392320000,0.2177,0.218,0.2175,0.2177,199711
33,33,1694392380000,0.2177,0.218,0.2177,0.2178,98805
34,34,1694392440000,0.2178,0.218,0.2176,0.2176,123622
35,35,1694392500000,0.2176,0.2176,0.217,0.2174,200922
36,36,1694392560000,0.2175,0.2175,0.2166,0.2166,145115
37,37,1694392620000,0.2166,0.2169,0.2163,0.2163,187043
38,38,1694392680000,0.2163,0.2168,0.2156,0.2159,477611
39,39,1694392740000,0.2159,0.2161,0.2154,0.216,385301
40,40,1694392800000,0.2161,0.2164,0.2159,0.2163,232967
41,41,1694392860000,0.2164,0.2164,0.2157,0.2162,246021
42,42,1694392920000,0.2161,0.2161,0.2157,0.2159,99804
43,43,1694392980000,0.2159,0.2159,0.2152,0.2158,305274
44,44,1694393040000,0.2159,0.216,0.2157,0.2159,147848
45,45,1694393100000,0.2158,0.2159,0.2154,0.2156,190736
46,46,1694393160000,0.2157,0.2157,0.2138,0.2146,819625
47,47,1694393220000,0.2146,0.2154,0.2145,0.2153,268566
48,48,1694393280000,0.2152,0.2155,0.2151,0.2152,148506
49,49,1694393340000,0.2153,0.2159,0.2152,0.2159,190576
50,50,1694393400000,0.216,0.2165,0.2159,0.2165,191287
51,51,1694393460000,0.2166,0.2168,0.2161,0.2162,190821
52,52,1694393520000,0.2162,0.2175,0.2162,0.2175,379456
53,53,1694393580000,0.2174,0.2179,0.2173,0.2176,383929
54,54,1694393640000,0.2176,0.2177,0.2174,0.2176,144005
55,55,1694393700000,0.2176,0.2181,0.2175,0.218,211661
56,56,1694393760000,0.218,0.2181,0.2178,0.2178,212203
57,57,1694393820000,0.2178,0.2178,0.2174,0.2175,191158
58,58,1694393880000,0.2176,0.2176,0.2165,0.2165,251645
59,59,1694393940000,0.2166,0.217,0.2165,0.217,126311
60,60,1694394000000,0.217,0.2172,0.2166,0.2169,195133
61,61,1694394060000,0.2168,0.2175,0.2167,0.2175,199734
62,62,1694394120000,0.2175,0.218,0.2173,0.2177,270184
63,63,1694394180000,0.2176,0.2182,0.2176,0.218,143236
64,64,1694394240000,0.218,0.2186,0.2179,0.2185,268151
65,65,1694394300000,0.2186,0.219,0.2179,0.2179,706750
66,66,1694394360000,0.218,0.2181,0.2177,0.2179,132877
67,67,1694394420000,0.2178,0.2178,0.2171,0.2172,194496
68,68,1694394480000,0.2171,0.2175,0.2171,0.2172,236870
69,69,1694394540000,0.2171,0.2171,0.2167,0.2168,198750
70,70,1694394600000,0.2167,0.2172,0.2165,0.2171,171022
71,71,1694394660000,0.2172,0.2174,0.217,0.217,70782
72,72,1694394720000,0.217,0.217,0.2167,0.2168,138130
73,73,1694394780000,0.2167,0.2169,0.2165,0.2169,173633
74,74,1694394840000,0.217,0.2171,0.2169,0.217,75820
75,75,1694394900000,0.217,0.2175,0.217,0.2175,149894
76,76,1694394960000,0.2174,0.2193,0.2174,0.2192,842744
77,77,1694395020000,0.2192,0.2193,0.2184,0.2184,356917
78,78,1694395080000,0.2183,0.2187,0.2181,0.2181,158431
79,79,1694395140000,0.218,0.2183,0.218,0.2181,47300
80,80,1694395200000,0.2181,0.2189,0.218,0.2186,257422
81,81,1694395260000,0.2186,0.2186,0.2179,0.2179,239976
82,82,1694395320000,0.2178,0.2182,0.2177,0.2181,169363
83,83,1694395380000,0.218,0.2188,0.2179,0.2187,306510
84,84,1694395440000,0.2188,0.2191,0.2181,0.2182,346680
85,85,1694395500000,0.2182,0.2185,0.2179,0.2185,135972
86,86,1694395560000,0.2185,0.2194,0.2185,0.2194,390600
87,87,1694395620000,0.2193,0.2195,0.219,0.2195,225275
88,88,1694395680000,0.2195,0.2197,0.2189,0.2197,346349
89,89,1694395740000,0.2197,0.2199,0.2192,0.2195,594003
90,90,1694395800000,0.2195,0.2196,0.2187,0.2188,627973
91,91,1694395860000,0.2187,0.2195,0.2186,0.2191,302840
92,92,1694395920000,0.2191,0.2192,0.2182,0.2189,492617
93,93,1694395980000,0.2188,0.2189,0.2182,0.2182,169865
94,94,1694396040000,0.2182,0.2188,0.2181,0.2185,319063
95,95,1694396100000,0.2184,0.2187,0.2181,0.2182,235629
96,96,1694396160000,0.2181,0.2183,0.2176,0.2181,805408
97,97,1694396220000,0.2181,0.2182,0.2176,0.2179,367850
98,98,1694396280000,0.2179,0.218,0.2178,0.2178,143458
99,99,1694396340000,0.2178,0.2179,0.2175,0.2175,192601
100,100,1694396400000,0.2175,0.218,0.2172,0.2179,356869
101,101,1694396460000,0.2179,0.2179,0.2174,0.2175,152077
102,102,1694396520000,0.2175,0.2179,0.2174,0.2175,180058
103,103,1694396580000,0.2176,0.2183,0.2176,0.2183,242553
104,104,1694396640000,0.2184,0.2186,0.2183,0.2184,170569
105,105,1694396700000,0.2185,0.2191,0.2185,0.219,324597
106,106,1694396760000,0.219,0.2194,0.2189,0.2189,692614
107,107,1694396820000,0.219,0.2197,0.219,0.2193,263509
108,108,1694396880000,0.2194,0.2199,0.2194,0.2197,412923
