,index,timestamp,open,high,low,close,volume
0,0,1693785600000,0.5428,0.5432,0.5422,0.5425,68017
1,1,1693785660000,0.5424,0.5425,0.5418,0.5423,27633
2,2,1693785720000,0.5421,0.5425,0.542,0.5424,14475
3,3,1693785780000,0.5424,0.543,0.5424,0.5428,14011
4,4,1693785840000,0.5429,0.5431,0.5428,0.5429,2780
5,5,1693785900000,0.5429,0.5432,0.5429,0.543,5767
6,6,1693785960000,0.543,0.543,0.5424,0.5426,21538
7,7,1693786020000,0.5426,0.5428,0.5425,0.5427,7353
8,8,1693786080000,0.5427,0.5427,0.5422,0.5422,7775
9,9,1693786140000,0.5421,0.5424,0.5421,0.5423,5781
10,10,1693786200000,0.5423,0.5423,0.542,0.542,10481
11,11,1693786260000,0.5419,0.5419,0.5417,0.5417,7577
12,12,1693786320000,0.5417,0.5421,0.5416,0.5419,10440
13,13,1693786380000,0.5419,0.5421,0.5419,0.5421,1034
14,14,1693786440000,0.5421,0.5427,0.5421,0.5427,17441
15,15,1693786500000,0.5427,0.5431,0.5424,0.5424,29859
16,16,1693786560000,0.5423,0.5428,0.5423,0.5425,10697
17,17,1693786620000,0.5426,0.5428,0.5424,0.5426,12559
18,18,1693786680000,0.5427,0.5427,0.5424,0.5424,3684
19,19,1693786740000,0.5425,0.5427,0.5424,0.5424,13996
20,20,1693786800000,0.5425,0.5429,0.5425,0.5428,10481
21,21,1693786860000,0.5429,0.5436,0.5429,0.5434,11800
22,22,1693786920000,0.5435,0.5437,0.5435,0.5437,6845
23,23,1693786980000,0.5436,0.5436,0.5433,0.5433,1737
24,24,1693787040000,0.5433,0.5433,0.5431,0.5433,4845
25,25,1693787100000,0.5433,0.5439,0.5433,0.5437,4411
26,26,1693787160000,0.5437,0.544,0.5435,0.5438,10439
27,27,1693787220000,0.5436,0.5442,0.5436,0.5441,2287
28,28,1693787280000,0.5441,0.5445,0.5439,0.5439,5105
29,29,1693787340000,0.5439,0.544,0.5435,0.5438,7352
30,30,1693787400000,0.5438,0.5438,0.5436,0.5436,3444
31,31,1693787460000,0.5437,0.5439,0.5436,0.5438,4040
32,32,1693787520000,0.5438,0.5439,0.5438,0.5439,1076
33,33,1693787580000,0.5439,0.5441,0.5439,0.5441,856
34,34,1693787640000,0.5441,0.5441,0.5439,0.5441,2142
35,35,1693787700000,0.5441,0.5442,0.5441,0.5442,841
36,36,1693787760000,0.5441,0.5442,0.5439,0.5441,3186
37,37,1693787820000,0.5442,0.5442,0.5441,0.5441,4234
38,38,1693787880000,0.5441,0.5445,0.5441,0.5445,11365
39,39,1693787940000,0.5446,0.5449,0.5446,0.5447,5432
40,40,1693788000000,0.5447,0.5452,0.5447,0.545,8527
41,41,1693788060000,0.545,0.5456,0.545,0.5453,18103
42,42,1693788120000,0.5453,0.5455,0.5453,0.5453,9165
43,43,1693788180000,0.5453,0.5454,0.5452,0.5454,3097
44,44,1693788240000,0.5453,0.5459,0.5451,0.5458,8431
45,45,1693788300000,0.5458,0.5459,0.5456,0.5457,6503
46,46,1693788360000,0.5456,0.5456,0.5444,0.5447,44275
47,47,1693788420000,0.5448,0.5454,0.5448,0.5454,16338
48,48,1693788480000,0.5453,0.5453,0.545,0.5452,8577
49,49,1693788540000,0.545,0.5452,0.5448,0.5452,12551
50,50,1693788600000,0.5451,0.5452,0.545,0.545,2264
51,51,1693788660000,0.545,0.545,0.5442,0.5442,19682
52,52,1693788720000,0.5443,0.5446,0.5438,0.5438,13990
53,53,1693788780000,0.5439,0.5442,0.5438,0.5439,15949
54,54,1693788840000,0.544,0.5446,0.544,0.5443,19532
55,55,1693788900000,0.5442,0.5446,0.5442,0.5446,6513
56,56,1693788960000,0.5445,0.5445,0.5442,0.5442,7031
57,57,1693789020000,0.5442,0.5446,0.5442,0.5446,1011
58,58,1693789080000,0.5446,0.5448,0.5445,0.5447,6934
59,59,1693789140000,0.5447,0.5449,0.5447,0.5449,2555
60,60,1693789200000,0.5449,0.545,0.5443,0.5446,10325
61,61,1693789260000,0.5446,0.5447,0.5444,0.5445,10561
62,62,1693789320000,0.5443,0.5444,0.5442,0.5442,3577
63,63,1693789380000,0.5442,0.5444,0.5442,0.5444,6650
64,64,1693789440000,0.5446,0.5448,0.5446,0.5448,6052
65,65,1693789500000,0.5449,0.5454,0.5449,0.5453,67510
66,66,1693789560000,0.5453,0.5453,0.5447,0.545,22230
67,67,1693789620000,0.5449,0.5453,0.5448,0.5453,13253
68,68,1693789680000,0.5453,0.5457,0.5452,0.5455,14616
69,69,1693789740000,0.5456,0.5462,0.5456,0.546,17717
70,70,1693789800000,0.5461,0.5461,0.5459,0.546,1777
71,71,1693789860000,0.546,0.5461,0.546,0.546,8844
72,72,1693789920000,0.546,0.5464,0.5457,0.5461,29397
73,73,1693789980000,0.5461,0.5466,0.5461,0.5466,35874
74,74,1693790040000,0.5466,0.5466,0.5465,0.5465,15444
75,75,1693790100000,0.5465,0.5469,0.5464,0.5469,27484
76,76,1693790160000,0.5468,0.5468,0.5453,0.5459,51699
77,77,1693790220000,0.546,0.5465,0.5459,0.5461,34217
78,78,1693790280000,0.5461,0.5461,0.5457,0.5461,8381
79,79,1693790340000,0.5461,0.5461,0.5459,0.546,2328
80,80,1693790400000,0.546,0.5461,0.5454,0.5454,15899
81,81,1693790460000,0.5455,0.5458,0.5455,0.5458,16677
82,82,1693790520000,0.5458,0.5461,0.5457,0.546,38090
83,83,1693790580000,0.5459,0.5459,0.545,0.545,21718
