,index,timestamp,open,high,low,close,volume
0,0,1694822400000,7.248,7.262,7.244,7.254,9624.9
1,1,1694822460000,7.254,7.254,7.239,7.241,5329.2
2,2,1694822520000,7.241,7.246,7.237,7.241,8369.1
3,3,1694822580000,7.241,7.248,7.241,7.244,2507.4
4,4,1694822640000,7.244,7.244,7.238,7.239,1440.7
5,5,1694822700000,7.239,7.243,7.232,7.243,7685.3
6,6,1694822760000,7.243,7.251,7.243,7.249,2718.8
7,7,1694822820000,7.249,7.255,7.248,7.252,2133.0
8,8,1694822880000,7.253,7.26,7.252,7.259,1760.5
9,9,1694822940000,7.258,7.271,7.253,7.267,7693.7
10,10,1694823000000,7.267,7.269,7.257,7.26,3462.1
11,11,1694823060000,7.262,7.262,7.255,7.255,1609.9
12,12,1694823120000,7.255,7.257,7.248,7.248,2549.9
13,13,1694823180000,7.248,7.248,7.243,7.243,2116.7
14,14,1694823240000,7.243,7.243,7.233,7.237,4245.8
15,15,1694823300000,7.237,7.238,7.23,7.231,3014.5
16,16,1694823360000,7.231,7.235,7.23,7.233,2993.3
17,17,1694823420000,7.233,7.236,7.23,7.231,2419.3
18,18,1694823480000,7.231,7.234,7.229,7.234,2270.6
19,19,1694823540000,7.233,7.237,7.23,7.233,2080.6
20,20,1694823600000,7.233,7.24,7.233,7.24,2695.1
21,21,1694823660000,7.239,7.239,7.234,7.236,2320.3
22,22,1694823720000,7.236,7.238,7.231,7.232,1486.0
23,23,1694823780000,7.232,7.233,7.232,7.233,402.7
24,24,1694823840000,7.233,7.233,7.228,7.23,1747.8
25,25,1694823900000,7.23,7.243,7.23,7.243,1873.3
26,26,1694823960000,7.242,7.242,7.238,7.24,1341.5
27,27,1694824020000,7.241,7.244,7.24,7.24,1169.3
28,28,1694824080000,7.239,7.242,7.239,7.239,1612.4
29,29,1694824140000,7.238,7.241,7.236,7.241,1461.6
30,30,1694824200000,7.241,7.249,7.241,7.249,2206.5
31,31,1694824260000,7.25,7.257,7.248,7.253,5723.7
32,32,1694824320000,7.252,7.261,7.252,7.253,2763.4
33,33,1694824380000,7.252,7.257,7.252,7.257,1815.3
34,34,1694824440000,7.257,7.257,7.251,7.251,1244.6
35,35,1694824500000,7.25,7.254,7.249,7.254,1230.8
36,36,1694824560000,7.254,7.254,7.251,7.253,1175.5
37,37,1694824620000,7.253,7.253,7.243,7.243,2328.2
38,38,1694824680000,7.244,7.247,7.237,7.237,2307.8
39,39,1694824740000,7.237,7.239,7.237,7.237,1851.1
40,40,1694824800000,7.238,7.241,7.231,7.234,2031.8
41,41,1694824860000,7.233,7.238,7.233,7.235,1500.1
42,42,1694824920000,7.234,7.234,7.222,7.226,4753.1
43,43,1694824980000,7.226,7.226,7.22,7.22,1715.7
44,44,1694825040000,7.22,7.227,7.218,7.226,2218.2
45,45,1694825100000,7.226,7.235,7.224,7.235,1510.9
46,46,1694825160000,7.235,7.237,7.229,7.232,3725.6
47,47,1694825220000,7.232,7.239,7.228,7.233,2721.2
48,48,1694825280000,7.234,7.236,7.233,7.236,844.8
49,49,1694825340000,7.235,7.247,7.235,7.247,1988.4
50,50,1694825400000,7.247,7.259,7.247,7.257,7828.4
51,51,1694825460000,7.257,7.257,7.252,7.253,1285.1
52,52,1694825520000,7.254,7.258,7.254,7.258,390.5
53,53,1694825580000,7.258,7.258,7.249,7.251,1672.8
54,54,1694825640000,7.251,7.251,7.239,7.239,953.6
55,55,1694825700000,7.239,7.24,7.237,7.24,738.4
56,56,1694825760000,7.241,7.243,7.235,7.235,957.2
57,57,1694825820000,7.235,7.235,7.225,7.229,4028.8
58,58,1694825880000,7.228,7.232,7.226,7.231,1066.6
59,59,1694825940000,7.232,7.234,7.23,7.231,1277.0
60,60,1694826000000,7.232,7.24,7.229,7.24,1831.2
61,61,1694826060000,7.24,7.244,7.237,7.237,2626.0
62,62,1694826120000,7.237,7.241,7.234,7.24,2964.4
63,63,1694826180000,7.239,7.246,7.239,7.246,781.5
64,64,1694826240000,7.246,7.256,7.246,7.253,4311.4
65,65,1694826300000,7.253,7.258,7.253,7.258,3681.5
66,66,1694826360000,7.259,7.262,7.258,7.258,2201.0
67,67,1694826420000,7.259,7.262,7.258,7.261,3236.7
68,68,1694826480000,7.261,7.264,7.261,7.263,1842.9
69,69,1694826540000,7.263,7.266,7.262,7.266,1584.1
70,70,1694826600000,7.266,7.277,7.266,7.275,4565.1
71,71,1694826660000,7.275,7.283,7.271,7.283,5289.5
72,72,1694826720000,7.284,7.29,7.282,7.285,6335.0
73,73,1694826780000,7.286,7.287,7.28,7.28,3878.9
74,74,1694826840000,7.28,7.287,7.28,7.281,1759.5
75,75,1694826900000,7.281,7.287,7.281,7.281,2494.1
76,76,1694826960000,7.281,7.284,7.28,7.284,1022.7
77,77,1694827020000,7.284,7.374,7.283,7.324,210426.0
78,78,1694827080000,7.324,7.325,7.302,7.307,26236.3
79,79,1694827140000,7.308,7.32,7.305,7.308,17657.9
80,80,1694827200000,7.309,7.317,7.307,7.307,15204.8
81,81,1694827260000,7.308,7.31,7.302,7.302,6710.8
82,82,1694827320000,7.302,7.314,7.302,7.306,9033.0
83,83,1694827380000,7.307,7.308,7.302,7.308,11518.9
