,index,timestamp,open,high,low,close,volume
0,0,1690848000000,0.009079,0.009081,0.009065,0.009065,1039275
1,1,1690848060000,0.009064,0.00907,0.00905,0.009053,3494359
2,2,1690848120000,0.009053,0.009064,0.009048,0.009051,5105991
3,3,1690848180000,0.009052,0.009053,0.009042,0.009051,1239596
4,4,1690848240000,0.009052,0.009052,0.009037,0.009039,1249642
5,5,1690848300000,0.009039,0.009044,0.009001,0.009011,5282687
6,6,1690848360000,0.009012,0.009026,0.009012,0.009026,1118101
7,7,1690848420000,0.009027,0.009034,0.009025,0.009028,2603510
8,8,1690848480000,0.009027,0.009027,0.009014,0.009018,2493527
9,9,1690848540000,0.009018,0.009019,0.009015,0.009018,610731
10,10,1690848600000,0.009016,0.009031,0.009016,0.009024,1611182
11,11,1690848660000,0.009024,0.009024,0.009021,0.009023,119170
12,12,1690848720000,0.009023,0.009023,0.009021,0.009021,165896
13,13,1690848780000,0.009022,0.009047,0.009021,0.009043,5610223
14,14,1690848840000,0.009043,0.009043,0.009038,0.009042,760798
15,15,1690848900000,0.009043,0.009051,0.009043,0.00905,917590
16,16,1690848960000,0.009051,0.009057,0.009047,0.009048,965638
17,17,1690849020000,0.009049,0.009051,0.009047,0.009047,190043
18,18,1690849080000,0.009049,0.009049,0.009048,0.009048,85099
19,19,1690849140000,0.009045,0.009045,0.00904,0.009043,1462763
20,20,1690849200000,0.009044,0.00906,0.009044,0.00906,774494
21,21,1690849260000,0.00906,0.009071,0.00906,0.009064,446163
22,22,1690849320000,0.009067,0.00907,0.009063,0.009064,278319
23,23,1690849380000,0.009064,0.009074,0.009063,0.009063,591763
24,24,1690849440000,0.009063,0.009064,0.009058,0.009061,331884
25,25,1690849500000,0.009059,0.009064,0.009056,0.009061,767027
26,26,1690849560000,0.009062,0.009066,0.009062,0.009062,248515
27,27,1690849620000,0.009062,0.009062,0.009056,0.009058,256916
28,28,1690849680000,0.009058,0.009058,0.009044,0.009048,923114
29,29,1690849740000,0.009051,0.009055,0.00905,0.009055,99997
