,index,timestamp,open,high,low,close,volume
0,0,1690848000000,0.1738,0.1739,0.1736,0.1736,56487.3
1,1,1690848060000,0.1736,0.1737,0.1736,0.1737,24199.5
2,2,1690848120000,0.1737,0.1738,0.1737,0.1737,13731.6
3,3,1690848180000,0.1737,0.1737,0.1737,0.1737,19508.9
4,4,1690848240000,0.1737,0.1738,0.1735,0.1735,25673.4
5,5,1690848300000,0.1735,0.1736,0.1731,0.1731,92176.2
6,6,1690848360000,0.1732,0.1735,0.1732,0.1735,67016.2
7,7,1690848420000,0.1736,0.1736,0.1735,0.1735,16914.5
8,8,1690848480000,0.1735,0.1736,0.1735,0.1736,3915.9
9,9,1690848540000,0.1735,0.1738,0.1735,0.1738,76634.9
10,10,1690848600000,0.1738,0.174,0.1738,0.1739,50521.9
11,11,1690848660000,0.1739,0.174,0.1739,0.174,3481.7
12,12,1690848720000,0.1739,0.1741,0.1739,0.1741,25439.1
13,13,1690848780000,0.174,0.1742,0.174,0.1742,4687.0
14,14,1690848840000,0.1741,0.1742,0.174,0.1742,19234.8
15,15,1690848900000,0.1742,0.1743,0.1741,0.1742,19825.0
16,16,1690848960000,0.1742,0.1743,0.1742,0.1742,5413.6
17,17,1690849020000,0.1743,0.1743,0.1743,0.1743,2904.0
18,18,1690849080000,0.1742,0.1743,0.1742,0.1743,4480.5
19,19,1690849140000,0.1742,0.1744,0.1741,0.1744,52411.6
20,20,1690849200000,0.1744,0.1746,0.1744,0.1746,20993.4
21,21,1690849260000,0.1746,0.1747,0.1746,0.1747,5436.0
22,22,1690849320000,0.1746,0.1747,0.1745,0.1746,22045.4
23,23,1690849380000,0.1745,0.1749,0.1745,0.1748,74399.8
24,24,1690849440000,0.1747,0.1747,0.1746,0.1746,23235.2
25,25,1690849500000,0.1746,0.1748,0.1746,0.1747,41982.8
26,26,1690849560000,0.1748,0.1748,0.1747,0.1747,3392.1
27,27,1690849620000,0.1747,0.1748,0.1747,0.1748,10795.9
28,28,1690849680000,0.1748,0.1748,0.1745,0.1746,61466.8
29,29,1690849740000,0.1746,0.1747,0.1746,0.1747,44389.9
30,30,1690849800000,0.1746,0.1747,0.1745,0.1747,18333.6
31,31,1690849860000,0.1748,0.1748,0.1748,0.1748,6577.8
32,32,1690849920000,0.1748,0.1749,0.1748,0.1748,4097.8
33,33,1690849980000,0.1748,0.1748,0.1748,0.1748,0.0
34,34,1690850040000,0.1749,0.1749,0.1748,0.1749,14038.7
35,35,1690850100000,0.1749,0.175,0.1749,0.1749,2254.3
36,36,1690850160000,0.175,0.175,0.1748,0.1748,45783.7
37,37,1690850220000,0.1748,0.1748,0.1747,0.1747,1978.6
38,38,1690850280000,0.1748,0.1748,0.1748,0.1748,27675.8
39,39,1690850340000,0.1748,0.1749,0.1748,0.1749,41209.6
40,40,1690850400000,0.1749,0.1749,0.1748,0.1749,6587.6
41,41,1690850460000,0.1748,0.1749,0.1748,0.1749,11203.5
42,42,1690850520000,0.175,0.175,0.1749,0.1749,33107.1
43,43,1690850580000,0.175,0.175,0.1748,0.1748,16855.7
44,44,1690850640000,0.1749,0.1749,0.1748,0.1748,113.1
45,45,1690850700000,0.1749,0.1749,0.1749,0.1749,9087.7
46,46,1690850760000,0.1749,0.175,0.1748,0.1749,34270.0
47,47,1690850820000,0.1749,0.175,0.1749,0.1749,17379.7
48,48,1690850880000,0.1748,0.1749,0.1748,0.1749,12293.1
49,49,1690850940000,0.1749,0.1749,0.1748,0.1748,22341.2
50,50,1690851000000,0.1749,0.1749,0.1748,0.1748,7222.0
51,51,1690851060000,0.1749,0.175,0.1749,0.1749,14277.7
52,52,1690851120000,0.1749,0.175,0.1748,0.1748,21472.6
53,53,1690851180000,0.1748,0.1749,0.1748,0.1749,14797.0
54,54,1690851240000,0.1749,0.175,0.1749,0.175,4257.1
55,55,1690851300000,0.175,0.1751,0.175,0.1751,410.0
56,56,1690851360000,0.175,0.175,0.1749,0.175,14514.9
57,57,1690851420000,0.1749,0.1752,0.1749,0.1752,13058.6
58,58,1690851480000,0.1751,0.1751,0.175,0.175,8227.7
59,59,1690851540000,0.175,0.1751,0.175,0.175,25475.0
60,60,1690851600000,0.175,0.1751,0.1749,0.1749,9268.6
61,61,1690851660000,0.1749,0.1751,0.1749,0.1749,23058.1
62,62,1690851720000,0.1749,0.1751,0.1749,0.1749,9934.7
63,63,1690851780000,0.1749,0.1749,0.1749,0.1749,634.3
64,64,1690851840000,0.1749,0.1752,0.1749,0.1752,51011.0
65,65,1690851900000,0.1752,0.1752,0.175,0.1751,33247.6
66,66,1690851960000,0.175,0.1752,0.175,0.1752,20412.5
67,67,1690852020000,0.1751,0.1752,0.175,0.175,30592.2
68,68,1690852080000,0.1751,0.1753,0.1751,0.1753,15431.9
69,69,1690852140000,0.1752,0.1752,0.1751,0.1752,26924.1
70,70,1690852200000,0.1752,0.1753,0.1751,0.1753,15723.6
71,71,1690852260000,0.1753,0.1754,0.1752,0.1754,44997.8
72,72,1690852320000,0.1753,0.1754,0.1753,0.1754,23898.9
73,73,1690852380000,0.1754,0.1754,0.1754,0.1754,1506.6
74,74,1690852440000,0.1753,0.1754,0.1753,0.1753,3099.8
75,75,1690852500000,0.1753,0.1753,0.1751,0.1751,26662.5
76,76,1690852560000,0.1751,0.1752,0.175,0.1751,32235.5
77,77,1690852620000,0.1751,0.1751,0.1749,0.175,21772.4
78,78,1690852680000,0.175,0.175,0.1749,0.1749,4473.5
79,79,1690852740000,0.1749,0.175,0.1749,0.175,18840.2
80,80,1690852800000,0.175,0.175,0.1749,0.175,17513.2
81,81,1690852860000,0.175,0.175,0.1746,0.1748,59729.8
82,82,1690852920000,0.1748,0.1748,0.1747,0.1748,4033.8
83,83,1690852980000,0.1748,0.1748,0.1748,0.1748,1504.0
84,84,1690853040000,0.1748,0.1748,0.1747,0.1748,1587.5
85,85,1690853100000,0.1747,0.1747,0.1746,0.1747,10872.3
86,86,1690853160000,0.1747,0.1747,0.1743,0.1744,43673.1
87,87,1690853220000,0.1744,0.1745,0.1744,0.1744,22129.6
88,88,1690853280000,0.1744,0.1744,0.1743,0.1743,8688.8
89,89,1690853340000,0.1744,0.1744,0.1744,0.1744,1934.3
90,90,1690853400000,0.1744,0.1744,0.1744,0.1744,23486.9
91,91,1690853460000,0.1743,0.1744,0.1742,0.1742,20388.4
92,92,1690853520000,0.1743,0.1743,0.1741,0.1741,10583.2
93,93,1690853580000,0.1741,0.1741,0.1738,0.1738,27620.6
