,index,timestamp,open,high,low,close,volume
0,0,1694563200000,0.1601,0.1602,0.16,0.1601,185516.3
1,1,1694563260000,0.1601,0.1602,0.16,0.16,36613.1
2,2,1694563320000,0.1601,0.1601,0.1599,0.1599,14967.1
3,3,1694563380000,0.16,0.16,0.1598,0.1598,30418.4
4,4,1694563440000,0.1598,0.1598,0.1597,0.1597,10922.9
5,5,1694563500000,0.1596,0.1598,0.1596,0.1596,43053.9
6,6,1694563560000,0.1596,0.1597,0.1596,0.1596,19148.4
7,7,1694563620000,0.1596,0.1597,0.1594,0.1596,195758.7
8,8,1694563680000,0.1596,0.1598,0.1596,0.1598,108920.0
9,9,1694563740000,0.1598,0.1599,0.1598,0.1599,48822.5
10,10,1694563800000,0.1599,0.1601,0.1599,0.16,100191.8
11,11,1694563860000,0.16,0.1602,0.1599,0.1602,56477.4
12,12,1694563920000,0.1603,0.1605,0.1602,0.1602,102872.4
13,13,1694563980000,0.1602,0.1603,0.1602,0.1602,26350.8
14,14,1694564040000,0.1602,0.1602,0.1599,0.1599,166310.4
15,15,1694564100000,0.1599,0.16,0.1599,0.1599,35517.3
16,16,1694564160000,0.16,0.1601,0.16,0.1601,36605.0
17,17,1694564220000,0.1601,0.1602,0.16,0.1601,31438.9
18,18,1694564280000,0.1601,0.1601,0.16,0.16,51085.3
19,19,1694564340000,0.16,0.16,0.1599,0.1599,46892.4
20,20,1694564400000,0.1599,0.16,0.1599,0.1599,18399.3
21,21,1694564460000,0.16,0.16,0.1599,0.1599,16508.5
22,22,1694564520000,0.1599,0.1599,0.1599,0.1599,3164.5
23,23,1694564580000,0.16,0.16,0.1599,0.1599,3993.5
24,24,1694564640000,0.16,0.1601,0.1599,0.1601,53539.4
25,25,1694564700000,0.1602,0.1602,0.16,0.1601,63963.8
26,26,1694564760000,0.1601,0.1601,0.16,0.16,16278.6
27,27,1694564820000,0.1601,0.1602,0.16,0.16,16246.1
28,28,1694564880000,0.16,0.16,0.1599,0.1599,15972.1
29,29,1694564940000,0.1599,0.1599,0.1599,0.1599,10433.7
30,30,1694565000000,0.16,0.16,0.1599,0.16,57035.1
31,31,1694565060000,0.1599,0.1599,0.1598,0.1598,56431.5
32,32,1694565120000,0.1599,0.1599,0.1598,0.1598,391.1
33,33,1694565180000,0.1598,0.1598,0.1596,0.1597,182888.3
34,34,1694565240000,0.1596,0.1597,0.1595,0.1596,28089.3
35,35,1694565300000,0.1596,0.1598,0.1596,0.1598,46138.1
36,36,1694565360000,0.1598,0.1598,0.1598,0.1598,14805.6
37,37,1694565420000,0.1598,0.16,0.1598,0.1598,28119.3
