,index,timestamp,open,high,low,close,volume
0,0,1694995200000,0.01485,0.01485,0.01481,0.01483,939140
1,1,1694995260000,0.01484,0.01484,0.01482,0.01483,386230
2,2,1694995320000,0.01483,0.01484,0.01482,0.01482,228840
3,3,1694995380000,0.01482,0.01483,0.01482,0.01483,158484
4,4,1694995440000,0.01483,0.01484,0.01483,0.01483,139771
5,5,1694995500000,0.01483,0.01483,0.01482,0.01482,98296
6,6,1694995560000,0.01482,0.01482,0.01481,0.01481,80424
7,7,1694995620000,0.01482,0.01484,0.01482,0.01484,239644
8,8,1694995680000,0.01483,0.01487,0.01483,0.01487,195625
9,9,1694995740000,0.01486,0.01487,0.01486,0.01486,21644
10,10,1694995800000,0.01486,0.01486,0.01484,0.01484,54063
11,11,1694995860000,0.01485,0.01485,0.01484,0.01484,13780
12,12,1694995920000,0.01483,0.01483,0.0148,0.0148,303641
13,13,1694995980000,0.0148,0.01482,0.0148,0.01482,113476
14,14,1694996040000,0.01482,0.01482,0.01482,0.01482,22215
15,15,1694996100000,0.01483,0.01486,0.01482,0.01485,294928
16,16,1694996160000,0.01485,0.01485,0.01484,0.01484,150507
17,17,1694996220000,0.01484,0.01485,0.01484,0.01485,1199
18,18,1694996280000,0.01485,0.01485,0.01483,0.01483,119346
19,19,1694996340000,0.01483,0.01483,0.01483,0.01483,0
20,20,1694996400000,0.01483,0.01483,0.01482,0.01482,20347
21,21,1694996460000,0.01482,0.01483,0.01479,0.01479,370655
22,22,1694996520000,0.01479,0.01479,0.01479,0.01479,27714
23,23,1694996580000,0.01479,0.0148,0.01478,0.01479,127180
24,24,1694996640000,0.0148,0.01481,0.01479,0.01479,185423
25,25,1694996700000,0.01479,0.01479,0.01476,0.01476,105521
26,26,1694996760000,0.01477,0.01478,0.01477,0.01477,95226
27,27,1694996820000,0.01476,0.01476,0.01474,0.01474,221414
28,28,1694996880000,0.01475,0.01476,0.01475,0.01476,69546
29,29,1694996940000,0.01475,0.01476,0.01473,0.01473,192484
30,30,1694997000000,0.01472,0.01474,0.01467,0.0147,807396
31,31,1694997060000,0.01471,0.01473,0.01463,0.01472,2006722
32,32,1694997120000,0.01473,0.01474,0.01471,0.01471,378849
33,33,1694997180000,0.0147,0.0147,0.01466,0.01468,526241
34,34,1694997240000,0.01468,0.01468,0.01464,0.01466,264980
35,35,1694997300000,0.01466,0.0147,0.01465,0.01468,237598
36,36,1694997360000,0.01468,0.01468,0.01466,0.01467,105046
37,37,1694997420000,0.01466,0.01468,0.01465,0.01467,112423
38,38,1694997480000,0.01466,0.01466,0.01465,0.01466,45452
39,39,1694997540000,0.01466,0.01466,0.01466,0.01466,54086
40,40,1694997600000,0.01465,0.01465,0.01465,0.01465,1009
41,41,1694997660000,0.01466,0.01468,0.01466,0.01468,152828
42,42,1694997720000,0.01469,0.01471,0.01469,0.0147,107885
43,43,1694997780000,0.01471,0.01474,0.01471,0.01474,41768
44,44,1694997840000,0.01473,0.01473,0.01473,0.01473,56177
45,45,1694997900000,0.01472,0.01472,0.0147,0.0147,95044
46,46,1694997960000,0.01469,0.01469,0.01467,0.01467,194709
47,47,1694998020000,0.01468,0.01469,0.01467,0.01469,63106
48,48,1694998080000,0.01469,0.01473,0.01469,0.01473,140870
49,49,1694998140000,0.01474,0.01475,0.01472,0.01472,52546
50,50,1694998200000,0.01471,0.01475,0.01471,0.01474,137596
51,51,1694998260000,0.01475,0.01475,0.01475,0.01475,37996
52,52,1694998320000,0.01475,0.01475,0.01475,0.01475,217697
53,53,1694998380000,0.01475,0.01475,0.01474,0.01474,206347
54,54,1694998440000,0.01473,0.01473,0.01472,0.01473,25848
55,55,1694998500000,0.01473,0.01473,0.01472,0.01472,13722
56,56,1694998560000,0.01472,0.01472,0.01469,0.01469,80251
57,57,1694998620000,0.01469,0.01469,0.01468,0.01469,14568
58,58,1694998680000,0.01468,0.01469,0.01467,0.01468,312009
59,59,1694998740000,0.01468,0.01468,0.01467,0.01468,77890
60,60,1694998800000,0.01468,0.01468,0.01466,0.01467,159391
61,61,1694998860000,0.01467,0.01469,0.01467,0.01469,836298
62,62,1694998920000,0.01469,0.01469,0.01468,0.01468,21140
63,63,1694998980000,0.01469,0.01469,0.01467,0.01467,390148
64,64,1694999040000,0.01466,0.01467,0.01466,0.01467,127286
65,65,1694999100000,0.01467,0.01468,0.01466,0.01466,50457
66,66,1694999160000,0.01467,0.01467,0.01466,0.01467,73671
67,67,1694999220000,0.01466,0.01466,0.01463,0.01463,268342
68,68,1694999280000,0.01464,0.01465,0.01463,0.01465,231428
69,69,1694999340000,0.01465,0.01466,0.01465,0.01466,1034934
70,70,1694999400000,0.01465,0.01468,0.01464,0.01466,1513605
71,71,1694999460000,0.01466,0.01468,0.01466,0.01468,105001
72,72,1694999520000,0.01468,0.01468,0.01467,0.01468,20010
73,73,1694999580000,0.01467,0.01468,0.01466,0.01467,223616
74,74,1694999640000,0.01468,0.01468,0.01468,0.01468,78316
75,75,1694999700000,0.01468,0.01469,0.01468,0.01469,22702
76,76,1694999760000,0.01468,0.01469,0.01468,0.01469,117469
77,77,1694999820000,0.0147,0.0147,0.01467,0.01468,111532
78,78,1694999880000,0.01467,0.01468,0.01467,0.01468,59315
79,79,1694999940000,0.01468,0.01468,0.01467,0.01467,6920
