,index,timestamp,open,high,low,close,volume
0,0,1694822400000,0.003575,0.003595,0.003575,0.00359,25126872
1,1,1694822460000,0.003589,0.00359,0.003583,0.003583,5788771
2,2,1694822520000,0.003584,0.003586,0.00358,0.00358,2394280
3,3,1694822580000,0.00358,0.003583,0.003579,0.003579,3611358
4,4,1694822640000,0.003578,0.003579,0.003572,0.003574,5570986
5,5,1694822700000,0.003574,0.003575,0.003567,0.003574,2755319
6,6,1694822760000,0.003575,0.003579,0.003574,0.003579,3403212
7,7,1694822820000,0.003579,0.003585,0.003579,0.003585,2989748
8,8,1694822880000,0.003586,0.00359,0.003586,0.003588,1917054
9,9,1694822940000,0.003587,0.003592,0.003587,0.003592,4071187
10,10,1694823000000,0.003592,0.003593,0.003584,0.003584,4489473
11,11,1694823060000,0.003585,0.003585,0.00358,0.00358,3733491
12,12,1694823120000,0.00358,0.00358,0.003577,0.003577,1652741
13,13,1694823180000,0.003578,0.003578,0.003577,0.003578,2365149
14,14,1694823240000,0.003578,0.003581,0.003578,0.003579,1634866
15,15,1694823300000,0.003579,0.003579,0.003573,0.003573,3286898
16,16,1694823360000,0.003574,0.003576,0.003574,0.003575,807053
17,17,1694823420000,0.003576,0.003578,0.003576,0.003577,581021
18,18,1694823480000,0.003577,0.003579,0.003577,0.003579,673930
19,19,1694823540000,0.003578,0.003583,0.003578,0.003581,1009495
20,20,1694823600000,0.003582,0.003585,0.003581,0.003584,1670943
21,21,1694823660000,0.003583,0.003583,0.003581,0.003583,721889
22,22,1694823720000,0.003583,0.003585,0.003582,0.003582,541201
23,23,1694823780000,0.003583,0.003585,0.003583,0.003585,384267
24,24,1694823840000,0.003585,0.003586,0.003585,0.003585,295338
25,25,1694823900000,0.003585,0.003594,0.003585,0.003593,3185448
26,26,1694823960000,0.003592,0.003595,0.003591,0.003593,653849
27,27,1694824020000,0.003595,0.003598,0.003595,0.003597,6350739
28,28,1694824080000,0.003596,0.003601,0.003594,0.003596,12794902
29,29,1694824140000,0.003597,0.003604,0.003597,0.003602,6957297
30,30,1694824200000,0.003601,0.003603,0.003597,0.0036,5947641
31,31,1694824260000,0.0036,0.003603,0.0036,0.003602,2248412
32,32,1694824320000,0.003603,0.003606,0.003602,0.003606,2104064
33,33,1694824380000,0.003606,0.003606,0.0036,0.003604,2350766
34,34,1694824440000,0.003604,0.003605,0.003601,0.003602,1166757
35,35,1694824500000,0.003602,0.003603,0.003602,0.003603,376106
36,36,1694824560000,0.003603,0.003603,0.0036,0.003601,1689813
37,37,1694824620000,0.003602,0.003602,0.003599,0.003599,2380937
38,38,1694824680000,0.003598,0.003601,0.003594,0.003594,6937600
39,39,1694824740000,0.003594,0.003596,0.003594,0.003596,1663407
40,40,1694824800000,0.003597,0.003599,0.003594,0.003594,3113172
41,41,1694824860000,0.003595,0.003595,0.003591,0.003591,3309621
42,42,1694824920000,0.003592,0.003593,0.003588,0.003589,3357544
43,43,1694824980000,0.003589,0.003591,0.003584,0.003584,3649557
44,44,1694825040000,0.003584,0.003587,0.003582,0.003585,6300631
45,45,1694825100000,0.003585,0.003587,0.003585,0.003587,914509
46,46,1694825160000,0.003587,0.003591,0.003587,0.00359,1693429
47,47,1694825220000,0.003589,0.003595,0.003587,0.003592,2712355
48,48,1694825280000,0.003592,0.003596,0.003592,0.003596,2970786
49,49,1694825340000,0.003596,0.003604,0.003596,0.003604,1717427
50,50,1694825400000,0.003605,0.00361,0.003605,0.003607,8103492
51,51,1694825460000,0.003607,0.003609,0.003605,0.003608,2814115
52,52,1694825520000,0.003608,0.003608,0.003604,0.003606,1856385
53,53,1694825580000,0.003605,0.003605,0.003602,0.003602,953610
54,54,1694825640000,0.003602,0.003603,0.003596,0.003597,1736628
55,55,1694825700000,0.003598,0.0036,0.003597,0.0036,2119931
56,56,1694825760000,0.0036,0.003602,0.003593,0.003593,3953637
57,57,1694825820000,0.003594,0.003595,0.003593,0.003593,699107
58,58,1694825880000,0.003592,0.003596,0.003591,0.003596,1331600
59,59,1694825940000,0.003597,0.003601,0.003597,0.003601,1112633
60,60,1694826000000,0.0036,0.003602,0.003595,0.0036,4452918
61,61,1694826060000,0.003599,0.0036,0.003595,0.003596,2710472
62,62,1694826120000,0.003596,0.003598,0.003591,0.003593,2761048
63,63,1694826180000,0.003592,0.003592,0.003589,0.003591,2475602
64,64,1694826240000,0.003591,0.003593,0.003591,0.003593,396802
