,index,timestamp,open,high,low,close,volume
0,0,1693785600000,0.2649,0.2652,0.2647,0.265,339734
1,1,1693785660000,0.2651,0.2652,0.2645,0.2646,159255
2,2,1693785720000,0.2645,0.2648,0.2643,0.2646,150805
3,3,1693785780000,0.2647,0.2647,0.2641,0.2642,76542
4,4,1693785840000,0.2641,0.2643,0.2633,0.2642,480229
5,5,1693785900000,0.2642,0.2642,0.2639,0.264,114240
6,6,1693785960000,0.264,0.264,0.2635,0.2635,108863
7,7,1693786020000,0.2635,0.264,0.2635,0.2639,95411
8,8,1693786080000,0.264,0.264,0.2634,0.2637,129890
9,9,1693786140000,0.2636,0.2638,0.2635,0.2637,64746
10,10,1693786200000,0.2637,0.2642,0.2636,0.2639,190336
11,11,1693786260000,0.2638,0.2641,0.2638,0.2639,66136
12,12,1693786320000,0.2639,0.2641,0.2636,0.2641,142762
13,13,1693786380000,0.264,0.2641,0.2638,0.2639,24194
14,14,1693786440000,0.264,0.2644,0.264,0.2643,49023
15,15,1693786500000,0.2643,0.2644,0.2638,0.2639,96543
16,16,1693786560000,0.2639,0.2643,0.2639,0.2643,46506
17,17,1693786620000,0.2643,0.2644,0.2642,0.2644,12623
18,18,1693786680000,0.2643,0.2644,0.2642,0.2643,130257
19,19,1693786740000,0.2644,0.2647,0.2644,0.2647,92351
20,20,1693786800000,0.2647,0.2648,0.2645,0.2648,74665
21,21,1693786860000,0.2649,0.2649,0.2648,0.2648,41610
22,22,1693786920000,0.2649,0.2652,0.2647,0.2652,69723
23,23,1693786980000,0.2652,0.2659,0.2652,0.2659,212281
24,24,1693787040000,0.2659,0.2661,0.2659,0.2661,54082
25,25,1693787100000,0.2661,0.2665,0.2658,0.2658,247559
26,26,1693787160000,0.2658,0.2661,0.2658,0.2661,44656
27,27,1693787220000,0.266,0.2664,0.266,0.2663,89509
28,28,1693787280000,0.2662,0.2664,0.266,0.2662,107071
29,29,1693787340000,0.2662,0.2669,0.2662,0.2669,159169
30,30,1693787400000,0.2668,0.267,0.2665,0.2666,134760
31,31,1693787460000,0.2667,0.2667,0.2661,0.2664,147375
32,32,1693787520000,0.2663,0.2665,0.2661,0.2661,104529
33,33,1693787580000,0.266,0.266,0.2657,0.2657,32213
34,34,1693787640000,0.2658,0.2659,0.2656,0.2659,51025
35,35,1693787700000,0.2658,0.266,0.2657,0.266,52043
36,36,1693787760000,0.266,0.266,0.2655,0.2656,44573
37,37,1693787820000,0.2655,0.2657,0.2655,0.2656,46015
38,38,1693787880000,0.2656,0.2663,0.2656,0.2663,79725
39,39,1693787940000,0.2663,0.2664,0.266,0.2661,106821
40,40,1693788000000,0.2661,0.2663,0.2658,0.2663,90211
41,41,1693788060000,0.2663,0.2668,0.2663,0.2666,102168
42,42,1693788120000,0.2665,0.267,0.2665,0.267,34004
43,43,1693788180000,0.267,0.267,0.2667,0.2667,51926
44,44,1693788240000,0.2667,0.2671,0.2667,0.267,80099
45,45,1693788300000,0.267,0.2674,0.2669,0.2674,159722
46,46,1693788360000,0.2674,0.2674,0.2668,0.2671,206134
47,47,1693788420000,0.2671,0.2673,0.267,0.2672,44533
48,48,1693788480000,0.2671,0.2672,0.2669,0.2671,78850
49,49,1693788540000,0.2671,0.2672,0.2667,0.2671,129661
50,50,1693788600000,0.267,0.2671,0.2665,0.2665,54977
51,51,1693788660000,0.2665,0.2665,0.2658,0.2658,94744
52,52,1693788720000,0.2659,0.2659,0.265,0.2652,207829
53,53,1693788780000,0.2652,0.2652,0.2649,0.2651,57585
54,54,1693788840000,0.265,0.2652,0.265,0.2652,70441
55,55,1693788900000,0.2652,0.2652,0.265,0.2652,110368
56,56,1693788960000,0.2652,0.2652,0.265,0.2652,45441
57,57,1693789020000,0.2653,0.2653,0.2649,0.265,96948
58,58,1693789080000,0.2649,0.265,0.2646,0.265,150074
