,index,timestamp,open,high,low,close,volume
0,0,1694822400000,0.632,0.633,0.6319,0.6324,93183.9
1,1,1694822460000,0.6324,0.6325,0.6311,0.6313,38647.0
2,2,1694822520000,0.6313,0.6324,0.6312,0.6324,44500.8
3,3,1694822580000,0.6323,0.6325,0.632,0.632,21587.8
4,4,1694822640000,0.6319,0.6322,0.6319,0.632,11662.9
5,5,1694822700000,0.632,0.6323,0.6311,0.6321,91784.3
6,6,1694822760000,0.6321,0.6328,0.6321,0.6324,11179.0
7,7,1694822820000,0.6324,0.6329,0.6324,0.6328,8212.4
8,8,1694822880000,0.6328,0.6335,0.6327,0.6334,11058.8
9,9,1694822940000,0.6334,0.6357,0.6332,0.6355,94467.2
10,10,1694823000000,0.6355,0.637,0.635,0.6369,78379.5
11,11,1694823060000,0.637,0.6372,0.6367,0.6367,40959.9
12,12,1694823120000,0.6368,0.6369,0.6358,0.636,46177.1
13,13,1694823180000,0.6359,0.6359,0.6355,0.6356,22714.3
14,14,1694823240000,0.6355,0.636,0.6353,0.6356,21446.7
15,15,1694823300000,0.6356,0.636,0.6349,0.636,30590.5
16,16,1694823360000,0.636,0.636,0.6353,0.6358,46816.6
17,17,1694823420000,0.6357,0.6364,0.6355,0.6362,27654.6
18,18,1694823480000,0.6362,0.6362,0.636,0.6361,15630.2
19,19,1694823540000,0.6361,0.6365,0.6359,0.6363,25164.8
20,20,1694823600000,0.6363,0.6372,0.636,0.637,38679.9
21,21,1694823660000,0.637,0.6372,0.6367,0.6372,24609.0
22,22,1694823720000,0.6372,0.6373,0.6371,0.6372,10154.9
23,23,1694823780000,0.6372,0.638,0.6371,0.638,34361.3
24,24,1694823840000,0.6379,0.6385,0.6377,0.6384,53545.2
25,25,1694823900000,0.6383,0.6397,0.6383,0.6391,66267.0
26,26,1694823960000,0.639,0.639,0.6382,0.6385,27251.8
27,27,1694824020000,0.6385,0.6395,0.6385,0.6391,24022.8
28,28,1694824080000,0.6391,0.6391,0.6387,0.6388,20051.9
29,29,1694824140000,0.6388,0.6388,0.6382,0.6384,25147.5
30,30,1694824200000,0.6384,0.6391,0.6384,0.639,25786.2
31,31,1694824260000,0.639,0.6417,0.639,0.6412,150191.0
32,32,1694824320000,0.6412,0.6417,0.6406,0.6406,48906.1
33,33,1694824380000,0.6405,0.6409,0.6396,0.6403,81409.1
34,34,1694824440000,0.6404,0.6412,0.6402,0.6404,48371.3
35,35,1694824500000,0.6402,0.6411,0.6401,0.6409,18329.1
36,36,1694824560000,0.641,0.6416,0.6401,0.6414,30234.9
37,37,1694824620000,0.6415,0.6438,0.6412,0.6436,126614.8
38,38,1694824680000,0.6436,0.6436,0.6422,0.6426,39894.1
39,39,1694824740000,0.6426,0.6447,0.6426,0.6446,104719.9
40,40,1694824800000,0.6446,0.6447,0.644,0.6446,75847.3
41,41,1694824860000,0.6446,0.6449,0.6437,0.644,38144.8
42,42,1694824920000,0.6439,0.6469,0.6434,0.6468,199104.7
43,43,1694824980000,0.6467,0.6475,0.6458,0.6471,157159.2
44,44,1694825040000,0.6471,0.6475,0.6456,0.6467,91263.3
45,45,1694825100000,0.6466,0.6477,0.6454,0.6474,71846.0
46,46,1694825160000,0.6473,0.6482,0.6473,0.6473,97616.1
47,47,1694825220000,0.6473,0.6486,0.6464,0.6477,97961.2
48,48,1694825280000,0.6476,0.6485,0.6472,0.6485,53391.7
49,49,1694825340000,0.6485,0.6527,0.6481,0.6526,271259.3
50,50,1694825400000,0.6526,0.653,0.6507,0.6514,199833.1
51,51,1694825460000,0.6513,0.6521,0.6506,0.6512,104801.0
52,52,1694825520000,0.6511,0.6517,0.6495,0.6496,137580.7
53,53,1694825580000,0.6495,0.6496,0.649,0.6494,108774.2
54,54,1694825640000,0.6495,0.65,0.6484,0.65,174315.3
55,55,1694825700000,0.65,0.6502,0.6494,0.6497,58283.0
56,56,1694825760000,0.6497,0.6497,0.6485,0.6489,49721.3
57,57,1694825820000,0.6491,0.6519,0.6491,0.6514,253788.3
58,58,1694825880000,0.6514,0.6519,0.6505,0.6505,55991.9
59,59,1694825940000,0.6504,0.6516,0.6501,0.651,82918.7
60,60,1694826000000,0.651,0.6521,0.6509,0.652,86969.8
61,61,1694826060000,0.6519,0.6532,0.6508,0.651,149143.9
62,62,1694826120000,0.6511,0.6521,0.6506,0.6518,58408.1
63,63,1694826180000,0.6517,0.6522,0.6512,0.652,42098.1
64,64,1694826240000,0.652,0.6525,0.6518,0.6518,24477.1
65,65,1694826300000,0.6517,0.6521,0.6515,0.6519,31585.9
66,66,1694826360000,0.6519,0.6534,0.6517,0.6529,108047.9
67,67,1694826420000,0.653,0.6539,0.6529,0.6533,34691.7
68,68,1694826480000,0.6533,0.6533,0.6528,0.6528,38694.9
69,69,1694826540000,0.6529,0.6529,0.6523,0.6523,22143.9
70,70,1694826600000,0.6524,0.6529,0.6477,0.6499,417284.6
71,71,1694826660000,0.6499,0.6501,0.6492,0.6499,49822.0
72,72,1694826720000,0.6499,0.6513,0.6498,0.6511,57482.6
73,73,1694826780000,0.6511,0.6512,0.6501,0.6504,20505.3
74,74,1694826840000,0.6504,0.6521,0.6503,0.652,67177.3
75,75,1694826900000,0.6521,0.6533,0.6521,0.6526,55091.1
76,76,1694826960000,0.6526,0.6526,0.6518,0.6518,28021.9
77,77,1694827020000,0.6518,0.6526,0.6518,0.6521,70419.1
78,78,1694827080000,0.6521,0.6533,0.6517,0.6528,215400.3
79,79,1694827140000,0.6529,0.6535,0.6519,0.6527,146804.3
80,80,1694827200000,0.6527,0.6543,0.6525,0.654,67103.1
81,81,1694827260000,0.654,0.6554,0.6539,0.6548,98546.5
82,82,1694827320000,0.6546,0.6551,0.6541,0.6541,33561.2
83,83,1694827380000,0.6541,0.6548,0.6538,0.6546,43904.5
84,84,1694827440000,0.6545,0.6565,0.654,0.6565,133007.5
85,85,1694827500000,0.6565,0.6571,0.6562,0.6564,32296.1
86,86,1694827560000,0.6564,0.6588,0.6557,0.6577,153983.5
87,87,1694827620000,0.6576,0.659,0.6563,0.659,113444.5
88,88,1694827680000,0.6589,0.6589,0.6567,0.6584,180060.2
89,89,1694827740000,0.6583,0.6589,0.6577,0.6582,87759.2
90,90,1694827800000,0.6583,0.6617,0.6577,0.6611,285163.6
91,91,1694827860000,0.6613,0.6624,0.6606,0.662,153261.0
92,92,1694827920000,0.662,0.6636,0.6612,0.6617,226967.8
93,93,1694827980000,0.6617,0.6629,0.6611,0.6624,75082.0
94,94,1694828040000,0.6624,0.6624,0.6541,0.655,645558.5
95,95,1694828100000,0.6551,0.6562,0.6547,0.6551,127232.6
96,96,1694828160000,0.6551,0.6559,0.6545,0.6548,80533.3
97,97,1694828220000,0.6548,0.6548,0.6535,0.654,93613.1
98,98,1694828280000,0.6539,0.6554,0.6538,0.6547,140817.7
99,99,1694828340000,0.6546,0.6549,0.6537,0.6542,47744.5
100,100,1694828400000,0.6542,0.6542,0.6532,0.6534,36669.0
101,101,1694828460000,0.6534,0.6535,0.6516,0.6516,57595.9
102,102,1694828520000,0.6516,0.652,0.651,0.6512,61673.6
103,103,1694828580000,0.6512,0.6517,0.6509,0.6514,41855.2
104,104,1694828640000,0.6514,0.6519,0.6506,0.6519,47922.0
105,105,1694828700000,0.6518,0.6523,0.6517,0.6523,52057.2
106,106,1694828760000,0.6524,0.6527,0.6521,0.6527,28550.0
107,107,1694828820000,0.6529,0.6533,0.6528,0.6532,16622.4
108,108,1694828880000,0.6534,0.6544,0.6534,0.6542,30137.6
109,109,1694828940000,0.6542,0.6544,0.6529,0.6532,36013.5
110,110,1694829000000,0.6531,0.6537,0.6531,0.6535,29771.1
111,111,1694829060000,0.6534,0.654,0.6533,0.6534,13541.6
112,112,1694829120000,0.6534,0.6537,0.6526,0.6528,44213.1
113,113,1694829180000,0.6528,0.6528,0.6515,0.6515,77418.6
114,114,1694829240000,0.6516,0.6521,0.6511,0.6517,27609.3
115,115,1694829300000,0.6517,0.6519,0.6514,0.6516,19938.8
116,116,1694829360000,0.6516,0.6524,0.6514,0.6521,26482.7
117,117,1694829420000,0.652,0.6525,0.652,0.6524,1086.9
118,118,1694829480000,0.6524,0.6553,0.6524,0.6545,72087.4
119,119,1694829540000,0.6547,0.6576,0.6547,0.6572,133614.0
120,120,1694829600000,0.6573,0.6592,0.6569,0.6588,89054.8
121,121,1694829660000,0.6588,0.6588,0.6574,0.6579,69394.1
122,122,1694829720000,0.6579,0.6591,0.6578,0.6586,37531.9
123,123,1694829780000,0.6585,0.6599,0.6584,0.6587,38184.7
124,124,1694829840000,0.6587,0.6587,0.6574,0.6583,81568.4
125,125,1694829900000,0.6584,0.6593,0.6576,0.6576,39205.8
126,126,1694829960000,0.6576,0.6579,0.6575,0.6575,31689.1
127,127,1694830020000,0.6576,0.6581,0.6559,0.656,161877.8
128,128,1694830080000,0.6561,0.6563,0.6555,0.6562,61188.5
129,129,1694830140000,0.6563,0.6575,0.6561,0.6574,28503.2
130,130,1694830200000,0.6574,0.6589,0.6574,0.6577,36682.7
131,131,1694830260000,0.6577,0.6579,0.6575,0.6578,15882.1
132,132,1694830320000,0.6579,0.6582,0.6572,0.6572,18233.3
133,133,1694830380000,0.6573,0.6577,0.657,0.6573,27281.7
134,134,1694830440000,0.6573,0.6583,0.6569,0.6579,29511.3
135,135,1694830500000,0.6579,0.6591,0.6579,0.6587,38381.2
136,136,1694830560000,0.6587,0.6591,0.6584,0.6591,16991.0
137,137,1694830620000,0.6591,0.6591,0.6585,0.6587,25722.8
138,138,1694830680000,0.6587,0.6606,0.6587,0.6599,52256.0
139,139,1694830740000,0.66,0.6612,0.6598,0.66,34678.3
140,140,1694830800000,0.66,0.6605,0.6587,0.659,58708.3
141,141,1694830860000,0.6591,0.66,0.6591,0.6592,24235.6
142,142,1694830920000,0.6593,0.6634,0.6593,0.6621,207672.6
143,143,1694830980000,0.6622,0.6626,0.6614,0.662,53805.2
144,144,1694831040000,0.662,0.6647,0.6618,0.6636,105680.0
145,145,1694831100000,0.6636,0.6663,0.6636,0.6654,162261.1
146,146,1694831160000,0.6654,0.6659,0.6635,0.6653,149047.6
147,147,1694831220000,0.6654,0.6658,0.6651,0.6658,16835.8
148,148,1694831280000,0.6657,0.666,0.6628,0.665,166095.6
149,149,1694831340000,0.6651,0.6653,0.6648,0.6649,8182.2
150,150,1694831400000,0.665,0.6661,0.665,0.6658,52420.0
151,151,1694831460000,0.6657,0.6657,0.6586,0.6588,527654.7
152,152,1694831520000,0.6588,0.6595,0.6578,0.6587,95213.3
153,153,1694831580000,0.6587,0.6587,0.6582,0.6583,9952.8
154,154,1694831640000,0.6582,0.6587,0.6581,0.6584,43882.4
155,155,1694831700000,0.6584,0.6587,0.6583,0.6584,9851.0
156,156,1694831760000,0.6585,0.6587,0.6584,0.6584,5341.1
157,157,1694831820000,0.6584,0.6585,0.6584,0.6585,2569.5
158,158,1694831880000,0.6584,0.6587,0.6581,0.6581,14455.8
159,159,1694831940000,0.658,0.6585,0.6579,0.6585,18940.4
160,160,1694832000000,0.6586,0.6605,0.6586,0.6595,51069.9
161,161,1694832060000,0.6595,0.6602,0.6594,0.66,17386.9
162,162,1694832120000,0.66,0.6602,0.6598,0.6602,5591.1
163,163,1694832180000,0.6603,0.6603,0.6597,0.6598,7588.0
164,164,1694832240000,0.6598,0.66,0.6582,0.6584,38893.0
165,165,1694832300000,0.6586,0.6595,0.6586,0.659,28683.6
166,166,1694832360000,0.6591,0.6594,0.6582,0.6583,42761.1
167,167,1694832420000,0.6582,0.6591,0.6582,0.659,14468.2
168,168,1694832480000,0.659,0.6592,0.6589,0.659,4035.3
169,169,1694832540000,0.659,0.6596,0.659,0.6596,12741.9
170,170,1694832600000,0.6596,0.6599,0.6594,0.6595,8920.1
171,171,1694832660000,0.6594,0.6594,0.659,0.6591,12004.1
172,172,1694832720000,0.659,0.659,0.6581,0.6585,23189.5
173,173,1694832780000,0.6584,0.6586,0.6579,0.6579,9827.2
174,174,1694832840000,0.6578,0.658,0.6575,0.6576,4689.2
175,175,1694832900000,0.6575,0.658,0.6574,0.658,4340.8
176,176,1694832960000,0.658,0.658,0.657,0.657,8363.1
177,177,1694833020000,0.6571,0.6574,0.6571,0.6572,6468.9
178,178,1694833080000,0.6572,0.6573,0.6567,0.6568,5899.1
179,179,1694833140000,0.6567,0.6568,0.6563,0.6563,9494.2
180,180,1694833200000,0.6562,0.6572,0.6561,0.6568,28966.8
181,181,1694833260000,0.6569,0.6571,0.6568,0.6569,10753.1
182,182,1694833320000,0.657,0.6573,0.657,0.6571,6398.5
183,183,1694833380000,0.6571,0.6581,0.6571,0.6579,9098.2
184,184,1694833440000,0.658,0.658,0.6577,0.6577,6069.5
185,185,1694833500000,0.6578,0.658,0.6577,0.6579,10122.9
186,186,1694833560000,0.6579,0.6584,0.6579,0.6583,20441.9
187,187,1694833620000,0.6584,0.6587,0.6583,0.6587,10174.9
188,188,1694833680000,0.6586,0.659,0.6585,0.659,5388.0
189,189,1694833740000,0.6591,0.6592,0.6589,0.6591,7075.3
190,190,1694833800000,0.6591,0.6592,0.6583,0.6583,16340.6
191,191,1694833860000,0.6583,0.6593,0.6581,0.6591,31711.0
192,192,1694833920000,0.659,0.659,0.6586,0.6586,12235.0
193,193,1694833980000,0.6586,0.6586,0.6581,0.6583,18275.2
194,194,1694834040000,0.6583,0.6585,0.6582,0.6582,5833.8
195,195,1694834100000,0.6582,0.6588,0.658,0.6586,40413.8
196,196,1694834160000,0.6586,0.659,0.6585,0.6585,8853.8
197,197,1694834220000,0.6585,0.6587,0.6583,0.6584,3761.9
198,198,1694834280000,0.6585,0.6587,0.6579,0.6579,6547.3
199,199,1694834340000,0.6579,0.6581,0.6577,0.6578,11525.4
200,200,1694834400000,0.6579,0.6584,0.6578,0.6582,7212.3
201,201,1694834460000,0.6582,0.6588,0.6581,0.6585,11366.6
202,202,1694834520000,0.6584,0.6584,0.6581,0.6581,8348.5
203,203,1694834580000,0.6582,0.659,0.6581,0.6588,13496.8
204,204,1694834640000,0.6588,0.659,0.6584,0.6589,36280.2
205,205,1694834700000,0.659,0.6595,0.6589,0.6591,26859.4
206,206,1694834760000,0.6592,0.6592,0.6587,0.6588,5418.8
207,207,1694834820000,0.6589,0.6599,0.6589,0.6597,22929.8
208,208,1694834880000,0.6597,0.6597,0.6593,0.6595,7541.8
209,209,1694834940000,0.6596,0.6601,0.6595,0.6595,13503.3
210,210,1694835000000,0.6594,0.6595,0.6572,0.6572,44025.5
211,211,1694835060000,0.6572,0.658,0.6571,0.6574,22744.7
212,212,1694835120000,0.6574,0.6579,0.657,0.6574,27372.2
213,213,1694835180000,0.6574,0.6576,0.6571,0.6574,11227.2
214,214,1694835240000,0.6574,0.6575,0.6571,0.6575,15426.6
215,215,1694835300000,0.6575,0.6576,0.6565,0.657,16742.5
216,216,1694835360000,0.6569,0.6571,0.6567,0.6569,9770.0
217,217,1694835420000,0.6569,0.6572,0.6567,0.6572,11735.1
218,218,1694835480000,0.6571,0.6571,0.657,0.657,1875.5
219,219,1694835540000,0.6569,0.6569,0.6563,0.6565,10901.4
220,220,1694835600000,0.6565,0.6571,0.6562,0.6565,47775.3
221,221,1694835660000,0.6565,0.6565,0.6558,0.6559,24802.4
222,222,1694835720000,0.656,0.6561,0.6559,0.6559,4766.6
223,223,1694835780000,0.656,0.6562,0.6547,0.6547,47507.7
224,224,1694835840000,0.6548,0.655,0.6547,0.6547,14753.1
225,225,1694835900000,0.6547,0.6556,0.6547,0.655,55618.7
226,226,1694835960000,0.655,0.6552,0.6546,0.6546,13899.2
227,227,1694836020000,0.6544,0.6554,0.654,0.6546,83395.9
228,228,1694836080000,0.6545,0.6546,0.6532,0.6538,36017.2
229,229,1694836140000,0.6538,0.6545,0.6537,0.6539,33543.3
230,230,1694836200000,0.6539,0.6541,0.6524,0.6527,78828.2
231,231,1694836260000,0.6527,0.6527,0.6509,0.6522,70574.2
232,232,1694836320000,0.6522,0.6531,0.6517,0.6519,41476.8
233,233,1694836380000,0.6519,0.6527,0.6518,0.6526,15052.3
234,234,1694836440000,0.6526,0.6531,0.6521,0.6526,21373.7
235,235,1694836500000,0.6527,0.6536,0.6525,0.6525,34272.0
236,236,1694836560000,0.6526,0.6539,0.6526,0.6539,19238.5
237,237,1694836620000,0.6538,0.654,0.6536,0.654,10903.0
238,238,1694836680000,0.6539,0.6541,0.6537,0.6537,13989.9
239,239,1694836740000,0.6537,0.6537,0.6527,0.653,9533.8
240,240,1694836800000,0.653,0.6547,0.6529,0.6545,95250.9
241,241,1694836860000,0.6544,0.6545,0.6527,0.6527,35588.8
242,242,1694836920000,0.6526,0.6526,0.6513,0.6513,26425.5
243,243,1694836980000,0.6513,0.6523,0.6506,0.6514,87715.4
244,244,1694837040000,0.6515,0.6522,0.6513,0.6516,50979.4
245,245,1694837100000,0.6516,0.6528,0.6516,0.6523,25760.1
246,246,1694837160000,0.6523,0.6527,0.6517,0.6521,20905.0
247,247,1694837220000,0.6521,0.6526,0.6518,0.6524,23200.2
248,248,1694837280000,0.6525,0.6529,0.6519,0.6519,13264.5
249,249,1694837340000,0.6516,0.652,0.6507,0.6518,24493.9
250,250,1694837400000,0.652,0.6526,0.652,0.6522,12916.1
251,251,1694837460000,0.6522,0.6527,0.6522,0.6526,12152.6
252,252,1694837520000,0.6527,0.6535,0.6527,0.6533,12135.7
253,253,1694837580000,0.6532,0.6534,0.6528,0.653,11390.4
254,254,1694837640000,0.653,0.6531,0.6515,0.6519,19631.2
255,255,1694837700000,0.6518,0.6531,0.6518,0.6528,19928.5
256,256,1694837760000,0.6527,0.6527,0.652,0.6524,11710.2
257,257,1694837820000,0.6524,0.6531,0.6517,0.6521,37969.9
258,258,1694837880000,0.6522,0.6528,0.6521,0.6527,7424.4
259,259,1694837940000,0.6528,0.6533,0.6527,0.6532,17000.9
260,260,1694838000000,0.6531,0.6533,0.6525,0.6525,19738.6
261,261,1694838060000,0.6525,0.6527,0.6523,0.6527,4899.0
262,262,1694838120000,0.6526,0.6533,0.6526,0.653,4806.9
263,263,1694838180000,0.6531,0.6531,0.6512,0.6516,69705.5
264,264,1694838240000,0.6517,0.652,0.6515,0.6519,13233.9
265,265,1694838300000,0.6519,0.6524,0.6518,0.6521,23388.3
266,266,1694838360000,0.6522,0.6526,0.6518,0.652,31849.4
267,267,1694838420000,0.652,0.6533,0.652,0.6529,26582.6
268,268,1694838480000,0.6529,0.6529,0.6521,0.6528,15391.2
269,269,1694838540000,0.6526,0.6528,0.6518,0.6526,19630.9
270,270,1694838600000,0.6527,0.6529,0.6524,0.6525,13956.9
271,271,1694838660000,0.6524,0.6529,0.6524,0.6527,20173.8
272,272,1694838720000,0.6528,0.6531,0.6528,0.653,5918.2
