,index,timestamp,open,high,low,close,volume
0,0,1694304000000,0.00505,0.005055,0.005048,0.00505,969620
1,1,1694304060000,0.00505,0.005051,0.005035,0.005035,3310693
2,2,1694304120000,0.005036,0.00504,0.005036,0.005039,1156234
3,3,1694304180000,0.005039,0.005042,0.005037,0.005037,429894
4,4,1694304240000,0.005037,0.005039,0.005036,0.005038,278469
5,5,1694304300000,0.005038,0.005038,0.005037,0.005037,236062
6,6,1694304360000,0.005037,0.005037,0.005033,0.005034,1819943
7,7,1694304420000,0.005033,0.005035,0.005031,0.005033,1818429
8,8,1694304480000,0.005033,0.005037,0.005033,0.005036,1085148
9,9,1694304540000,0.005036,0.005036,0.005034,0.005035,612818
10,10,1694304600000,0.005035,0.005036,0.005033,0.005034,829609
11,11,1694304660000,0.005034,0.005034,0.005032,0.005032,856684
12,12,1694304720000,0.005032,0.005032,0.005031,0.005031,749963
13,13,1694304780000,0.005032,0.005033,0.005032,0.005033,168483
14,14,1694304840000,0.005034,0.005036,0.005034,0.005036,291629
15,15,1694304900000,0.005037,0.005037,0.005036,0.005037,154316
16,16,1694304960000,0.005037,0.005038,0.005036,0.005036,342994
17,17,1694305020000,0.005036,0.005036,0.005034,0.005034,18727
18,18,1694305080000,0.005034,0.005034,0.005032,0.005032,890935
19,19,1694305140000,0.005032,0.005032,0.005022,0.005024,2247201
20,20,1694305200000,0.005024,0.005025,0.004963,0.00498,23291783
21,21,1694305260000,0.004981,0.005004,0.004977,0.004997,11208639
22,22,1694305320000,0.004998,0.005006,0.004991,0.005002,4232543
23,23,1694305380000,0.005003,0.005006,0.004997,0.005002,1356168
24,24,1694305440000,0.005006,0.005006,0.005001,0.005001,358516
25,25,1694305500000,0.005001,0.005015,0.005001,0.005012,3053805
26,26,1694305560000,0.005012,0.005017,0.00501,0.005017,785665
27,27,1694305620000,0.005017,0.005018,0.005016,0.005017,117659
28,28,1694305680000,0.005017,0.005017,0.005011,0.005015,1047423
29,29,1694305740000,0.005015,0.005015,0.005014,0.005014,296596
30,30,1694305800000,0.005016,0.005018,0.005012,0.005018,868580
31,31,1694305860000,0.005017,0.00502,0.005011,0.005011,1886679
32,32,1694305920000,0.005012,0.005014,0.005009,0.005011,576442
33,33,1694305980000,0.00501,0.005015,0.00501,0.005014,1236905
34,34,1694306040000,0.005015,0.005017,0.005011,0.005015,452431
35,35,1694306100000,0.005016,0.005022,0.005016,0.005021,1829949
36,36,1694306160000,0.00502,0.005024,0.00502,0.005023,72800
37,37,1694306220000,0.005024,0.005027,0.005019,0.00502,1176986
38,38,1694306280000,0.00502,0.00502,0.00502,0.00502,13323
39,39,1694306340000,0.00502,0.00502,0.005009,0.00502,1350045
40,40,1694306400000,0.005021,0.005021,0.005015,0.00502,720096
41,41,1694306460000,0.005021,0.005021,0.005018,0.00502,403378
42,42,1694306520000,0.005019,0.005021,0.005019,0.005021,25827
43,43,1694306580000,0.005021,0.005021,0.005019,0.005019,208450
44,44,1694306640000,0.00502,0.005022,0.00502,0.005021,172512
45,45,1694306700000,0.005022,0.005026,0.005021,0.005026,323663
46,46,1694306760000,0.005027,0.005027,0.005023,0.005023,257320
47,47,1694306820000,0.005022,0.005022,0.005021,0.005021,203192
48,48,1694306880000,0.005023,0.005027,0.005023,0.005027,373632
49,49,1694306940000,0.005026,0.005026,0.005025,0.005025,125134
50,50,1694307000000,0.005025,0.005027,0.005025,0.005026,262196
51,51,1694307060000,0.005026,0.005027,0.005026,0.005027,253032
52,52,1694307120000,0.005027,0.005027,0.005026,0.005026,103985
53,53,1694307180000,0.005027,0.005034,0.005027,0.005034,1251999
54,54,1694307240000,0.005033,0.005037,0.005033,0.005035,386104
55,55,1694307300000,0.005035,0.005037,0.005034,0.005035,352894
56,56,1694307360000,0.005035,0.005037,0.005035,0.005037,26861
57,57,1694307420000,0.005037,0.005042,0.005037,0.005042,531370
58,58,1694307480000,0.005041,0.005043,0.005041,0.005043,259586
59,59,1694307540000,0.005042,0.005044,0.005038,0.005041,1213271
60,60,1694307600000,0.005041,0.005047,0.005037,0.005046,2575330
61,61,1694307660000,0.005045,0.005049,0.005044,0.005048,1278630
62,62,1694307720000,0.005045,0.00505,0.005044,0.00505,1106207
63,63,1694307780000,0.00505,0.005051,0.005048,0.00505,523714
64,64,1694307840000,0.005049,0.005051,0.005044,0.005044,643284
65,65,1694307900000,0.005045,0.005047,0.005041,0.005045,2216597
66,66,1694307960000,0.005044,0.005045,0.005033,0.005033,1363044
67,67,1694308020000,0.005034,0.005038,0.005027,0.005029,1027585
68,68,1694308080000,0.00503,0.005038,0.00503,0.005036,1973382
69,69,1694308140000,0.005037,0.005038,0.005036,0.005036,334792
70,70,1694308200000,0.005036,0.005038,0.005034,0.005034,230885
71,71,1694308260000,0.005034,0.005039,0.005034,0.005038,418405
72,72,1694308320000,0.005039,0.005039,0.005036,0.005038,322109
73,73,1694308380000,0.005039,0.005045,0.005039,0.005044,2264598
74,74,1694308440000,0.005043,0.005043,0.005039,0.005039,704590
75,75,1694308500000,0.005039,0.005044,0.005038,0.005044,88356
76,76,1694308560000,0.005043,0.005046,0.00504,0.005046,279744
77,77,1694308620000,0.005047,0.005048,0.005045,0.005048,307544
78,78,1694308680000,0.005047,0.005048,0.005046,0.005046,299521
