,index,timestamp,open,high,low,close,volume
0,0,1688169600000,0.1644,0.1648,0.1643,0.1646,170476.8
1,1,1688169660000,0.1646,0.1647,0.1643,0.1643,92623.9
2,2,1688169720000,0.1644,0.1646,0.1644,0.1644,45273.9
3,3,1688169780000,0.1645,0.1645,0.1644,0.1644,10685.7
4,4,1688169840000,0.1645,0.1646,0.1645,0.1646,16736.4
5,5,1688169900000,0.1646,0.1647,0.1645,0.1645,34564.0
6,6,1688169960000,0.1646,0.1647,0.1646,0.1647,13883.4
7,7,1688170020000,0.1648,0.1648,0.1648,0.1648,34887.7
8,8,1688170080000,0.1648,0.1648,0.1646,0.1648,93239.6
9,9,1688170140000,0.1648,0.1653,0.1648,0.1652,123281.7
10,10,1688170200000,0.1652,0.1653,0.165,0.1652,100326.5
11,11,1688170260000,0.1652,0.1652,0.1652,0.1652,37442.8
12,12,1688170320000,0.1652,0.1653,0.165,0.165,53198.0
13,13,1688170380000,0.165,0.165,0.1645,0.1645,64745.7
14,14,1688170440000,0.1644,0.1648,0.1643,0.1648,216623.7
15,15,1688170500000,0.1648,0.1651,0.1646,0.1651,198443.9
16,16,1688170560000,0.1651,0.1651,0.165,0.165,49934.2
17,17,1688170620000,0.1649,0.165,0.1647,0.1649,67827.1
18,18,1688170680000,0.165,0.165,0.1648,0.165,29916.0
19,19,1688170740000,0.1649,0.1654,0.1649,0.1652,80576.6
20,20,1688170800000,0.1652,0.1653,0.1651,0.1652,27335.9
21,21,1688170860000,0.1651,0.1653,0.165,0.1653,66702.5
22,22,1688170920000,0.1652,0.1652,0.1651,0.1652,23328.2
23,23,1688170980000,0.1653,0.1654,0.1652,0.1653,112123.9
24,24,1688171040000,0.1653,0.1653,0.1653,0.1653,19552.9
25,25,1688171100000,0.1653,0.1653,0.1652,0.1652,35379.5
26,26,1688171160000,0.1652,0.1654,0.1652,0.1653,9293.4
27,27,1688171220000,0.1654,0.1654,0.1654,0.1654,11582.5
28,28,1688171280000,0.1654,0.1654,0.1654,0.1654,10490.6
29,29,1688171340000,0.1655,0.1655,0.1654,0.1654,43405.7
30,30,1688171400000,0.1654,0.1657,0.1654,0.1657,122203.1
31,31,1688171460000,0.1657,0.1658,0.1657,0.1658,33272.1
32,32,1688171520000,0.1657,0.1659,0.1657,0.1658,69260.7
33,33,1688171580000,0.1659,0.1659,0.1658,0.1659,30900.0
34,34,1688171640000,0.1659,0.1659,0.1658,0.1658,1089.3
35,35,1688171700000,0.1658,0.1658,0.1656,0.1657,70482.7
36,36,1688171760000,0.1657,0.1657,0.1655,0.1656,27004.3
37,37,1688171820000,0.1657,0.1657,0.1656,0.1656,297.6
38,38,1688171880000,0.1656,0.1657,0.1656,0.1657,9693.6
39,39,1688171940000,0.1657,0.1658,0.1657,0.1657,25555.6
40,40,1688172000000,0.1657,0.1658,0.1657,0.1658,12262.2
41,41,1688172060000,0.1658,0.1658,0.1658,0.1658,30165.3
42,42,1688172120000,0.1659,0.166,0.1659,0.166,92735.1
43,43,1688172180000,0.1659,0.1659,0.1657,0.1657,217030.5
44,44,1688172240000,0.1657,0.1657,0.1655,0.1657,159279.3
45,45,1688172300000,0.1657,0.1657,0.1652,0.1652,54315.5
46,46,1688172360000,0.1651,0.1652,0.165,0.1652,89054.8
47,47,1688172420000,0.1652,0.1652,0.165,0.165,25563.1
48,48,1688172480000,0.165,0.165,0.1649,0.165,51283.1
49,49,1688172540000,0.1651,0.1653,0.1651,0.1651,30323.4
50,50,1688172600000,0.165,0.1651,0.165,0.165,40169.9
51,51,1688172660000,0.1651,0.1651,0.1651,0.1651,168.7
52,52,1688172720000,0.165,0.165,0.165,0.165,36176.3
53,53,1688172780000,0.165,0.1651,0.1649,0.165,22401.1
54,54,1688172840000,0.165,0.165,0.1648,0.1648,12082.2
55,55,1688172900000,0.1648,0.1648,0.1647,0.1647,19905.0
56,56,1688172960000,0.1647,0.1647,0.1646,0.1646,21461.8
57,57,1688173020000,0.1647,0.1648,0.1647,0.1648,4242.3
58,58,1688173080000,0.1647,0.1647,0.1646,0.1647,22626.6
59,59,1688173140000,0.1648,0.1648,0.1647,0.1648,10185.9
60,60,1688173200000,0.1648,0.1652,0.1647,0.1651,86544.6
61,61,1688173260000,0.1651,0.1653,0.1649,0.1652,49342.7
62,62,1688173320000,0.1652,0.1653,0.1652,0.1652,8748.0
63,63,1688173380000,0.1652,0.1654,0.1651,0.1654,19033.2
64,64,1688173440000,0.1653,0.1653,0.1652,0.1653,14398.2
65,65,1688173500000,0.1652,0.1655,0.1651,0.1652,82708.1
66,66,1688173560000,0.1651,0.1651,0.1649,0.1649,8826.9
67,67,1688173620000,0.1649,0.165,0.1648,0.1648,41078.3
68,68,1688173680000,0.1648,0.1648,0.1648,0.1648,16789.8
69,69,1688173740000,0.1649,0.165,0.1648,0.1649,30444.4
70,70,1688173800000,0.165,0.1653,0.165,0.1652,90495.9
71,71,1688173860000,0.1652,0.1655,0.1652,0.1654,40227.3
72,72,1688173920000,0.1655,0.1658,0.1655,0.1656,68803.4
73,73,1688173980000,0.1656,0.1656,0.1656,0.1656,37086.8
74,74,1688174040000,0.1656,0.1656,0.1655,0.1655,20423.0
75,75,1688174100000,0.1656,0.1656,0.1651,0.1651,60640.8
76,76,1688174160000,0.1651,0.1654,0.165,0.1654,101626.7
77,77,1688174220000,0.1654,0.1656,0.1649,0.165,186176.9
78,78,1688174280000,0.165,0.1655,0.165,0.1655,164241.4
79,79,1688174340000,0.1655,0.1655,0.1651,0.1652,85797.5
80,80,1688174400000,0.1653,0.1653,0.1649,0.1649,82190.8
81,81,1688174460000,0.1648,0.1651,0.1648,0.165,134004.6
82,82,1688174520000,0.165,0.1651,0.1647,0.1649,106415.6
83,83,1688174580000,0.1648,0.1648,0.164,0.1641,520075.8
84,84,1688174640000,0.1641,0.1641,0.1635,0.1637,521208.7
85,85,1688174700000,0.1638,0.1644,0.1638,0.1642,159082.3
86,86,1688174760000,0.1642,0.1643,0.1642,0.1643,33467.4
87,87,1688174820000,0.1644,0.1647,0.1643,0.1645,185188.9
88,88,1688174880000,0.1645,0.1648,0.1645,0.1648,103435.1
89,89,1688174940000,0.1648,0.1651,0.1648,0.1649,68277.4
90,90,1688175000000,0.1649,0.1652,0.1648,0.1651,156786.2
91,91,1688175060000,0.1651,0.1653,0.165,0.1653,53392.0
92,92,1688175120000,0.1653,0.1654,0.1652,0.1652,31935.3
93,93,1688175180000,0.1653,0.166,0.1653,0.1659,306227.4
94,94,1688175240000,0.166,0.1663,0.1659,0.1661,369916.2
95,95,1688175300000,0.1661,0.1664,0.1661,0.1662,108846.2
96,96,1688175360000,0.1662,0.1662,0.1659,0.1662,87103.3
97,97,1688175420000,0.1663,0.1663,0.166,0.1661,49510.4
98,98,1688175480000,0.1661,0.1661,0.166,0.1661,23338.4
99,99,1688175540000,0.166,0.1661,0.166,0.1661,18130.3
100,100,1688175600000,0.166,0.1661,0.1657,0.1661,117172.7
101,101,1688175660000,0.1661,0.1661,0.1661,0.1661,4888.9
102,102,1688175720000,0.1661,0.1661,0.166,0.1661,13829.1
103,103,1688175780000,0.1661,0.1662,0.1661,0.1661,14710.3
