,index,timestamp,open,high,low,close,volume
0,0,1694476800000,0.5007,0.5008,0.4999,0.5,37712
1,1,1694476860000,0.5,0.5005,0.4999,0.5005,21145
2,2,1694476920000,0.5005,0.5011,0.5005,0.501,8592
3,3,1694476980000,0.5009,0.5009,0.4999,0.5004,29717
4,4,1694477040000,0.5004,0.5008,0.5001,0.5003,56740
5,5,1694477100000,0.5003,0.5007,0.4998,0.4999,47955
6,6,1694477160000,0.5,0.5,0.4988,0.4988,29338
7,7,1694477220000,0.4988,0.4995,0.4988,0.4993,18590
8,8,1694477280000,0.4994,0.4998,0.4992,0.4992,44311
9,9,1694477340000,0.4992,0.4994,0.4987,0.4987,18952
10,10,1694477400000,0.4986,0.4993,0.4986,0.4993,10504
11,11,1694477460000,0.4994,0.5002,0.4994,0.4997,25342
12,12,1694477520000,0.4996,0.4996,0.4993,0.4995,9603
13,13,1694477580000,0.4994,0.4994,0.4992,0.4992,3101
14,14,1694477640000,0.4991,0.4992,0.4989,0.4992,20183
15,15,1694477700000,0.4994,0.4996,0.4984,0.4985,19796
16,16,1694477760000,0.4986,0.4989,0.4981,0.4983,47312
17,17,1694477820000,0.4983,0.4988,0.4981,0.4985,24685
18,18,1694477880000,0.4984,0.4984,0.498,0.4983,13319
19,19,1694477940000,0.4983,0.4987,0.4982,0.4982,22500
20,20,1694478000000,0.4982,0.4983,0.4982,0.4983,3262
21,21,1694478060000,0.4983,0.4983,0.498,0.4983,19461
22,22,1694478120000,0.4982,0.4986,0.4982,0.4984,8785
23,23,1694478180000,0.4984,0.4985,0.4984,0.4984,11828
24,24,1694478240000,0.4984,0.4987,0.4983,0.4984,26255
25,25,1694478300000,0.4983,0.4984,0.4978,0.4984,16009
26,26,1694478360000,0.4983,0.4988,0.4981,0.4983,19280
27,27,1694478420000,0.4983,0.4985,0.4983,0.4985,17227
28,28,1694478480000,0.4986,0.4991,0.4984,0.4991,24820
29,29,1694478540000,0.4991,0.4992,0.4989,0.4989,19443
30,30,1694478600000,0.4989,0.4992,0.4987,0.4987,18986
31,31,1694478660000,0.4988,0.4998,0.4988,0.4996,30356
32,32,1694478720000,0.4995,0.4995,0.4987,0.4991,31832
33,33,1694478780000,0.499,0.499,0.4983,0.4985,13049
34,34,1694478840000,0.4985,0.4985,0.4981,0.4982,2425
35,35,1694478900000,0.4982,0.4985,0.4982,0.4985,5650
36,36,1694478960000,0.4984,0.4988,0.4984,0.4988,26271
37,37,1694479020000,0.4988,0.4989,0.4988,0.4989,2674
38,38,1694479080000,0.4989,0.4991,0.4987,0.4989,21385
39,39,1694479140000,0.4989,0.4989,0.4988,0.4989,2871
40,40,1694479200000,0.4989,0.4992,0.4988,0.4991,8201
41,41,1694479260000,0.4991,0.4991,0.4988,0.499,11338
42,42,1694479320000,0.4989,0.4989,0.4987,0.4987,1763
43,43,1694479380000,0.4988,0.4992,0.4988,0.4992,4617
44,44,1694479440000,0.4992,0.4994,0.4991,0.4991,8059
45,45,1694479500000,0.4988,0.4992,0.4988,0.4992,4715
46,46,1694479560000,0.4992,0.5008,0.4991,0.5008,41738
47,47,1694479620000,0.5007,0.5018,0.5003,0.5005,61023
48,48,1694479680000,0.5006,0.501,0.5005,0.501,20620
49,49,1694479740000,0.5011,0.5017,0.5009,0.5011,21010
50,50,1694479800000,0.5012,0.5032,0.5012,0.5032,44026
51,51,1694479860000,0.5033,0.5038,0.5019,0.5021,121200
52,52,1694479920000,0.5021,0.5025,0.5019,0.5024,61177
53,53,1694479980000,0.5023,0.5034,0.5022,0.5032,100529
54,54,1694480040000,0.5031,0.5045,0.5029,0.5039,34854
55,55,1694480100000,0.5038,0.5039,0.5033,0.5038,36505
56,56,1694480160000,0.5037,0.5037,0.5022,0.5023,53250
57,57,1694480220000,0.5022,0.5024,0.5017,0.5019,23010
58,58,1694480280000,0.5018,0.502,0.5012,0.5015,27742
59,59,1694480340000,0.5015,0.5021,0.5013,0.5021,27876
60,60,1694480400000,0.502,0.5024,0.5016,0.5022,25768
61,61,1694480460000,0.5022,0.5022,0.501,0.501,15597
62,62,1694480520000,0.5009,0.5009,0.5001,0.5005,28508
63,63,1694480580000,0.5004,0.5005,0.4998,0.5005,12784
64,64,1694480640000,0.5006,0.5007,0.5,0.5,10645
65,65,1694480700000,0.5,0.5001,0.4997,0.4997,21138
66,66,1694480760000,0.4998,0.5,0.4997,0.4998,10634
67,67,1694480820000,0.4998,0.4999,0.4994,0.4998,20933
68,68,1694480880000,0.4998,0.5001,0.4997,0.5,12067
69,69,1694480940000,0.5,0.5011,0.5,0.5008,62069
