,index,timestamp,open,high,low,close,volume
0,0,1690848000000,22.86,22.87,22.83,22.83,740.6
1,1,1690848060000,22.84,22.87,22.84,22.87,268.5
2,2,1690848120000,22.86,22.87,22.85,22.86,177.6
3,3,1690848180000,22.86,22.86,22.86,22.86,86.3
4,4,1690848240000,22.86,22.86,22.84,22.84,160.3
5,5,1690848300000,22.84,22.84,22.77,22.79,440.9
6,6,1690848360000,22.79,22.79,22.77,22.78,124.6
7,7,1690848420000,22.79,22.79,22.78,22.78,194.0
8,8,1690848480000,22.78,22.78,22.78,22.78,28.3
9,9,1690848540000,22.79,22.8,22.79,22.8,156.9
10,10,1690848600000,22.81,22.84,22.81,22.82,261.3
11,11,1690848660000,22.82,22.83,22.82,22.82,23.3
12,12,1690848720000,22.83,22.84,22.83,22.83,63.2
13,13,1690848780000,22.84,22.84,22.83,22.84,18.9
14,14,1690848840000,22.83,22.84,22.83,22.84,49.9
15,15,1690848900000,22.85,22.87,22.85,22.87,108.9
16,16,1690848960000,22.87,22.89,22.87,22.88,149.5
17,17,1690849020000,22.87,22.89,22.86,22.88,393.9
18,18,1690849080000,22.88,22.88,22.86,22.86,94.2
19,19,1690849140000,22.86,22.86,22.84,22.86,423.4
20,20,1690849200000,22.87,22.88,22.86,22.88,124.1
21,21,1690849260000,22.89,22.92,22.89,22.92,187.5
22,22,1690849320000,22.92,22.92,22.9,22.9,47.4
23,23,1690849380000,22.9,22.9,22.89,22.89,64.3
24,24,1690849440000,22.89,22.89,22.87,22.87,137.3
25,25,1690849500000,22.87,22.9,22.87,22.89,128.6
26,26,1690849560000,22.88,22.88,22.88,22.88,12.1
27,27,1690849620000,22.88,22.88,22.88,22.88,1.8
28,28,1690849680000,22.88,22.88,22.84,22.86,263.4
29,29,1690849740000,22.86,22.87,22.86,22.87,56.9
30,30,1690849800000,22.87,22.9,22.86,22.9,103.1
31,31,1690849860000,22.9,22.91,22.9,22.91,4.3
32,32,1690849920000,22.91,22.92,22.91,22.92,36.7
33,33,1690849980000,22.92,22.93,22.92,22.92,185.5
34,34,1690850040000,22.93,22.93,22.93,22.93,50.0
35,35,1690850100000,22.93,22.93,22.93,22.93,18.9
36,36,1690850160000,22.94,22.95,22.93,22.93,390.2
37,37,1690850220000,22.93,22.93,22.93,22.93,0.0
38,38,1690850280000,22.92,22.94,22.92,22.94,307.9
39,39,1690850340000,22.95,22.97,22.94,22.95,458.9
40,40,1690850400000,22.96,22.96,22.95,22.95,14.0
41,41,1690850460000,22.96,22.96,22.96,22.96,29.3
42,42,1690850520000,22.96,22.98,22.96,22.96,107.9
43,43,1690850580000,22.96,22.96,22.95,22.95,118.2
44,44,1690850640000,22.95,22.96,22.95,22.96,82.7
45,45,1690850700000,22.96,22.97,22.96,22.97,38.2
46,46,1690850760000,22.96,22.96,22.96,22.96,56.4
47,47,1690850820000,22.96,22.96,22.95,22.96,146.4
48,48,1690850880000,22.95,22.95,22.94,22.95,99.5
49,49,1690850940000,22.94,22.95,22.94,22.95,71.3
50,50,1690851000000,22.94,22.95,22.94,22.94,135.9
51,51,1690851060000,22.93,22.94,22.93,22.94,14.1
52,52,1690851120000,22.94,22.94,22.92,22.92,37.0
53,53,1690851180000,22.93,22.94,22.93,22.94,72.8
54,54,1690851240000,22.93,22.95,22.93,22.95,12.7
55,55,1690851300000,22.95,22.95,22.95,22.95,50.7
56,56,1690851360000,22.95,22.95,22.94,22.94,22.0
57,57,1690851420000,22.95,22.97,22.95,22.97,116.3
58,58,1690851480000,22.96,22.97,22.96,22.96,39.5
59,59,1690851540000,22.96,22.97,22.95,22.97,155.8
60,60,1690851600000,22.96,22.97,22.95,22.95,31.8
61,61,1690851660000,22.95,22.96,22.94,22.96,38.9
62,62,1690851720000,22.96,22.96,22.94,22.94,54.0
63,63,1690851780000,22.94,22.94,22.93,22.94,37.3
64,64,1690851840000,22.93,22.94,22.92,22.94,902.3
65,65,1690851900000,22.94,22.94,22.91,22.92,627.4
66,66,1690851960000,22.92,22.94,22.92,22.93,251.6
67,67,1690852020000,22.93,22.93,22.93,22.93,85.5
68,68,1690852080000,22.92,22.93,22.91,22.93,30.7
69,69,1690852140000,22.93,22.93,22.92,22.92,20.2
70,70,1690852200000,22.93,22.94,22.93,22.94,19.4
71,71,1690852260000,22.93,22.95,22.93,22.95,47.9
72,72,1690852320000,22.94,22.94,22.93,22.93,33.3
73,73,1690852380000,22.94,22.94,22.94,22.94,81.7
74,74,1690852440000,22.94,22.94,22.93,22.93,29.4
75,75,1690852500000,22.93,22.94,22.9,22.9,120.8
76,76,1690852560000,22.89,22.9,22.89,22.9,7.7
77,77,1690852620000,22.9,22.9,22.88,22.89,126.0
78,78,1690852680000,22.9,22.9,22.87,22.87,103.4
79,79,1690852740000,22.87,22.88,22.87,22.88,98.0
80,80,1690852800000,22.88,22.88,22.87,22.87,18.0
81,81,1690852860000,22.87,22.87,22.84,22.84,436.6
82,82,1690852920000,22.84,22.85,22.84,22.84,13.2
83,83,1690852980000,22.84,22.84,22.84,22.84,5.0
84,84,1690853040000,22.84,22.84,22.83,22.83,91.4
85,85,1690853100000,22.84,22.84,22.83,22.83,15.5
