,index,timestamp,open,high,low,close,volume
0,0,1694908800000,19.27,19.29,19.27,19.27,939.3
1,1,1694908860000,19.28,19.28,19.25,19.25,163.4
2,2,1694908920000,19.26,19.28,19.25,19.26,339.6
3,3,1694908980000,19.26,19.27,19.26,19.27,48.8
4,4,1694909040000,19.27,19.28,19.24,19.24,383.6
5,5,1694909100000,19.24,19.26,19.24,19.26,110.3
6,6,1694909160000,19.26,19.26,19.25,19.25,80.6
7,7,1694909220000,19.25,19.26,19.23,19.23,235.7
8,8,1694909280000,19.23,19.23,19.21,19.23,274.0
9,9,1694909340000,19.24,19.24,19.23,19.23,92.2
10,10,1694909400000,19.21,19.21,19.13,19.2,1390.7
11,11,1694909460000,19.19,19.2,19.18,19.18,352.4
12,12,1694909520000,19.17,19.18,19.15,19.16,571.2
13,13,1694909580000,19.16,19.16,19.14,19.14,422.6
14,14,1694909640000,19.14,19.15,19.13,19.14,380.2
15,15,1694909700000,19.15,19.15,19.07,19.07,707.7
16,16,1694909760000,19.07,19.12,19.03,19.12,1936.7
17,17,1694909820000,19.13,19.13,19.11,19.12,204.4
18,18,1694909880000,19.12,19.12,19.12,19.12,79.9
19,19,1694909940000,19.14,19.14,19.13,19.13,9.9
20,20,1694910000000,19.14,19.15,19.14,19.15,259.4
21,21,1694910060000,19.16,19.16,19.16,19.16,51.2
22,22,1694910120000,19.16,19.16,19.13,19.15,491.1
23,23,1694910180000,19.15,19.15,19.14,19.15,13.5
24,24,1694910240000,19.15,19.15,19.13,19.13,163.5
25,25,1694910300000,19.14,19.15,19.14,19.15,187.2
26,26,1694910360000,19.14,19.15,19.14,19.14,75.3
27,27,1694910420000,19.14,19.14,19.08,19.09,604.1
28,28,1694910480000,19.09,19.11,19.08,19.08,539.0
29,29,1694910540000,19.08,19.09,19.06,19.08,845.2
30,30,1694910600000,19.08,19.09,19.07,19.09,144.9
31,31,1694910660000,19.09,19.09,19.06,19.07,462.7
32,32,1694910720000,19.08,19.08,19.07,19.08,352.5
33,33,1694910780000,19.07,19.07,19.05,19.06,237.9
34,34,1694910840000,19.07,19.07,19.05,19.06,696.3
35,35,1694910900000,19.06,19.08,19.05,19.08,655.9
36,36,1694910960000,19.08,19.11,19.07,19.11,517.7
37,37,1694911020000,19.11,19.12,19.1,19.1,221.9
38,38,1694911080000,19.1,19.1,19.08,19.09,425.7
39,39,1694911140000,19.09,19.11,19.09,19.1,409.1
40,40,1694911200000,19.1,19.12,19.1,19.11,259.6
41,41,1694911260000,19.11,19.11,19.1,19.11,71.7
42,42,1694911320000,19.1,19.11,19.09,19.09,299.9
43,43,1694911380000,19.1,19.1,19.1,19.1,92.8
44,44,1694911440000,19.11,19.13,19.11,19.13,362.8
45,45,1694911500000,19.12,19.13,19.11,19.11,180.5
46,46,1694911560000,19.11,19.11,19.09,19.1,149.3
47,47,1694911620000,19.09,19.09,19.07,19.08,86.4
48,48,1694911680000,19.07,19.08,19.06,19.07,246.7
49,49,1694911740000,19.06,19.08,19.06,19.07,268.0
50,50,1694911800000,19.07,19.07,19.06,19.06,59.7
51,51,1694911860000,19.06,19.06,19.06,19.06,0.6
52,52,1694911920000,19.06,19.06,19.01,19.01,519.1
53,53,1694911980000,19.01,19.01,18.93,18.99,2360.0
54,54,1694912040000,19.0,19.02,18.98,18.99,749.5
55,55,1694912100000,18.99,19.02,18.97,19.02,1044.9
56,56,1694912160000,19.02,19.02,19.0,19.01,531.4
57,57,1694912220000,19.0,19.0,18.98,18.99,606.9
58,58,1694912280000,18.99,18.99,18.95,18.96,454.2
59,59,1694912340000,18.96,18.99,18.96,18.97,483.2
60,60,1694912400000,18.97,18.99,18.96,18.97,636.7
61,61,1694912460000,18.96,18.96,18.8,18.81,2856.7
62,62,1694912520000,18.82,18.93,18.76,18.91,3501.7
63,63,1694912580000,18.91,18.93,18.9,18.92,707.0
64,64,1694912640000,18.93,18.95,18.93,18.93,461.7
65,65,1694912700000,18.93,18.94,18.91,18.92,567.8
66,66,1694912760000,18.91,18.93,18.89,18.89,326.9
67,67,1694912820000,18.88,18.9,18.87,18.88,581.8
68,68,1694912880000,18.88,18.91,18.84,18.84,431.5
69,69,1694912940000,18.83,18.89,18.82,18.89,549.9
70,70,1694913000000,18.9,18.92,18.89,18.89,343.8
71,71,1694913060000,18.88,18.91,18.88,18.89,883.9
72,72,1694913120000,18.9,18.9,18.87,18.89,766.9
73,73,1694913180000,18.89,18.91,18.88,18.91,357.3
74,74,1694913240000,18.9,18.9,18.9,18.9,50.2
