,index,timestamp,open,high,low,close,volume
0,0,1688169600000,2.0516,2.0569,2.051,2.0566,12624.2
1,1,1688169660000,2.0568,2.0571,2.0532,2.0537,7100.6
2,2,1688169720000,2.0537,2.0613,2.0537,2.0568,6636.5
3,3,1688169780000,2.0567,2.0595,2.055,2.055,3156.7
4,4,1688169840000,2.0551,2.0574,2.0547,2.0555,5239.3
5,5,1688169900000,2.0558,2.0577,2.0547,2.0559,16078.2
6,6,1688169960000,2.056,2.0638,2.056,2.0638,2995.3
7,7,1688170020000,2.0635,2.0641,2.0621,2.0641,1165.1
8,8,1688170080000,2.0642,2.0653,2.0616,2.0616,4268.3
9,9,1688170140000,2.0613,2.065,2.0603,2.0642,7054.6
10,10,1688170200000,2.0644,2.0664,2.0635,2.064,5035.3
11,11,1688170260000,2.0641,2.0655,2.0635,2.0653,4787.6
12,12,1688170320000,2.0655,2.0683,2.0618,2.0623,13713.9
13,13,1688170380000,2.0624,2.0629,2.0545,2.0547,8758.1
14,14,1688170440000,2.0547,2.0595,2.0539,2.0595,10075.6
15,15,1688170500000,2.0597,2.064,2.0564,2.064,5491.8
16,16,1688170560000,2.0644,2.065,2.0563,2.0563,67094.0
17,17,1688170620000,2.0562,2.0566,2.0533,2.0553,5586.1
18,18,1688170680000,2.0564,2.0564,2.0545,2.0547,1825.2
19,19,1688170740000,2.0549,2.0592,2.0548,2.0563,6913.7
20,20,1688170800000,2.0554,2.0598,2.0554,2.0573,5485.5
21,21,1688170860000,2.0572,2.059,2.0536,2.0587,6002.9
22,22,1688170920000,2.0587,2.0609,2.0575,2.0603,3173.0
23,23,1688170980000,2.0611,2.0629,2.0597,2.0599,1484.1
24,24,1688171040000,2.0613,2.0633,2.0612,2.0623,2426.1
25,25,1688171100000,2.0614,2.0623,2.0596,2.0596,1917.6
26,26,1688171160000,2.0598,2.0616,2.0574,2.0616,1368.7
27,27,1688171220000,2.062,2.0638,2.0604,2.0638,3657.4
28,28,1688171280000,2.0639,2.0678,2.0639,2.0661,17614.1
29,29,1688171340000,2.0663,2.0684,2.0661,2.0684,2459.4
30,30,1688171400000,2.0685,2.0703,2.0664,2.0702,9357.8
31,31,1688171460000,2.0704,2.0715,2.069,2.0711,2485.1
32,32,1688171520000,2.0711,2.0724,2.0703,2.0717,3488.3
33,33,1688171580000,2.0716,2.072,2.07,2.0711,1403.7
34,34,1688171640000,2.0716,2.0724,2.0701,2.0701,2684.1
35,35,1688171700000,2.07,2.07,2.0643,2.0673,14798.4
36,36,1688171760000,2.0671,2.0684,2.065,2.065,4105.5
37,37,1688171820000,2.0654,2.0662,2.0647,2.0655,2535.9
38,38,1688171880000,2.0662,2.0679,2.0662,2.0667,3892.4
39,39,1688171940000,2.0664,2.0693,2.0664,2.0693,3013.7
40,40,1688172000000,2.0696,2.0706,2.0679,2.0697,3819.1
41,41,1688172060000,2.0695,2.0713,2.0684,2.0711,4012.5
42,42,1688172120000,2.0714,2.0719,2.0701,2.0701,3560.4
43,43,1688172180000,2.0708,2.0708,2.0706,2.0706,186.9
44,44,1688172240000,2.0706,2.0711,2.0699,2.0705,3319.0
45,45,1688172300000,2.0703,2.0707,2.0644,2.0644,9984.4
46,46,1688172360000,2.0653,2.0691,2.0641,2.0674,6866.9
47,47,1688172420000,2.067,2.0672,2.0644,2.0644,2962.1
48,48,1688172480000,2.064,2.0651,2.0622,2.065,5863.6
49,49,1688172540000,2.0648,2.0676,2.0647,2.0663,4476.2
50,50,1688172600000,2.0652,2.0654,2.062,2.0646,7821.3
51,51,1688172660000,2.0646,2.0661,2.0642,2.0649,4467.2
52,52,1688172720000,2.0648,2.0654,2.063,2.0647,3984.4
53,53,1688172780000,2.0647,2.0658,2.0597,2.063,4141.8
54,54,1688172840000,2.063,2.0636,2.0607,2.0607,2357.5
55,55,1688172900000,2.0607,2.0613,2.0573,2.0588,4029.7
56,56,1688172960000,2.0588,2.0592,2.0552,2.056,5292.4
57,57,1688173020000,2.0551,2.0556,2.0539,2.0539,3382.6
58,58,1688173080000,2.0538,2.0545,2.0501,2.0544,5664.0
59,59,1688173140000,2.0541,2.0547,2.0525,2.0525,2655.0
60,60,1688173200000,2.0525,2.0547,2.052,2.0542,7225.4
61,61,1688173260000,2.0541,2.0568,2.0513,2.0566,10331.6
62,62,1688173320000,2.0567,2.0592,2.0561,2.0578,2510.3
63,63,1688173380000,2.0584,2.0638,2.0571,2.0623,3853.5
64,64,1688173440000,2.0623,2.0631,2.0607,2.0626,3943.5
65,65,1688173500000,2.0621,2.0624,2.0559,2.0574,8922.0
66,66,1688173560000,2.0575,2.0576,2.0533,2.0533,2241.2
67,67,1688173620000,2.0532,2.0541,2.0496,2.0496,6840.6
68,68,1688173680000,2.0494,2.0514,2.0482,2.0514,6417.9
69,69,1688173740000,2.0508,2.0526,2.0495,2.0523,1668.5
70,70,1688173800000,2.0527,2.0557,2.0527,2.0552,5743.7
71,71,1688173860000,2.0551,2.062,2.0546,2.0617,7186.0
72,72,1688173920000,2.0616,2.064,2.0593,2.0637,5691.7
73,73,1688173980000,2.0632,2.066,2.0632,2.0654,2996.3
74,74,1688174040000,2.0654,2.066,2.061,2.0621,7007.7
75,75,1688174100000,2.0615,2.0615,2.0555,2.0556,12404.5
