,index,timestamp,open,high,low,close,volume
0,0,1694217600000,1.5416,1.5431,1.5396,1.5396,42649
1,1,1694217660000,1.5396,1.5397,1.5366,1.537,96028
2,2,1694217720000,1.5372,1.5396,1.537,1.5391,21607
3,3,1694217780000,1.5393,1.5402,1.5389,1.5389,9342
4,4,1694217840000,1.5389,1.5404,1.5387,1.5393,13589
5,5,1694217900000,1.5395,1.5402,1.5388,1.5388,57750
6,6,1694217960000,1.539,1.5395,1.5374,1.5375,16550
7,7,1694218020000,1.5374,1.5375,1.5358,1.536,35868
8,8,1694218080000,1.5362,1.5363,1.5354,1.5358,12582
9,9,1694218140000,1.5358,1.5362,1.5357,1.5362,5809
10,10,1694218200000,1.5361,1.5363,1.5352,1.5358,15640
11,11,1694218260000,1.5358,1.5359,1.5354,1.5357,5319
12,12,1694218320000,1.5359,1.5359,1.535,1.5351,5204
13,13,1694218380000,1.5351,1.5353,1.5321,1.5332,131826
14,14,1694218440000,1.5332,1.5339,1.5328,1.5339,14117
15,15,1694218500000,1.5338,1.534,1.5332,1.5335,10514
16,16,1694218560000,1.5339,1.534,1.5331,1.5332,3510
17,17,1694218620000,1.5331,1.5339,1.5331,1.5334,6044
18,18,1694218680000,1.5334,1.5339,1.5334,1.5334,3964
19,19,1694218740000,1.5336,1.5339,1.5334,1.5339,3605
20,20,1694218800000,1.5339,1.5347,1.5339,1.534,13228
21,21,1694218860000,1.534,1.5356,1.534,1.5352,8728
22,22,1694218920000,1.5353,1.5355,1.5349,1.5355,2587
23,23,1694218980000,1.5356,1.536,1.5355,1.536,2730
24,24,1694219040000,1.536,1.5363,1.5357,1.536,7182
25,25,1694219100000,1.536,1.5361,1.5357,1.536,3610
26,26,1694219160000,1.536,1.5361,1.536,1.5361,1840
27,27,1694219220000,1.536,1.536,1.5353,1.5355,2908
28,28,1694219280000,1.5355,1.5357,1.5354,1.5354,267
29,29,1694219340000,1.5354,1.5354,1.5336,1.5336,5817
30,30,1694219400000,1.5335,1.5341,1.5335,1.5341,2797
31,31,1694219460000,1.534,1.534,1.5338,1.5339,2836
32,32,1694219520000,1.5339,1.534,1.5336,1.5336,3796
33,33,1694219580000,1.5336,1.5336,1.5335,1.5335,82
34,34,1694219640000,1.5336,1.5341,1.5336,1.5338,2448
35,35,1694219700000,1.5337,1.5342,1.5337,1.5342,1221
36,36,1694219760000,1.5342,1.5342,1.5339,1.5339,1830
37,37,1694219820000,1.5339,1.534,1.5331,1.5331,19600
