,index,timestamp,open,high,low,close,volume
0,0,1694736000000,0.001281,0.001282,0.001278,0.001282,36546699
1,1,1694736060000,0.001281,0.001283,0.00128,0.001281,15203698
2,2,1694736120000,0.001282,0.001283,0.001281,0.001282,8135417
3,3,1694736180000,0.001282,0.001283,0.001282,0.001282,4588098
4,4,1694736240000,0.001283,0.001284,0.001283,0.001283,5674288
5,5,1694736300000,0.001284,0.001285,0.001282,0.001282,8014501
6,6,1694736360000,0.001282,0.001283,0.001282,0.001283,5034230
7,7,1694736420000,0.001282,0.001282,0.001281,0.001281,6706992
8,8,1694736480000,0.001281,0.001281,0.001277,0.001278,14995041
9,9,1694736540000,0.001277,0.001278,0.001276,0.001277,7257926
10,10,1694736600000,0.001277,0.001277,0.001274,0.001274,21961386
11,11,1694736660000,0.001274,0.001274,0.001274,0.001274,243768
12,12,1694736720000,0.001274,0.001274,0.001272,0.001273,7618749
13,13,1694736780000,0.001273,0.001273,0.001272,0.001272,4675116
14,14,1694736840000,0.001272,0.001273,0.001272,0.001272,423635
15,15,1694736900000,0.001273,0.001276,0.001272,0.001275,16535187
16,16,1694736960000,0.001276,0.001276,0.001273,0.001273,15942833
17,17,1694737020000,0.001274,0.001274,0.001274,0.001274,16524360
18,18,1694737080000,0.001274,0.001275,0.001273,0.001274,8112390
19,19,1694737140000,0.001275,0.001276,0.001273,0.001276,6006961
20,20,1694737200000,0.001277,0.001278,0.001276,0.001278,11411473
21,21,1694737260000,0.001277,0.001277,0.001274,0.001275,6128705
22,22,1694737320000,0.001275,0.001276,0.001275,0.001276,1294546
23,23,1694737380000,0.001277,0.001277,0.001277,0.001277,1288064
24,24,1694737440000,0.001277,0.001278,0.001276,0.001278,5063190
25,25,1694737500000,0.001278,0.001279,0.001277,0.001277,7345741
26,26,1694737560000,0.001277,0.001277,0.001276,0.001277,5007248
27,27,1694737620000,0.001277,0.001277,0.001277,0.001277,1003424
28,28,1694737680000,0.001277,0.001278,0.001277,0.001278,1929269
29,29,1694737740000,0.001279,0.001279,0.001278,0.001279,2206587
30,30,1694737800000,0.001279,0.001281,0.001279,0.001281,7553127
31,31,1694737860000,0.001281,0.001283,0.001281,0.001281,2596426
32,32,1694737920000,0.001281,0.001281,0.001281,0.001281,5506532
33,33,1694737980000,0.001282,0.001282,0.001281,0.001282,12194135
34,34,1694738040000,0.001281,0.001281,0.00128,0.001281,5237967
35,35,1694738100000,0.00128,0.001283,0.00128,0.001282,8466897
36,36,1694738160000,0.001282,0.001282,0.001281,0.001281,5724845
37,37,1694738220000,0.001281,0.001281,0.00128,0.00128,6700512
38,38,1694738280000,0.00128,0.001281,0.00128,0.00128,3209823
39,39,1694738340000,0.00128,0.00128,0.001278,0.001278,2638896
40,40,1694738400000,0.001278,0.001279,0.001278,0.001279,2964814
41,41,1694738460000,0.001279,0.001279,0.001279,0.001279,2321605
