,index,timestamp,open,high,low,close,volume
0,0,1694044800000,0.01055,0.01057,0.01055,0.01055,8809221
1,1,1694044860000,0.01056,0.01058,0.01056,0.01058,5378930
2,2,1694044920000,0.01058,0.0106,0.01058,0.01058,4044577
3,3,1694044980000,0.01059,0.0106,0.01059,0.01059,1477070
4,4,1694045040000,0.0106,0.01062,0.0106,0.01061,4764579
5,5,1694045100000,0.01061,0.01062,0.0106,0.01061,2950175
6,6,1694045160000,0.01061,0.01061,0.01058,0.01059,5453728
7,7,1694045220000,0.0106,0.01061,0.01059,0.0106,3532892
8,8,1694045280000,0.0106,0.01061,0.0106,0.01061,1174899
9,9,1694045340000,0.01061,0.01061,0.01059,0.01061,3174892
10,10,1694045400000,0.01061,0.01062,0.0106,0.01061,5194653
11,11,1694045460000,0.01061,0.01062,0.0106,0.01061,2383445
12,12,1694045520000,0.01062,0.01062,0.01061,0.01062,948575
13,13,1694045580000,0.01062,0.01063,0.0106,0.0106,4298019
14,14,1694045640000,0.0106,0.01061,0.0106,0.0106,572679
15,15,1694045700000,0.01061,0.01062,0.0106,0.01061,4014645
16,16,1694045760000,0.01061,0.01061,0.01057,0.01058,4756171
17,17,1694045820000,0.01058,0.01058,0.01053,0.01054,5522921
18,18,1694045880000,0.01054,0.01056,0.01054,0.01056,2600851
19,19,1694045940000,0.01056,0.01056,0.01054,0.01055,2575834
20,20,1694046000000,0.01056,0.01056,0.01051,0.01051,5316934
21,21,1694046060000,0.01052,0.01052,0.01051,0.01052,285505
22,22,1694046120000,0.01052,0.01052,0.01049,0.0105,6924299
23,23,1694046180000,0.01051,0.01053,0.01051,0.01052,4451581
24,24,1694046240000,0.01051,0.01053,0.01051,0.01053,467435
25,25,1694046300000,0.01052,0.01053,0.01051,0.01051,1022502
26,26,1694046360000,0.01052,0.01054,0.01052,0.01054,2092356
27,27,1694046420000,0.01053,0.01054,0.01052,0.01054,2097027
28,28,1694046480000,0.01054,0.01056,0.01054,0.01055,1751319
29,29,1694046540000,0.01055,0.01056,0.01054,0.01055,735619
30,30,1694046600000,0.01056,0.01057,0.01055,0.01057,1586598
31,31,1694046660000,0.01056,0.01058,0.01056,0.01057,2063278
32,32,1694046720000,0.01056,0.01057,0.01056,0.01057,123168
33,33,1694046780000,0.01057,0.01057,0.01056,0.01057,753362
34,34,1694046840000,0.01056,0.01059,0.01056,0.01059,3917636
35,35,1694046900000,0.01059,0.0106,0.01058,0.01059,1407326
36,36,1694046960000,0.01058,0.01059,0.01058,0.01059,762694
37,37,1694047020000,0.01059,0.0106,0.01059,0.01059,247575
38,38,1694047080000,0.0106,0.0106,0.01058,0.01059,2740830
39,39,1694047140000,0.0106,0.0106,0.01058,0.01058,506048
40,40,1694047200000,0.01059,0.0106,0.01058,0.01059,1604937
41,41,1694047260000,0.01059,0.0106,0.01059,0.0106,740114
42,42,1694047320000,0.0106,0.0106,0.01059,0.0106,119899
43,43,1694047380000,0.01059,0.01061,0.01059,0.01061,973969
44,44,1694047440000,0.01062,0.01062,0.0106,0.01061,1376880
45,45,1694047500000,0.0106,0.01062,0.0106,0.01061,514631
46,46,1694047560000,0.01062,0.01062,0.0106,0.01061,2328576
47,47,1694047620000,0.01061,0.01062,0.0106,0.0106,3843556
48,48,1694047680000,0.01059,0.01061,0.01059,0.01061,1338589
49,49,1694047740000,0.0106,0.01066,0.0106,0.01066,16446290
50,50,1694047800000,0.01065,0.01065,0.01062,0.01062,4260441
51,51,1694047860000,0.01062,0.01063,0.01062,0.01063,9105864
52,52,1694047920000,0.01062,0.01063,0.01062,0.01063,278164
53,53,1694047980000,0.01063,0.01063,0.01062,0.01062,2458588
54,54,1694048040000,0.01062,0.01064,0.01062,0.01064,1667849
55,55,1694048100000,0.01064,0.01066,0.01064,0.01065,2365470
56,56,1694048160000,0.01065,0.01065,0.01063,0.01064,909106
57,57,1694048220000,0.01064,0.01065,0.01063,0.01065,2325705
58,58,1694048280000,0.01065,0.01066,0.01064,0.01065,1367091
59,59,1694048340000,0.01065,0.01065,0.01064,0.01065,440226
60,60,1694048400000,0.01065,0.01065,0.01064,0.01065,765814
61,61,1694048460000,0.01065,0.01065,0.01064,0.01065,698162
62,62,1694048520000,0.01065,0.01065,0.01064,0.01065,1271227
63,63,1694048580000,0.01064,0.01064,0.01062,0.01062,1366827
64,64,1694048640000,0.01062,0.01063,0.01062,0.01062,277691
65,65,1694048700000,0.01062,0.01063,0.01061,0.01062,922049
66,66,1694048760000,0.01061,0.01061,0.0106,0.0106,1025662
67,67,1694048820000,0.01061,0.01061,0.0106,0.01061,1815397
68,68,1694048880000,0.01061,0.01062,0.01061,0.01061,1086868
69,69,1694048940000,0.01062,0.01062,0.0106,0.0106,513338
70,70,1694049000000,0.01061,0.01061,0.0106,0.01061,746590
71,71,1694049060000,0.01061,0.01062,0.01061,0.01062,668380
72,72,1694049120000,0.01061,0.01062,0.01061,0.01061,99396
73,73,1694049180000,0.01062,0.01062,0.01061,0.01061,76280
