,index,timestamp,open,high,low,close,volume
0,0,1690848000000,7.545,7.546,7.54,7.54,35328.37
1,1,1690848060000,7.541,7.551,7.54,7.551,25659.04
2,2,1690848120000,7.551,7.556,7.55,7.556,33418.87
3,3,1690848180000,7.556,7.56,7.554,7.56,27323.49
4,4,1690848240000,7.56,7.563,7.558,7.561,22983.85
5,5,1690848300000,7.561,7.561,7.541,7.542,67751.39
6,6,1690848360000,7.541,7.545,7.539,7.541,35774.71
7,7,1690848420000,7.542,7.544,7.537,7.537,19639.47
8,8,1690848480000,7.538,7.54,7.537,7.539,7359.12
9,9,1690848540000,7.54,7.541,7.535,7.535,11601.03
10,10,1690848600000,7.536,7.545,7.535,7.54,26667.47
11,11,1690848660000,7.541,7.541,7.537,7.54,8243.08
12,12,1690848720000,7.541,7.546,7.541,7.542,13423.15
13,13,1690848780000,7.543,7.55,7.543,7.546,12900.31
14,14,1690848840000,7.547,7.547,7.543,7.546,7103.65
15,15,1690848900000,7.546,7.555,7.546,7.555,17795.12
16,16,1690848960000,7.556,7.559,7.554,7.559,6042.73
17,17,1690849020000,7.559,7.566,7.558,7.564,24005.13
18,18,1690849080000,7.565,7.565,7.562,7.564,27300.03
19,19,1690849140000,7.564,7.574,7.557,7.573,47282.07
20,20,1690849200000,7.574,7.577,7.568,7.576,52312.43
21,21,1690849260000,7.576,7.579,7.574,7.575,22493.51
22,22,1690849320000,7.576,7.576,7.569,7.57,23193.77
23,23,1690849380000,7.57,7.571,7.566,7.568,29725.03
24,24,1690849440000,7.568,7.569,7.561,7.565,17103.05
25,25,1690849500000,7.565,7.565,7.56,7.56,10629.67
26,26,1690849560000,7.561,7.565,7.56,7.56,13600.85
27,27,1690849620000,7.56,7.56,7.556,7.558,16797.09
28,28,1690849680000,7.558,7.558,7.55,7.558,26681.1
29,29,1690849740000,7.558,7.559,7.556,7.557,12796.96
30,30,1690849800000,7.558,7.564,7.554,7.564,13991.37
31,31,1690849860000,7.565,7.567,7.564,7.566,18945.54
32,32,1690849920000,7.566,7.569,7.563,7.567,33044.67
33,33,1690849980000,7.568,7.569,7.565,7.569,6123.49
34,34,1690850040000,7.569,7.572,7.564,7.569,28013.06
35,35,1690850100000,7.57,7.572,7.569,7.569,9925.83
36,36,1690850160000,7.569,7.569,7.566,7.566,5829.64
37,37,1690850220000,7.566,7.567,7.566,7.567,4690.27
38,38,1690850280000,7.566,7.571,7.563,7.571,22875.56
39,39,1690850340000,7.572,7.586,7.572,7.584,58865.02
40,40,1690850400000,7.584,7.588,7.581,7.583,29365.26
41,41,1690850460000,7.584,7.589,7.584,7.589,18863.61
42,42,1690850520000,7.589,7.592,7.585,7.588,27961.69
43,43,1690850580000,7.589,7.589,7.576,7.577,49997.84
44,44,1690850640000,7.577,7.579,7.575,7.575,10231.2
45,45,1690850700000,7.576,7.578,7.575,7.578,5119.43
46,46,1690850760000,7.578,7.578,7.573,7.573,6283.82
47,47,1690850820000,7.573,7.577,7.57,7.575,8418.26
48,48,1690850880000,7.574,7.575,7.568,7.57,9579.95
49,49,1690850940000,7.57,7.571,7.566,7.568,8587.24
50,50,1690851000000,7.567,7.567,7.562,7.564,15607.93
51,51,1690851060000,7.564,7.567,7.562,7.565,11909.33
52,52,1690851120000,7.565,7.565,7.56,7.561,11837.73
53,53,1690851180000,7.561,7.568,7.559,7.566,18689.6
54,54,1690851240000,7.567,7.571,7.566,7.569,12487.12
55,55,1690851300000,7.57,7.575,7.569,7.574,4442.12
56,56,1690851360000,7.575,7.575,7.569,7.573,16570.58
57,57,1690851420000,7.573,7.589,7.572,7.589,55378.97
58,58,1690851480000,7.589,7.592,7.585,7.585,26547.39
59,59,1690851540000,7.585,7.588,7.583,7.586,12444.34
60,60,1690851600000,7.586,7.59,7.585,7.585,13454.83
61,61,1690851660000,7.586,7.589,7.581,7.588,12268.01
62,62,1690851720000,7.587,7.587,7.584,7.585,11777.28
63,63,1690851780000,7.585,7.586,7.58,7.58,9541.1
64,64,1690851840000,7.579,7.588,7.578,7.586,34303.37
65,65,1690851900000,7.587,7.592,7.58,7.584,28683.53
66,66,1690851960000,7.584,7.593,7.584,7.592,26001.39
67,67,1690852020000,7.591,7.592,7.586,7.587,18576.9
68,68,1690852080000,7.586,7.589,7.584,7.589,13267.93
69,69,1690852140000,7.589,7.591,7.584,7.586,8420.43
70,70,1690852200000,7.585,7.586,7.577,7.578,12846.15
71,71,1690852260000,7.578,7.581,7.578,7.581,5926.69
72,72,1690852320000,7.581,7.585,7.58,7.581,26939.67
73,73,1690852380000,7.581,7.585,7.581,7.582,7182.98
74,74,1690852440000,7.582,7.582,7.577,7.578,4288.76
