,index,timestamp,open,high,low,close,volume
0,0,1694822400000,6.361,6.372,6.359,6.371,40714.21
1,1,1694822460000,6.37,6.374,6.368,6.373,23417.75
2,2,1694822520000,6.372,6.377,6.367,6.369,27180.27
3,3,1694822580000,6.368,6.373,6.366,6.366,16023.17
4,4,1694822640000,6.365,6.367,6.36,6.361,12512.35
5,5,1694822700000,6.36,6.361,6.351,6.359,32239.79
6,6,1694822760000,6.358,6.366,6.358,6.365,23108.3
7,7,1694822820000,6.365,6.367,6.361,6.364,17179.58
8,8,1694822880000,6.363,6.368,6.363,6.367,16839.15
9,9,1694822940000,6.366,6.368,6.362,6.368,15438.8
10,10,1694823000000,6.367,6.37,6.364,6.366,8097.19
11,11,1694823060000,6.366,6.369,6.365,6.367,7242.22
12,12,1694823120000,6.366,6.371,6.364,6.37,18422.7
13,13,1694823180000,6.37,6.373,6.368,6.369,17559.56
14,14,1694823240000,6.369,6.37,6.366,6.366,5419.4
15,15,1694823300000,6.366,6.367,6.356,6.357,13076.92
16,16,1694823360000,6.356,6.361,6.354,6.361,13140.28
17,17,1694823420000,6.361,6.368,6.361,6.362,17382.04
18,18,1694823480000,6.361,6.374,6.361,6.374,11481.61
19,19,1694823540000,6.373,6.376,6.373,6.375,11394.41
20,20,1694823600000,6.375,6.387,6.375,6.386,47994.69
21,21,1694823660000,6.385,6.389,6.383,6.386,36367.61
22,22,1694823720000,6.386,6.39,6.385,6.389,39599.06
23,23,1694823780000,6.389,6.4,6.389,6.397,48706.91
24,24,1694823840000,6.396,6.397,6.382,6.382,44790.2
25,25,1694823900000,6.382,6.392,6.382,6.392,13620.26
26,26,1694823960000,6.391,6.393,6.391,6.391,3733.06
27,27,1694824020000,6.392,6.395,6.386,6.386,21529.98
28,28,1694824080000,6.386,6.387,6.382,6.383,5986.31
29,29,1694824140000,6.382,6.39,6.382,6.387,24975.45
30,30,1694824200000,6.387,6.395,6.387,6.395,12093.18
31,31,1694824260000,6.395,6.4,6.394,6.397,15843.33
32,32,1694824320000,6.398,6.398,6.392,6.392,10312.31
33,33,1694824380000,6.392,6.393,6.388,6.392,16553.9
34,34,1694824440000,6.392,6.393,6.388,6.389,12369.3
35,35,1694824500000,6.388,6.394,6.388,6.393,9801.99
36,36,1694824560000,6.392,6.392,6.388,6.392,10092.79
37,37,1694824620000,6.392,6.392,6.378,6.379,54180.13
38,38,1694824680000,6.379,6.384,6.378,6.378,21285.89
39,39,1694824740000,6.377,6.38,6.374,6.374,6017.08
40,40,1694824800000,6.374,6.376,6.369,6.369,15555.94
41,41,1694824860000,6.37,6.373,6.364,6.364,16198.98
42,42,1694824920000,6.364,6.364,6.36,6.36,23937.93
43,43,1694824980000,6.36,6.36,6.357,6.357,27591.98
44,44,1694825040000,6.358,6.362,6.357,6.357,12389.22
45,45,1694825100000,6.358,6.362,6.355,6.362,24045.5
46,46,1694825160000,6.363,6.364,6.356,6.358,15886.56
47,47,1694825220000,6.357,6.36,6.354,6.356,16461.18
48,48,1694825280000,6.355,6.356,6.352,6.353,12340.69
49,49,1694825340000,6.354,6.363,6.353,6.363,13558.7
50,50,1694825400000,6.363,6.366,6.362,6.364,11127.08
51,51,1694825460000,6.364,6.365,6.361,6.362,7422.02
52,52,1694825520000,6.362,6.364,6.361,6.361,4982.58
53,53,1694825580000,6.361,6.366,6.36,6.362,14704.41
54,54,1694825640000,6.361,6.362,6.356,6.359,7266.67
55,55,1694825700000,6.358,6.36,6.356,6.359,4068.72
56,56,1694825760000,6.359,6.361,6.355,6.357,9173.58
57,57,1694825820000,6.357,6.358,6.348,6.35,12140.53
58,58,1694825880000,6.349,6.352,6.347,6.35,31752.33
59,59,1694825940000,6.351,6.352,6.349,6.35,10102.63
60,60,1694826000000,6.35,6.354,6.346,6.352,49764.32
61,61,1694826060000,6.352,6.354,6.35,6.352,15441.22
62,62,1694826120000,6.352,6.356,6.352,6.354,5667.36
63,63,1694826180000,6.355,6.357,6.354,6.356,5140.82
64,64,1694826240000,6.358,6.358,6.354,6.354,14830.43
65,65,1694826300000,6.355,6.358,6.353,6.357,5589.77
66,66,1694826360000,6.357,6.358,6.355,6.355,4306.56
67,67,1694826420000,6.356,6.358,6.356,6.357,3794.84
68,68,1694826480000,6.358,6.364,6.358,6.364,13683.15
69,69,1694826540000,6.364,6.364,6.361,6.362,6681.29
70,70,1694826600000,6.361,6.371,6.361,6.369,20622.26
71,71,1694826660000,6.37,6.372,6.368,6.37,8068.18
