,index,timestamp,open,high,low,close,volume
0,0,1694822400000,0.658,0.662,0.658,0.661,157677.3
1,1,1694822460000,0.661,0.661,0.659,0.659,65569.6
2,2,1694822520000,0.659,0.66,0.658,0.659,11464.1
3,3,1694822580000,0.659,0.66,0.658,0.659,28901.5
4,4,1694822640000,0.659,0.659,0.658,0.659,4790.9
5,5,1694822700000,0.658,0.658,0.656,0.658,70562.3
6,6,1694822760000,0.657,0.659,0.657,0.658,43018.9
7,7,1694822820000,0.658,0.659,0.657,0.658,26620.1
8,8,1694822880000,0.658,0.659,0.658,0.659,12544.2
9,9,1694822940000,0.659,0.659,0.658,0.659,4769.7
10,10,1694823000000,0.659,0.66,0.659,0.66,25477.5
11,11,1694823060000,0.659,0.66,0.659,0.66,4460.0
12,12,1694823120000,0.66,0.66,0.658,0.658,20664.7
13,13,1694823180000,0.659,0.659,0.658,0.658,13113.6
14,14,1694823240000,0.657,0.658,0.657,0.658,35265.5
15,15,1694823300000,0.657,0.657,0.655,0.655,40168.9
16,16,1694823360000,0.656,0.657,0.655,0.656,28138.5
17,17,1694823420000,0.657,0.657,0.656,0.656,6547.8
18,18,1694823480000,0.655,0.657,0.655,0.656,31716.7
19,19,1694823540000,0.656,0.656,0.655,0.655,4786.8
20,20,1694823600000,0.655,0.657,0.655,0.657,34675.9
21,21,1694823660000,0.657,0.657,0.656,0.656,2554.9
22,22,1694823720000,0.657,0.657,0.655,0.656,24541.6
23,23,1694823780000,0.656,0.656,0.655,0.656,2698.9
24,24,1694823840000,0.656,0.656,0.654,0.654,34830.8
25,25,1694823900000,0.655,0.656,0.654,0.656,21940.6
26,26,1694823960000,0.655,0.656,0.655,0.656,431.7
27,27,1694824020000,0.656,0.656,0.655,0.655,53018.4
28,28,1694824080000,0.656,0.656,0.655,0.655,7277.4
29,29,1694824140000,0.656,0.657,0.655,0.657,9300.4
30,30,1694824200000,0.657,0.657,0.656,0.656,1294.4
31,31,1694824260000,0.656,0.658,0.656,0.657,27846.1
32,32,1694824320000,0.658,0.659,0.658,0.658,40530.7
33,33,1694824380000,0.659,0.659,0.658,0.659,1175.6
34,34,1694824440000,0.658,0.659,0.658,0.658,25694.6
35,35,1694824500000,0.657,0.658,0.657,0.657,1085.7
36,36,1694824560000,0.658,0.658,0.657,0.658,4572.6
37,37,1694824620000,0.657,0.658,0.657,0.658,3061.9
38,38,1694824680000,0.658,0.658,0.657,0.657,69078.9
39,39,1694824740000,0.656,0.657,0.656,0.657,376.6
40,40,1694824800000,0.656,0.656,0.655,0.655,87301.4
41,41,1694824860000,0.654,0.656,0.654,0.656,34795.0
42,42,1694824920000,0.655,0.655,0.653,0.655,71674.9
43,43,1694824980000,0.654,0.655,0.654,0.654,951.0
44,44,1694825040000,0.654,0.655,0.654,0.655,19966.5
45,45,1694825100000,0.654,0.655,0.654,0.655,18913.2
46,46,1694825160000,0.654,0.655,0.654,0.655,9304.8
47,47,1694825220000,0.654,0.656,0.654,0.656,51317.2
48,48,1694825280000,0.656,0.657,0.655,0.657,19286.4
49,49,1694825340000,0.656,0.658,0.656,0.658,31091.6
50,50,1694825400000,0.659,0.659,0.657,0.657,21613.2
51,51,1694825460000,0.657,0.658,0.657,0.657,591.3
52,52,1694825520000,0.658,0.659,0.657,0.659,11083.6
53,53,1694825580000,0.659,0.659,0.658,0.658,7595.5
54,54,1694825640000,0.658,0.658,0.657,0.657,34378.0
55,55,1694825700000,0.656,0.658,0.656,0.657,12989.7
56,56,1694825760000,0.657,0.657,0.656,0.657,15135.2
57,57,1694825820000,0.656,0.657,0.655,0.655,7386.5
58,58,1694825880000,0.655,0.657,0.655,0.656,12146.6
59,59,1694825940000,0.656,0.658,0.656,0.657,9565.8
60,60,1694826000000,0.658,0.658,0.657,0.657,13880.5
61,61,1694826060000,0.658,0.659,0.657,0.658,33315.6
62,62,1694826120000,0.657,0.658,0.657,0.657,925.0
63,63,1694826180000,0.657,0.658,0.657,0.657,1221.3
64,64,1694826240000,0.657,0.659,0.657,0.659,23997.7
65,65,1694826300000,0.659,0.659,0.658,0.659,12196.9
66,66,1694826360000,0.66,0.66,0.658,0.658,22018.0
67,67,1694826420000,0.659,0.66,0.659,0.659,20883.8
68,68,1694826480000,0.66,0.66,0.659,0.659,1057.4
69,69,1694826540000,0.659,0.66,0.659,0.659,7926.8
70,70,1694826600000,0.659,0.66,0.659,0.66,1270.8
71,71,1694826660000,0.659,0.66,0.659,0.66,419.7
72,72,1694826720000,0.66,0.66,0.659,0.659,1916.4
73,73,1694826780000,0.659,0.66,0.659,0.66,1619.6
74,74,1694826840000,0.659,0.66,0.659,0.659,9091.3
75,75,1694826900000,0.66,0.66,0.659,0.659,11802.9
76,76,1694826960000,0.66,0.66,0.659,0.66,42781.5
77,77,1694827020000,0.66,0.661,0.66,0.661,4537.3
78,78,1694827080000,0.66,0.661,0.659,0.66,34251.6
79,79,1694827140000,0.66,0.66,0.66,0.66,3969.7
80,80,1694827200000,0.66,0.661,0.659,0.659,7426.5
81,81,1694827260000,0.659,0.66,0.659,0.66,97.0
82,82,1694827320000,0.66,0.66,0.658,0.659,38242.3
83,83,1694827380000,0.658,0.659,0.658,0.659,41131.7
84,84,1694827440000,0.658,0.659,0.658,0.659,4475.0
85,85,1694827500000,0.658,0.659,0.658,0.659,10098.8
86,86,1694827560000,0.658,0.658,0.658,0.658,3901.9
87,87,1694827620000,0.657,0.658,0.657,0.658,14888.8
88,88,1694827680000,0.657,0.658,0.657,0.658,2624.0
89,89,1694827740000,0.657,0.658,0.657,0.657,33028.4
90,90,1694827800000,0.657,0.657,0.656,0.657,44769.1
91,91,1694827860000,0.657,0.657,0.657,0.657,16278.0
92,92,1694827920000,0.657,0.657,0.656,0.657,2240.4
93,93,1694827980000,0.656,0.657,0.655,0.655,70937.0
94,94,1694828040000,0.656,0.656,0.655,0.656,1463.8
95,95,1694828100000,0.656,0.656,0.655,0.656,2006.9
96,96,1694828160000,0.656,0.656,0.655,0.656,7948.3
97,97,1694828220000,0.655,0.656,0.655,0.656,2223.9
98,98,1694828280000,0.655,0.656,0.655,0.655,10559.9
99,99,1694828340000,0.656,0.656,0.655,0.656,2619.2
100,100,1694828400000,0.656,0.656,0.655,0.655,22029.3
101,101,1694828460000,0.654,0.656,0.654,0.655,55890.5
102,102,1694828520000,0.655,0.656,0.655,0.656,6071.4
103,103,1694828580000,0.655,0.656,0.655,0.655,2193.8
104,104,1694828640000,0.655,0.656,0.654,0.655,35780.2
105,105,1694828700000,0.656,0.656,0.655,0.655,1779.9
106,106,1694828760000,0.656,0.656,0.655,0.656,3128.4
107,107,1694828820000,0.655,0.656,0.655,0.656,37548.0
108,108,1694828880000,0.657,0.657,0.656,0.656,5168.2
109,109,1694828940000,0.657,0.657,0.656,0.656,6361.1
110,110,1694829000000,0.656,0.657,0.656,0.657,3381.6
111,111,1694829060000,0.656,0.657,0.656,0.656,4273.7
112,112,1694829120000,0.657,0.658,0.656,0.657,14527.8
113,113,1694829180000,0.657,0.657,0.656,0.656,3127.9
114,114,1694829240000,0.656,0.658,0.656,0.658,3721.7
115,115,1694829300000,0.658,0.658,0.657,0.658,8939.8
116,116,1694829360000,0.657,0.658,0.657,0.657,209.1
117,117,1694829420000,0.657,0.658,0.657,0.658,9302.8
118,118,1694829480000,0.658,0.659,0.658,0.659,16073.8
119,119,1694829540000,0.658,0.659,0.658,0.659,2148.8
120,120,1694829600000,0.658,0.659,0.658,0.658,2926.3
121,121,1694829660000,0.658,0.659,0.657,0.658,30712.0
122,122,1694829720000,0.658,0.659,0.657,0.659,17903.8
123,123,1694829780000,0.659,0.66,0.658,0.659,37297.6
124,124,1694829840000,0.658,0.66,0.658,0.659,18918.7
125,125,1694829900000,0.66,0.66,0.659,0.66,3667.9
126,126,1694829960000,0.659,0.661,0.659,0.659,33108.5
127,127,1694830020000,0.659,0.662,0.659,0.66,165220.5
128,128,1694830080000,0.661,0.662,0.661,0.662,31593.6
129,129,1694830140000,0.661,0.663,0.661,0.662,14871.9
130,130,1694830200000,0.663,0.665,0.662,0.663,66118.6
131,131,1694830260000,0.663,0.664,0.662,0.662,21517.1
132,132,1694830320000,0.662,0.664,0.662,0.663,50100.4
133,133,1694830380000,0.663,0.663,0.662,0.663,7508.5
134,134,1694830440000,0.662,0.665,0.662,0.663,99622.8
135,135,1694830500000,0.663,0.664,0.663,0.664,46506.6
136,136,1694830560000,0.663,0.664,0.663,0.663,2097.5
137,137,1694830620000,0.664,0.665,0.663,0.665,16578.8
138,138,1694830680000,0.665,0.666,0.665,0.666,33853.7
139,139,1694830740000,0.665,0.667,0.665,0.666,66261.6
140,140,1694830800000,0.666,0.667,0.666,0.666,7775.0
141,141,1694830860000,0.667,0.669,0.667,0.668,53506.7
142,142,1694830920000,0.667,0.669,0.667,0.669,21783.7
143,143,1694830980000,0.668,0.67,0.668,0.668,34051.9
144,144,1694831040000,0.668,0.669,0.666,0.667,43308.5
145,145,1694831100000,0.667,0.668,0.666,0.667,21345.7
146,146,1694831160000,0.667,0.669,0.667,0.668,32920.4
147,147,1694831220000,0.669,0.67,0.668,0.67,36019.3
148,148,1694831280000,0.669,0.669,0.667,0.668,54787.3
149,149,1694831340000,0.667,0.668,0.667,0.667,35837.4
150,150,1694831400000,0.667,0.668,0.666,0.667,17055.5
151,151,1694831460000,0.666,0.668,0.666,0.667,76151.1
152,152,1694831520000,0.666,0.667,0.665,0.665,46390.4
153,153,1694831580000,0.666,0.666,0.665,0.666,9342.6
154,154,1694831640000,0.666,0.667,0.665,0.666,15274.4
155,155,1694831700000,0.667,0.667,0.666,0.666,4754.3
156,156,1694831760000,0.666,0.666,0.665,0.665,22022.7
157,157,1694831820000,0.665,0.665,0.665,0.665,1900.0
158,158,1694831880000,0.665,0.666,0.665,0.666,3616.2
159,159,1694831940000,0.665,0.667,0.665,0.667,13001.4
160,160,1694832000000,0.667,0.67,0.667,0.668,87849.8
161,161,1694832060000,0.668,0.668,0.668,0.668,16231.3
162,162,1694832120000,0.668,0.669,0.667,0.669,18434.7
163,163,1694832180000,0.668,0.669,0.668,0.669,1004.8
164,164,1694832240000,0.668,0.669,0.668,0.669,7392.7
165,165,1694832300000,0.668,0.67,0.668,0.669,22657.4
166,166,1694832360000,0.669,0.67,0.669,0.669,31697.1
167,167,1694832420000,0.669,0.671,0.669,0.671,43756.0
168,168,1694832480000,0.671,0.671,0.67,0.671,13518.5
169,169,1694832540000,0.67,0.671,0.67,0.67,1123.1
170,170,1694832600000,0.67,0.672,0.67,0.672,9474.5
171,171,1694832660000,0.671,0.673,0.671,0.672,29558.3
172,172,1694832720000,0.671,0.672,0.671,0.671,17098.2
173,173,1694832780000,0.672,0.672,0.671,0.671,4947.5
174,174,1694832840000,0.671,0.672,0.669,0.669,89490.2
175,175,1694832900000,0.67,0.671,0.669,0.669,23502.9
176,176,1694832960000,0.669,0.67,0.669,0.669,20574.0
177,177,1694833020000,0.668,0.67,0.668,0.67,14455.3
178,178,1694833080000,0.67,0.67,0.669,0.67,5306.4
179,179,1694833140000,0.67,0.67,0.668,0.668,25116.5
180,180,1694833200000,0.668,0.671,0.668,0.67,31032.4
181,181,1694833260000,0.67,0.671,0.67,0.671,1040.2
182,182,1694833320000,0.67,0.671,0.669,0.669,9959.6
183,183,1694833380000,0.67,0.672,0.67,0.67,118224.5
184,184,1694833440000,0.671,0.671,0.669,0.67,8491.1
185,185,1694833500000,0.669,0.67,0.669,0.669,5327.7
186,186,1694833560000,0.669,0.671,0.669,0.671,8525.0
187,187,1694833620000,0.671,0.671,0.669,0.67,68800.3
188,188,1694833680000,0.67,0.67,0.669,0.669,12807.5
189,189,1694833740000,0.669,0.67,0.669,0.669,3201.9
190,190,1694833800000,0.669,0.67,0.669,0.67,972.3
191,191,1694833860000,0.669,0.67,0.669,0.67,209.4
192,192,1694833920000,0.67,0.67,0.667,0.667,47941.4
193,193,1694833980000,0.668,0.669,0.667,0.668,26930.1
194,194,1694834040000,0.667,0.668,0.666,0.666,29856.0
195,195,1694834100000,0.666,0.667,0.666,0.666,3088.4
196,196,1694834160000,0.667,0.668,0.666,0.667,36373.1
197,197,1694834220000,0.667,0.668,0.666,0.668,8131.6
198,198,1694834280000,0.668,0.668,0.667,0.667,1997.8
199,199,1694834340000,0.668,0.669,0.668,0.669,21808.0
200,200,1694834400000,0.669,0.67,0.668,0.67,19387.8
201,201,1694834460000,0.67,0.671,0.669,0.67,25218.9
202,202,1694834520000,0.671,0.671,0.67,0.67,5658.0
203,203,1694834580000,0.67,0.672,0.67,0.671,15359.2
204,204,1694834640000,0.671,0.673,0.671,0.673,45738.4
205,205,1694834700000,0.673,0.674,0.673,0.673,64422.6
206,206,1694834760000,0.673,0.674,0.671,0.671,43755.6
207,207,1694834820000,0.672,0.673,0.671,0.672,29725.4
208,208,1694834880000,0.672,0.672,0.671,0.671,9026.3
209,209,1694834940000,0.671,0.672,0.671,0.671,26239.0
210,210,1694835000000,0.67,0.67,0.666,0.667,127155.4
211,211,1694835060000,0.666,0.669,0.666,0.668,147206.5
212,212,1694835120000,0.669,0.67,0.668,0.669,21724.1
213,213,1694835180000,0.668,0.67,0.668,0.669,11279.4
214,214,1694835240000,0.669,0.67,0.668,0.669,22852.3
215,215,1694835300000,0.669,0.67,0.668,0.668,33265.0
216,216,1694835360000,0.668,0.669,0.668,0.668,783.6
217,217,1694835420000,0.668,0.669,0.667,0.669,33146.6
218,218,1694835480000,0.669,0.669,0.668,0.668,2527.6
219,219,1694835540000,0.668,0.668,0.667,0.667,11013.2
220,220,1694835600000,0.668,0.669,0.668,0.668,33328.0
221,221,1694835660000,0.668,0.668,0.667,0.668,1610.5
222,222,1694835720000,0.667,0.668,0.667,0.668,222.1
