,index,timestamp,open,high,low,close,volume
0,0,1694995200000,0.175,0.1751,0.1747,0.1748,69426
1,1,1694995260000,0.1749,0.175,0.1748,0.1748,38696
2,2,1694995320000,0.1748,0.1749,0.1748,0.1749,14187
3,3,1694995380000,0.1749,0.175,0.1748,0.175,2957
4,4,1694995440000,0.175,0.1753,0.175,0.1752,15123
5,5,1694995500000,0.1752,0.1752,0.1751,0.1752,5622
6,6,1694995560000,0.1752,0.1753,0.1752,0.1752,5482
7,7,1694995620000,0.1752,0.1753,0.1752,0.1753,31817
8,8,1694995680000,0.1754,0.1756,0.1753,0.1755,58374
9,9,1694995740000,0.1754,0.1755,0.1754,0.1755,1784
10,10,1694995800000,0.1754,0.1754,0.1752,0.1753,32867
11,11,1694995860000,0.1752,0.1753,0.1752,0.1752,7146
12,12,1694995920000,0.1751,0.1751,0.1749,0.175,26258
13,13,1694995980000,0.1749,0.175,0.1749,0.175,9731
14,14,1694996040000,0.175,0.1751,0.175,0.1751,4940
15,15,1694996100000,0.1752,0.1753,0.175,0.1753,33249
16,16,1694996160000,0.1753,0.1753,0.1752,0.1753,9767
17,17,1694996220000,0.1753,0.1753,0.1752,0.1752,7956
18,18,1694996280000,0.1752,0.1752,0.1751,0.1751,7612
19,19,1694996340000,0.1752,0.1752,0.1751,0.1751,3879
20,20,1694996400000,0.1751,0.1751,0.175,0.1751,5323
21,21,1694996460000,0.1751,0.1751,0.1745,0.1745,12619
22,22,1694996520000,0.1746,0.1747,0.1746,0.1746,24477
23,23,1694996580000,0.1746,0.1746,0.1745,0.1746,16555
24,24,1694996640000,0.1747,0.1747,0.1743,0.1744,11937
25,25,1694996700000,0.1744,0.1744,0.1743,0.1744,8233
26,26,1694996760000,0.1743,0.1743,0.1742,0.1743,21150
27,27,1694996820000,0.1742,0.1742,0.1741,0.1742,8650
28,28,1694996880000,0.1743,0.1743,0.1742,0.1743,15367
29,29,1694996940000,0.1743,0.1743,0.174,0.1741,71279
30,30,1694997000000,0.1741,0.1741,0.1734,0.1735,142769
31,31,1694997060000,0.1736,0.174,0.173,0.174,270964
32,32,1694997120000,0.174,0.174,0.1737,0.1737,88019
33,33,1694997180000,0.1737,0.1737,0.1732,0.1734,48035
34,34,1694997240000,0.1734,0.1734,0.1732,0.1733,49161
35,35,1694997300000,0.1733,0.1737,0.1732,0.1736,25768
36,36,1694997360000,0.1735,0.1735,0.1733,0.1733,19145
37,37,1694997420000,0.1733,0.1734,0.1732,0.1733,17036
38,38,1694997480000,0.1733,0.1733,0.1732,0.1733,11413
39,39,1694997540000,0.1734,0.1734,0.1733,0.1733,1849
40,40,1694997600000,0.1733,0.1735,0.1733,0.1734,18011
41,41,1694997660000,0.1735,0.1737,0.1735,0.1737,13163
42,42,1694997720000,0.1737,0.1741,0.1737,0.1739,13184
43,43,1694997780000,0.174,0.1742,0.174,0.1742,6271
44,44,1694997840000,0.1742,0.1742,0.1741,0.1741,32574
45,45,1694997900000,0.1741,0.1742,0.174,0.174,34791
46,46,1694997960000,0.174,0.174,0.1738,0.1739,27621
47,47,1694998020000,0.1739,0.1739,0.1738,0.1739,10237
48,48,1694998080000,0.1739,0.1743,0.1739,0.1743,18066
49,49,1694998140000,0.1743,0.1743,0.1742,0.1743,50808
50,50,1694998200000,0.1743,0.1746,0.1743,0.1745,26367
51,51,1694998260000,0.1746,0.1746,0.1745,0.1746,21918
52,52,1694998320000,0.1745,0.1745,0.1744,0.1744,18869
53,53,1694998380000,0.1744,0.1744,0.1744,0.1744,7259
54,54,1694998440000,0.1744,0.1744,0.1744,0.1744,668
55,55,1694998500000,0.1743,0.1744,0.1743,0.1744,9069
56,56,1694998560000,0.1743,0.1743,0.1741,0.1741,39470
57,57,1694998620000,0.174,0.174,0.1739,0.174,7475
58,58,1694998680000,0.1739,0.1741,0.1739,0.1741,11100
59,59,1694998740000,0.174,0.1741,0.1738,0.1738,49668
60,60,1694998800000,0.1739,0.1741,0.1739,0.1741,23898
61,61,1694998860000,0.1741,0.1743,0.174,0.1743,26062
62,62,1694998920000,0.1743,0.1744,0.1743,0.1743,7916
63,63,1694998980000,0.1744,0.1744,0.1741,0.1741,28992
64,64,1694999040000,0.1741,0.1742,0.174,0.1742,13534
65,65,1694999100000,0.1742,0.1744,0.1741,0.1741,4905
66,66,1694999160000,0.1742,0.1742,0.174,0.174,18464
67,67,1694999220000,0.174,0.174,0.1739,0.1739,12174
68,68,1694999280000,0.1739,0.1741,0.1739,0.1741,26226
69,69,1694999340000,0.1742,0.1743,0.1742,0.1743,32611
70,70,1694999400000,0.1743,0.1744,0.1742,0.1742,5358
71,71,1694999460000,0.1743,0.1745,0.1743,0.1745,23998
72,72,1694999520000,0.1745,0.1745,0.1745,0.1745,1542
73,73,1694999580000,0.1745,0.1746,0.1744,0.1745,39561
74,74,1694999640000,0.1746,0.1746,0.1745,0.1745,15239
75,75,1694999700000,0.1745,0.1745,0.1744,0.1745,34184
76,76,1694999760000,0.1745,0.1747,0.1745,0.1747,23344
77,77,1694999820000,0.1747,0.1748,0.1745,0.1745,21084
78,78,1694999880000,0.1746,0.1746,0.1745,0.1745,7412
79,79,1694999940000,0.1746,0.1746,0.1745,0.1746,9626
80,80,1695000000000,0.1745,0.1746,0.1745,0.1746,5905
81,81,1695000060000,0.1745,0.1746,0.1739,0.1739,41780
82,82,1695000120000,0.1739,0.174,0.1738,0.1739,6732
83,83,1695000180000,0.1739,0.1739,0.1739,0.1739,3035
84,84,1695000240000,0.174,0.1742,0.174,0.1742,13139
85,85,1695000300000,0.1742,0.1744,0.1742,0.1744,4993
86,86,1695000360000,0.1745,0.1747,0.1745,0.1746,21571
87,87,1695000420000,0.1745,0.1746,0.1745,0.1745,109
88,88,1695000480000,0.1746,0.1746,0.1746,0.1746,3944
89,89,1695000540000,0.1746,0.1746,0.1746,0.1746,595
90,90,1695000600000,0.1746,0.1746,0.1746,0.1746,4052
91,91,1695000660000,0.1746,0.1746,0.1745,0.1746,52756
92,92,1695000720000,0.1746,0.1746,0.1746,0.1746,4144
93,93,1695000780000,0.1747,0.1747,0.1744,0.1744,15317
94,94,1695000840000,0.1744,0.1745,0.1744,0.1745,778
95,95,1695000900000,0.1744,0.1744,0.1744,0.1744,1345
96,96,1695000960000,0.1744,0.1744,0.1744,0.1744,0
97,97,1695001020000,0.1745,0.1746,0.1745,0.1745,19274
98,98,1695001080000,0.1746,0.1749,0.1746,0.1747,67964
99,99,1695001140000,0.1748,0.1748,0.1746,0.1746,15712
100,100,1695001200000,0.1746,0.1747,0.1746,0.1746,501
101,101,1695001260000,0.1747,0.1747,0.1745,0.1745,19567
102,102,1695001320000,0.1746,0.1746,0.1745,0.1745,498
103,103,1695001380000,0.1746,0.1747,0.1746,0.1747,4903
104,104,1695001440000,0.1746,0.1746,0.1746,0.1746,56
105,105,1695001500000,0.1747,0.1748,0.1745,0.1748,33825
106,106,1695001560000,0.1748,0.1748,0.1748,0.1748,3548
107,107,1695001620000,0.1748,0.1749,0.1748,0.1748,6013
108,108,1695001680000,0.1748,0.1748,0.1748,0.1748,2538
109,109,1695001740000,0.1748,0.1749,0.1748,0.1749,7475
110,110,1695001800000,0.1748,0.1748,0.1747,0.1748,1913
111,111,1695001860000,0.1748,0.1748,0.1748,0.1748,1857
112,112,1695001920000,0.1748,0.1748,0.1747,0.1747,10358
113,113,1695001980000,0.1747,0.1747,0.1747,0.1747,1491
114,114,1695002040000,0.1747,0.1747,0.1747,0.1747,3801
115,115,1695002100000,0.1747,0.1748,0.1747,0.1748,5521
116,116,1695002160000,0.1748,0.1748,0.1748,0.1748,0
117,117,1695002220000,0.1748,0.1749,0.1747,0.1748,6865
118,118,1695002280000,0.1748,0.1749,0.1747,0.1749,11730
119,119,1695002340000,0.1748,0.1748,0.1748,0.1748,2110
120,120,1695002400000,0.1748,0.1749,0.1748,0.1748,36278
121,121,1695002460000,0.1748,0.175,0.1748,0.1749,21469
122,122,1695002520000,0.175,0.175,0.1749,0.1749,9835
123,123,1695002580000,0.175,0.175,0.1749,0.1749,3970
124,124,1695002640000,0.1749,0.1749,0.1748,0.1748,45185
125,125,1695002700000,0.1747,0.1748,0.1746,0.1746,4395
126,126,1695002760000,0.1746,0.1747,0.1746,0.1747,10799
127,127,1695002820000,0.1748,0.1748,0.1747,0.1747,431
