,index,timestamp,open,high,low,close,volume
0,0,1693958400000,63.1,63.14,63.09,63.1,1901.866
1,1,1693958460000,63.1,63.1,63.06,63.1,2691.457
2,2,1693958520000,63.09,63.12,63.09,63.11,1454.314
3,3,1693958580000,63.12,63.12,63.09,63.11,2055.381
4,4,1693958640000,63.1,63.13,63.08,63.13,1121.713
5,5,1693958700000,63.13,63.15,63.11,63.12,2181.588
6,6,1693958760000,63.11,63.15,63.11,63.15,833.531
7,7,1693958820000,63.15,63.18,63.15,63.17,1423.658
8,8,1693958880000,63.17,63.2,63.17,63.2,1077.415
9,9,1693958940000,63.2,63.25,63.19,63.21,2525.193
10,10,1693959000000,63.21,63.24,63.2,63.23,613.285
11,11,1693959060000,63.23,63.27,63.23,63.26,1118.851
12,12,1693959120000,63.26,63.27,63.22,63.25,1656.577
13,13,1693959180000,63.25,63.25,63.2,63.21,841.295
14,14,1693959240000,63.21,63.21,63.2,63.2,610.335
15,15,1693959300000,63.2,63.22,63.17,63.17,898.842
16,16,1693959360000,63.18,63.19,63.17,63.19,775.689
17,17,1693959420000,63.18,63.18,63.16,63.16,205.93
18,18,1693959480000,63.16,63.17,63.13,63.17,1436.961
19,19,1693959540000,63.16,63.17,63.13,63.13,553.547
20,20,1693959600000,63.12,63.15,63.12,63.13,420.95
21,21,1693959660000,63.13,63.16,63.13,63.14,700.272
22,22,1693959720000,63.14,63.14,63.12,63.13,182.974
23,23,1693959780000,63.12,63.14,63.12,63.14,368.865
24,24,1693959840000,63.14,63.17,63.14,63.16,358.859
25,25,1693959900000,63.16,63.19,63.11,63.12,1790.712
26,26,1693959960000,63.11,63.11,63.09,63.09,376.613
27,27,1693960020000,63.09,63.11,63.08,63.1,479.579
28,28,1693960080000,63.11,63.11,63.07,63.08,627.982
29,29,1693960140000,63.08,63.08,63.05,63.07,324.943
30,30,1693960200000,63.08,63.09,63.07,63.08,796.048
31,31,1693960260000,63.07,63.08,63.02,63.02,1514.073
32,32,1693960320000,63.02,63.03,63.0,63.01,1156.421
