,index,timestamp,open,high,low,close,volume
0,0,1694390400000,0.4063,0.4065,0.4055,0.4063,47919
1,1,1694390460000,0.4062,0.4062,0.4057,0.406,6858
2,2,1694390520000,0.406,0.4062,0.4057,0.4061,5535
3,3,1694390580000,0.4061,0.4063,0.406,0.4061,2573
4,4,1694390640000,0.406,0.406,0.4057,0.4057,7991
5,5,1694390700000,0.4058,0.406,0.4057,0.4059,5200
6,6,1694390760000,0.4059,0.4059,0.4057,0.4057,3852
7,7,1694390820000,0.4057,0.4057,0.4053,0.4057,24391
8,8,1694390880000,0.4056,0.406,0.4056,0.4059,9680
9,9,1694390940000,0.4059,0.4063,0.4059,0.4062,4080
10,10,1694391000000,0.4062,0.4064,0.4061,0.4063,5204
11,11,1694391060000,0.4064,0.4069,0.4064,0.4069,11103
12,12,1694391120000,0.4068,0.4071,0.4067,0.4071,1889
13,13,1694391180000,0.4071,0.4089,0.4071,0.4081,61555
14,14,1694391240000,0.4081,0.4082,0.408,0.4082,7432
15,15,1694391300000,0.4082,0.4087,0.4079,0.4085,10565
16,16,1694391360000,0.4085,0.4089,0.4085,0.4087,3821
17,17,1694391420000,0.4085,0.4086,0.4083,0.4083,13476
18,18,1694391480000,0.4083,0.4087,0.4082,0.4084,6414
19,19,1694391540000,0.4084,0.4084,0.4076,0.4076,16644
20,20,1694391600000,0.4077,0.4086,0.4077,0.4085,21335
21,21,1694391660000,0.4083,0.4088,0.4074,0.4074,46230
22,22,1694391720000,0.4074,0.4077,0.4073,0.4075,23794
23,23,1694391780000,0.4075,0.4075,0.4072,0.4074,12771
24,24,1694391840000,0.4074,0.4074,0.4068,0.4071,5742
25,25,1694391900000,0.407,0.4071,0.4067,0.4069,9223
26,26,1694391960000,0.4069,0.4072,0.4069,0.4069,4421
27,27,1694392020000,0.4068,0.4068,0.4065,0.4066,5772
28,28,1694392080000,0.4066,0.4066,0.4058,0.4061,38689
29,29,1694392140000,0.4063,0.4068,0.4063,0.4065,9300
30,30,1694392200000,0.4065,0.4069,0.4064,0.4068,11454
31,31,1694392260000,0.4067,0.4074,0.4067,0.4071,12557
32,32,1694392320000,0.407,0.4076,0.407,0.4076,6426
33,33,1694392380000,0.4075,0.4082,0.4075,0.4082,11640
34,34,1694392440000,0.4078,0.408,0.4072,0.4072,30645
35,35,1694392500000,0.407,0.407,0.4064,0.4067,17751
36,36,1694392560000,0.4066,0.4068,0.4058,0.4059,23500
37,37,1694392620000,0.4057,0.4059,0.4049,0.4049,41252
38,38,1694392680000,0.405,0.4053,0.4033,0.4038,155385
39,39,1694392740000,0.4038,0.4044,0.4029,0.404,95972
40,40,1694392800000,0.404,0.4046,0.4033,0.4046,34414
41,41,1694392860000,0.4046,0.4049,0.4038,0.4043,43332
42,42,1694392920000,0.4043,0.4043,0.4038,0.4039,11842
43,43,1694392980000,0.4039,0.4041,0.4023,0.4038,73282
44,44,1694393040000,0.4037,0.4038,0.4032,0.4034,19197
45,45,1694393100000,0.4034,0.4039,0.4028,0.4038,41256
46,46,1694393160000,0.4037,0.4037,0.4018,0.4029,112239
47,47,1694393220000,0.403,0.404,0.403,0.4036,50927
48,48,1694393280000,0.4037,0.4039,0.4032,0.4033,27686
49,49,1694393340000,0.4034,0.4045,0.4034,0.4042,28638
