,index,timestamp,open,high,low,close,volume
0,0,1688169600000,0.8722,0.8765,0.8722,0.8754,108780.9
1,1,1688169660000,0.8753,0.8754,0.8723,0.8725,84234.9
2,2,1688169720000,0.8723,0.875,0.8723,0.8729,50363.3
3,3,1688169780000,0.8729,0.8742,0.8719,0.8722,35486.5
4,4,1688169840000,0.8722,0.8739,0.8722,0.8735,28451.4
5,5,1688169900000,0.8735,0.874,0.8715,0.8718,33550.8
6,6,1688169960000,0.8719,0.8752,0.8719,0.8751,28543.9
7,7,1688170020000,0.875,0.8769,0.8745,0.8766,30752.0
8,8,1688170080000,0.8766,0.8768,0.8702,0.8703,263085.2
9,9,1688170140000,0.8704,0.8729,0.8703,0.8727,71346.2
10,10,1688170200000,0.8727,0.8731,0.87,0.8705,82321.9
11,11,1688170260000,0.8704,0.871,0.8637,0.8663,478821.7
12,12,1688170320000,0.8661,0.8662,0.8603,0.8624,576513.2
13,13,1688170380000,0.8625,0.8625,0.8489,0.8496,1095095.6
14,14,1688170440000,0.8496,0.8519,0.843,0.8467,644271.9
15,15,1688170500000,0.8471,0.8546,0.8469,0.8546,437786.5
16,16,1688170560000,0.8546,0.8546,0.8515,0.8519,202430.3
17,17,1688170620000,0.8518,0.852,0.85,0.8513,112247.1
18,18,1688170680000,0.8511,0.8516,0.8501,0.8506,58352.1
19,19,1688170740000,0.8505,0.853,0.8496,0.8514,83769.3
20,20,1688170800000,0.8512,0.8528,0.8508,0.8509,78895.9
21,21,1688170860000,0.8508,0.8529,0.8495,0.8521,53831.1
22,22,1688170920000,0.8521,0.8521,0.8502,0.8511,62833.6
23,23,1688170980000,0.8512,0.8524,0.8504,0.8515,58085.0
24,24,1688171040000,0.8514,0.852,0.8507,0.8514,35841.8
25,25,1688171100000,0.8517,0.8519,0.8494,0.85,64950.3
26,26,1688171160000,0.8504,0.8507,0.8485,0.85,39775.4
27,27,1688171220000,0.85,0.8512,0.8496,0.8503,87655.1
28,28,1688171280000,0.8504,0.8527,0.8504,0.8525,43535.9
29,29,1688171340000,0.8526,0.8533,0.851,0.8511,39793.1
30,30,1688171400000,0.8512,0.8532,0.8505,0.8531,77696.8
31,31,1688171460000,0.8531,0.8544,0.8519,0.8544,51616.2
32,32,1688171520000,0.8543,0.8543,0.8532,0.8535,27779.4
33,33,1688171580000,0.8535,0.8536,0.8513,0.8517,70241.0
34,34,1688171640000,0.8518,0.8519,0.851,0.851,17456.3
35,35,1688171700000,0.8509,0.8509,0.848,0.8503,94753.3
36,36,1688171760000,0.8504,0.8505,0.8484,0.8488,29542.7
37,37,1688171820000,0.8489,0.8493,0.8477,0.8488,54421.5
38,38,1688171880000,0.8486,0.8516,0.8486,0.8509,41242.6
39,39,1688171940000,0.851,0.8525,0.8506,0.8525,68041.4
40,40,1688172000000,0.8526,0.8564,0.8518,0.8548,227914.1
41,41,1688172060000,0.8546,0.8547,0.853,0.8541,51171.0
42,42,1688172120000,0.8541,0.8548,0.853,0.853,56366.5
43,43,1688172180000,0.8531,0.8532,0.8524,0.8524,31424.0
44,44,1688172240000,0.8524,0.8527,0.8512,0.8515,37219.4
45,45,1688172300000,0.8515,0.8518,0.8476,0.8477,57069.7
46,46,1688172360000,0.8475,0.8488,0.8458,0.8481,83723.1
47,47,1688172420000,0.848,0.8482,0.8469,0.8469,33107.8
48,48,1688172480000,0.8469,0.848,0.8461,0.8479,33630.7
49,49,1688172540000,0.8477,0.8493,0.8475,0.8477,20758.3
50,50,1688172600000,0.8476,0.8477,0.8453,0.8464,40224.1
51,51,1688172660000,0.8463,0.8471,0.846,0.8464,36118.7
52,52,1688172720000,0.8464,0.8464,0.8441,0.8453,47801.5
53,53,1688172780000,0.8456,0.846,0.8404,0.8432,193206.9
54,54,1688172840000,0.8433,0.8435,0.8417,0.8417,23401.0
55,55,1688172900000,0.8417,0.8417,0.8401,0.841,50811.0
56,56,1688172960000,0.8409,0.8409,0.8383,0.8392,141695.5
57,57,1688173020000,0.8393,0.8396,0.8384,0.8387,30617.5
58,58,1688173080000,0.8386,0.8395,0.8366,0.8393,89559.3
59,59,1688173140000,0.8394,0.8402,0.8391,0.8394,57405.5
60,60,1688173200000,0.8397,0.8426,0.8397,0.8424,104677.5
61,61,1688173260000,0.8424,0.8445,0.8408,0.8441,69036.3
62,62,1688173320000,0.8441,0.8441,0.841,0.8412,82241.9
63,63,1688173380000,0.8412,0.8429,0.8401,0.8421,55635.3
64,64,1688173440000,0.842,0.842,0.8393,0.8398,48826.0
65,65,1688173500000,0.8396,0.8416,0.8393,0.84,105903.6
66,66,1688173560000,0.84,0.8405,0.8389,0.8392,21050.6
67,67,1688173620000,0.8391,0.8397,0.8377,0.838,73778.1
68,68,1688173680000,0.8377,0.838,0.8355,0.8372,84159.7
69,69,1688173740000,0.8372,0.8385,0.8367,0.8373,51063.4
70,70,1688173800000,0.8375,0.8392,0.8371,0.8385,42759.7
71,71,1688173860000,0.8385,0.8414,0.8384,0.8413,28426.5
72,72,1688173920000,0.8413,0.8428,0.8407,0.842,41067.9
73,73,1688173980000,0.8419,0.8419,0.8408,0.8418,25768.4
74,74,1688174040000,0.8418,0.8427,0.8407,0.8411,52301.7
75,75,1688174100000,0.8411,0.8411,0.839,0.839,49755.6
76,76,1688174160000,0.8388,0.8396,0.8362,0.8394,73346.9
77,77,1688174220000,0.8397,0.8404,0.8347,0.8362,158723.6
78,78,1688174280000,0.8365,0.8408,0.836,0.8398,76394.4
79,79,1688174340000,0.8399,0.8402,0.8349,0.8361,107030.4
