,index,timestamp,open,high,low,close,volume
0,0,1694736000000,0.47,0.4711,0.47,0.4705,55238.3
1,1,1694736060000,0.4705,0.4705,0.4697,0.4705,37813.8
2,2,1694736120000,0.4704,0.4704,0.4691,0.4692,44085.0
3,3,1694736180000,0.4691,0.4691,0.4687,0.469,24461.8
4,4,1694736240000,0.4691,0.4697,0.4691,0.4696,28077.3
5,5,1694736300000,0.4696,0.4696,0.4688,0.4688,29351.4
6,6,1694736360000,0.4688,0.4695,0.4688,0.4692,18634.0
7,7,1694736420000,0.4692,0.4693,0.4692,0.4692,5104.3
8,8,1694736480000,0.4691,0.4691,0.469,0.4691,2610.1
9,9,1694736540000,0.4692,0.4693,0.4691,0.4691,9024.1
10,10,1694736600000,0.469,0.4691,0.468,0.468,25379.6
11,11,1694736660000,0.4679,0.468,0.4679,0.468,3806.4
12,12,1694736720000,0.468,0.4681,0.4671,0.4672,27002.5
13,13,1694736780000,0.4672,0.4673,0.4669,0.4672,17499.8
14,14,1694736840000,0.4672,0.4675,0.4669,0.4671,29416.7
15,15,1694736900000,0.4672,0.4683,0.4672,0.4681,49462.0
16,16,1694736960000,0.4682,0.4683,0.4677,0.4681,12287.1
17,17,1694737020000,0.4681,0.4681,0.4677,0.4681,7783.2
18,18,1694737080000,0.4681,0.4681,0.468,0.468,6426.7
19,19,1694737140000,0.4679,0.4679,0.4676,0.4678,4291.8
20,20,1694737200000,0.4678,0.4681,0.4678,0.468,5693.6
21,21,1694737260000,0.4679,0.4679,0.4671,0.4675,11794.9
22,22,1694737320000,0.4675,0.4676,0.4671,0.4676,18489.9
23,23,1694737380000,0.4676,0.4677,0.4671,0.4674,24484.4
24,24,1694737440000,0.4674,0.4675,0.4671,0.4673,11622.4
25,25,1694737500000,0.4674,0.4681,0.4673,0.4673,64087.9
26,26,1694737560000,0.4672,0.4673,0.4668,0.4669,22869.7
27,27,1694737620000,0.4668,0.467,0.4667,0.467,5672.3
28,28,1694737680000,0.4671,0.4673,0.4671,0.4673,8807.1
29,29,1694737740000,0.4673,0.4673,0.4668,0.4669,14250.7
30,30,1694737800000,0.4671,0.4681,0.4665,0.4679,83623.9
31,31,1694737860000,0.468,0.4686,0.468,0.4685,24364.8
32,32,1694737920000,0.4685,0.4686,0.4683,0.4686,10106.1
33,33,1694737980000,0.4687,0.4689,0.4683,0.4684,22169.9
34,34,1694738040000,0.4684,0.4686,0.4683,0.4686,9226.0
35,35,1694738100000,0.4687,0.4692,0.4687,0.4691,15104.2
36,36,1694738160000,0.4691,0.4694,0.4691,0.4693,5529.9
37,37,1694738220000,0.4692,0.4693,0.4682,0.4683,37377.1
38,38,1694738280000,0.4683,0.4687,0.4683,0.4683,18736.3
