,index,timestamp,open,high,low,close,volume
0,0,1693958400000,0.2929,0.2931,0.2927,0.2928,152978
1,1,1693958460000,0.2928,0.2928,0.2926,0.2927,93900
2,2,1693958520000,0.2927,0.2928,0.2926,0.2928,99456
3,3,1693958580000,0.2928,0.2928,0.2926,0.2926,30630
4,4,1693958640000,0.2927,0.2928,0.2926,0.2928,40965
5,5,1693958700000,0.2928,0.2929,0.2928,0.2928,86935
6,6,1693958760000,0.2928,0.2929,0.2928,0.2929,8034
7,7,1693958820000,0.293,0.2931,0.293,0.2931,24942
8,8,1693958880000,0.2932,0.2935,0.2932,0.2933,61058
9,9,1693958940000,0.2934,0.2937,0.2934,0.2936,64599
10,10,1693959000000,0.2936,0.2936,0.2934,0.2935,42330
11,11,1693959060000,0.2935,0.2938,0.2935,0.2937,114283
12,12,1693959120000,0.2937,0.2938,0.2937,0.2937,14288
13,13,1693959180000,0.2937,0.2937,0.2935,0.2935,19603
14,14,1693959240000,0.2935,0.2936,0.2934,0.2934,9708
15,15,1693959300000,0.2934,0.2935,0.2933,0.2934,45213
16,16,1693959360000,0.2934,0.2934,0.2934,0.2934,24569
17,17,1693959420000,0.2934,0.2934,0.2932,0.2933,39875
18,18,1693959480000,0.2933,0.2934,0.2932,0.2932,9366
19,19,1693959540000,0.2931,0.2933,0.293,0.293,143637
20,20,1693959600000,0.2929,0.2931,0.2929,0.293,18301
21,21,1693959660000,0.293,0.2931,0.2929,0.2929,176842
22,22,1693959720000,0.2928,0.2929,0.2928,0.2928,6532
23,23,1693959780000,0.2928,0.2928,0.2927,0.2928,13321
24,24,1693959840000,0.2928,0.2928,0.2927,0.2927,92
25,25,1693959900000,0.2928,0.293,0.2924,0.2924,126177
26,26,1693959960000,0.2924,0.2925,0.2924,0.2924,48195
27,27,1693960020000,0.2925,0.2925,0.2924,0.2924,26428
28,28,1693960080000,0.2924,0.2924,0.2923,0.2923,4372
29,29,1693960140000,0.2924,0.2924,0.2922,0.2923,54900
30,30,1693960200000,0.2924,0.2926,0.2924,0.2924,107355
31,31,1693960260000,0.2924,0.2924,0.2919,0.2919,141478
32,32,1693960320000,0.2918,0.2919,0.2911,0.2915,171041
33,33,1693960380000,0.2915,0.2917,0.2914,0.2917,101264
34,34,1693960440000,0.2916,0.292,0.2916,0.2919,89859
35,35,1693960500000,0.2919,0.2922,0.2918,0.2921,70261
36,36,1693960560000,0.2922,0.2924,0.292,0.2924,104340
37,37,1693960620000,0.2924,0.2927,0.2923,0.2923,97207
38,38,1693960680000,0.2924,0.2924,0.2922,0.2922,9772
39,39,1693960740000,0.2922,0.2922,0.2921,0.2922,32859
40,40,1693960800000,0.2921,0.2921,0.2919,0.292,14018
41,41,1693960860000,0.292,0.2924,0.292,0.2924,44696
42,42,1693960920000,0.2924,0.2925,0.2924,0.2925,63932
43,43,1693960980000,0.2925,0.2925,0.2923,0.2924,10039
44,44,1693961040000,0.2924,0.2924,0.2922,0.2922,32609
45,45,1693961100000,0.2922,0.2924,0.2922,0.2924,18641
46,46,1693961160000,0.2924,0.2924,0.2922,0.2922,12578
47,47,1693961220000,0.2923,0.2924,0.2923,0.2923,12818
48,48,1693961280000,0.2923,0.2923,0.292,0.2922,78583
49,49,1693961340000,0.2923,0.2924,0.2922,0.2922,28271
50,50,1693961400000,0.2922,0.2926,0.2921,0.2925,83070
51,51,1693961460000,0.2925,0.2925,0.2922,0.2923,49370
52,52,1693961520000,0.2923,0.2923,0.292,0.292,73164
53,53,1693961580000,0.292,0.2921,0.292,0.2921,23625
54,54,1693961640000,0.292,0.2921,0.2919,0.2921,51038
55,55,1693961700000,0.2921,0.2922,0.292,0.2921,25110
56,56,1693961760000,0.292,0.292,0.2919,0.292,8668
57,57,1693961820000,0.292,0.2923,0.292,0.2922,28619
58,58,1693961880000,0.2923,0.2924,0.2923,0.2924,12498
59,59,1693961940000,0.2924,0.2928,0.2924,0.2928,145998
60,60,1693962000000,0.2928,0.2929,0.2926,0.2927,54643
61,61,1693962060000,0.2927,0.2927,0.2926,0.2927,26636
62,62,1693962120000,0.2928,0.2929,0.2927,0.2928,16662
63,63,1693962180000,0.2929,0.293,0.2927,0.2927,71056
64,64,1693962240000,0.2927,0.2928,0.2927,0.2927,25413
65,65,1693962300000,0.2927,0.293,0.2927,0.293,35084
66,66,1693962360000,0.2929,0.293,0.2929,0.293,38166
67,67,1693962420000,0.2931,0.2934,0.293,0.2934,101820
68,68,1693962480000,0.2934,0.2935,0.2933,0.2934,74812
69,69,1693962540000,0.2934,0.2934,0.2932,0.2934,48788
70,70,1693962600000,0.2934,0.2934,0.2933,0.2934,27614
71,71,1693962660000,0.2934,0.2938,0.2934,0.2937,64614
72,72,1693962720000,0.2938,0.294,0.2936,0.2936,212832
73,73,1693962780000,0.2937,0.294,0.2937,0.2938,75511
74,74,1693962840000,0.2938,0.2941,0.2937,0.2941,84807
75,75,1693962900000,0.294,0.2941,0.2937,0.2938,50599
76,76,1693962960000,0.2937,0.2937,0.2936,0.2936,23384
77,77,1693963020000,0.2936,0.2937,0.2935,0.2935,34869
78,78,1693963080000,0.2935,0.2936,0.2935,0.2935,7406
79,79,1693963140000,0.2934,0.2935,0.2934,0.2935,7615
80,80,1693963200000,0.2934,0.2935,0.2934,0.2935,8181
81,81,1693963260000,0.2935,0.2935,0.2933,0.2934,16548
82,82,1693963320000,0.2933,0.2934,0.2933,0.2933,10569
83,83,1693963380000,0.2933,0.2934,0.2933,0.2933,6550
84,84,1693963440000,0.2933,0.2935,0.2932,0.2935,34031
85,85,1693963500000,0.2935,0.2935,0.2934,0.2934,13950
86,86,1693963560000,0.2934,0.2934,0.2931,0.2931,33159
87,87,1693963620000,0.2932,0.2933,0.2932,0.2933,15515
88,88,1693963680000,0.2933,0.2934,0.2933,0.2933,22345
89,89,1693963740000,0.2932,0.2934,0.2932,0.2933,9269
90,90,1693963800000,0.2933,0.2934,0.2932,0.2932,10063
91,91,1693963860000,0.2932,0.2932,0.2932,0.2932,12114
92,92,1693963920000,0.2932,0.2932,0.2929,0.2929,42387
93,93,1693963980000,0.293,0.2931,0.293,0.293,22757
94,94,1693964040000,0.293,0.2932,0.293,0.2932,19738
95,95,1693964100000,0.2931,0.2931,0.2931,0.2931,359
96,96,1693964160000,0.293,0.2932,0.293,0.2931,105205
97,97,1693964220000,0.2931,0.2932,0.2931,0.2932,6682
98,98,1693964280000,0.2931,0.2931,0.293,0.293,15175
99,99,1693964340000,0.2931,0.2931,0.2931,0.2931,2251
100,100,1693964400000,0.2931,0.2932,0.2928,0.2932,141202
101,101,1693964460000,0.2931,0.2931,0.2929,0.2929,64966
102,102,1693964520000,0.2929,0.2929,0.2928,0.2928,13150
103,103,1693964580000,0.2927,0.2928,0.2926,0.2926,28062
104,104,1693964640000,0.2927,0.2927,0.2926,0.2926,15013
105,105,1693964700000,0.2925,0.2926,0.2924,0.2924,44847
106,106,1693964760000,0.2924,0.2926,0.2924,0.2926,45827
107,107,1693964820000,0.2925,0.2925,0.2925,0.2925,34563
108,108,1693964880000,0.2926,0.2927,0.2926,0.2927,34634
109,109,1693964940000,0.2926,0.2926,0.2926,0.2926,17095
110,110,1693965000000,0.2926,0.2926,0.2923,0.2924,71831
111,111,1693965060000,0.2924,0.2924,0.2924,0.2924,5424
112,112,1693965120000,0.2923,0.2924,0.2923,0.2924,26115
113,113,1693965180000,0.2924,0.2924,0.2924,0.2924,548
114,114,1693965240000,0.2924,0.2926,0.2924,0.2926,11581
115,115,1693965300000,0.2925,0.2928,0.2925,0.2928,40517
116,116,1693965360000,0.2928,0.293,0.2928,0.293,34552
117,117,1693965420000,0.293,0.2931,0.293,0.2931,36707
118,118,1693965480000,0.293,0.293,0.2929,0.2929,32696
119,119,1693965540000,0.293,0.293,0.2929,0.293,962
120,120,1693965600000,0.293,0.2931,0.2928,0.2929,45196
121,121,1693965660000,0.2929,0.2929,0.2927,0.2928,17257
122,122,1693965720000,0.2927,0.2927,0.2924,0.2924,43428
123,123,1693965780000,0.2924,0.2924,0.2922,0.2922,34385
124,124,1693965840000,0.2921,0.2922,0.2919,0.292,111070
125,125,1693965900000,0.292,0.292,0.2919,0.292,26903
126,126,1693965960000,0.292,0.2923,0.292,0.2922,52404
127,127,1693966020000,0.2923,0.2927,0.2923,0.2927,36842
128,128,1693966080000,0.2926,0.2926,0.2924,0.2924,56445
129,129,1693966140000,0.2924,0.2925,0.2923,0.2925,32383
130,130,1693966200000,0.2924,0.2924,0.2924,0.2924,29904
