,index,timestamp,open,high,low,close,volume
0,0,1694476800000,2.418,2.419,2.416,2.416,37991
1,1,1694476860000,2.417,2.418,2.416,2.418,8217
2,2,1694476920000,2.419,2.42,2.418,2.418,14177
3,3,1694476980000,2.417,2.417,2.412,2.416,29863
4,4,1694477040000,2.417,2.421,2.417,2.42,12936
5,5,1694477100000,2.42,2.42,2.415,2.417,14565
6,6,1694477160000,2.418,2.418,2.412,2.412,19961
7,7,1694477220000,2.412,2.416,2.412,2.415,15948
8,8,1694477280000,2.415,2.419,2.415,2.417,16670
9,9,1694477340000,2.417,2.418,2.414,2.414,7518
10,10,1694477400000,2.413,2.418,2.412,2.418,12998
11,11,1694477460000,2.417,2.419,2.416,2.416,9880
12,12,1694477520000,2.416,2.417,2.415,2.416,4381
13,13,1694477580000,2.416,2.417,2.415,2.416,5374
14,14,1694477640000,2.415,2.418,2.415,2.418,15026
15,15,1694477700000,2.418,2.419,2.414,2.416,14848
16,16,1694477760000,2.416,2.417,2.413,2.413,11851
17,17,1694477820000,2.414,2.415,2.412,2.414,4209
18,18,1694477880000,2.414,2.414,2.412,2.413,7130
19,19,1694477940000,2.412,2.413,2.411,2.413,9547
20,20,1694478000000,2.412,2.413,2.411,2.412,5445
21,21,1694478060000,2.412,2.412,2.411,2.411,5952
22,22,1694478120000,2.412,2.414,2.411,2.411,10643
23,23,1694478180000,2.411,2.412,2.411,2.411,2453
24,24,1694478240000,2.411,2.412,2.411,2.411,2810
25,25,1694478300000,2.41,2.411,2.409,2.411,10548
26,26,1694478360000,2.411,2.413,2.41,2.41,5080
27,27,1694478420000,2.411,2.412,2.41,2.41,5818
28,28,1694478480000,2.41,2.415,2.41,2.414,7029
29,29,1694478540000,2.414,2.415,2.414,2.414,3990
30,30,1694478600000,2.414,2.416,2.414,2.415,5989
31,31,1694478660000,2.415,2.419,2.415,2.419,35475
32,32,1694478720000,2.418,2.418,2.415,2.415,11591
33,33,1694478780000,2.414,2.414,2.411,2.413,10846
34,34,1694478840000,2.412,2.412,2.41,2.411,6555
35,35,1694478900000,2.411,2.411,2.41,2.411,3571
36,36,1694478960000,2.41,2.413,2.41,2.413,10721
37,37,1694479020000,2.414,2.414,2.414,2.414,446
38,38,1694479080000,2.415,2.416,2.415,2.416,1237
39,39,1694479140000,2.417,2.417,2.416,2.417,75
40,40,1694479200000,2.417,2.419,2.417,2.419,11267
41,41,1694479260000,2.419,2.421,2.417,2.418,21043
42,42,1694479320000,2.417,2.418,2.416,2.418,3514
43,43,1694479380000,2.418,2.42,2.418,2.42,6423
44,44,1694479440000,2.419,2.42,2.419,2.42,2182
45,45,1694479500000,2.42,2.421,2.419,2.421,4104
46,46,1694479560000,2.421,2.428,2.421,2.428,8600
47,47,1694479620000,2.427,2.433,2.426,2.429,43151
48,48,1694479680000,2.429,2.43,2.428,2.429,13600
49,49,1694479740000,2.43,2.433,2.43,2.432,12830
50,50,1694479800000,2.432,2.442,2.432,2.442,23627
51,51,1694479860000,2.442,2.445,2.436,2.437,83122
52,52,1694479920000,2.438,2.442,2.436,2.44,29769
53,53,1694479980000,2.44,2.447,2.44,2.446,105169
54,54,1694480040000,2.446,2.452,2.446,2.448,122558
55,55,1694480100000,2.448,2.448,2.443,2.445,29848
56,56,1694480160000,2.445,2.445,2.441,2.441,22376
57,57,1694480220000,2.44,2.44,2.438,2.439,18875
58,58,1694480280000,2.438,2.44,2.435,2.436,12654
