,index,timestamp,open,high,low,close,volume
0,0,1694476800000,0.5033,0.5034,0.5026,0.503,561443
1,1,1694476860000,0.5029,0.5034,0.5029,0.5034,96093
2,2,1694476920000,0.5033,0.5035,0.5033,0.5033,78717
3,3,1694476980000,0.5034,0.5034,0.5025,0.5027,495910
4,4,1694477040000,0.5027,0.5029,0.5026,0.5027,115951
5,5,1694477100000,0.5026,0.5026,0.5023,0.5024,117162
6,6,1694477160000,0.5024,0.5025,0.5021,0.5022,95028
7,7,1694477220000,0.5022,0.5027,0.5021,0.5027,129972
8,8,1694477280000,0.5027,0.5032,0.5027,0.5031,128281
9,9,1694477340000,0.5031,0.5031,0.5025,0.5025,88370
10,10,1694477400000,0.5025,0.5028,0.5025,0.5027,56738
11,11,1694477460000,0.5027,0.503,0.5022,0.5022,204544
12,12,1694477520000,0.5023,0.5023,0.5021,0.5022,26828
13,13,1694477580000,0.5021,0.5023,0.5019,0.502,145363
14,14,1694477640000,0.5019,0.5021,0.5018,0.5021,119124
15,15,1694477700000,0.5021,0.5022,0.5014,0.5016,189576
16,16,1694477760000,0.5015,0.5017,0.5015,0.5015,52645
17,17,1694477820000,0.5014,0.5016,0.5012,0.5016,201221
18,18,1694477880000,0.5015,0.5017,0.5012,0.5014,95594
19,19,1694477940000,0.5015,0.5017,0.5014,0.5015,77917
20,20,1694478000000,0.5015,0.5016,0.5015,0.5015,8172
21,21,1694478060000,0.5016,0.5016,0.5015,0.5015,45616
22,22,1694478120000,0.5015,0.5017,0.5015,0.5016,36696
23,23,1694478180000,0.5015,0.5016,0.5012,0.5013,29959
24,24,1694478240000,0.5012,0.5013,0.5011,0.5012,42210
25,25,1694478300000,0.5012,0.5014,0.501,0.5013,90098
26,26,1694478360000,0.5014,0.5016,0.5012,0.5013,51796
27,27,1694478420000,0.5013,0.502,0.5011,0.502,288236
28,28,1694478480000,0.5019,0.5023,0.5017,0.5022,123846
29,29,1694478540000,0.5022,0.5025,0.5022,0.5023,87304
30,30,1694478600000,0.5023,0.5026,0.5022,0.5024,117978
31,31,1694478660000,0.5025,0.5026,0.5025,0.5025,41291
32,32,1694478720000,0.5025,0.5025,0.5022,0.5024,133852
33,33,1694478780000,0.5024,0.5025,0.502,0.5022,56685
34,34,1694478840000,0.5023,0.5023,0.5017,0.5018,38508
35,35,1694478900000,0.5018,0.5019,0.5017,0.5018,39927
36,36,1694478960000,0.5018,0.5025,0.5018,0.5025,40180
37,37,1694479020000,0.5025,0.5026,0.5023,0.5025,43107
38,38,1694479080000,0.5026,0.5029,0.5025,0.5029,130666
39,39,1694479140000,0.503,0.5031,0.5026,0.5028,80286
40,40,1694479200000,0.5028,0.5031,0.5028,0.503,18710
41,41,1694479260000,0.503,0.5031,0.5027,0.5027,124891
42,42,1694479320000,0.5027,0.5027,0.5026,0.5026,20758
43,43,1694479380000,0.5027,0.503,0.5027,0.5029,48069
44,44,1694479440000,0.503,0.503,0.5028,0.5028,39076
45,45,1694479500000,0.5028,0.503,0.5027,0.503,33165
46,46,1694479560000,0.503,0.5041,0.5029,0.504,684293
47,47,1694479620000,0.504,0.5049,0.5036,0.5037,928819
48,48,1694479680000,0.5037,0.5043,0.5037,0.5043,208425
49,49,1694479740000,0.5044,0.5047,0.5042,0.5043,190894
50,50,1694479800000,0.5044,0.5089,0.5043,0.5089,4106322
51,51,1694479860000,0.5089,0.51,0.5058,0.506,4374582
52,52,1694479920000,0.506,0.5072,0.5059,0.5065,930466
53,53,1694479980000,0.5065,0.5072,0.5064,0.507,373049
54,54,1694480040000,0.5071,0.5077,0.5069,0.5074,294837
55,55,1694480100000,0.5074,0.5077,0.5066,0.5073,461870
56,56,1694480160000,0.5073,0.5073,0.5061,0.5061,291463
57,57,1694480220000,0.5061,0.5063,0.5059,0.5059,151233
58,58,1694480280000,0.506,0.506,0.5053,0.5054,217776
59,59,1694480340000,0.5054,0.506,0.5052,0.506,229194
