,index,timestamp,open,high,low,close,volume
0,0,1694476800000,0.2041,0.2044,0.2038,0.2042,30482
1,1,1694476860000,0.2042,0.2046,0.2041,0.2045,19679
2,2,1694476920000,0.2045,0.2046,0.2044,0.2045,13192
3,3,1694476980000,0.2046,0.2046,0.2041,0.2043,57330
4,4,1694477040000,0.2042,0.2043,0.2042,0.2043,15601
5,5,1694477100000,0.2043,0.2043,0.2038,0.2038,46651
6,6,1694477160000,0.2038,0.2038,0.2035,0.2035,10059
7,7,1694477220000,0.2036,0.2039,0.2036,0.2039,52406
8,8,1694477280000,0.204,0.2043,0.204,0.2041,20418
9,9,1694477340000,0.2041,0.2041,0.2041,0.2041,2463
10,10,1694477400000,0.204,0.204,0.2038,0.204,26574
11,11,1694477460000,0.2041,0.2043,0.2041,0.2041,26173
12,12,1694477520000,0.2041,0.2043,0.2041,0.2042,15945
13,13,1694477580000,0.2042,0.2042,0.2041,0.2041,3683
14,14,1694477640000,0.204,0.2041,0.2039,0.2041,4867
15,15,1694477700000,0.204,0.2042,0.2039,0.2039,14524
16,16,1694477760000,0.2039,0.204,0.2038,0.2038,11874
17,17,1694477820000,0.2038,0.2038,0.2037,0.2037,303
18,18,1694477880000,0.2037,0.2037,0.2035,0.2036,1698
19,19,1694477940000,0.2036,0.2038,0.2036,0.2037,8087
20,20,1694478000000,0.2037,0.2037,0.2036,0.2036,5575
21,21,1694478060000,0.2037,0.2037,0.2036,0.2037,1877
22,22,1694478120000,0.2037,0.2038,0.2036,0.2036,4145
23,23,1694478180000,0.2036,0.2037,0.2036,0.2036,1442
24,24,1694478240000,0.2036,0.2036,0.2035,0.2035,575
25,25,1694478300000,0.2034,0.2035,0.2033,0.2035,7873
26,26,1694478360000,0.2036,0.2038,0.2035,0.2035,7156
27,27,1694478420000,0.2036,0.2036,0.2036,0.2036,1603
28,28,1694478480000,0.2036,0.2037,0.2036,0.2037,1276
29,29,1694478540000,0.2038,0.2039,0.2038,0.2039,5742
30,30,1694478600000,0.2039,0.204,0.2039,0.2039,1927
31,31,1694478660000,0.2039,0.2042,0.2039,0.2041,30514
32,32,1694478720000,0.2041,0.2041,0.2038,0.2038,3595
