,index,timestamp,open,high,low,close,volume
0,0,1694131200000,0.04889,0.04892,0.0488,0.0488,973334
1,1,1694131260000,0.04881,0.04883,0.04878,0.04879,320808
2,2,1694131320000,0.04878,0.04879,0.04868,0.04868,164202
3,3,1694131380000,0.04868,0.04869,0.04862,0.04862,139841
4,4,1694131440000,0.04861,0.04869,0.04861,0.04864,230252
5,5,1694131500000,0.04863,0.04868,0.0486,0.04865,277906
6,6,1694131560000,0.04864,0.04864,0.04855,0.04859,206641
7,7,1694131620000,0.04859,0.04859,0.04854,0.04854,89105
8,8,1694131680000,0.04854,0.04854,0.04845,0.04845,408009
9,9,1694131740000,0.04845,0.04859,0.04842,0.04857,199802
10,10,1694131800000,0.04858,0.04862,0.04843,0.04844,198346
11,11,1694131860000,0.04844,0.04845,0.04841,0.04843,199918
12,12,1694131920000,0.04843,0.0485,0.0484,0.04841,234370
13,13,1694131980000,0.04842,0.04844,0.04835,0.04836,263637
14,14,1694132040000,0.04836,0.04848,0.04836,0.04848,160556
15,15,1694132100000,0.04848,0.04849,0.04835,0.04835,172012
16,16,1694132160000,0.04835,0.04836,0.04831,0.04831,228134
17,17,1694132220000,0.04831,0.04832,0.04827,0.04827,204854
18,18,1694132280000,0.04826,0.04827,0.04812,0.04812,244316
19,19,1694132340000,0.04813,0.04826,0.04813,0.04823,244807
20,20,1694132400000,0.04824,0.04825,0.04822,0.04822,56411
21,21,1694132460000,0.04822,0.04823,0.04819,0.04823,99569
22,22,1694132520000,0.04823,0.04824,0.04821,0.04823,99649
23,23,1694132580000,0.04823,0.04826,0.04823,0.04825,59805
24,24,1694132640000,0.04826,0.04828,0.04824,0.04826,76111
25,25,1694132700000,0.04826,0.04831,0.04823,0.0483,54043
26,26,1694132760000,0.0483,0.04836,0.04829,0.04836,61977
27,27,1694132820000,0.04836,0.0485,0.04836,0.04848,223775
28,28,1694132880000,0.04847,0.04848,0.04836,0.04839,93562
29,29,1694132940000,0.0484,0.04844,0.04839,0.04843,51179
30,30,1694133000000,0.04842,0.04844,0.04839,0.0484,70020
31,31,1694133060000,0.0484,0.04854,0.0484,0.04854,132572
32,32,1694133120000,0.04853,0.04856,0.0485,0.04853,106013
33,33,1694133180000,0.04853,0.04853,0.04843,0.04844,151918
34,34,1694133240000,0.04844,0.04844,0.04835,0.04837,198890
35,35,1694133300000,0.04837,0.04837,0.04833,0.04834,252583
36,36,1694133360000,0.04834,0.04844,0.04831,0.04843,243550
37,37,1694133420000,0.04841,0.04845,0.04834,0.04834,164912
38,38,1694133480000,0.04833,0.04837,0.0483,0.04837,54696
39,39,1694133540000,0.04837,0.04843,0.04834,0.04843,107346
40,40,1694133600000,0.04845,0.04848,0.04837,0.04838,115016
41,41,1694133660000,0.04838,0.0485,0.04838,0.0485,144358
42,42,1694133720000,0.04847,0.04847,0.04843,0.04844,18836
43,43,1694133780000,0.04844,0.04847,0.04841,0.04842,83320
44,44,1694133840000,0.04843,0.04849,0.04843,0.04843,151435
45,45,1694133900000,0.04843,0.04862,0.04841,0.04855,497089
46,46,1694133960000,0.04855,0.04862,0.04853,0.04862,68263
47,47,1694134020000,0.04861,0.04861,0.04851,0.04857,410126
48,48,1694134080000,0.04858,0.0486,0.04851,0.04851,239182
49,49,1694134140000,0.04852,0.0486,0.04851,0.04859,248655
50,50,1694134200000,0.04858,0.04867,0.04856,0.04861,299333
51,51,1694134260000,0.04861,0.04861,0.04857,0.04861,96441
52,52,1694134320000,0.04862,0.04863,0.04858,0.04859,84013
53,53,1694134380000,0.04859,0.04868,0.04859,0.04863,109564
54,54,1694134440000,0.04863,0.04868,0.04863,0.04867,38520
55,55,1694134500000,0.04867,0.04871,0.04857,0.04863,426076
56,56,1694134560000,0.04863,0.04875,0.04862,0.04874,192419
57,57,1694134620000,0.04873,0.04875,0.04869,0.04872,60291
58,58,1694134680000,0.04873,0.04886,0.04873,0.04875,272698
59,59,1694134740000,0.04874,0.04882,0.04862,0.0488,465360
60,60,1694134800000,0.0488,0.0488,0.04873,0.04873,171063
61,61,1694134860000,0.04874,0.04876,0.04864,0.04867,185203
62,62,1694134920000,0.04867,0.04869,0.04864,0.04864,72568
63,63,1694134980000,0.04864,0.04867,0.04859,0.04859,106684
64,64,1694135040000,0.04859,0.0486,0.04855,0.04857,247542
65,65,1694135100000,0.04857,0.04858,0.04847,0.04849,226496
66,66,1694135160000,0.04849,0.04851,0.04847,0.04847,73853
67,67,1694135220000,0.04847,0.0485,0.04847,0.04847,56378
68,68,1694135280000,0.04847,0.04849,0.04846,0.04848,147736
69,69,1694135340000,0.04848,0.04851,0.04847,0.04848,56316
70,70,1694135400000,0.04849,0.04858,0.04846,0.04855,182739
71,71,1694135460000,0.04854,0.04859,0.04854,0.04859,22149
72,72,1694135520000,0.0486,0.0486,0.04854,0.04854,28609
73,73,1694135580000,0.04854,0.04854,0.04848,0.04851,42640
74,74,1694135640000,0.04851,0.04861,0.04851,0.04859,143574
75,75,1694135700000,0.04859,0.04859,0.04857,0.04858,15603
76,76,1694135760000,0.04858,0.04858,0.04855,0.04856,19464
77,77,1694135820000,0.04855,0.04855,0.04852,0.04854,113032
78,78,1694135880000,0.04855,0.04863,0.04855,0.04863,72546
79,79,1694135940000,0.04863,0.04865,0.04855,0.04858,101642
80,80,1694136000000,0.04857,0.04875,0.04853,0.04871,743534
81,81,1694136060000,0.04871,0.04872,0.04869,0.0487,43252
82,82,1694136120000,0.0487,0.04872,0.04865,0.04865,80545
83,83,1694136180000,0.04866,0.04873,0.04866,0.04872,66722
84,84,1694136240000,0.04872,0.04874,0.04869,0.0487,48489
85,85,1694136300000,0.0487,0.04871,0.04866,0.04869,79847
86,86,1694136360000,0.04869,0.04869,0.04863,0.04863,97250
87,87,1694136420000,0.04863,0.04867,0.04863,0.04863,102572
88,88,1694136480000,0.04863,0.04865,0.04861,0.04863,181513
89,89,1694136540000,0.04863,0.04863,0.04861,0.04863,78567
90,90,1694136600000,0.04863,0.04863,0.04846,0.04849,563943
91,91,1694136660000,0.0485,0.04853,0.04849,0.04852,65119
92,92,1694136720000,0.04853,0.04853,0.04851,0.04851,15756
93,93,1694136780000,0.04851,0.04851,0.04849,0.04849,13847
94,94,1694136840000,0.04849,0.04852,0.04848,0.04852,45734
95,95,1694136900000,0.04852,0.04852,0.0485,0.04851,12785
96,96,1694136960000,0.04851,0.04851,0.04846,0.04846,219462
97,97,1694137020000,0.04846,0.04847,0.04846,0.04847,1285
98,98,1694137080000,0.04846,0.04846,0.04837,0.04838,584978
99,99,1694137140000,0.04839,0.04839,0.04832,0.04833,209659
100,100,1694137200000,0.04833,0.04833,0.04827,0.04827,201913
101,101,1694137260000,0.04827,0.04827,0.04826,0.04827,59475
102,102,1694137320000,0.04827,0.0483,0.04826,0.0483,237891
103,103,1694137380000,0.0483,0.04834,0.04826,0.04833,239334
104,104,1694137440000,0.04833,0.04843,0.04832,0.04841,135571
105,105,1694137500000,0.0484,0.04844,0.04826,0.04826,165937
106,106,1694137560000,0.04826,0.04828,0.04821,0.04824,314548
107,107,1694137620000,0.04824,0.04825,0.0482,0.04823,230796
108,108,1694137680000,0.04824,0.04833,0.04824,0.04833,110694
109,109,1694137740000,0.04833,0.04835,0.04827,0.04829,66372
110,110,1694137800000,0.04829,0.04829,0.04825,0.04825,88165
111,111,1694137860000,0.04825,0.04836,0.04825,0.04836,295821
112,112,1694137920000,0.04837,0.04837,0.04835,0.04835,23704
113,113,1694137980000,0.04835,0.04835,0.04831,0.04834,175736
114,114,1694138040000,0.04834,0.04834,0.04832,0.04832,19331
115,115,1694138100000,0.04832,0.04833,0.04832,0.04833,72694
116,116,1694138160000,0.04833,0.04833,0.04831,0.04832,98333
117,117,1694138220000,0.04832,0.04835,0.04831,0.04835,22863
118,118,1694138280000,0.04835,0.04835,0.04834,0.04834,42577
119,119,1694138340000,0.04833,0.04833,0.04831,0.04832,50355
120,120,1694138400000,0.04832,0.04842,0.04832,0.04836,657962
121,121,1694138460000,0.04837,0.04843,0.04836,0.04842,92238
122,122,1694138520000,0.04843,0.04844,0.04842,0.04842,34780
123,123,1694138580000,0.04842,0.04843,0.04842,0.04843,24907
124,124,1694138640000,0.04842,0.04843,0.04839,0.04839,67209
125,125,1694138700000,0.04839,0.04849,0.04838,0.04846,310661
126,126,1694138760000,0.04845,0.04851,0.04845,0.04848,126216
127,127,1694138820000,0.04848,0.04848,0.04841,0.04841,74672
128,128,1694138880000,0.04841,0.04841,0.04841,0.04841,16044
129,129,1694138940000,0.0484,0.0484,0.04835,0.04838,99297
130,130,1694139000000,0.04838,0.04842,0.04835,0.04835,182679
131,131,1694139060000,0.04836,0.04836,0.04836,0.04836,5172
132,132,1694139120000,0.04836,0.04841,0.04836,0.0484,121239
133,133,1694139180000,0.04841,0.04841,0.04832,0.04833,60331
134,134,1694139240000,0.04833,0.04833,0.04831,0.04832,77132
135,135,1694139300000,0.04831,0.04835,0.04831,0.04831,135337
136,136,1694139360000,0.04832,0.04836,0.04832,0.04835,62556
137,137,1694139420000,0.04835,0.04835,0.04833,0.04833,71533
138,138,1694139480000,0.04834,0.04834,0.04833,0.04834,17652
139,139,1694139540000,0.04833,0.04834,0.04833,0.04834,52933
140,140,1694139600000,0.04835,0.04835,0.04831,0.04831,53919
141,141,1694139660000,0.04832,0.04832,0.04831,0.04832,12857
142,142,1694139720000,0.04831,0.04832,0.04831,0.04832,3700
143,143,1694139780000,0.04832,0.04832,0.04831,0.04832,6108
144,144,1694139840000,0.04832,0.04832,0.04831,0.04831,1760
145,145,1694139900000,0.04832,0.04832,0.04831,0.04831,61056
146,146,1694139960000,0.04832,0.04832,0.04831,0.04831,674916
147,147,1694140020000,0.04831,0.04831,0.04821,0.04821,267073
148,148,1694140080000,0.04821,0.04821,0.04818,0.04819,179342
149,149,1694140140000,0.04819,0.04819,0.04818,0.04819,26211
150,150,1694140200000,0.04819,0.04819,0.04807,0.04807,339122
151,151,1694140260000,0.04807,0.0481,0.04804,0.04809,162646
152,152,1694140320000,0.04809,0.04809,0.04802,0.04808,98262
153,153,1694140380000,0.04808,0.04809,0.04802,0.04809,48534
154,154,1694140440000,0.04809,0.04814,0.04809,0.04814,34324
155,155,1694140500000,0.04814,0.04815,0.04813,0.04815,39806
156,156,1694140560000,0.04815,0.04821,0.04814,0.04821,137861
157,157,1694140620000,0.04821,0.04822,0.04819,0.04819,24399
158,158,1694140680000,0.04818,0.04819,0.04818,0.04819,10717
159,159,1694140740000,0.04819,0.0482,0.04818,0.0482,41908
160,160,1694140800000,0.04821,0.04822,0.04819,0.04819,38303
161,161,1694140860000,0.04819,0.04831,0.04818,0.0483,569852
162,162,1694140920000,0.04829,0.04831,0.04826,0.04828,87808
163,163,1694140980000,0.04828,0.04831,0.04825,0.04826,97568
164,164,1694141040000,0.04825,0.04827,0.04824,0.04826,64778
165,165,1694141100000,0.04826,0.04829,0.04826,0.04827,145512
166,166,1694141160000,0.04827,0.04827,0.04818,0.04818,123097
167,167,1694141220000,0.04818,0.04818,0.04809,0.04813,372234
168,168,1694141280000,0.04813,0.04813,0.04799,0.04802,784283
169,169,1694141340000,0.04803,0.04805,0.04788,0.04796,742856
170,170,1694141400000,0.04796,0.04801,0.04793,0.04798,128123
171,171,1694141460000,0.04799,0.04799,0.04797,0.04799,24649
172,172,1694141520000,0.04799,0.04801,0.04791,0.04794,245754
173,173,1694141580000,0.04793,0.04799,0.04788,0.04793,363866
174,174,1694141640000,0.04793,0.04793,0.04786,0.04791,113314
175,175,1694141700000,0.04789,0.0479,0.04784,0.04786,268704
176,176,1694141760000,0.04785,0.04786,0.04771,0.04783,1096106
177,177,1694141820000,0.04783,0.04785,0.04778,0.04784,101922
178,178,1694141880000,0.04783,0.04788,0.04781,0.04788,123787
179,179,1694141940000,0.04788,0.04788,0.04784,0.04787,29493
180,180,1694142000000,0.04786,0.04789,0.04782,0.04782,115619
181,181,1694142060000,0.04782,0.04785,0.04782,0.04784,72050
182,182,1694142120000,0.04783,0.04787,0.04783,0.04786,85178
