,index,timestamp,open,high,low,close,volume
0,0,1694736000000,0.3743,0.3751,0.3743,0.3748,69722
1,1,1694736060000,0.3748,0.3748,0.3741,0.3743,37734
2,2,1694736120000,0.3743,0.3744,0.3739,0.374,9636
3,3,1694736180000,0.374,0.374,0.3739,0.374,1925
4,4,1694736240000,0.3741,0.3742,0.3739,0.374,15073
5,5,1694736300000,0.3741,0.3741,0.3739,0.3739,3727
6,6,1694736360000,0.3738,0.374,0.3738,0.3739,7668
7,7,1694736420000,0.3739,0.3739,0.3739,0.3739,15
8,8,1694736480000,0.374,0.374,0.3738,0.3738,1833
9,9,1694736540000,0.3739,0.3739,0.3737,0.3737,13833
10,10,1694736600000,0.3736,0.3736,0.3732,0.3732,11412
11,11,1694736660000,0.3732,0.3734,0.3731,0.3734,11786
12,12,1694736720000,0.3733,0.3733,0.3731,0.3731,1612
13,13,1694736780000,0.373,0.373,0.3726,0.3729,27986
14,14,1694736840000,0.3729,0.373,0.3727,0.3727,9727
15,15,1694736900000,0.3727,0.3731,0.3727,0.3731,21386
16,16,1694736960000,0.373,0.373,0.3728,0.3729,7151
17,17,1694737020000,0.3729,0.3729,0.3729,0.3729,10492
18,18,1694737080000,0.3729,0.3733,0.3729,0.3731,20577
19,19,1694737140000,0.373,0.3734,0.373,0.3732,7804
20,20,1694737200000,0.3732,0.3734,0.3732,0.3733,3116
21,21,1694737260000,0.3733,0.3733,0.3725,0.373,48558
22,22,1694737320000,0.373,0.373,0.3728,0.3729,7279
23,23,1694737380000,0.373,0.373,0.3729,0.3729,264
24,24,1694737440000,0.3729,0.3731,0.3728,0.3731,17163
25,25,1694737500000,0.3731,0.3732,0.373,0.373,7645
26,26,1694737560000,0.373,0.3732,0.3729,0.3731,5958
27,27,1694737620000,0.3731,0.3731,0.3731,0.3731,0
28,28,1694737680000,0.373,0.3731,0.373,0.3731,1729
29,29,1694737740000,0.3731,0.3732,0.3731,0.3732,3467
30,30,1694737800000,0.3731,0.3741,0.3731,0.3741,37926
31,31,1694737860000,0.3741,0.3741,0.3741,0.3741,4219
32,32,1694737920000,0.374,0.3743,0.3739,0.3743,7287
33,33,1694737980000,0.3743,0.3747,0.3743,0.3743,30508
34,34,1694738040000,0.3743,0.3745,0.3742,0.3744,13283
35,35,1694738100000,0.3744,0.3749,0.3744,0.3748,24770
36,36,1694738160000,0.3748,0.375,0.3747,0.375,3941
37,37,1694738220000,0.3749,0.3749,0.3743,0.3743,13556
38,38,1694738280000,0.3743,0.3745,0.3741,0.3741,6943
39,39,1694738340000,0.374,0.3742,0.374,0.374,9049
40,40,1694738400000,0.374,0.3741,0.3738,0.3739,5093
41,41,1694738460000,0.3738,0.374,0.3738,0.374,3717
42,42,1694738520000,0.3741,0.3741,0.374,0.374,1541
43,43,1694738580000,0.3739,0.3739,0.3738,0.3739,3614
44,44,1694738640000,0.3738,0.3741,0.3738,0.374,6342
45,45,1694738700000,0.3739,0.3742,0.3738,0.374,5105
46,46,1694738760000,0.3739,0.3739,0.3737,0.3737,22589
47,47,1694738820000,0.3736,0.3736,0.3731,0.3731,33094
48,48,1694738880000,0.3732,0.3734,0.3732,0.3734,47771
49,49,1694738940000,0.3733,0.3733,0.3732,0.3732,15071
50,50,1694739000000,0.3731,0.3733,0.3731,0.3733,13216
51,51,1694739060000,0.3733,0.3733,0.3728,0.3728,38821
52,52,1694739120000,0.3729,0.373,0.3729,0.3729,23744
53,53,1694739180000,0.3729,0.3729,0.3728,0.3729,6856
54,54,1694739240000,0.3729,0.3729,0.3729,0.3729,1824
55,55,1694739300000,0.3728,0.3728,0.3726,0.3726,19813
56,56,1694739360000,0.3727,0.373,0.3727,0.3728,30110
57,57,1694739420000,0.3727,0.3727,0.3722,0.3723,19040
58,58,1694739480000,0.3723,0.3723,0.3717,0.3719,44098
59,59,1694739540000,0.3719,0.3722,0.3719,0.3722,4841
60,60,1694739600000,0.3721,0.3722,0.3716,0.3721,10688
61,61,1694739660000,0.3721,0.3722,0.3721,0.3721,3097
62,62,1694739720000,0.3721,0.3724,0.372,0.3724,7979
63,63,1694739780000,0.3723,0.3724,0.372,0.3723,14260
64,64,1694739840000,0.3722,0.3723,0.3717,0.3717,11014
65,65,1694739900000,0.3717,0.3718,0.3712,0.3715,38649
66,66,1694739960000,0.3715,0.3715,0.3711,0.3712,6436
67,67,1694740020000,0.3711,0.3711,0.3707,0.3711,33722
68,68,1694740080000,0.3711,0.3713,0.371,0.3713,12633
69,69,1694740140000,0.3712,0.372,0.3712,0.372,29923
70,70,1694740200000,0.3721,0.3722,0.3719,0.3721,19716
71,71,1694740260000,0.3721,0.3722,0.3719,0.3722,6177
72,72,1694740320000,0.3723,0.3728,0.3723,0.3725,32730
73,73,1694740380000,0.3724,0.3724,0.3723,0.3724,8571
74,74,1694740440000,0.3723,0.3723,0.3722,0.3722,1365
75,75,1694740500000,0.3722,0.3722,0.372,0.372,3558
76,76,1694740560000,0.3721,0.3722,0.3721,0.3722,3983
77,77,1694740620000,0.3722,0.3722,0.3719,0.372,8187
78,78,1694740680000,0.3721,0.3722,0.3721,0.3722,1640
79,79,1694740740000,0.3722,0.3722,0.3722,0.3722,168
80,80,1694740800000,0.3722,0.3722,0.3721,0.3722,6858
81,81,1694740860000,0.3722,0.3725,0.3722,0.3725,10232
82,82,1694740920000,0.3726,0.3735,0.3726,0.3732,27659
83,83,1694740980000,0.3733,0.3733,0.3732,0.3733,19711
84,84,1694741040000,0.3733,0.3735,0.3733,0.3735,4826
85,85,1694741100000,0.3735,0.3741,0.3735,0.3741,18602
86,86,1694741160000,0.3741,0.3745,0.374,0.3744,47727
87,87,1694741220000,0.3745,0.3746,0.3745,0.3745,35359
88,88,1694741280000,0.3745,0.3746,0.3745,0.3746,2678
89,89,1694741340000,0.3747,0.3748,0.3747,0.3748,7586
90,90,1694741400000,0.3749,0.3756,0.3749,0.3753,65321
91,91,1694741460000,0.3753,0.3753,0.3745,0.3745,45695
92,92,1694741520000,0.3746,0.3746,0.3742,0.3744,16061
93,93,1694741580000,0.3744,0.3744,0.3744,0.3744,0
