,index,timestamp,open,high,low,close,volume
0,0,1688169600000,831.0,834.8,831.0,834.5,219.315
1,1,1688169660000,834.4,835.3,833.6,834.5,106.302
2,2,1688169720000,834.4,837.8,834.3,837.2,160.155
3,3,1688169780000,837.1,838.2,836.0,836.5,111.065
4,4,1688169840000,836.4,838.1,836.4,837.6,86.836
5,5,1688169900000,837.8,838.4,836.4,837.7,145.019
6,6,1688169960000,837.7,839.6,837.6,838.9,177.561
7,7,1688170020000,838.9,840.6,838.6,840.2,180.65
8,8,1688170080000,840.3,840.8,837.8,838.5,98.45
9,9,1688170140000,838.5,839.7,838.1,839.1,45.863
10,10,1688170200000,839.2,840.0,838.2,838.2,96.513
11,11,1688170260000,838.1,839.2,837.5,838.6,136.944
12,12,1688170320000,838.5,839.1,836.0,836.3,71.432
13,13,1688170380000,836.3,837.1,831.0,831.8,201.972
14,14,1688170440000,831.8,832.9,831.2,832.7,96.242
15,15,1688170500000,832.7,836.2,831.0,835.9,202.213
16,16,1688170560000,835.8,836.0,834.9,835.0,40.283
17,17,1688170620000,834.9,835.2,833.1,833.7,85.384
18,18,1688170680000,833.8,835.1,833.1,834.3,93.906
19,19,1688170740000,834.3,835.2,833.5,834.5,42.63
20,20,1688170800000,834.6,834.9,833.1,833.1,29.623
21,21,1688170860000,833.1,833.5,831.7,832.9,69.294
22,22,1688170920000,833.1,833.1,831.7,832.8,50.578
23,23,1688170980000,832.8,834.1,832.4,833.4,45.284
24,24,1688171040000,833.4,834.8,833.4,834.6,35.086
25,25,1688171100000,834.6,835.5,834.2,834.5,35.653
26,26,1688171160000,834.6,837.1,834.1,836.6,88.02
27,27,1688171220000,836.7,837.5,836.2,836.4,49.778
28,28,1688171280000,836.4,837.8,836.4,837.8,50.35
29,29,1688171340000,837.9,839.0,837.0,838.6,80.404
30,30,1688171400000,838.7,838.8,837.2,838.1,56.216
31,31,1688171460000,838.0,838.1,837.4,837.8,57.759
32,32,1688171520000,837.8,840.3,837.7,840.2,182.784
33,33,1688171580000,840.2,841.1,838.5,839.2,127.9
34,34,1688171640000,839.1,841.3,838.5,839.6,213.127
35,35,1688171700000,839.5,839.5,838.2,838.3,35.576
36,36,1688171760000,838.3,839.3,838.1,838.3,81.656
37,37,1688171820000,838.3,840.1,838.0,839.9,42.723
38,38,1688171880000,839.9,840.8,839.4,840.7,90.831
39,39,1688171940000,840.7,846.3,840.5,844.0,355.886
40,40,1688172000000,844.1,856.7,844.1,855.4,2086.601
41,41,1688172060000,855.3,858.0,853.6,857.6,692.527
42,42,1688172120000,857.8,859.9,849.9,851.4,1053.041
43,43,1688172180000,851.4,854.6,850.0,854.6,252.938
44,44,1688172240000,854.3,859.9,854.0,856.5,475.182
45,45,1688172300000,856.6,858.1,852.1,852.6,353.752
46,46,1688172360000,852.7,853.2,850.6,852.3,221.363
47,47,1688172420000,852.4,855.0,851.5,854.4,213.915
48,48,1688172480000,854.3,854.8,852.8,853.0,104.1
49,49,1688172540000,852.9,854.7,851.3,851.9,187.638
50,50,1688172600000,851.8,852.6,847.3,850.8,328.759
51,51,1688172660000,850.9,852.5,848.4,850.4,285.731
52,52,1688172720000,850.4,851.1,843.3,845.8,709.193
53,53,1688172780000,845.7,846.1,838.1,840.1,835.483
54,54,1688172840000,840.0,840.4,836.3,838.4,295.969
55,55,1688172900000,838.2,839.9,836.9,838.4,123.255
56,56,1688172960000,838.0,839.1,833.6,836.6,384.416
57,57,1688173020000,836.5,837.9,834.6,834.9,130.974
58,58,1688173080000,834.8,838.3,834.4,837.8,107.988
59,59,1688173140000,837.7,838.4,836.9,837.8,74.988
60,60,1688173200000,837.8,840.4,836.8,839.8,196.003
61,61,1688173260000,839.9,841.3,839.4,840.1,85.585
62,62,1688173320000,840.1,840.7,839.1,840.1,72.907
63,63,1688173380000,840.0,841.5,839.6,840.5,61.429
64,64,1688173440000,840.5,841.0,839.2,840.5,75.817
65,65,1688173500000,840.2,840.2,836.3,837.0,131.885
66,66,1688173560000,837.1,837.2,835.0,835.3,83.862
67,67,1688173620000,835.2,836.0,832.2,833.4,137.029
68,68,1688173680000,833.4,834.8,831.9,834.7,108.637
69,69,1688173740000,834.7,835.0,833.9,834.1,87.206
70,70,1688173800000,834.3,836.8,834.1,836.5,156.744
71,71,1688173860000,836.5,838.8,836.1,838.2,75.396
72,72,1688173920000,838.4,839.8,837.5,839.3,83.651
73,73,1688173980000,839.2,840.6,838.4,840.3,78.317
74,74,1688174040000,840.3,840.6,838.7,839.2,70.903
75,75,1688174100000,839.1,841.2,838.7,840.2,123.333
76,76,1688174160000,840.2,841.0,839.1,840.7,81.196
77,77,1688174220000,841.0,841.8,835.9,836.8,212.615
78,78,1688174280000,836.9,840.2,836.9,839.4,124.902
79,79,1688174340000,839.4,839.4,833.3,834.0,208.1
80,80,1688174400000,834.2,835.0,831.8,832.0,141.161
81,81,1688174460000,831.9,833.8,831.7,832.5,126.522
82,82,1688174520000,832.4,833.1,828.9,830.6,200.154
83,83,1688174580000,830.7,830.9,825.2,828.1,373.903
84,84,1688174640000,828.1,828.2,825.8,826.8,141.51
85,85,1688174700000,827.1,831.3,827.1,830.2,407.867
86,86,1688174760000,830.1,830.1,827.4,828.0,145.514
87,87,1688174820000,828.4,829.3,827.2,828.1,247.927
88,88,1688174880000,828.2,829.0,827.4,828.2,46.275
89,89,1688174940000,828.2,829.6,828.1,829.3,86.795
90,90,1688175000000,829.3,831.8,827.2,830.9,251.779
91,91,1688175060000,830.9,832.2,830.2,830.6,61.674
92,92,1688175120000,830.6,831.6,830.2,831.3,51.574
93,93,1688175180000,831.2,833.5,831.2,832.7,46.88
94,94,1688175240000,832.7,834.7,832.1,834.6,46.236
95,95,1688175300000,834.6,835.3,833.8,834.1,31.986
96,96,1688175360000,834.2,835.8,833.4,835.8,51.649
97,97,1688175420000,836.0,837.6,835.3,836.2,51.28
98,98,1688175480000,836.2,837.1,834.7,835.0,57.493
99,99,1688175540000,835.2,835.9,834.9,835.1,21.999
100,100,1688175600000,835.0,837.1,834.3,836.5,107.431
101,101,1688175660000,836.6,839.0,836.6,838.3,48.705
102,102,1688175720000,838.4,839.4,837.6,839.4,39.536
103,103,1688175780000,839.3,840.0,838.6,838.6,55.777
104,104,1688175840000,838.6,838.7,837.9,837.9,33.392
105,105,1688175900000,837.9,842.5,837.2,841.4,250.008
106,106,1688175960000,841.6,842.3,839.4,839.5,132.158
107,107,1688176020000,839.6,840.9,839.5,839.9,46.222
108,108,1688176080000,840.1,843.9,840.1,843.5,91.051
109,109,1688176140000,843.8,844.4,842.8,844.1,106.996
110,110,1688176200000,844.3,846.5,843.8,845.8,196.112
111,111,1688176260000,845.8,845.9,844.0,844.0,45.575
112,112,1688176320000,844.0,845.4,844.0,844.5,39.059
113,113,1688176380000,844.4,844.4,841.0,841.0,107.064
114,114,1688176440000,841.0,842.8,840.9,842.4,55.279
115,115,1688176500000,842.4,843.6,841.5,842.3,86.475
116,116,1688176560000,842.2,842.7,840.5,841.6,76.531
117,117,1688176620000,841.5,842.2,840.6,840.7,64.706
118,118,1688176680000,840.6,841.9,839.8,841.3,70.866
119,119,1688176740000,841.3,841.4,839.1,839.1,45.445
120,120,1688176800000,839.4,841.2,839.2,840.9,54.176
121,121,1688176860000,840.9,843.0,840.2,840.5,68.285
122,122,1688176920000,840.4,840.5,835.9,837.1,426.979
123,123,1688176980000,837.3,837.7,835.9,837.6,112.66
124,124,1688177040000,837.6,837.6,834.6,836.0,118.619
125,125,1688177100000,835.9,837.6,835.1,836.1,96.723
126,126,1688177160000,836.0,836.0,828.1,830.6,421.244
127,127,1688177220000,830.6,833.3,829.7,832.6,212.09
128,128,1688177280000,832.8,836.6,832.7,836.5,76.827
129,129,1688177340000,836.2,837.1,833.6,836.3,156.852
130,130,1688177400000,836.2,838.3,835.6,836.9,98.7
131,131,1688177460000,836.8,836.8,832.4,832.7,89.869
132,132,1688177520000,832.8,833.3,830.9,831.5,67.203
133,133,1688177580000,831.5,832.7,831.1,831.7,37.311
134,134,1688177640000,831.7,832.7,831.0,831.1,63.276
135,135,1688177700000,831.1,831.7,829.8,830.9,72.156
136,136,1688177760000,831.0,831.4,829.3,830.9,84.672
137,137,1688177820000,830.9,831.4,829.6,830.6,65.643
138,138,1688177880000,830.6,831.5,829.6,829.6,27.144
139,139,1688177940000,829.6,830.2,827.9,828.5,95.812
140,140,1688178000000,828.4,830.5,827.2,827.8,157.172
141,141,1688178060000,827.8,830.0,826.6,829.3,167.5
142,142,1688178120000,829.3,829.7,828.4,828.7,29.615
143,143,1688178180000,828.6,829.6,828.4,829.5,35.811
144,144,1688178240000,829.5,830.9,829.5,830.9,26.528
145,145,1688178300000,830.8,832.2,827.6,828.9,235.668
146,146,1688178360000,828.9,828.9,827.5,828.4,56.835
147,147,1688178420000,828.3,828.7,826.8,827.4,18.712
148,148,1688178480000,827.4,828.2,826.9,828.2,15.758
149,149,1688178540000,828.2,829.5,826.6,826.7,52.001
150,150,1688178600000,826.8,828.5,826.8,828.4,54.671
151,151,1688178660000,828.4,831.1,828.2,829.7,50.352
152,152,1688178720000,829.8,830.2,829.1,829.1,28.663
153,153,1688178780000,829.3,829.4,827.2,827.5,27.255
154,154,1688178840000,827.4,827.7,825.0,825.8,146.504
155,155,1688178900000,825.7,825.9,823.0,824.3,142.91
156,156,1688178960000,824.4,825.1,823.7,825.1,93.881
157,157,1688179020000,825.1,826.2,824.6,825.8,67.125
158,158,1688179080000,825.9,826.4,825.9,826.3,17.659
159,159,1688179140000,826.4,826.6,825.4,826.6,50.058
160,160,1688179200000,826.2,827.0,824.8,826.5,102.763
161,161,1688179260000,826.4,826.5,824.0,824.2,74.983
162,162,1688179320000,824.2,824.7,823.4,823.7,37.556
163,163,1688179380000,823.8,825.5,823.8,824.4,28.45
164,164,1688179440000,824.4,825.5,824.2,824.4,66.133
165,165,1688179500000,824.2,824.9,822.3,822.3,111.368
166,166,1688179560000,822.4,822.6,820.0,821.0,156.935
167,167,1688179620000,821.1,821.7,820.0,820.8,138.525
168,168,1688179680000,820.7,822.1,820.5,821.5,74.156
169,169,1688179740000,821.4,821.6,818.8,819.8,161.04
170,170,1688179800000,819.8,820.5,819.0,819.0,73.903
171,171,1688179860000,819.1,820.2,818.9,819.5,61.487
172,172,1688179920000,819.6,820.3,817.2,817.5,148.62
173,173,1688179980000,817.5,819.6,817.4,819.3,49.275
174,174,1688180040000,819.3,820.1,818.5,818.8,48.444
175,175,1688180100000,818.9,819.6,818.4,818.5,51.207
176,176,1688180160000,818.5,819.5,818.4,819.1,60.691
177,177,1688180220000,819.0,819.4,816.2,818.1,123.428
178,178,1688180280000,817.9,818.3,817.6,817.9,18.788
179,179,1688180340000,818.0,819.7,818.0,818.3,49.772
180,180,1688180400000,818.3,819.0,817.3,817.6,75.682
181,181,1688180460000,817.7,818.6,816.6,818.6,69.13
182,182,1688180520000,818.5,819.8,818.5,818.5,67.128
183,183,1688180580000,818.5,819.8,817.3,817.4,175.189
184,184,1688180640000,817.5,817.8,813.2,814.9,605.647
185,185,1688180700000,814.9,816.4,814.9,816.1,79.467
186,186,1688180760000,816.0,816.8,816.0,816.2,22.304
187,187,1688180820000,816.4,817.2,816.4,817.1,37.502
188,188,1688180880000,817.2,818.6,817.1,818.4,67.793
189,189,1688180940000,818.4,818.9,818.0,818.1,45.744
190,190,1688181000000,818.2,818.5,813.3,813.6,180.197
191,191,1688181060000,813.8,815.4,811.4,812.8,366.808
192,192,1688181120000,812.9,813.8,810.1,811.7,244.53
193,193,1688181180000,811.8,812.3,811.1,811.9,33.152
194,194,1688181240000,811.9,811.9,809.8,810.5,234.513
195,195,1688181300000,810.6,811.0,808.6,809.0,131.195
196,196,1688181360000,809.1,810.7,809.0,810.6,105.098
197,197,1688181420000,810.4,812.3,809.8,812.0,137.933
198,198,1688181480000,812.0,813.4,811.1,811.3,89.949
199,199,1688181540000,811.0,812.1,810.4,812.1,58.17
200,200,1688181600000,812.1,812.9,812.0,812.9,46.443
201,201,1688181660000,812.8,813.4,810.0,810.2,65.241
202,202,1688181720000,810.4,810.6,809.9,810.0,33.686
203,203,1688181780000,810.0,810.6,808.9,809.5,64.124
204,204,1688181840000,809.5,810.1,808.8,809.6,37.73
205,205,1688181900000,809.6,811.9,809.5,811.8,88.611
206,206,1688181960000,811.8,813.2,811.1,811.4,149.222
207,207,1688182020000,811.4,812.1,811.4,811.7,41.985
208,208,1688182080000,811.7,813.4,810.2,813.1,99.452
209,209,1688182140000,813.2,814.3,812.3,814.3,102.093
210,210,1688182200000,814.2,814.3,812.7,814.1,84.447
211,211,1688182260000,814.1,815.4,813.7,815.3,75.87
212,212,1688182320000,815.4,817.1,815.0,816.7,166.246
213,213,1688182380000,816.7,817.3,812.9,813.2,140.759
214,214,1688182440000,813.1,813.2,812.6,812.9,30.742
215,215,1688182500000,813.0,813.5,812.6,812.8,80.702
216,216,1688182560000,812.7,813.0,812.2,812.7,22.965
