,index,timestamp,open,high,low,close,volume
0,0,1693958400000,1.1717,1.1728,1.171,1.1716,38361
1,1,1693958460000,1.1717,1.1717,1.1694,1.1702,18653
2,2,1693958520000,1.17,1.1707,1.1688,1.169,20416
3,3,1693958580000,1.1691,1.1696,1.1687,1.1692,12972
4,4,1693958640000,1.1691,1.1785,1.1689,1.1785,128133
5,5,1693958700000,1.1786,1.1819,1.1782,1.1786,147477
6,6,1693958760000,1.1787,1.1799,1.178,1.1798,30431
7,7,1693958820000,1.1799,1.1825,1.1799,1.1818,40099
8,8,1693958880000,1.1818,1.1842,1.1805,1.1831,102543
9,9,1693958940000,1.183,1.1875,1.1827,1.1867,110161
10,10,1693959000000,1.1866,1.1871,1.1836,1.1837,47999
11,11,1693959060000,1.1837,1.1866,1.1829,1.185,59934
12,12,1693959120000,1.185,1.1852,1.184,1.184,13372
13,13,1693959180000,1.1839,1.1839,1.182,1.1835,27381
14,14,1693959240000,1.1834,1.1839,1.183,1.1839,7203
15,15,1693959300000,1.1838,1.1838,1.1814,1.1817,17228
16,16,1693959360000,1.1819,1.1856,1.1819,1.1849,23044
17,17,1693959420000,1.185,1.1859,1.1845,1.1858,16522
18,18,1693959480000,1.1858,1.1899,1.1858,1.1888,89325
19,19,1693959540000,1.1889,1.1923,1.1887,1.1893,121007
20,20,1693959600000,1.1893,1.1895,1.1873,1.188,30208
21,21,1693959660000,1.1879,1.1891,1.1872,1.1875,21172
22,22,1693959720000,1.1875,1.1876,1.1857,1.1869,43574
23,23,1693959780000,1.187,1.1881,1.1862,1.1881,24756
24,24,1693959840000,1.1881,1.1898,1.1878,1.1897,23525
25,25,1693959900000,1.1896,1.1905,1.1878,1.19,50035
26,26,1693959960000,1.19,1.1906,1.1865,1.1874,103912
27,27,1693960020000,1.1874,1.1874,1.1854,1.1861,34509
28,28,1693960080000,1.1857,1.1869,1.1843,1.1847,35840
29,29,1693960140000,1.1846,1.1846,1.1827,1.1828,21968
30,30,1693960200000,1.1828,1.1837,1.1826,1.1828,14323
31,31,1693960260000,1.1828,1.1834,1.1826,1.183,9760
32,32,1693960320000,1.1827,1.1827,1.1787,1.1813,83527
33,33,1693960380000,1.1813,1.185,1.1813,1.185,78099
34,34,1693960440000,1.1849,1.1868,1.1845,1.1866,20511
