,index,timestamp,open,high,low,close,volume
0,0,1693872000000,1.126,1.129,1.126,1.126,108909
1,1,1693872060000,1.127,1.127,1.125,1.126,33577
2,2,1693872120000,1.127,1.127,1.125,1.125,29750
3,3,1693872180000,1.126,1.127,1.125,1.125,35536
4,4,1693872240000,1.126,1.126,1.124,1.124,18050
5,5,1693872300000,1.125,1.126,1.125,1.125,30629
6,6,1693872360000,1.124,1.126,1.124,1.125,11089
7,7,1693872420000,1.125,1.126,1.125,1.125,6058
8,8,1693872480000,1.125,1.126,1.124,1.124,6500
9,9,1693872540000,1.125,1.125,1.125,1.125,28718
10,10,1693872600000,1.126,1.126,1.125,1.125,3957
11,11,1693872660000,1.126,1.126,1.125,1.125,2476
12,12,1693872720000,1.125,1.126,1.124,1.124,8343
13,13,1693872780000,1.124,1.126,1.124,1.125,11853
14,14,1693872840000,1.125,1.125,1.124,1.124,7663
15,15,1693872900000,1.124,1.126,1.124,1.125,32953
16,16,1693872960000,1.125,1.125,1.124,1.125,6425
17,17,1693873020000,1.124,1.126,1.124,1.125,20256
18,18,1693873080000,1.125,1.125,1.124,1.125,1459
19,19,1693873140000,1.125,1.125,1.124,1.124,1206
20,20,1693873200000,1.125,1.125,1.124,1.124,56278
21,21,1693873260000,1.123,1.125,1.123,1.125,6703
22,22,1693873320000,1.124,1.124,1.123,1.124,13098
23,23,1693873380000,1.123,1.123,1.12,1.12,138908
24,24,1693873440000,1.121,1.122,1.12,1.122,65869
25,25,1693873500000,1.121,1.122,1.121,1.122,6188
26,26,1693873560000,1.121,1.122,1.121,1.121,454
27,27,1693873620000,1.122,1.122,1.121,1.121,52953
28,28,1693873680000,1.122,1.122,1.121,1.121,6333
29,29,1693873740000,1.122,1.122,1.12,1.121,30590
30,30,1693873800000,1.121,1.121,1.12,1.12,13782
31,31,1693873860000,1.12,1.121,1.12,1.121,715
32,32,1693873920000,1.121,1.122,1.12,1.122,19191
33,33,1693873980000,1.122,1.123,1.122,1.123,19189
34,34,1693874040000,1.122,1.122,1.122,1.122,797
35,35,1693874100000,1.123,1.123,1.122,1.122,1623
36,36,1693874160000,1.122,1.123,1.122,1.123,403
37,37,1693874220000,1.122,1.123,1.122,1.122,13147
38,38,1693874280000,1.121,1.122,1.121,1.122,1306
39,39,1693874340000,1.122,1.123,1.121,1.121,43199
40,40,1693874400000,1.122,1.122,1.12,1.121,18384
41,41,1693874460000,1.121,1.121,1.121,1.121,10
42,42,1693874520000,1.12,1.121,1.12,1.121,72
43,43,1693874580000,1.121,1.121,1.12,1.121,991
44,44,1693874640000,1.12,1.12,1.119,1.119,39936
45,45,1693874700000,1.12,1.12,1.119,1.12,1733
46,46,1693874760000,1.12,1.121,1.119,1.119,31297
47,47,1693874820000,1.119,1.12,1.118,1.118,14802
48,48,1693874880000,1.118,1.119,1.117,1.117,18567
49,49,1693874940000,1.118,1.119,1.118,1.118,17903
50,50,1693875000000,1.118,1.118,1.118,1.118,786
51,51,1693875060000,1.119,1.119,1.117,1.117,9839
52,52,1693875120000,1.117,1.118,1.117,1.118,35967
53,53,1693875180000,1.117,1.118,1.117,1.117,1580
54,54,1693875240000,1.118,1.118,1.117,1.117,7096
55,55,1693875300000,1.118,1.119,1.117,1.119,31626
56,56,1693875360000,1.118,1.119,1.118,1.118,350
57,57,1693875420000,1.118,1.119,1.118,1.119,175
58,58,1693875480000,1.119,1.12,1.118,1.119,26571
59,59,1693875540000,1.118,1.118,1.118,1.118,9
60,60,1693875600000,1.119,1.12,1.118,1.12,17295
61,61,1693875660000,1.12,1.12,1.119,1.119,291
62,62,1693875720000,1.119,1.121,1.119,1.121,27689
63,63,1693875780000,1.121,1.121,1.12,1.12,983
64,64,1693875840000,1.121,1.121,1.12,1.121,4789
65,65,1693875900000,1.12,1.121,1.12,1.12,30776
66,66,1693875960000,1.12,1.121,1.119,1.119,17899
67,67,1693876020000,1.12,1.121,1.12,1.121,7542
68,68,1693876080000,1.12,1.121,1.12,1.12,32307
69,69,1693876140000,1.12,1.12,1.119,1.12,1774
70,70,1693876200000,1.119,1.12,1.119,1.12,1512
71,71,1693876260000,1.12,1.12,1.119,1.12,3377
72,72,1693876320000,1.121,1.121,1.12,1.12,14181
73,73,1693876380000,1.12,1.12,1.119,1.119,3063
74,74,1693876440000,1.12,1.12,1.119,1.12,2175
75,75,1693876500000,1.119,1.119,1.118,1.119,22950
76,76,1693876560000,1.118,1.119,1.118,1.118,7509
77,77,1693876620000,1.119,1.119,1.119,1.119,29257
78,78,1693876680000,1.118,1.119,1.118,1.119,4472
