,index,timestamp,open,high,low,close,volume
0,0,1694563200000,7.042,7.047,7.036,7.047,3217.11
1,1,1694563260000,7.047,7.077,7.045,7.062,12683.18
2,2,1694563320000,7.063,7.064,7.033,7.044,11700.04
3,3,1694563380000,7.044,7.049,7.042,7.049,1701.77
4,4,1694563440000,7.047,7.047,7.039,7.04,2288.01
5,5,1694563500000,7.04,7.048,7.04,7.041,2415.21
6,6,1694563560000,7.041,7.047,7.04,7.046,582.38
7,7,1694563620000,7.044,7.056,7.042,7.055,3303.53
8,8,1694563680000,7.057,7.067,7.055,7.067,2105.11
9,9,1694563740000,7.068,7.082,7.068,7.082,1779.66
10,10,1694563800000,7.082,7.084,7.078,7.082,1899.4
11,11,1694563860000,7.084,7.117,7.084,7.115,5330.75
12,12,1694563920000,7.114,7.115,7.102,7.109,6569.87
13,13,1694563980000,7.109,7.109,7.102,7.102,1038.64
14,14,1694564040000,7.101,7.101,7.09,7.095,7400.15
15,15,1694564100000,7.094,7.099,7.09,7.098,2637.88
16,16,1694564160000,7.097,7.099,7.083,7.086,4339.73
17,17,1694564220000,7.086,7.088,7.079,7.088,1936.33
18,18,1694564280000,7.088,7.088,7.081,7.082,1963.78
19,19,1694564340000,7.082,7.086,7.078,7.085,691.64
20,20,1694564400000,7.086,7.086,7.078,7.082,2865.81
21,21,1694564460000,7.082,7.091,7.081,7.085,1767.1
22,22,1694564520000,7.085,7.099,7.082,7.098,3947.46
23,23,1694564580000,7.097,7.098,7.09,7.093,936.68
24,24,1694564640000,7.092,7.107,7.092,7.103,1742.13
25,25,1694564700000,7.103,7.103,7.088,7.091,2869.22
26,26,1694564760000,7.091,7.093,7.084,7.088,2169.61
27,27,1694564820000,7.087,7.087,7.083,7.086,481.45
28,28,1694564880000,7.086,7.086,7.079,7.081,738.17
29,29,1694564940000,7.08,7.097,7.079,7.093,4758.1
30,30,1694565000000,7.093,7.095,7.088,7.088,1896.56
31,31,1694565060000,7.087,7.091,7.086,7.087,571.17
32,32,1694565120000,7.088,7.093,7.088,7.092,445.99
33,33,1694565180000,7.092,7.095,7.089,7.089,871.95
34,34,1694565240000,7.09,7.095,7.09,7.094,1608.82
35,35,1694565300000,7.094,7.106,7.094,7.102,1757.57
36,36,1694565360000,7.103,7.104,7.099,7.1,409.35
37,37,1694565420000,7.102,7.115,7.102,7.112,2845.16
38,38,1694565480000,7.112,7.112,7.109,7.112,758.66
39,39,1694565540000,7.112,7.114,7.112,7.112,843.83
40,40,1694565600000,7.112,7.117,7.112,7.117,511.71
41,41,1694565660000,7.116,7.123,7.116,7.123,1227.82
42,42,1694565720000,7.122,7.128,7.114,7.117,1619.94
43,43,1694565780000,7.119,7.121,7.114,7.117,599.02
44,44,1694565840000,7.115,7.117,7.112,7.117,758.65
45,45,1694565900000,7.117,7.117,7.109,7.111,1184.59
46,46,1694565960000,7.111,7.111,7.109,7.109,159.19
47,47,1694566020000,7.108,7.108,7.1,7.102,1092.32
48,48,1694566080000,7.102,7.102,7.101,7.102,166.66
49,49,1694566140000,7.101,7.109,7.101,7.107,688.87
50,50,1694566200000,7.108,7.11,7.106,7.107,550.85
51,51,1694566260000,7.109,7.112,7.109,7.11,258.52
52,52,1694566320000,7.11,7.116,7.109,7.116,1195.9
53,53,1694566380000,7.114,7.117,7.114,7.116,87.83
54,54,1694566440000,7.116,7.117,7.116,7.117,170.1
55,55,1694566500000,7.117,7.117,7.116,7.116,409.88
56,56,1694566560000,7.116,7.116,7.113,7.114,665.1
57,57,1694566620000,7.115,7.116,7.11,7.112,929.96
58,58,1694566680000,7.112,7.112,7.11,7.11,61.62
59,59,1694566740000,7.108,7.108,7.105,7.108,691.53
60,60,1694566800000,7.11,7.113,7.104,7.106,1601.0
61,61,1694566860000,7.107,7.11,7.099,7.107,1098.02
62,62,1694566920000,7.107,7.107,7.1,7.102,302.03
63,63,1694566980000,7.103,7.111,7.103,7.111,329.25
64,64,1694567040000,7.111,7.119,7.111,7.117,1641.43
65,65,1694567100000,7.117,7.119,7.116,7.119,368.01
66,66,1694567160000,7.118,7.118,7.117,7.117,181.74
67,67,1694567220000,7.118,7.121,7.118,7.12,136.85
68,68,1694567280000,7.118,7.118,7.114,7.116,426.06
69,69,1694567340000,7.116,7.12,7.116,7.119,1516.57
70,70,1694567400000,7.12,7.12,7.119,7.119,115.12
71,71,1694567460000,7.118,7.12,7.118,7.119,471.26
72,72,1694567520000,7.119,7.12,7.118,7.118,660.7
73,73,1694567580000,7.121,7.127,7.121,7.125,635.6
74,74,1694567640000,7.126,7.127,7.125,7.125,321.27
75,75,1694567700000,7.123,7.123,7.118,7.118,699.78
76,76,1694567760000,7.118,7.124,7.118,7.124,417.07
77,77,1694567820000,7.123,7.124,7.123,7.124,138.64
78,78,1694567880000,7.123,7.127,7.123,7.127,261.48
79,79,1694567940000,7.127,7.127,7.127,7.127,165.42
80,80,1694568000000,7.127,7.127,7.123,7.123,393.88
81,81,1694568060000,7.124,7.125,7.123,7.124,269.54
82,82,1694568120000,7.124,7.132,7.124,7.129,1272.14
83,83,1694568180000,7.128,7.128,7.121,7.123,627.47
84,84,1694568240000,7.123,7.123,7.119,7.119,158.67
85,85,1694568300000,7.119,7.119,7.115,7.118,135.03
86,86,1694568360000,7.118,7.118,7.105,7.106,2087.25
87,87,1694568420000,7.108,7.108,7.098,7.102,841.73
88,88,1694568480000,7.102,7.103,7.093,7.103,1607.0
89,89,1694568540000,7.104,7.11,7.1,7.11,1082.2
90,90,1694568600000,7.109,7.109,7.092,7.096,3488.56
91,91,1694568660000,7.096,7.11,7.096,7.11,2171.09
92,92,1694568720000,7.108,7.109,7.107,7.108,272.17
93,93,1694568780000,7.109,7.121,7.109,7.114,2059.93
94,94,1694568840000,7.114,7.114,7.111,7.111,242.37
95,95,1694568900000,7.113,7.114,7.108,7.108,347.46
96,96,1694568960000,7.106,7.114,7.106,7.113,831.08
97,97,1694569020000,7.113,7.114,7.105,7.107,3269.05
98,98,1694569080000,7.106,7.106,7.099,7.1,2549.87
99,99,1694569140000,7.101,7.104,7.094,7.098,2078.65
100,100,1694569200000,7.097,7.097,7.092,7.092,338.05
101,101,1694569260000,7.092,7.094,7.092,7.094,414.82
102,102,1694569320000,7.094,7.096,7.089,7.089,949.72
103,103,1694569380000,7.088,7.09,7.077,7.09,4854.22
104,104,1694569440000,7.091,7.092,7.09,7.09,360.61
105,105,1694569500000,7.09,7.09,7.081,7.084,1044.51
106,106,1694569560000,7.082,7.085,7.072,7.083,1859.99
107,107,1694569620000,7.083,7.087,7.083,7.083,966.59
108,108,1694569680000,7.082,7.084,7.075,7.084,769.57
109,109,1694569740000,7.084,7.085,7.083,7.084,696.82
110,110,1694569800000,7.083,7.083,7.078,7.082,646.16
111,111,1694569860000,7.084,7.092,7.084,7.092,394.7
112,112,1694569920000,7.092,7.092,7.086,7.086,461.18
113,113,1694569980000,7.089,7.092,7.089,7.091,352.81
114,114,1694570040000,7.092,7.092,7.09,7.092,316.72
115,115,1694570100000,7.093,7.093,7.091,7.091,112.58
116,116,1694570160000,7.09,7.09,7.088,7.088,137.2
117,117,1694570220000,7.089,7.094,7.088,7.089,902.19
118,118,1694570280000,7.09,7.092,7.09,7.092,44.65
119,119,1694570340000,7.092,7.092,7.087,7.092,231.7
120,120,1694570400000,7.092,7.092,7.088,7.089,941.57
121,121,1694570460000,7.089,7.089,7.085,7.089,877.87
122,122,1694570520000,7.091,7.093,7.088,7.092,739.86
123,123,1694570580000,7.092,7.092,7.089,7.091,147.93
124,124,1694570640000,7.089,7.089,7.081,7.081,836.39
125,125,1694570700000,7.08,7.081,7.08,7.081,220.57
126,126,1694570760000,7.081,7.083,7.079,7.081,277.49
127,127,1694570820000,7.081,7.083,7.081,7.081,494.14
128,128,1694570880000,7.081,7.083,7.081,7.083,117.37
129,129,1694570940000,7.083,7.088,7.083,7.086,1155.39
130,130,1694571000000,7.085,7.088,7.081,7.086,1442.29
131,131,1694571060000,7.086,7.092,7.085,7.09,948.89
132,132,1694571120000,7.092,7.104,7.092,7.102,2029.66
133,133,1694571180000,7.101,7.101,7.096,7.097,363.21
134,134,1694571240000,7.097,7.097,7.088,7.091,1176.37
135,135,1694571300000,7.09,7.091,7.09,7.09,164.15
136,136,1694571360000,7.089,7.089,7.084,7.086,443.47
137,137,1694571420000,7.085,7.085,7.077,7.08,888.97
138,138,1694571480000,7.081,7.081,7.077,7.08,341.69
139,139,1694571540000,7.079,7.082,7.079,7.082,14.59
140,140,1694571600000,7.083,7.088,7.083,7.088,1658.85
141,141,1694571660000,7.089,7.089,7.084,7.085,436.43
142,142,1694571720000,7.086,7.087,7.086,7.087,9.74
143,143,1694571780000,7.086,7.087,7.085,7.087,159.9
144,144,1694571840000,7.088,7.093,7.088,7.091,788.02
145,145,1694571900000,7.092,7.092,7.091,7.091,98.04
146,146,1694571960000,7.091,7.095,7.091,7.092,440.38
147,147,1694572020000,7.092,7.092,7.092,7.092,4.86
148,148,1694572080000,7.092,7.096,7.091,7.096,391.94
149,149,1694572140000,7.096,7.098,7.095,7.097,993.42
150,150,1694572200000,7.097,7.098,7.097,7.098,530.08
151,151,1694572260000,7.097,7.097,7.086,7.086,822.23
152,152,1694572320000,7.085,7.085,7.081,7.082,864.41
153,153,1694572380000,7.081,7.081,7.079,7.081,200.59
154,154,1694572440000,7.081,7.082,7.079,7.079,645.29
155,155,1694572500000,7.077,7.078,7.072,7.072,438.47
156,156,1694572560000,7.072,7.074,7.069,7.073,497.79
157,157,1694572620000,7.072,7.073,7.07,7.07,163.55
158,158,1694572680000,7.07,7.072,7.066,7.072,952.95
159,159,1694572740000,7.073,7.076,7.066,7.075,1526.74
160,160,1694572800000,7.076,7.081,7.076,7.081,467.98
161,161,1694572860000,7.08,7.083,7.08,7.081,593.22
162,162,1694572920000,7.08,7.08,7.076,7.076,572.91
163,163,1694572980000,7.076,7.082,7.076,7.082,1024.31
164,164,1694573040000,7.082,7.082,7.077,7.08,1937.49
165,165,1694573100000,7.079,7.081,7.078,7.081,308.68
166,166,1694573160000,7.082,7.082,7.079,7.081,445.41
167,167,1694573220000,7.08,7.08,7.071,7.078,1378.09
168,168,1694573280000,7.077,7.079,7.075,7.078,331.32
169,169,1694573340000,7.078,7.083,7.076,7.08,781.47
170,170,1694573400000,7.08,7.081,7.08,7.081,42.65
171,171,1694573460000,7.081,7.081,7.079,7.079,133.41
172,172,1694573520000,7.078,7.078,7.071,7.076,443.12
173,173,1694573580000,7.076,7.076,7.075,7.075,130.42
174,174,1694573640000,7.074,7.074,7.067,7.068,677.11
175,175,1694573700000,7.067,7.067,7.043,7.059,7634.69
176,176,1694573760000,7.058,7.062,7.054,7.057,661.66
177,177,1694573820000,7.059,7.06,7.057,7.059,785.02
178,178,1694573880000,7.059,7.062,7.054,7.062,515.13
179,179,1694573940000,7.062,7.063,7.058,7.059,947.78
180,180,1694574000000,7.056,7.061,7.052,7.057,1153.15
181,181,1694574060000,7.056,7.056,7.044,7.049,685.21
182,182,1694574120000,7.05,7.054,7.047,7.049,1961.5
183,183,1694574180000,7.051,7.054,7.05,7.053,389.22
184,184,1694574240000,7.055,7.06,7.055,7.06,1465.69
185,185,1694574300000,7.06,7.067,7.055,7.055,1249.1
186,186,1694574360000,7.056,7.063,7.056,7.06,630.62
187,187,1694574420000,7.061,7.063,7.061,7.063,288.56
188,188,1694574480000,7.063,7.063,7.059,7.06,171.65
189,189,1694574540000,7.06,7.061,7.06,7.061,10.6
190,190,1694574600000,7.061,7.064,7.061,7.063,194.36
191,191,1694574660000,7.061,7.061,7.056,7.056,197.85
192,192,1694574720000,7.057,7.059,7.053,7.059,426.68
193,193,1694574780000,7.06,7.063,7.06,7.063,83.88
194,194,1694574840000,7.063,7.068,7.062,7.068,931.98
195,195,1694574900000,7.068,7.073,7.06,7.06,2680.41
196,196,1694574960000,7.06,7.06,7.053,7.06,1407.26
197,197,1694575020000,7.061,7.061,7.054,7.055,61.39
198,198,1694575080000,7.057,7.062,7.057,7.06,49.33
199,199,1694575140000,7.059,7.059,7.055,7.058,126.92
200,200,1694575200000,7.057,7.061,7.056,7.06,130.31
201,201,1694575260000,7.059,7.059,7.054,7.054,350.84
202,202,1694575320000,7.053,7.057,7.053,7.056,177.59
203,203,1694575380000,7.055,7.057,7.055,7.057,68.58
204,204,1694575440000,7.056,7.058,7.055,7.058,505.72
205,205,1694575500000,7.059,7.06,7.057,7.058,155.58
206,206,1694575560000,7.056,7.056,7.046,7.05,435.56
207,207,1694575620000,7.05,7.052,7.046,7.047,726.15
208,208,1694575680000,7.046,7.049,7.046,7.047,458.24
209,209,1694575740000,7.046,7.052,7.042,7.048,1326.8
210,210,1694575800000,7.047,7.054,7.047,7.054,1150.55
211,211,1694575860000,7.054,7.07,7.053,7.07,3482.16
212,212,1694575920000,7.071,7.072,7.067,7.069,495.0
213,213,1694575980000,7.068,7.072,7.068,7.071,1249.16
214,214,1694576040000,7.07,7.071,7.07,7.07,526.24
215,215,1694576100000,7.069,7.069,7.065,7.065,332.46
216,216,1694576160000,7.064,7.064,7.062,7.064,663.71
217,217,1694576220000,7.065,7.065,7.058,7.061,346.41
218,218,1694576280000,7.06,7.063,7.055,7.063,880.72
219,219,1694576340000,7.063,7.063,7.057,7.058,443.09
220,220,1694576400000,7.058,7.061,7.054,7.061,693.68
221,221,1694576460000,7.061,7.061,7.057,7.057,419.49
222,222,1694576520000,7.057,7.06,7.057,7.06,88.73
223,223,1694576580000,7.059,7.059,7.055,7.058,553.53
224,224,1694576640000,7.057,7.057,7.055,7.055,575.3
225,225,1694576700000,7.054,7.059,7.054,7.057,599.97
226,226,1694576760000,7.057,7.057,7.045,7.045,1556.73
227,227,1694576820000,7.043,7.05,7.041,7.046,2561.35
228,228,1694576880000,7.046,7.05,7.046,7.048,719.24
229,229,1694576940000,7.048,7.049,7.043,7.047,1138.49
230,230,1694577000000,7.048,7.049,7.044,7.045,951.81
231,231,1694577060000,7.045,7.047,7.045,7.046,310.14
232,232,1694577120000,7.045,7.048,7.044,7.048,267.67
233,233,1694577180000,7.048,7.05,7.048,7.05,280.07
234,234,1694577240000,7.051,7.052,7.051,7.051,217.86
235,235,1694577300000,7.048,7.057,7.047,7.057,834.08
236,236,1694577360000,7.058,7.062,7.058,7.062,217.25
237,237,1694577420000,7.062,7.063,7.059,7.063,406.45
238,238,1694577480000,7.062,7.063,7.06,7.06,373.98
239,239,1694577540000,7.062,7.063,7.061,7.061,277.44
240,240,1694577600000,7.061,7.072,7.057,7.07,2095.22
241,241,1694577660000,7.072,7.073,7.067,7.069,5808.68
242,242,1694577720000,7.071,7.078,7.071,7.075,3707.74
243,243,1694577780000,7.075,7.08,7.074,7.077,1622.41
244,244,1694577840000,7.079,7.08,7.078,7.078,830.21
245,245,1694577900000,7.078,7.089,7.078,7.088,6790.29
246,246,1694577960000,7.089,7.101,7.084,7.086,9017.06
247,247,1694578020000,7.087,7.087,7.08,7.081,574.05
248,248,1694578080000,7.081,7.084,7.081,7.081,1067.83
249,249,1694578140000,7.08,7.082,7.079,7.079,425.98
250,250,1694578200000,7.078,7.082,7.078,7.081,359.21
251,251,1694578260000,7.08,7.08,7.077,7.08,502.96
252,252,1694578320000,7.08,7.08,7.076,7.076,170.35
253,253,1694578380000,7.075,7.077,7.071,7.076,2747.66
254,254,1694578440000,7.077,7.077,7.074,7.074,153.69
255,255,1694578500000,7.074,7.08,7.074,7.08,621.97
256,256,1694578560000,7.081,7.083,7.081,7.083,671.49
257,257,1694578620000,7.084,7.088,7.084,7.088,1309.55
258,258,1694578680000,7.088,7.092,7.088,7.092,399.16
259,259,1694578740000,7.092,7.094,7.089,7.093,3458.9
260,260,1694578800000,7.094,7.098,7.094,7.098,783.09
261,261,1694578860000,7.099,7.116,7.099,7.109,3552.54
262,262,1694578920000,7.108,7.109,7.104,7.104,423.97
263,263,1694578980000,7.104,7.107,7.104,7.107,504.21
264,264,1694579040000,7.108,7.111,7.106,7.111,1418.34
265,265,1694579100000,7.111,7.111,7.108,7.111,708.12
266,266,1694579160000,7.111,7.116,7.11,7.114,1561.75
267,267,1694579220000,7.115,7.117,7.112,7.112,1355.47
268,268,1694579280000,7.112,7.113,7.109,7.11,1723.13
269,269,1694579340000,7.11,7.11,7.109,7.109,75.72
270,270,1694579400000,7.109,7.114,7.109,7.114,849.44
271,271,1694579460000,7.114,7.117,7.112,7.117,524.99
272,272,1694579520000,7.117,7.122,7.117,7.118,1168.07
273,273,1694579580000,7.117,7.123,7.117,7.118,808.27
274,274,1694579640000,7.118,7.125,7.118,7.124,1635.89
275,275,1694579700000,7.124,7.124,7.121,7.121,262.8
276,276,1694579760000,7.121,7.121,7.117,7.12,1091.87
277,277,1694579820000,7.12,7.121,7.118,7.12,361.19
278,278,1694579880000,7.12,7.125,7.118,7.118,1093.09
279,279,1694579940000,7.119,7.122,7.119,7.119,398.27
280,280,1694580000000,7.12,7.123,7.12,7.122,150.76
281,281,1694580060000,7.122,7.122,7.114,7.118,1010.89
282,282,1694580120000,7.119,7.124,7.119,7.124,635.48
283,283,1694580180000,7.125,7.128,7.125,7.127,487.27
284,284,1694580240000,7.127,7.127,7.124,7.124,137.45
285,285,1694580300000,7.125,7.128,7.125,7.127,304.05
286,286,1694580360000,7.126,7.126,7.118,7.118,1436.94
287,287,1694580420000,7.118,7.12,7.116,7.118,566.54
288,288,1694580480000,7.119,7.12,7.114,7.117,641.81
289,289,1694580540000,7.117,7.119,7.116,7.118,269.06
290,290,1694580600000,7.119,7.119,7.116,7.118,153.97
291,291,1694580660000,7.119,7.119,7.116,7.116,59.76
292,292,1694580720000,7.116,7.119,7.116,7.116,91.38
293,293,1694580780000,7.117,7.117,7.115,7.117,169.63
294,294,1694580840000,7.116,7.118,7.115,7.117,364.46
295,295,1694580900000,7.118,7.118,7.11,7.11,1990.05
296,296,1694580960000,7.11,7.113,7.109,7.113,139.55
297,297,1694581020000,7.114,7.116,7.114,7.115,345.54
298,298,1694581080000,7.116,7.116,7.115,7.115,8.31
299,299,1694581140000,7.116,7.119,7.116,7.117,277.88
300,300,1694581200000,7.116,7.12,7.116,7.12,159.46
301,301,1694581260000,7.12,7.12,7.111,7.116,3181.91
302,302,1694581320000,7.116,7.116,7.107,7.114,4399.58
303,303,1694581380000,7.115,7.12,7.115,7.119,1695.59
304,304,1694581440000,7.119,7.119,7.118,7.119,162.18
305,305,1694581500000,7.12,7.121,7.115,7.116,377.54
306,306,1694581560000,7.116,7.119,7.114,7.116,455.27
307,307,1694581620000,7.116,7.116,7.111,7.114,907.42
308,308,1694581680000,7.114,7.114,7.105,7.106,621.97
309,309,1694581740000,7.104,7.107,7.096,7.104,1689.4
310,310,1694581800000,7.105,7.105,7.099,7.099,563.89
311,311,1694581860000,7.102,7.104,7.1,7.101,574.44
312,312,1694581920000,7.101,7.104,7.099,7.104,109.0
313,313,1694581980000,7.103,7.107,7.103,7.107,609.35
314,314,1694582040000,7.108,7.111,7.108,7.111,253.8
315,315,1694582100000,7.112,7.114,7.105,7.105,594.83
316,316,1694582160000,7.105,7.106,7.105,7.106,61.68
317,317,1694582220000,7.105,7.106,7.091,7.096,3201.03
318,318,1694582280000,7.097,7.105,7.096,7.102,2367.95
319,319,1694582340000,7.1,7.101,7.095,7.095,397.05
320,320,1694582400000,7.095,7.104,7.089,7.093,3675.12
321,321,1694582460000,7.092,7.099,7.087,7.092,3102.18
322,322,1694582520000,7.094,7.096,7.093,7.094,896.16
323,323,1694582580000,7.093,7.098,7.092,7.094,609.97
324,324,1694582640000,7.095,7.1,7.093,7.1,414.66
325,325,1694582700000,7.1,7.1,7.096,7.098,297.52
326,326,1694582760000,7.097,7.105,7.097,7.105,198.65
327,327,1694582820000,7.105,7.107,7.104,7.106,555.37
328,328,1694582880000,7.106,7.109,7.106,7.109,868.44
329,329,1694582940000,7.108,7.108,7.101,7.101,539.78
330,330,1694583000000,7.099,7.099,7.097,7.098,326.09
331,331,1694583060000,7.098,7.099,7.096,7.096,406.04
332,332,1694583120000,7.096,7.096,7.082,7.083,3631.28
333,333,1694583180000,7.083,7.089,7.082,7.082,1730.65
334,334,1694583240000,7.082,7.096,7.082,7.096,1225.16
335,335,1694583300000,7.094,7.104,7.093,7.104,1059.24
336,336,1694583360000,7.104,7.106,7.098,7.101,1089.93
337,337,1694583420000,7.101,7.101,7.092,7.092,675.49
338,338,1694583480000,7.091,7.096,7.091,7.095,464.42
339,339,1694583540000,7.094,7.097,7.091,7.092,1990.97
340,340,1694583600000,7.093,7.099,7.093,7.098,4032.27
